filename,local_time
KTBW20150601_093526_V06,20150601_053526
KTBW20150601_093841_V06,20150601_053841
KTBW20150601_094156_V06,20150601_054156
KTBW20150601_094512_V06,20150601_054512
KTBW20150601_094826_V06,20150601_054826
KTBW20150601_095141_V06,20150601_055141
KTBW20150601_095456_V06,20150601_055456
KTBW20150601_095812_V06,20150601_055812
KTBW20150601_100126_V06,20150601_060126
KTBW20150601_100440_V06,20150601_060440
KTBW20150601_100754_V06,20150601_060754
KTBW20150601_101253_V06,20150601_061253
KTBW20150601_101752_V06,20150601_061752
KTBW20150601_102251_V06,20150601_062251
KTBW20150601_102749_V06,20150601_062749
KTBW20150601_103247_V06,20150601_063247
KTBW20150601_103746_V06,20150601_063746
KTBW20150601_104245_V06,20150601_064245
KTBW20150601_104744_V06,20150601_064744
KTBW20150601_105243_V06,20150601_065243
KTBW20150601_105741_V06,20150601_065741
KTBW20150601_110240_V06,20150601_070240
KTBW20150601_110738_V06,20150601_070738
KTBW20150601_111238_V06,20150601_071238
KTBW20150601_111737_V06,20150601_071737
KTBW20150601_112236_V06,20150601_072236
KTBW20150601_112735_V06,20150601_072735
KTBW20150601_113233_V06,20150601_073233
KTBW20150601_113731_V06,20150601_073731
KTBW20150601_114231_V06,20150601_074231
KTBW20150601_114730_V06,20150601_074730
KTBW20150601_115230_V06,20150601_075230
KTBW20150601_115729_V06,20150601_075729
KTBW20150601_120228_V06,20150601_080228
KTBW20150602_093527_V06,20150602_053527
KTBW20150602_093929_V06,20150602_053929
KTBW20150602_094329_V06,20150602_054329
KTBW20150602_094730_V06,20150602_054730
KTBW20150602_095129_V06,20150602_055129
KTBW20150602_095530_V06,20150602_055530
KTBW20150602_095931_V06,20150602_055931
KTBW20150602_100331_V06,20150602_060331
KTBW20150602_100736_V06,20150602_060736
KTBW20150602_101149_V06,20150602_061149
KTBW20150602_101640_V06,20150602_061640
KTBW20150602_102133_V06,20150602_062133
KTBW20150602_102626_V06,20150602_062626
KTBW20150602_103121_V06,20150602_063121
KTBW20150602_103616_V06,20150602_063616
KTBW20150602_104111_V06,20150602_064111
KTBW20150602_104605_V06,20150602_064605
KTBW20150602_105059_V06,20150602_065059
KTBW20150602_105553_V06,20150602_065553
KTBW20150602_110047_V06,20150602_070047
KTBW20150602_110542_V06,20150602_070542
