track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KBOX20180601-2,KBOX20180601_090939_V06,0,0.483,1.200,2812,650,877.276,967,3,113.636
KBOX20180601-2,KBOX20180601_090939_V06,2,0.879,1.200,2813,435,765.072,759,4,112.664
KBOX20180601-2,KBOX20180601_090939_V06,4,1.318,1.200,2809,143,368.143,309,1,77.859
KBOX20180601-2,KBOX20180601_090939_V06,6,1.802,1.200,1409,1,25.854,5,0,11.008
KBOX20180601-2,KBOX20180601_090939_V06,7,2.417,1.200,1409,0,3.829,0,0,3.829
KBOX20180601-2,KBOX20180601_090939_V06,8,3.120,1.200,1413,0,3.846,0,0,3.846
KBOX20180602-1,KBOX20180602_084304_V06,0,0.483,1.200,4398,248,2046.283,181,133,1370.086
KBOX20180602-1,KBOX20180602_084304_V06,2,0.879,1.200,4396,161,2084.848,148,81,1365.037
KBOX20180602-1,KBOX20180602_084304_V06,4,1.318,1.200,4397,91,800.540,129,14,304.943
KBOX20180602-2,KBOX20180602_090340_V06,0,0.483,1.200,1213,116,643.408,177,5,194.307
KBOX20180602-2,KBOX20180602_090340_V06,2,0.879,1.200,1213,203,1364.035,328,28,314.085
KBOX20180602-2,KBOX20180602_090340_V06,4,1.318,1.200,1213,264,1391.775,338,68,368.971
KBOX20180602-2,KBOX20180602_090340_V06,6,1.802,1.200,624,12,538.967,14,9,343.471
KBOX20180602-5,KBOX20180602_092407_V06,0,0.483,1.200,4178,124,305.023,203,93,230.849
KBOX20180602-5,KBOX20180602_092407_V06,2,0.879,1.200,4177,76,194.189,139,50,153.603
KBOX20180602-5,KBOX20180602_092407_V06,4,1.318,1.200,4177,24,106.926,117,12,75.429
KBOX20180602-5,KBOX20180602_092407_V06,6,1.802,1.200,2081,1,20.104,15,1,10.307
KBOX20180602-5,KBOX20180602_092407_V06,7,2.417,1.200,2085,0,5.155,0,0,5.155
KBOX20180602-5,KBOX20180602_092407_V06,8,3.120,1.200,2086,0,2.164,0,0,2.164
KBOX20180602-5,KBOX20180602_092407_V06,9,3.999,1.200,2089,0,2.173,0,0,2.173
KBOX20180602-5,KBOX20180602_092407_V06,10,5.098,1.200,2092,0,2.469,0,0,2.469
KBOX20180603-1,KBOX20180603_090816_V06,0,0.483,1.200,49,13,65.827,0,13,65.827
KBOX20180603-1,KBOX20180603_090816_V06,2,0.879,1.200,47,0,8.642,1,0,7.603
KBOX20180603-1,KBOX20180603_090816_V06,4,1.318,1.200,49,0,0.058,0,0,0.058
KBOX20180603-1,KBOX20180603_090816_V06,6,1.802,1.200,23,0,0.054,0,0,0.054
KBOX20180603-1,KBOX20180603_090816_V06,7,2.417,1.200,23,0,0.054,0,0,0.054
KBOX20180603-1,KBOX20180603_090816_V06,8,3.120,1.200,22,0,0.052,0,0,0.052
KBOX20180603-2,KBOX20180603_090816_V06,0,0.483,1.200,37,15,29.570,1,15,25.379
KBOX20180603-2,KBOX20180603_090816_V06,2,0.879,1.200,39,0,2.912,0,0,2.912
KBOX20180603-2,KBOX20180603_090816_V06,4,1.318,1.200,40,0,0.048,0,0,0.048
KBOX20180603-2,KBOX20180603_090816_V06,6,1.802,1.200,21,0,0.050,0,0,0.050
KBOX20180603-2,KBOX20180603_090816_V06,7,2.417,1.200,20,0,0.048,0,0,0.048
KBOX20180603-2,KBOX20180603_090816_V06,8,3.120,1.200,21,0,0.050,0,0,0.050
KBOX20180604-6,KBOX20180604_082652_V06,0,0.483,1.200,3267,262,842.030,829,6,189.001
KBOX20180604-6,KBOX20180604_082652_V06,2,0.879,1.200,3271,178,199.905,299,0,37.836
KBOX20180604-6,KBOX20180604_082652_V06,4,1.318,1.200,3272,166,138.576,227,0,26.122
KBOX20180604-6,KBOX20180604_082652_V06,6,1.802,1.200,1636,58,88.075,77,3,11.487
KBOX20180604-6,KBOX20180604_082652_V06,7,2.417,1.200,1641,53,62.791,46,15,26.393
