track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KCLE20190601-3,KCLE20190601_093523_V06,0,0.483,1.200,5537,3865,73.409,100,3797,73.023
KCLE20190601-3,KCLE20190601_093523_V06,2,0.879,1.200,5537,4045,78.878,86,3970,78.725
KCLE20190601-3,KCLE20190601_093523_V06,6,1.318,1.200,5537,4204,72.867,148,4056,72.867
KCLE20190601-3,KCLE20190601_093523_V06,8,1.802,1.200,2774,1747,78.076,207,1583,75.692
KCLE20190601-3,KCLE20190601_093523_V06,9,2.417,1.200,2773,1173,72.670,262,1019,67.785
KCLE20190601-3,KCLE20190601_093523_V06,10,3.120,1.200,2774,649,66.987,377,503,59.871
KCLE20190601-3,KCLE20190601_093523_V06,11,3.999,1.200,2775,266,26.904,405,198,22.754
KCLE20190601-3,KCLE20190601_093523_V06,12,5.098,1.200,2778,19,7.591,398,7,5.526
KCLE20190601-3,KCLE20190601_093523_V06,13,6.416,1.200,2787,12,2.631,295,3,1.787
KCLE20190605-4,KCLE20190605_094022_V06,0,0.483,1.200,2518,251,1468.801,531,96,1092.764
KCLE20190605-4,KCLE20190605_094022_V06,2,0.879,1.200,2522,156,739.814,389,16,469.452
KCLE20190605-4,KCLE20190605_094022_V06,4,1.318,1.200,2517,96,394.709,256,5,224.174
KCLE20190605-4,KCLE20190605_094022_V06,8,1.802,1.200,1260,19,66.079,34,2,25.545
KCLE20190605-4,KCLE20190605_094022_V06,9,2.417,1.200,1261,12,46.187,17,0,23.182
KCLE20190605-4,KCLE20190605_094022_V06,10,3.120,1.200,1258,0,2.214,0,0,2.214
KCLE20190605-4,KCLE20190605_094022_V06,11,3.999,1.200,1262,0,9.095,0,0,9.095
KCLE20190605-4,KCLE20190605_094546_V06,0,0.483,1.200,1752,157,1028.642,299,65,720.852
KCLE20190605-4,KCLE20190605_094546_V06,2,0.879,1.200,1746,90,606.924,262,17,341.141
KCLE20190605-4,KCLE20190605_094546_V06,4,1.318,1.200,1752,53,348.966,158,7,213.087
KCLE20190605-4,KCLE20190605_094546_V06,8,1.802,1.200,875,5,38.999,11,0,13.829
KCLE20190605-4,KCLE20190605_094546_V06,9,2.417,1.200,876,1,24.887,4,0,7.568
KCLE20190605-4,KCLE20190605_094546_V06,10,3.120,1.200,877,0,1.752,0,0,1.752
KCLE20190605-6,KCLE20190605_094546_V06,0,0.483,1.200,2515,1898,218.206,105,1839,202.525
KCLE20190605-6,KCLE20190605_094546_V06,2,0.879,1.200,2512,666,397.537,348,603,348.572
KCLE20190605-6,KCLE20190605_094546_V06,4,1.318,1.200,2511,105,172.270,513,78,131.869
KCLE20190605-6,KCLE20190605_094546_V06,8,1.802,1.200,1256,7,16.921,94,2,8.211
KCLE20190605-6,KCLE20190605_094546_V06,9,2.417,1.200,1254,2,9.442,43,1,6.248
KCLE20190605-6,KCLE20190605_094546_V06,10,3.120,1.200,1255,3,10.570,44,0,4.365
KCLE20190605-6,KCLE20190605_094546_V06,11,3.999,1.200,1258,0,9.319,64,0,4.245
KCLE20190605-6,KCLE20190605_094546_V06,12,5.098,1.200,1259,0,8.433,80,0,3.282
KCLE20190605-6,KCLE20190605_094546_V06,13,6.416,1.200,1265,0,5.952,46,0,3.290
KCLE20190605-7,KCLE20190605_101205_V06,0,0.483,1.200,965,778,508.205,682,96,508.205
KCLE20190605-7,KCLE20190605_101205_V06,2,0.879,1.200,961,915,128.674,849,67,114.380
KCLE20190605-7,KCLE20190605_101205_V06,4,1.318,1.200,965,839,463.807,818,22,449.308
KCLE20190606-1,KCLE20190606_100931_V06,0,0.483,1.200,4183,846,229.791,262,801,217.954
