track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDIX20220603-3,KDIX20220603_084851_V06,0,0.483,1.200,11143,134,702.783,1227,97,403.686
KDIX20220603-3,KDIX20220603_084851_V06,2,0.879,1.200,11147,13,293.281,848,9,127.765
KDIX20220603-3,KDIX20220603_084851_V06,4,1.318,1.200,11150,0,56.303,197,0,28.281
KDIX20220603-3,KDIX20220603_084851_V06,6,1.802,1.200,5570,0,8.913,1,0,8.109
KDIX20220603-3,KDIX20220603_084851_V06,7,2.417,1.200,5578,0,9.351,0,0,9.351
KDIX20220603-3,KDIX20220603_084851_V06,8,3.120,1.200,5580,0,8.491,0,0,8.491
KDIX20220603-3,KDIX20220603_084851_V06,9,3.999,1.200,5588,0,7.500,0,0,7.500
KDIX20220604-1,KDIX20220604_103913_V06,0,0.483,1.200,1813,895,2129.466,55,884,1945.275
KDIX20220604-1,KDIX20220604_103913_V06,2,0.879,1.200,1815,319,1851.693,65,308,1675.549
KDIX20220604-1,KDIX20220604_103913_V06,4,1.318,1.200,1815,91,1405.700,203,53,876.016
KDIX20220604-1,KDIX20220604_103913_V06,6,1.802,1.200,908,0,38.940,0,0,38.940
KDIX20220606-3,KDIX20220606_093444_V06,0,0.483,1.200,2405,873,534.780,85,861,505.549
KDIX20220606-3,KDIX20220606_093444_V06,2,0.879,1.200,2405,377,466.521,84,366,441.696
KDIX20220606-3,KDIX20220606_093444_V06,4,1.318,1.200,2406,14,180.211,210,5,120.891
KDIX20220606-3,KDIX20220606_093444_V06,6,1.802,1.200,1200,0,13.141,5,0,10.087
KDIX20220606-3,KDIX20220606_093444_V06,7,2.417,1.200,1201,0,15.376,12,0,8.055
KDIX20220606-3,KDIX20220606_093444_V06,8,3.120,1.200,1203,0,14.162,4,0,11.820
KDIX20220606-3,KDIX20220606_093444_V06,9,3.999,1.200,1209,0,2.455,0,0,2.455
KDIX20220606-3,KDIX20220606_093444_V06,10,5.098,1.200,1204,4,7.547,9,0,5.620
KDIX20220606-3,KDIX20220606_094146_V06,0,0.483,1.200,6394,1375,1257.638,225,1347,1169.274
KDIX20220606-3,KDIX20220606_094146_V06,2,0.879,1.200,6395,289,933.712,376,272,819.689
KDIX20220606-3,KDIX20220606_094146_V06,4,1.318,1.200,6394,31,363.807,546,19,205.724
KDIX20220606-3,KDIX20220606_094146_V06,6,1.802,1.200,3200,0,33.275,20,0,20.714
KDIX20220606-3,KDIX20220606_094146_V06,7,2.417,1.200,3202,0,36.607,32,0,16.443
KDIX20220606-3,KDIX20220606_094146_V06,8,3.120,1.200,3205,0,52.143,19,0,38.701
KDIX20220606-3,KDIX20220606_094146_V06,9,3.999,1.200,3209,0,20.558,12,0,14.400
KDIX20220606-3,KDIX20220606_094146_V06,10,5.098,1.200,3212,1,35.011,6,0,27.817
KDIX20220606-4,KDIX20220606_102347_V06,0,0.483,1.200,579,265,197.665,7,264,189.587
KDIX20220606-4,KDIX20220606_102347_V06,2,0.879,1.200,580,134,409.050,9,131,402.009
KDIX20220606-4,KDIX20220606_102347_V06,4,1.318,1.200,579,28,88.639,19,21,69.295
KDIX20220606-4,KDIX20220606_102347_V06,6,1.802,1.200,287,0,38.632,1,0,32.167
KDIX20220606-4,KDIX20220606_102347_V06,7,2.417,1.200,289,0,23.193,3,0,0.955
KDIX20220606-4,KDIX20220606_103157_V06,0,0.483,1.200,2069,502,755.480,64,489,655.166
KDIX20220606-4,KDIX20220606_103157_V06,2,0.879,1.200,2069,231,940.078,98,222,772.975
KDIX20220606-4,KDIX20220606_103157_V06,4,1.318,1.200,2068,75,679.620,148,53,448.149
KDIX20220606-4,KDIX20220606_103157_V06,6,1.802,1.200,1035,1,195.746,15,1,96.995
KDIX20220606-4,KDIX20220606_103157_V06,7,2.417,1.200,1035,5,57.868,8,1,25.025
KDIX20220606-1,KDIX20220606_085234_V06,0,0.483,1.200,197,112,65.775,0,112,65.775
KDIX20220606-1,KDIX20220606_085234_V06,2,0.879,1.200,199,45,90.835,0,45,90.835
KDIX20220606-1,KDIX20220606_085234_V06,4,1.318,1.200,199,2,100.244,6,1,85.532
KDIX20220606-1,KDIX20220606_085234_V06,6,1.802,1.200,102,1,23.149,3,0,0.361
KDIX20220606-1,KDIX20220606_085234_V06,7,2.417,1.200,104,6,11.071,2,4,11.071
KDIX20220606-2,KDIX20220606_092743_V06,0,0.483,1.200,3922,969,1031.731,159,955,946.950
KDIX20220606-2,KDIX20220606_092743_V06,2,0.879,1.200,3921,249,655.190,192,235,584.863
