track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KDOX20230601-9,KDOX20230601_100519_V06,0,0.483,1.200,17399,1227,2379.190,7378,30,288.296
KDOX20230601-9,KDOX20230601_100519_V06,2,0.879,1.200,17396,1070,2280.716,8153,18,223.244
KDOX20230601-9,KDOX20230601_100519_V06,4,1.318,1.200,17403,652,1685.640,7112,11,209.831
KDOX20230601-9,KDOX20230601_100519_V06,6,1.802,1.200,8703,24,266.381,587,1,33.388
KDOX20230601-9,KDOX20230601_100519_V06,7,2.417,1.200,8706,0,11.607,21,0,9.153
KDOX20230601-9,KDOX20230601_100519_V06,8,3.120,1.200,8712,0,9.230,0,0,9.230
KDOX20230601-9,KDOX20230601_100519_V06,9,3.999,1.200,8723,0,8.625,0,0,8.625
KDOX20230601-9,KDOX20230601_100519_V06,10,5.098,1.200,8743,0,10.162,0,0,10.162
KDOX20230602-1,KDOX20230602_084844_V06,0,0.483,1.200,570,533,69.861,6,527,69.861
KDOX20230602-1,KDOX20230602_084844_V06,2,0.879,1.200,571,401,342.609,21,385,317.648
KDOX20230602-1,KDOX20230602_084844_V06,4,1.318,1.200,571,16,116.912,6,13,104.912
KDOX20230602-1,KDOX20230602_084844_V06,6,1.802,1.200,284,0,48.780,1,0,37.171
KDOX20230602-2,KDOX20230602_085320_V06,0,0.483,1.200,6199,2494,1901.896,770,2288,1585.418
KDOX20230602-2,KDOX20230602_085320_V06,2,0.879,1.200,6198,772,1884.352,857,662,1477.441
KDOX20230602-2,KDOX20230602_085320_V06,4,1.318,1.200,6203,62,681.419,601,27,416.293
KDOX20230602-2,KDOX20230602_085320_V06,6,1.802,1.200,3105,0,49.383,29,0,23.869
KDOX20230602-2,KDOX20230602_085320_V06,7,2.417,1.200,3106,0,34.847,13,0,19.374
KDOX20230602-2,KDOX20230602_085320_V06,8,3.120,1.200,3113,0,18.524,6,0,14.396
KDOX20230602-2,KDOX20230602_085320_V06,9,3.999,1.200,3120,0,37.555,19,0,24.653
KDOX20230602-3,KDOX20230602_091627_V06,0,0.483,1.200,400,312,69.612,26,301,61.672
KDOX20230602-3,KDOX20230602_091627_V06,2,0.879,1.200,400,164,198.537,20,159,185.586
KDOX20230602-3,KDOX20230602_091627_V06,4,1.318,1.200,401,11,124.779,80,6,79.861
KDOX20230602-3,KDOX20230602_091627_V06,6,1.802,1.200,199,0,3.226,1,0,1.922
KDOX20230602-3,KDOX20230602_091627_V06,7,2.417,1.200,198,0,10.119,7,0,2.550
KDOX20230602-3,KDOX20230602_091627_V06,8,3.120,1.200,200,0,12.835,5,0,7.554
KDOX20230602-3,KDOX20230602_091627_V06,9,3.999,1.200,202,0,4.695,1,0,3.766
KDOX20230602-5,KDOX20230602_102313_V06,0,0.483,1.200,20989,1629,7788.505,1909,1127,5476.905
KDOX20230602-5,KDOX20230602_102313_V06,2,0.879,1.200,21000,347,4305.673,1186,253,2932.264
KDOX20230602-5,KDOX20230602_102313_V06,4,1.318,1.200,20994,86,1160.689,701,37,569.752
KDOX20230602-5,KDOX20230602_102313_V06,6,1.802,1.200,10496,0,213.663,27,0,128.725
KDOX20230602-5,KDOX20230602_102313_V06,7,2.417,1.200,10511,0,127.840,12,0,82.797
KDOX20230602-5,KDOX20230602_102313_V06,8,3.120,1.200,10518,1,112.584,16,0,77.561
KDOX20230602-6,KDOX20230602_103227_V06,0,0.483,1.200,8071,749,3399.661,728,445,2249.909
KDOX20230602-6,KDOX20230602_103227_V06,2,0.879,1.200,8067,75,1098.793,251,45,625.275
KDOX20230602-6,KDOX20230602_103227_V06,4,1.318,1.200,8075,56,792.495,181,16,325.078
KDOX20230602-6,KDOX20230602_103227_V06,6,1.802,1.200,4043,0,36.772,0,0,36.772
KDOX20230602-6,KDOX20230602_103227_V06,7,2.417,1.200,4042,0,16.107,0,0,16.107
KDOX20230603-3,KDOX20230603_101829_V06,0,0.483,1.200,214,121,70.625,2,121,63.925
KDOX20230603-3,KDOX20230603_101829_V06,2,0.879,1.200,215,0,2.747,0,0,2.747
KDOX20230603-3,KDOX20230603_101829_V06,4,1.318,1.200,215,21,64.921,11,16,52.433
KDOX20230603-3,KDOX20230603_101829_V06,6,1.802,1.200,96,1,53.824,1,1,39.517
KDOX20230603-3,KDOX20230603_101829_V06,7,2.417,1.200,97,0,0.373,0,0,0.373
KDOX20230603-3,KDOX20230603_102530_V06,0,0.483,1.200,1151,169,420.642,31,157,378.661
KDOX20230603-3,KDOX20230603_102530_V06,2,0.879,1.200,1151,38,346.450,74,18,204.292
KDOX20230603-3,KDOX20230603_102530_V06,4,1.318,1.200,1153,60,446.451,90,31,263.959
KDOX20230603-3,KDOX20230603_102530_V06,6,1.802,1.200,589,1,10.735,0,1,10.735
KDOX20230603-3,KDOX20230603_102530_V06,7,2.417,1.200,587,0,2.251,0,0,2.251
KDOX20230603-4,KDOX20230603_101829_V06,0,0.483,1.200,253,152,87.142,12,143,81.203
KDOX20230603-4,KDOX20230603_101829_V06,2,0.879,1.200,255,20,96.458,8,18,85.681
KDOX20230603-4,KDOX20230603_101829_V06,4,1.318,1.200,254,9,97.945,23,5,60.077
KDOX20230603-4,KDOX20230603_101829_V06,6,1.802,1.200,133,1,10.991,0,1,10.991
KDOX20230603-4,KDOX20230603_101829_V06,7,2.417,1.200,133,0,0.385,0,0,0.385
KDOX20230603-4,KDOX20230603_101829_V06,8,3.120,1.200,134,0,9.848,0,0,9.848
KDOX20230603-4,KDOX20230603_102530_V06,0,0.483,1.200,1394,232,594.937,65,215,508.454
KDOX20230603-4,KDOX20230603_102530_V06,2,0.879,1.200,1395,39,286.760,57,30,198.542
KDOX20230603-4,KDOX20230603_102530_V06,4,1.318,1.200,1396,34,480.380,89,20,347.515
KDOX20230603-4,KDOX20230603_102530_V06,6,1.802,1.200,703,0,16.217,0,0,16.217
KDOX20230603-4,KDOX20230603_102530_V06,7,2.417,1.200,701,1,37.467,4,0,14.097
KDOX20230603-1,KDOX20230603_084955_V06,0,0.483,1.200,3327,1906,1128.960,200,1851,1023.336
KDOX20230603-1,KDOX20230603_084955_V06,2,0.879,1.200,3327,516,1274.472,402,473,1088.414
KDOX20230603-1,KDOX20230603_084955_V06,4,1.318,1.200,3325,16,152.936,196,6,74.177
KDOX20230603-1,KDOX20230603_084955_V06,6,1.802,1.200,1666,0,9.105,2,0,2.777
KDOX20230603-1,KDOX20230603_084955_V06,7,2.417,1.200,1667,0,7.053,5,0,3.976
KDOX20230603-1,KDOX20230603_084955_V06,8,3.120,1.200,1670,0,3.172,2,0,2.115
KDOX20230603-1,KDOX20230603_084955_V06,9,3.999,1.200,1670,0,2.121,0,0,2.121
KDOX20230606-1,KDOX20230606_084557_V06,0,0.483,1.200,1844,1191,1236.137,58,1163,1189.533
KDOX20230606-1,KDOX20230606_084557_V06,2,0.879,1.200,1842,190,621.030,93,176,576.767
KDOX20230606-1,KDOX20230606_084557_V06,4,1.318,1.200,1844,23,134.616,91,14,84.600
