track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KENX20230605-1,KENX20230605_090128_V06,0,0.483,1.200,27479,114,12.965,5153,101,10.304
KENX20230605-1,KENX20230605_090128_V06,2,0.879,1.200,27483,30,9.493,5628,20,6.523
KENX20230605-1,KENX20230605_090128_V06,4,1.318,1.200,27488,16,8.512,6157,5,4.482
KENX20230605-1,KENX20230605_090128_V06,6,1.802,1.200,13745,0,1.043,1235,0,0.709
KENX20230605-1,KENX20230605_090128_V06,7,2.417,1.200,13748,0,1.156,1144,0,0.806
KENX20230605-1,KENX20230605_090128_V06,8,3.120,1.200,13757,0,1.533,1404,0,1.061
KENX20230605-1,KENX20230605_090128_V06,9,3.999,1.200,13781,0,1.864,1477,0,1.167
KENX20230605-1,KENX20230605_090128_V06,10,5.098,1.200,13808,0,1.859,1583,0,1.296
KENX20230605-1,KENX20230605_090128_V06,11,6.416,1.200,13838,0,1.478,1543,0,1.019
KENX20230605-1,KENX20230605_090813_V06,0,0.483,1.200,39350,191,25.825,7022,183,18.617
KENX20230605-1,KENX20230605_090813_V06,2,0.879,1.200,39355,79,22.871,6890,68,15.511
KENX20230605-1,KENX20230605_090813_V06,4,1.318,1.200,39363,36,19.852,7336,19,11.777
KENX20230605-1,KENX20230605_090813_V06,6,1.802,1.200,19692,0,2.581,1233,0,1.564
KENX20230605-1,KENX20230605_090813_V06,7,2.417,1.200,19701,0,2.562,1153,0,1.864
KENX20230605-1,KENX20230605_090813_V06,8,3.120,1.200,19712,0,3.215,1306,0,2.295
KENX20230605-1,KENX20230605_090813_V06,9,3.999,1.200,19737,0,3.862,1488,0,2.809
KENX20230605-1,KENX20230605_090813_V06,10,5.098,1.200,19765,0,3.848,1676,0,2.930
KENX20230605-1,KENX20230605_090813_V06,11,6.416,1.200,19834,0,4.185,1665,0,3.208
KENX20230606-4,KENX20230606_091704_V06,0,0.483,1.200,6210,381,4134.636,617,94,1055.700
KENX20230606-4,KENX20230606_091704_V06,2,0.879,1.200,6213,737,5258.436,1041,137,1275.928
KENX20230606-4,KENX20230606_091704_V06,4,1.318,1.200,6213,163,2332.722,358,39,470.824
KENX20230606-13,KENX20230606_102221_V06,0,0.483,1.200,8155,809,2079.592,913,119,745.051
KENX20230606-13,KENX20230606_102221_V06,2,0.879,1.200,8156,861,1996.528,1028,65,661.774
KENX20230606-13,KENX20230606_102221_V06,4,1.318,1.200,8161,795,903.334,935,12,187.099
KENX20230606-13,KENX20230606_102221_V06,6,1.802,1.200,4077,360,84.727,358,5,41.414
KENX20230608-21,KENX20230608_100300_V06,0,0.483,1.200,3340,2553,2186.673,1225,1621,1309.504
KENX20230608-21,KENX20230608_100300_V06,2,0.879,1.200,3342,1936,3678.711,1344,1153,2058.944
KENX20230608-21,KENX20230608_100300_V06,4,1.318,1.200,3339,618,2928.710,1373,152,998.839
KENX20230608-21,KENX20230608_100300_V06,6,1.802,1.200,1672,7,258.190,33,2,86.699
KENX20230608-21,KENX20230608_100300_V06,7,2.417,1.200,1670,2,95.388,6,1,58.159
KENX20230608-21,KENX20230608_101004_V06,0,0.483,1.200,5458,3668,3954.994,1903,2359,2309.938
KENX20230608-21,KENX20230608_101004_V06,2,0.879,1.200,5460,2796,5880.344,2306,1482,3035.317
KENX20230608-21,KENX20230608_101004_V06,4,1.318,1.200,5457,1053,4521.147,2048,304,1792.876
KENX20230608-21,KENX20230608_101004_V06,6,1.802,1.200,2730,13,377.446,44,1,194.230
KENX20230608-21,KENX20230608_101004_V06,7,2.417,1.200,2733,7,261.404,13,4,189.167
KENX20230608-21,KENX20230608_101708_V06,0,0.483,1.200,5240,3432,3228.144,1855,2102,1946.786
KENX20230608-21,KENX20230608_101708_V06,2,0.879,1.200,5242,2817,4667.986,2240,1504,2368.734
KENX20230608-21,KENX20230608_101708_V06,4,1.318,1.200,5245,1187,4248.855,2218,302,1523.961
KENX20230608-21,KENX20230608_101708_V06,6,1.802,1.200,2626,26,461.360,82,5,168.674
KENX20230608-21,KENX20230608_101708_V06,7,2.417,1.200,2626,0,123.011,9,0,59.054
KENX20230608-21,KENX20230608_101708_V06,8,3.120,1.200,2627,3,133.209,13,2,86.508
KENX20230608-21,KENX20230608_102411_V06,0,0.483,1.200,5474,3389,3270.955,1997,2060,1804.156
KENX20230608-21,KENX20230608_102411_V06,2,0.879,1.200,5472,2949,4177.142,2237,1644,2243.525
KENX20230608-21,KENX20230608_102411_V06,4,1.318,1.200,5477,1421,4227.918,2465,333,1607.222
KENX20230608-21,KENX20230608_102411_V06,6,1.802,1.200,2742,33,502.884,87,13,206.341
KENX20230608-21,KENX20230608_102411_V06,7,2.417,1.200,2746,3,155.239,17,1,80.917
KENX20230608-21,KENX20230608_102411_V06,8,3.120,1.200,2745,5,235.446,21,3,169.149
KENX20230608-21,KENX20230608_103113_V06,0,0.483,1.200,5736,3349,3273.872,2106,1953,1866.004
KENX20230608-21,KENX20230608_103113_V06,2,0.879,1.200,5733,3044,3768.596,2238,1735,2040.338
KENX20230608-21,KENX20230608_103113_V06,4,1.318,1.200,5735,1792,4020.416,2615,461,1623.361
KENX20230608-21,KENX20230608_103113_V06,6,1.802,1.200,2860,80,625.894,146,11,274.040
KENX20230608-21,KENX20230608_103113_V06,7,2.417,1.200,2859,0,217.013,18,0,135.493
KENX20230608-21,KENX20230608_103113_V06,8,3.120,1.200,2867,8,275.495,31,4,186.786
KENX20230608-21,KENX20230608_103816_V06,0,0.483,1.200,6003,3221,3133.938,2327,1703,1590.000
KENX20230608-21,KENX20230608_103816_V06,2,0.879,1.200,6003,3080,3254.601,2331,1682,1682.537
KENX20230608-21,KENX20230608_103816_V06,4,1.318,1.200,6004,2261,3470.560,2757,644,1495.983
KENX20230608-21,KENX20230608_103816_V06,6,1.802,1.200,3007,109,866.372,237,15,298.856
KENX20230608-21,KENX20230608_103816_V06,7,2.417,1.200,3012,6,202.577,25,3,118.993
KENX20230608-21,KENX20230608_103816_V06,8,3.120,1.200,3011,5,335.987,32,3,233.121
KENX20230608-21,KENX20230608_104519_V06,0,0.483,1.200,5899,4212,2659.220,2290,2447,1641.983
KENX20230608-21,KENX20230608_104519_V06,2,0.879,1.200,5902,4185,2577.038,2321,2545,1297.561
KENX20230608-21,KENX20230608_104519_V06,4,1.318,1.200,5906,3229,3514.223,3148,1125,1374.417
KENX20230608-21,KENX20230608_104519_V06,6,1.802,1.200,2958,232,1774.070,503,26,624.165
KENX20230608-21,KENX20230608_104519_V06,7,2.417,1.200,2958,6,190.123,14,4,125.701
KENX20230608-21,KENX20230608_104519_V06,8,3.120,1.200,2956,2,304.048,20,0,228.240
KENX20230608-6,KENX20230608_083703_V06,0,0.483,1.200,5746,3993,2371.060,2488,1948,1228.410
KENX20230608-6,KENX20230608_083703_V06,2,0.879,1.200,5741,3873,2407.265,2888,1428,1211.393
KENX20230608-6,KENX20230608_083703_V06,4,1.318,1.200,5744,2351,5908.186,2812,716,2494.723
KENX20230608-6,KENX20230608_083703_V06,6,1.802,1.200,2880,128,2020.501,261,37,812.752
KENX20230608-6,KENX20230608_083703_V06,7,2.417,1.200,2880,21,627.276,56,8,369.809
KENX20230608-6,KENX20230608_084140_V06,0,0.483,1.200,9319,6183,4083.365,4010,2967,2237.576
KENX20230608-6,KENX20230608_084140_V06,2,0.879,1.200,9321,5535,5428.914,4459,2067,2761.148
KENX20230608-6,KENX20230608_084140_V06,4,1.318,1.200,9315,2880,10169.082,3974,967,4267.538
KENX20230608-6,KENX20230608_084140_V06,6,1.802,1.200,4666,131,2239.087,292,45,990.210
KENX20230608-6,KENX20230608_084140_V06,7,2.417,1.200,4670,42,836.144,78,15,530.758
KENX20230608-6,KENX20230608_084618_V06,0,0.483,1.200,13798,9644,6653.950,4746,6231,3845.395
KENX20230608-6,KENX20230608_084618_V06,2,0.879,1.200,13799,8831,10045.298,5545,5066,5413.727
KENX20230608-6,KENX20230608_084618_V06,4,1.318,1.200,13807,3772,17573.170,6656,1204,7063.453
KENX20230608-6,KENX20230608_084618_V06,6,1.802,1.200,6902,206,2939.390,415,52,1337.877
KENX20230608-6,KENX20230608_084618_V06,7,2.417,1.200,6904,81,1474.090,223,20,552.025
KENX20230608-6,KENX20230608_090019_V06,0,0.483,1.200,19778,12793,9287.358,6050,8665,5539.670
KENX20230608-6,KENX20230608_090019_V06,2,0.879,1.200,19781,12307,14116.114,7440,7373,7790.856
KENX20230608-6,KENX20230608_090019_V06,4,1.318,1.200,19784,5797,25080.708,9362,2072,10252.242
KENX20230608-6,KENX20230608_090019_V06,6,1.802,1.200,9892,329,4150.397,706,93,1711.354
KENX20230608-6,KENX20230608_090019_V06,7,2.417,1.200,9905,155,2076.182,367,35,828.587
KENX20230608-6,KENX20230608_090019_V06,8,3.120,1.200,9909,14,790.049,105,3,515.006
KENX20230608-6,KENX20230608_090722_V06,0,0.483,1.200,8457,6747,4108.597,2799,4454,2592.345
KENX20230608-6,KENX20230608_090722_V06,2,0.879,1.200,8461,6109,7128.876,3348,3668,3691.783
KENX20230608-6,KENX20230608_090722_V06,4,1.318,1.200,8467,2823,11151.945,3918,1064,5027.133
KENX20230608-6,KENX20230608_090722_V06,6,1.802,1.200,4231,192,1582.074,267,62,821.507
KENX20230608-6,KENX20230608_090722_V06,7,2.417,1.200,4235,144,1072.135,210,27,518.716
KENX20230608-7,KENX20230608_090019_V06,0,0.483,1.200,259,255,21.400,92,164,14.462
KENX20230608-7,KENX20230608_090019_V06,2,0.879,1.200,260,222,202.680,143,93,124.297
KENX20230608-7,KENX20230608_090019_V06,4,1.318,1.200,261,55,563.069,167,5,192.472
KENX20230608-7,KENX20230608_090019_V06,6,1.802,1.200,119,1,36.356,2,1,13.283
KENX20230608-7,KENX20230608_090019_V06,7,2.417,1.200,120,2,0.481,2,0,0.481
KENX20230608-7,KENX20230608_090722_V06,0,0.483,1.200,1534,1326,985.382,398,1023,524.492
KENX20230608-7,KENX20230608_090722_V06,2,0.879,1.200,1534,1199,1635.452,688,675,806.508
KENX20230608-7,KENX20230608_090722_V06,4,1.318,1.200,1535,447,3358.856,1015,62,1006.164
KENX20230608-7,KENX20230608_090722_V06,6,1.802,1.200,761,23,283.714,28,7,133.117
KENX20230608-7,KENX20230608_090722_V06,7,2.417,1.200,763,2,35.719,0,2,35.719
KENX20230608-18,KENX20230608_093719_V06,0,0.483,1.200,544,425,348.077,266,216,168.081
KENX20230608-18,KENX20230608_093719_V06,2,0.879,1.200,545,340,512.481,307,125,230.773
KENX20230608-18,KENX20230608_093719_V06,4,1.318,1.200,544,112,775.366,246,29,319.468
KENX20230608-18,KENX20230608_093719_V06,6,1.802,1.200,270,7,99.980,13,1,27.303
KENX20230608-18,KENX20230608_093719_V06,7,2.417,1.200,269,2,74.190,6,2,30.162
KENX20230608-18,KENX20230608_094157_V06,0,0.483,1.200,1636,936,1021.523,641,471,571.876
KENX20230608-18,KENX20230608_094157_V06,2,0.879,1.200,1632,767,1467.429,786,227,690.109
KENX20230608-18,KENX20230608_094157_V06,4,1.318,1.200,1637,410,1502.621,716,59,504.913
KENX20230608-18,KENX20230608_094157_V06,6,1.802,1.200,796,144,651.005,186,12,130.894
KENX20230608-18,KENX20230608_094157_V06,7,2.417,1.200,795,9,107.899,13,4,40.482
KENX20230608-25,KENX20230608_103113_V06,0,0.483,1.200,3995,2997,1873.785,1510,1806,1132.412
KENX20230608-25,KENX20230608_103113_V06,2,0.879,1.200,3995,2762,2301.348,1684,1557,1275.251
KENX20230608-25,KENX20230608_103113_V06,4,1.318,1.200,3997,1688,3282.200,2286,398,1159.833
KENX20230608-25,KENX20230608_103113_V06,6,1.802,1.200,2000,82,622.524,147,11,252.334
KENX20230608-25,KENX20230608_103113_V06,7,2.417,1.200,2000,0,136.613,8,0,99.257
KENX20230608-25,KENX20230608_103113_V06,8,3.120,1.200,2002,5,205.305,25,1,128.356
KENX20230608-25,KENX20230608_103816_V06,0,0.483,1.200,6571,3999,4188.736,2591,2261,2339.835
KENX20230608-25,KENX20230608_103816_V06,2,0.879,1.200,6573,3798,4487.169,2798,2030,2260.182
KENX20230608-25,KENX20230608_103816_V06,4,1.318,1.200,6573,2683,4383.421,3280,747,1714.517
KENX20230608-25,KENX20230608_103816_V06,6,1.802,1.200,3284,128,1138.363,304,18,370.318
KENX20230608-25,KENX20230608_103816_V06,7,2.417,1.200,3285,7,224.677,29,3,120.352
KENX20230608-25,KENX20230608_103816_V06,8,3.120,1.200,3286,7,294.990,27,4,209.456
KENX20230608-1,KENX20230608_082309_V06,0,0.483,1.200,71,51,36.972,22,31,32.847
KENX20230608-1,KENX20230608_082309_V06,2,0.879,1.200,70,25,78.050,20,14,46.661
KENX20230608-1,KENX20230608_082309_V06,4,1.318,1.200,70,7,45.513,6,5,29.690
KENX20230608-1,KENX20230608_082309_V06,6,1.802,1.200,34,4,63.816,7,0,33.066
KENX20230608-1,KENX20230608_082309_V06,7,2.417,1.200,34,1,13.225,1,1,0.120
KENX20230608-3,KENX20230608_083226_V06,0,0.483,1.200,1233,305,705.678,251,148,359.351
KENX20230608-3,KENX20230608_083226_V06,2,0.879,1.200,1233,151,788.439,210,66,334.117
KENX20230608-3,KENX20230608_083226_V06,4,1.318,1.200,1233,17,175.103,44,7,67.545
KENX20230608-3,KENX20230608_083226_V06,6,1.802,1.200,614,0,2.549,0,0,2.549
KENX20230608-3,KENX20230608_083226_V06,7,2.417,1.200,615,1,11.439,0,1,11.439
KENX20230608-11,KENX20230608_090722_V06,0,0.483,1.200,2891,1881,1341.487,858,1264,983.486
KENX20230608-11,KENX20230608_090722_V06,2,0.879,1.200,2890,2222,1132.290,780,1619,832.035
KENX20230608-11,KENX20230608_090722_V06,4,1.318,1.200,2890,1749,2033.937,1658,639,950.983
KENX20230608-11,KENX20230608_090722_V06,6,1.802,1.200,1448,116,990.030,236,28,301.830
KENX20230608-11,KENX20230608_090722_V06,7,2.417,1.200,1446,78,482.679,140,15,159.517
KENX20230608-11,KENX20230608_090722_V06,8,3.120,1.200,1447,2,270.060,46,2,138.123
KENX20230608-13,KENX20230608_092327_V06,0,0.483,1.200,9984,5627,2876.549,4079,2725,1274.845
KENX20230608-13,KENX20230608_092327_V06,2,0.879,1.200,9985,6345,2086.871,3990,3139,984.452
KENX20230608-13,KENX20230608_092327_V06,4,1.318,1.200,9991,6059,2384.594,5351,1749,851.314
KENX20230608-13,KENX20230608_092327_V06,6,1.802,1.200,4995,2444,1544.181,2648,148,381.050
KENX20230608-13,KENX20230608_092327_V06,7,2.417,1.200,4995,1296,2710.660,1887,81,520.369
KENX20230608-13,KENX20230608_092327_V06,8,3.120,1.200,4998,507,1396.795,986,11,302.036
