track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KEOX20150602-1,KEOX20150602_101502_V06,0,0.483,1.200,1647,269,681.767,253,178,461.211
KEOX20150602-1,KEOX20150602_101502_V06,2,0.879,1.200,1647,18,130.750,63,11,66.628
KEOX20150602-1,KEOX20150602_101502_V06,4,1.318,1.200,1648,0,1.319,0,0,1.319
KEOX20150602-1,KEOX20150602_101502_V06,8,1.802,1.200,828,0,1.327,0,0,1.327
KEOX20150602-1,KEOX20150602_101502_V06,9,2.417,1.200,827,0,1.326,0,0,1.326
KEOX20150602-1,KEOX20150602_101502_V06,10,3.120,1.200,828,0,1.329,0,0,1.329
KEOX20150602-1,KEOX20150602_101502_V06,11,3.999,1.200,826,0,1.328,0,0,1.328
KEOX20150604-2,KEOX20150604_095753_V06,0,0.483,1.200,404,217,263.319,57,185,191.208
KEOX20150604-2,KEOX20150604_095753_V06,2,0.879,1.200,403,0,7.553,0,0,7.553
KEOX20150604-2,KEOX20150604_095753_V06,4,1.318,1.200,402,0,19.930,5,0,8.437
KEOX20150604-2,KEOX20150604_095753_V06,8,1.802,1.200,201,0,0.516,0,0,0.516
KEOX20150604-2,KEOX20150604_095753_V06,9,2.417,1.200,204,0,0.524,0,0,0.524
KEOX20150604-2,KEOX20150604_095753_V06,10,3.120,1.200,202,0,0.519,0,0,0.519
KEOX20150604-2,KEOX20150604_100151_V06,0,0.483,1.200,1272,272,680.300,100,234,510.079
KEOX20150604-2,KEOX20150604_100151_V06,2,0.879,1.200,1278,5,73.843,16,2,45.058
KEOX20150604-2,KEOX20150604_100151_V06,4,1.318,1.200,1273,1,9.917,0,1,9.917
KEOX20150604-2,KEOX20150604_100151_V06,8,1.802,1.200,638,0,12.707,0,0,12.707
KEOX20150604-2,KEOX20150604_100151_V06,9,2.417,1.200,637,0,1.642,0,0,1.642
KEOX20150604-2,KEOX20150604_100151_V06,10,3.120,1.200,638,0,1.647,0,0,1.647
KEOX20150604-6,KEOX20150604_103830_V06,0,0.483,1.200,575,196,246.964,114,108,154.803
KEOX20150604-6,KEOX20150604_103830_V06,2,0.879,1.200,568,21,223.821,19,16,183.865
KEOX20150604-6,KEOX20150604_103830_V06,4,1.318,1.200,571,0,0.836,0,0,0.836
KEOX20150604-6,KEOX20150604_103830_V06,8,1.802,1.200,282,0,0.827,0,0,0.827
KEOX20150604-6,KEOX20150604_103830_V06,9,2.417,1.200,283,0,0.831,0,0,0.831
KEOX20150604-6,KEOX20150604_104242_V06,0,0.483,1.200,1654,307,1219.689,221,193,864.235
