track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KFCX20190603-2,KFCX20190603_100607_V06,0,0.483,1.200,2471,35,189.532,587,23,145.596
KFCX20190603-2,KFCX20190603_100607_V06,2,1.494,1.200,2474,0,34.949,264,0,18.615
KFCX20190603-2,KFCX20190603_100607_V06,4,2.505,1.200,1241,0,25.771,71,0,18.253
KFCX20190603-2,KFCX20190603_100607_V06,5,3.516,1.200,1244,0,7.845,22,0,4.499
KFCX20190603-2,KFCX20190603_100607_V06,6,4.482,1.200,1241,0,2.234,1,0,2.121
KFCX20190610-2,KFCX20190610_091631_V06,0,0.483,1.200,12688,2865,41.783,2683,182,41.783
KFCX20190610-2,KFCX20190610_091631_V06,2,0.879,1.200,12701,3498,145.625,3109,397,65.630
KFCX20190610-2,KFCX20190610_091631_V06,4,1.318,1.200,12709,5248,609.578,4919,380,163.714
KFCX20190610-2,KFCX20190610_092050_V06,0,0.483,1.200,16027,3478,60.221,3279,200,52.982
KFCX20190610-2,KFCX20190610_092050_V06,2,0.879,1.200,16034,4272,269.407,3830,458,121.062
KFCX20190610-2,KFCX20190610_092050_V06,4,1.318,1.200,16039,6245,646.754,5798,502,183.014
KFCX20190610-2,KFCX20190610_092509_V06,0,0.483,1.200,17134,3465,96.505,3237,231,71.117
KFCX20190610-2,KFCX20190610_092509_V06,2,0.879,1.200,17128,4338,334.532,3876,485,130.055
KFCX20190610-2,KFCX20190610_092509_V06,4,1.318,1.200,17132,6264,649.691,5876,443,202.815
KFCX20190610-2,KFCX20190610_092928_V06,0,0.483,1.200,17442,3673,100.545,3447,230,67.079
KFCX20190610-2,KFCX20190610_092928_V06,2,0.879,1.200,17451,4689,435.894,4162,557,170.637
KFCX20190610-2,KFCX20190610_092928_V06,4,1.318,1.200,17455,6475,514.190,5997,525,128.108
KFCX20190610-1,KFCX20190610_091631_V06,0,0.483,1.200,4566,759,1390.361,978,163,672.719
KFCX20190610-1,KFCX20190610_091631_V06,2,0.879,1.200,4566,349,869.173,563,57,358.645
KFCX20190610-1,KFCX20190610_091631_V06,4,1.318,1.200,4567,44,276.403,134,7,92.397
KFCX20190610-1,KFCX20190610_091631_V06,8,1.802,1.200,2275,2,17.269,3,0,13.178
KFCX20190610-1,KFCX20190610_091631_V06,9,2.417,1.200,2273,0,8.286,0,0,8.286
KFCX20190610-1,KFCX20190610_091631_V06,10,3.120,1.200,2278,0,3.944,0,0,3.944
KFCX20190610-1,KFCX20190610_091631_V06,11,3.999,1.200,2282,0,3.959,0,0,3.959
KFCX20190610-1,KFCX20190610_092050_V06,0,0.483,1.200,7125,805,1676.547,1061,183,800.806
KFCX20190610-1,KFCX20190610_092050_V06,2,0.879,1.200,7136,358,866.084,556,65,377.072
KFCX20190610-1,KFCX20190610_092050_V06,4,1.318,1.200,7172,40,201.127,101,7,78.918
KFCX20190610-1,KFCX20190610_092050_V06,8,1.802,1.200,3584,0,13.954,0,0,13.954
KFCX20190610-1,KFCX20190610_092050_V06,9,2.417,1.200,3588,0,11.800,0,0,11.800
KFCX20190610-1,KFCX20190610_092050_V06,10,3.120,1.200,3591,0,6.344,0,0,6.344
KFCX20190610-1,KFCX20190610_092050_V06,11,3.999,1.200,3595,0,6.364,0,0,6.364
KFCX20190610-1,KFCX20190610_092509_V06,0,0.483,1.200,4060,666,1069.414,832,126,428.990
KFCX20190610-1,KFCX20190610_092509_V06,2,0.879,1.200,4058,269,674.099,399,41,267.200
KFCX20190610-1,KFCX20190610_092509_V06,4,1.318,1.200,4058,15,99.198,37,5,32.158
KFCX20190610-1,KFCX20190610_092509_V06,8,1.802,1.200,2032,1,8.516,0,1,8.516
KFCX20190610-1,KFCX20190610_092509_V06,9,2.417,1.200,2029,0,3.977,0,0,3.977
KFCX20190610-1,KFCX20190610_092509_V06,10,3.120,1.200,2031,0,3.988,0,0,3.988
KFCX20190610-1,KFCX20190610_092928_V06,0,0.483,1.200,7094,661,1143.666,841,106,481.640
KFCX20190610-1,KFCX20190610_092928_V06,2,0.879,1.200,7097,290,832.400,466,41,298.521
KFCX20190610-1,KFCX20190610_092928_V06,4,1.318,1.200,7096,22,168.203,66,4,50.082
KFCX20190610-1,KFCX20190610_092928_V06,8,1.802,1.200,3603,0,9.908,0,0,9.908
KFCX20190610-1,KFCX20190610_092928_V06,9,2.417,1.200,3604,0,7.090,0,0,7.090
KFCX20190610-1,KFCX20190610_092928_V06,10,3.120,1.200,3600,0,7.098,0,0,7.098
KFCX20190611-1,KFCX20190611_090649_V06,0,0.483,1.200,1681,109,554.448,147,93,315.017
KFCX20190611-1,KFCX20190611_090649_V06,2,1.494,1.200,1685,18,79.254,15,12,60.661
KFCX20190611-1,KFCX20190611_090649_V06,4,2.505,1.200,848,0,58.045,4,0,50.722
KFCX20190611-1,KFCX20190611_090649_V06,5,3.516,1.200,848,0,27.470,5,0,12.076
KFCX20190611-2,KFCX20190611_090649_V06,0,0.483,1.200,224,33,230.427,79,3,47.939
KFCX20190611-2,KFCX20190611_090649_V06,2,1.494,1.200,224,0,0.354,0,0,0.354
KFCX20190611-2,KFCX20190611_090649_V06,4,2.505,1.200,117,0,0.369,0,0,0.369
KFCX20190618-5,KFCX20190618_095327_V06,0,0.483,1.200,5329,385,480.145,497,250,343.557
KFCX20190618-5,KFCX20190618_095327_V06,2,0.879,1.200,5336,236,449.776,416,120,328.367
KFCX20190618-5,KFCX20190618_095327_V06,6,1.318,1.200,5335,241,356.713,439,90,239.490
KFCX20190618-5,KFCX20190618_095327_V06,8,1.802,1.200,2666,107,91.749,117,16,65.623
KFCX20190618-5,KFCX20190618_095327_V06,9,2.417,1.200,2667,100,91.857,131,14,44.804
KFCX20190618-5,KFCX20190618_095327_V06,12,3.120,1.200,2672,84,94.920,104,14,51.058
KFCX20190618-5,KFCX20190618_095327_V06,13,3.999,1.200,2676,58,53.539,74,6,25.380
KFCX20190618-5,KFCX20190618_095327_V06,14,5.098,1.200,2676,30,94.830,69,2,52.328
KFCX20190618-5,KFCX20190618_095327_V06,15,6.416,1.200,2686,5,54.741,27,1,35.728
KFCX20190620-4,KFCX20190620_103610_V06,0,0.483,1.200,4048,571,479.427,591,219,335.514
KFCX20190620-4,KFCX20190620_103610_V06,2,0.879,1.200,4048,517,354.637,646,88,243.854
KFCX20190620-4,KFCX20190620_103610_V06,6,1.318,1.200,4049,439,359.290,614,69,231.079
KFCX20190620-4,KFCX20190620_103610_V06,8,1.802,1.200,2026,128,115.356,171,9,62.370
KFCX20190620-4,KFCX20190620_103610_V06,9,2.417,1.200,2030,71,120.158,121,2,71.474
KFCX20190620-4,KFCX20190620_103610_V06,12,3.120,1.200,2031,17,87.855,55,3,51.062
KFCX20190620-4,KFCX20190620_103610_V06,13,3.999,1.200,2033,73,146.403,141,4,54.858
KFCX20190620-4,KFCX20190620_103610_V06,14,5.098,1.200,2038,75,118.079,116,18,59.612
KFCX20190620-4,KFCX20190620_104036_V06,0,0.483,1.200,7431,647,790.259,837,345,555.520
KFCX20190620-4,KFCX20190620_104036_V06,2,0.879,1.200,7430,542,648.881,1019,84,385.129
KFCX20190620-4,KFCX20190620_104036_V06,6,1.318,1.200,7437,435,527.206,823,74,330.603
KFCX20190620-4,KFCX20190620_104036_V06,8,1.802,1.200,3717,133,144.527,203,4,84.289
KFCX20190620-4,KFCX20190620_104036_V06,9,2.417,1.200,3719,121,124.473,181,2,68.333
KFCX20190620-4,KFCX20190620_104036_V06,12,3.120,1.200,3722,95,154.956,179,7,80.169
KFCX20190620-4,KFCX20190620_104036_V06,13,3.999,1.200,3718,109,182.900,218,0,82.763
KFCX20190620-4,KFCX20190620_104036_V06,14,5.098,1.200,3730,117,195.840,211,15,103.406
KFCX20190620-4,KFCX20190620_104502_V06,0,0.483,1.200,5175,482,475.541,643,223,335.368
KFCX20190620-4,KFCX20190620_104502_V06,2,0.879,1.200,5174,325,406.252,663,59,269.790
KFCX20190620-4,KFCX20190620_104502_V06,6,1.318,1.200,5178,223,351.458,507,41,229.959
KFCX20190620-4,KFCX20190620_104502_V06,8,1.802,1.200,2588,80,82.515,126,3,48.038
KFCX20190620-4,KFCX20190620_104502_V06,9,2.417,1.200,2587,68,75.978,108,6,44.521
KFCX20190620-4,KFCX20190620_104502_V06,12,3.120,1.200,2590,43,93.425,101,3,51.666
KFCX20190620-4,KFCX20190620_104502_V06,13,3.999,1.200,2596,54,93.544,110,2,52.145
KFCX20190620-4,KFCX20190620_104502_V06,14,5.098,1.200,2597,50,119.081,115,5,63.260
KFCX20190620-4,KFCX20190620_104502_V06,15,6.416,1.200,2607,19,77.384,46,9,54.586
KFCX20190620-1,KFCX20190620_092940_V06,0,0.483,1.200,2734,787,252.453,717,97,76.700
KFCX20190620-1,KFCX20190620_092940_V06,2,0.879,1.200,2736,983,401.183,957,75,71.675
KFCX20190620-1,KFCX20190620_092940_V06,6,1.318,1.200,2741,1034,661.682,959,145,179.480
KFCX20190620-1,KFCX20190620_092940_V06,8,1.802,1.200,1366,230,43.965,180,52,17.959
KFCX20190620-1,KFCX20190620_092940_V06,9,2.417,1.200,1368,3,45.012,0,3,45.012
