track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KFFC20200605-1,KFFC20200605_092942_V06,0,0.483,1.200,85,49,54.572,25,34,33.373
KFFC20200605-1,KFFC20200605_092942_V06,2,0.879,1.200,87,14,42.216,23,7,9.669
KFFC20200605-1,KFFC20200605_092942_V06,4,1.318,1.200,86,0,0.084,0,0,0.084
KFFC20200605-1,KFFC20200605_092942_V06,6,1.802,1.200,42,0,0.082,0,0,0.082
KFFC20200605-1,KFFC20200605_092942_V06,7,2.417,1.200,43,0,0.084,0,0,0.084
KFFC20200605-1,KFFC20200605_092942_V06,8,3.120,1.200,43,0,0.085,0,0,0.085
KFFC20200612-2,KFFC20200612_103647_V06,0,0.483,1.200,7227,206,980.689,62,173,740.564
KFFC20200612-2,KFFC20200612_103647_V06,2,1.494,1.200,7229,5,24.937,5,0,24.937
KFFC20200612-2,KFFC20200612_104634_V06,0,0.483,1.200,11279,265,926.217,68,223,722.352
KFFC20200612-2,KFFC20200612_104634_V06,2,1.494,1.200,11289,0,39.094,0,0,39.094
KFFC20200612-1,KFFC20200612_101714_V06,0,0.483,1.200,2049,1403,149.019,37,1374,148.540
KFFC20200612-1,KFFC20200612_101714_V06,2,1.494,1.200,2052,188,128.075,176,179,121.058
KFFC20200612-1,KFFC20200612_101714_V06,4,2.505,1.200,1028,6,65.038,402,5,32.905
KFFC20200612-1,KFFC20200612_101714_V06,5,3.516,1.200,1028,0,82.057,644,0,23.234
KFFC20200612-1,KFFC20200612_101714_V06,6,4.482,1.200,1029,0,149.296,719,0,34.530
KFFC20200613-2,KFFC20200613_102334_V06,0,0.483,1.200,1872,301,475.119,11,295,433.410
KFFC20200613-2,KFFC20200613_102334_V06,2,1.494,1.200,1877,4,30.825,6,0,6.485
KFFC20200613-2,KFFC20200613_103321_V06,0,0.483,1.200,4038,836,1404.822,68,785,1253.276
KFFC20200613-2,KFFC20200613_103321_V06,2,1.494,1.200,4039,4,13.558,4,0,13.558
KFFC20200613-2,KFFC20200613_104308_V06,0,0.483,1.200,5074,971,1620.618,118,897,1214.112
KFFC20200613-2,KFFC20200613_104308_V06,2,1.494,1.200,5078,3,34.536,4,1,17.191
KFFC20200613-2,KFFC20200613_110242_V06,0,0.483,1.200,6834,251,734.787,74,203,469.664
KFFC20200613-2,KFFC20200613_110242_V06,2,1.494,1.200,6848,7,33.289,6,2,24.235
KFFC20200613-1,KFFC20200613_100401_V06,0,0.483,1.200,2568,714,1428.890,105,681,1288.540
KFFC20200613-1,KFFC20200613_100401_V06,2,1.494,1.200,2569,0,6.783,2,0,4.351
KFFC20200613-1,KFFC20200613_100401_V06,4,2.505,1.200,1287,0,2.918,0,0,2.918
KFFC20200613-1,KFFC20200613_100401_V06,5,3.516,1.200,1291,0,2.934,0,0,2.934
KFFC20200614-3,KFFC20200614_101704_V06,0,0.483,1.200,1420,162,360.558,9,155,341.500
KFFC20200614-3,KFFC20200614_101704_V06,2,1.494,1.200,1422,7,24.027,8,0,12.538
KFFC20200614-3,KFFC20200614_102651_V06,0,0.483,1.200,3970,552,1223.455,33,535,1067.807
KFFC20200614-3,KFFC20200614_102651_V06,2,1.494,1.200,3974,13,20.470,12,2,12.885
KFFC20200614-3,KFFC20200614_103637_V06,0,0.483,1.200,5630,764,1465.738,53,729,1312.293
KFFC20200614-3,KFFC20200614_103637_V06,2,1.494,1.200,5632,10,60.093,10,3,29.576
KFFC20200614-3,KFFC20200614_104623_V06,0,0.483,1.200,9405,687,1519.492,98,628,1209.658
KFFC20200614-3,KFFC20200614_104623_V06,2,1.494,1.200,9405,8,65.404,8,4,36.597
KFFC20200614-1,KFFC20200614_094744_V06,0,0.483,1.200,449,29,33.322,38,24,28.096
KFFC20200614-1,KFFC20200614_094744_V06,2,1.494,1.200,452,0,5.307,25,0,2.678
KFFC20200614-1,KFFC20200614_094744_V06,4,2.505,1.200,226,0,15.066,44,0,8.251
KFFC20200614-1,KFFC20200614_094744_V06,5,3.516,1.200,227,0,1.160,0,0,1.160
KFFC20200614-1,KFFC20200614_094744_V06,6,4.482,1.200,226,0,0.127,0,0,0.127
KFFC20200614-4,KFFC20200614_101704_V06,0,0.483,1.200,1902,58,47.398,11,49,21.453
KFFC20200614-4,KFFC20200614_101704_V06,2,1.494,1.200,1899,0,7.527,0,0,7.527
KFFC20200615-4,KFFC20200615_101631_V06,0,0.483,1.200,1206,317,558.407,31,294,479.663
KFFC20200615-4,KFFC20200615_101631_V06,2,1.494,1.200,1209,2,4.100,0,2,4.100
KFFC20200615-4,KFFC20200615_102618_V06,0,0.483,1.200,3342,982,1035.109,84,917,827.159
KFFC20200615-4,KFFC20200615_102618_V06,2,1.494,1.200,3344,0,11.843,0,0,11.843
KFFC20200615-4,KFFC20200615_103605_V06,0,0.483,1.200,5084,964,946.516,88,890,814.567
KFFC20200615-4,KFFC20200615_103605_V06,2,1.494,1.200,5087,1,59.553,4,0,18.863
KFFC20200615-4,KFFC20200615_104552_V06,0,0.483,1.200,6502,559,1211.745,80,497,1036.499
KFFC20200615-4,KFFC20200615_104552_V06,2,1.494,1.200,6506,2,24.383,2,0,24.383
KFFC20200615-1,KFFC20200615_100645_V06,0,0.483,1.200,2441,201,455.972,44,191,388.327
KFFC20200615-1,KFFC20200615_100645_V06,2,1.494,1.200,2447,0,6.169,0,0,6.169
KFFC20200615-1,KFFC20200615_100645_V06,4,2.505,1.200,1228,0,2.642,0,0,2.642
KFFC20200615-1,KFFC20200615_100645_V06,5,3.516,1.200,1227,0,2.646,0,0,2.646
KFFC20200615-3,KFFC20200615_101631_V06,0,0.483,1.200,1693,889,998.046,42,876,938.228
KFFC20200615-3,KFFC20200615_101631_V06,2,1.494,1.200,1694,13,186.819,19,10,156.383
KFFC20200615-3,KFFC20200615_101631_V06,4,2.505,1.200,846,0,1.789,0,0,1.789
KFFC20200615-3,KFFC20200615_101631_V06,5,3.516,1.200,853,0,1.808,0,0,1.808
KFFC20200616-2,KFFC20200616_101242_V06,0,0.483,1.200,963,105,240.839,8,99,218.570
KFFC20200616-2,KFFC20200616_101242_V06,2,1.494,1.200,960,0,3.317,0,0,3.317
KFFC20200616-2,KFFC20200616_102229_V06,0,0.483,1.200,3202,565,787.676,25,549,701.103
KFFC20200616-2,KFFC20200616_102229_V06,2,1.494,1.200,3205,0,11.334,0,0,11.334
KFFC20200616-2,KFFC20200616_103216_V06,0,0.483,1.200,5946,869,1715.897,68,821,1513.247
KFFC20200616-2,KFFC20200616_103216_V06,2,1.494,1.200,5951,2,21.286,1,1,21.286
KFFC20200616-2,KFFC20200616_104204_V06,0,0.483,1.200,9750,708,1478.887,90,647,1231.705
KFFC20200616-2,KFFC20200616_104204_V06,2,1.494,1.200,9759,2,54.474,4,0,35.021
KFFC20200616-2,KFFC20200616_110137_V06,0,0.483,1.200,5303,94,488.355,30,73,403.377
KFFC20200616-2,KFFC20200616_110137_V06,2,1.494,1.200,5300,1,18.825,0,1,18.825
KFFC20200616-1,KFFC20200616_100254_V06,0,0.483,1.200,1423,355,697.709,33,347,647.665
KFFC20200616-1,KFFC20200616_100254_V06,2,1.494,1.200,1422,0,1.670,0,0,1.670
KFFC20200616-1,KFFC20200616_100254_V06,4,2.505,1.200,711,0,1.673,0,0,1.673
KFFC20200616-1,KFFC20200616_100254_V06,5,3.516,1.200,714,0,1.683,0,0,1.683
