track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGRR20140604-1,KGRR20140604_090953_V06,0,0.483,1.200,12824,7997,15.825,7619,378,15.825
KGRR20140604-1,KGRR20140604_090953_V06,2,1.494,1.200,12840,11266,1148.425,10721,632,327.021
KGRR20140606-1,KGRR20140606_100738_V06,0,0.483,1.200,1247,560,210.034,129,476,145.778
KGRR20140606-1,KGRR20140606_100738_V06,2,1.494,1.200,1251,24,112.579,75,8,53.046
KGRR20140606-1,KGRR20140606_100738_V06,4,2.505,1.200,625,5,128.076,6,4,121.965
KGRR20140606-1,KGRR20140606_100738_V06,5,3.516,1.200,623,266,440.210,233,97,258.027
KGRR20140606-1,KGRR20140606_100738_V06,6,4.482,1.200,625,426,212.792,419,47,104.519
KGRR20140606-2,KGRR20140606_105557_V06,0,0.483,1.200,90,71,5.086,3,68,5.086
KGRR20140606-2,KGRR20140606_105557_V06,2,1.450,1.200,90,17,26.157,9,12,12.789
KGRR20140606-2,KGRR20140606_105557_V06,4,2.417,1.200,44,0,0.120,0,0,0.120
KGRR20140614-1,KGRR20140614_104230_V06,0,0.483,1.200,191,42,0.482,7,35,0.482
KGRR20140614-1,KGRR20140614_104230_V06,2,1.494,1.200,191,0,10.733,0,0,10.733
KGRR20140614-2,KGRR20140614_105126_V06,0,0.483,1.200,3419,315,19.228,970,235,14.748
KGRR20140614-2,KGRR20140614_105126_V06,2,1.494,1.200,3422,3,0.738,52,2,0.665
KGRR20140614-2,KGRR20140614_105126_V06,4,2.505,1.200,1714,2,0.311,8,1,0.296
KGRR20140614-2,KGRR20140614_105126_V06,5,3.516,1.200,1713,0,0.532,27,0,0.499
KGRR20140614-2,KGRR20140614_105126_V06,6,4.482,1.200,1716,0,0.444,38,0,0.260
KGRR20140617-13,KGRR20140617_105414_V06,0,0.483,1.200,5860,2700,682.851,2543,262,205.735
KGRR20140617-13,KGRR20140617_105414_V06,2,0.879,1.200,5868,3036,3486.605,3048,488,1244.448
KGRR20140617-13,KGRR20140617_105414_V06,4,1.318,1.200,5872,3320,3060.532,3476,331,1043.147
KGRR20140617-13,KGRR20140617_105414_V06,6,1.802,1.200,2933,1799,1448.550,1070,747,1266.540
KGRR20140617-13,KGRR20140617_105414_V06,7,2.417,1.200,2930,2119,1284.826,2001,189,634.341
KGRR20140617-18,KGRR20140617_111606_V06,0,0.483,1.200,8699,2242,2159.080,3392,117,173.189
KGRR20140617-18,KGRR20140617_111606_V06,2,0.879,1.200,8702,2990,3539.043,4529,196,734.380
KGRR20140617-18,KGRR20140617_111606_V06,4,1.318,1.200,8704,4192,3332.890,5437,210,770.912
KGRR20140617-18,KGRR20140617_111606_V06,6,1.802,1.200,4357,2747,2317.856,2809,290,973.659
KGRR20140617-18,KGRR20140617_111606_V06,7,2.417,1.200,4354,3511,1814.115,3274,509,730.980
KGRR20140617-18,KGRR20140617_111606_V06,8,3.120,1.200,4367,3936,1346.595,3696,428,422.517
KGRR20140617-18,KGRR20140617_111606_V06,9,3.999,1.200,4369,3829,1675.181,3824,262,296.228
KGRR20140620-1,KGRR20140620_112640_V06,0,0.483,1.200,8138,1504,35.359,1495,9,35.359
KGRR20140620-1,KGRR20140620_113203_V06,0,0.483,1.200,11076,1886,49.158,1881,5,49.158
KGRR20140623-1,KGRR20140623_110155_V06,0,0.483,1.200,518,518,0.000,433,85,0.000
KGRR20140623-1,KGRR20140623_110155_V06,2,0.879,1.200,519,519,0.000,387,132,0.000
KGRR20140624-5,KGRR20140624_095309_V06,0,0.483,1.200,15619,7727,37.528,7524,203,37.528
KGRR20140624-5,KGRR20140624_095309_V06,2,1.450,1.200,15639,11032,320.739,9283,1771,125.978
KGRR20140624-5,KGRR20140624_095733_V06,0,0.483,1.200,18993,9237,44.529,9055,182,44.529
KGRR20140624-5,KGRR20140624_095733_V06,2,1.450,1.200,19015,13688,602.231,11451,2283,245.127
KGRR20140624-5,KGRR20140624_100158_V06,0,0.483,1.200,19550,9561,44.881,9377,184,44.881
KGRR20140624-5,KGRR20140624_100158_V06,2,1.450,1.200,19562,14693,774.446,12256,2504,283.910
KGRR20140624-5,KGRR20140624_100651_V06,0,0.483,1.200,12436,5177,32.554,5106,71,32.554
KGRR20140624-5,KGRR20140624_100651_V06,2,1.450,1.200,12441,8572,239.166,6816,1769,134.772
KGRR20140624-3,KGRR20140624_093533_V06,0,0.483,1.200,3487,2862,2.802,2761,101,2.802
KGRR20140624-3,KGRR20140624_093533_V06,2,1.450,1.200,3483,2358,5.177,1981,377,5.177
KGRR20140624-9,KGRR20140624_110337_V06,0,0.483,1.200,2778,842,106.193,865,0,6.717
KGRR20140624-9,KGRR20140624_110337_V06,2,1.450,1.200,2780,851,385.183,871,61,77.049
KGRR20140624-9,KGRR20140624_110337_V06,4,2.417,1.200,1393,385,256.255,338,65,108.418
KGRR20140624-13,KGRR20140624_111423_V06,0,0.483,1.200,23991,6537,87.925,6480,59,76.098
KGRR20140624-13,KGRR20140624_111423_V06,2,1.450,1.200,24007,11954,543.224,9581,2416,170.657
KGRR20140625-2,KGRR20140625_102423_V06,0,0.483,1.200,267,127,83.661,31,108,63.568
KGRR20140625-2,KGRR20140625_102423_V06,2,1.450,1.200,266,0,3.490,0,0,3.490
KGRR20140625-2,KGRR20140625_102423_V06,4,2.417,1.200,131,0,0.186,0,0,0.186
KGRR20140625-2,KGRR20140625_102423_V06,5,3.384,1.200,133,0,0.189,0,0,0.189
KGRR20140625-2,KGRR20140625_102423_V06,6,4.307,1.200,133,0,0.189,0,0,0.189
KGRR20140625-2,KGRR20140625_102847_V06,0,0.483,1.200,1246,219,218.171,54,194,175.657
KGRR20140625-2,KGRR20140625_102847_V06,2,1.450,1.200,1242,9,46.073,14,5,32.321
KGRR20140625-2,KGRR20140625_102847_V06,4,2.417,1.200,625,0,0.885,0,0,0.885
KGRR20140625-2,KGRR20140625_102847_V06,5,3.384,1.200,626,0,0.888,0,0,0.888
KGRR20140625-2,KGRR20140625_102847_V06,6,4.307,1.200,628,0,0.893,0,0,0.893
KGRR20140625-2,KGRR20140625_103311_V06,0,0.483,1.200,1698,234,263.949,86,199,184.428
KGRR20140625-2,KGRR20140625_103311_V06,2,1.450,1.200,1700,9,43.941,16,6,27.979
KGRR20140625-2,KGRR20140625_103311_V06,4,2.417,1.200,850,0,6.214,0,0,6.214
KGRR20140625-2,KGRR20140625_103311_V06,5,3.384,1.200,850,0,1.210,0,0,1.210
KGRR20140625-2,KGRR20140625_103311_V06,6,4.307,1.200,853,0,1.217,0,0,1.217
