track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGSP20130601-1,KGSP20130601_095221_V06,0,0.483,1.200,1990,245,118.031,367,212,102.648
KGSP20130601-1,KGSP20130601_095221_V06,2,1.494,1.200,1993,0,8.349,87,0,5.889
KGSP20130601-1,KGSP20130601_095221_V06,4,2.505,1.200,995,0,1.730,7,0,1.368
KGSP20130601-1,KGSP20130601_095221_V06,5,3.516,1.200,994,0,1.384,3,0,1.211
KGSP20130601-1,KGSP20130601_095221_V06,6,4.482,1.200,993,0,0.437,2,0,0.402
KGSP20130601-2,KGSP20130601_112857_V06,0,0.483,1.200,189,71,4.530,5,66,4.530
KGSP20130601-2,KGSP20130601_112857_V06,2,1.494,1.200,188,47,30.339,7,42,23.035
KGSP20130601-2,KGSP20130601_112857_V06,4,2.505,1.200,91,0,8.542,0,0,8.542
KGSP20130604-1,KGSP20130604_092000_V06,0,0.483,1.200,117,60,27.769,13,55,23.954
KGSP20130604-1,KGSP20130604_092000_V06,2,1.450,1.200,118,1,5.515,10,0,1.523
KGSP20130604-1,KGSP20130604_092000_V06,4,2.417,1.200,59,0,0.045,0,0,0.045
KGSP20130604-1,KGSP20130604_092000_V06,5,3.384,1.200,59,0,0.045,0,0,0.045
KGSP20130604-1,KGSP20130604_092000_V06,6,4.307,1.200,61,0,0.047,0,0,0.047
KGSP20130604-1,KGSP20130604_092000_V06,7,6.021,1.200,58,0,0.045,0,0,0.045
KGSP20130606-5,KGSP20130606_101931_V06,0,0.483,1.200,2202,524,581.815,600,165,259.505
KGSP20130606-5,KGSP20130606_101931_V06,2,1.450,1.200,2206,589,618.872,887,79,152.301
KGSP20130606-5,KGSP20130606_101931_V06,4,2.417,1.200,1108,260,725.313,448,9,124.449
KGSP20130606-5,KGSP20130606_101931_V06,5,3.384,1.200,1113,341,893.595,430,105,347.851
KGSP20130606-5,KGSP20130606_101931_V06,6,4.307,1.200,1108,225,485.141,306,38,156.983
KGSP20130612-1,KGSP20130612_091648_V06,0,0.483,1.200,53,29,7.363,1,28,7.363
KGSP20130612-1,KGSP20130612_091648_V06,2,1.494,1.200,52,0,5.294,5,0,2.901
KGSP20130612-1,KGSP20130612_091648_V06,4,2.505,1.200,20,0,0.026,0,0,0.026
KGSP20130612-1,KGSP20130612_091648_V06,5,3.516,1.200,20,0,1.703,2,0,0.023
KGSP20130612-1,KGSP20130612_091648_V06,6,4.482,1.200,20,0,0.026,0,0,0.026
KGSP20130613-2,KGSP20130613_092005_V06,0,0.483,1.200,36,20,16.978,8,16,6.653
KGSP20130613-2,KGSP20130613_092005_V06,2,1.494,1.200,35,11,3.873,3,10,2.136
KGSP20130613-2,KGSP20130613_092005_V06,4,2.505,1.200,18,0,0.035,0,0,0.035
KGSP20130613-2,KGSP20130613_092005_V06,5,3.516,1.200,19,0,1.299,0,0,1.299
KGSP20130613-2,KGSP20130613_092943_V06,0,0.483,1.200,998,50,54.178,16,47,35.674
