track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KGYX20160601-1,KGYX20160601_084651_V06,0,0.483,1.200,53,45,8.883,3,43,7.967
KGYX20160601-1,KGYX20160601_084651_V06,2,1.494,1.200,52,9,38.567,5,8,24.801
KGYX20160601-1,KGYX20160601_084651_V06,4,2.505,1.200,32,0,27.565,2,0,9.897
KGYX20160605-1,KGYX20160605_100911_V06,0,0.483,1.200,44,37,15.848,1,37,12.159
KGYX20160605-1,KGYX20160605_100911_V06,2,1.450,1.200,45,3,16.462,3,1,14.567
KGYX20160605-1,KGYX20160605_100911_V06,4,2.417,1.200,18,0,0.048,0,0,0.048
KGYX20160607-3,KGYX20160607_090051_V06,0,0.483,1.200,4845,3226,2274.241,3172,192,543.519
KGYX20160607-3,KGYX20160607_091036_V06,0,0.483,1.200,11073,7150,1229.942,6706,519,367.281
KGYX20160607-3,KGYX20160607_091036_V06,2,1.450,1.200,11075,8720,1942.985,8168,703,409.640
KGYX20160607-1,KGYX20160607_080229_V06,0,0.483,1.200,48,35,6.421,1,34,6.421
KGYX20160607-1,KGYX20160607_080229_V06,2,1.494,1.200,48,3,20.953,3,3,10.970
KGYX20160607-1,KGYX20160607_080229_V06,4,2.505,1.200,28,0,0.074,0,0,0.074
KGYX20160607-1,KGYX20160607_081213_V06,0,0.483,1.200,2661,236,1467.371,183,206,1136.399
KGYX20160607-1,KGYX20160607_081213_V06,2,1.494,1.200,2663,12,184.287,31,9,138.583
KGYX20160607-1,KGYX20160607_081213_V06,4,2.505,1.200,1314,0,15.144,0,0,15.144
KGYX20160607-1,KGYX20160607_082156_V06,0,0.483,1.200,45,34,8.657,2,33,7.040
KGYX20160607-1,KGYX20160607_082156_V06,2,1.494,1.200,45,0,0.059,0,0,0.059
KGYX20160607-1,KGYX20160607_082156_V06,4,2.505,1.200,25,0,0.066,0,0,0.066
KGYX20160607-5,KGYX20160607_095505_V06,0,0.483,1.200,38337,26159,3460.777,22719,3758,1460.647
KGYX20160607-5,KGYX20160607_095505_V06,2,1.450,1.200,38359,28190,7002.180,26752,2070,2145.379
KGYX20160608-3,KGYX20160608_075857_V06,0,0.483,1.200,38,32,2.852,1,32,2.008
KGYX20160608-3,KGYX20160608_075857_V06,2,0.879,1.200,39,21,4.990,0,21,4.990
KGYX20160608-3,KGYX20160608_075857_V06,4,1.318,1.200,38,6,21.569,2,6,19.317
KGYX20160608-3,KGYX20160608_075857_V06,8,1.802,1.200,17,0,3.734,0,0,3.734
KGYX20160608-3,KGYX20160608_075857_V06,9,2.417,1.200,18,0,0.029,0,0,0.029
KGYX20160608-3,KGYX20160608_075857_V06,10,3.120,1.200,18,0,0.029,0,0,0.029
KGYX20160608-3,KGYX20160608_075857_V06,11,3.999,1.200,19,0,0.031,0,0,0.031
KGYX20160609-4,KGYX20160609_094822_V06,0,0.483,1.200,43725,1647,118.563,6954,1396,103.468
KGYX20160609-4,KGYX20160609_094822_V06,2,1.494,1.200,43747,38,12.003,13038,27,7.032
KGYX20160609-4,KGYX20160609_094822_V06,4,2.505,1.200,21903,7,9.606,6645,5,6.129
KGYX20160609-4,KGYX20160609_094822_V06,5,3.516,1.200,21921,0,9.660,7415,0,6.217
KGYX20160609-4,KGYX20160609_094822_V06,6,4.482,1.200,21950,0,9.723,7589,0,5.736
KGYX20160610-2,KGYX20160610_082126_V06,0,0.483,1.200,9720,716,1697.776,449,436,962.870
KGYX20160610-2,KGYX20160610_082126_V06,2,1.450,1.200,9723,115,1455.091,284,56,607.113
KGYX20160610-2,KGYX20160610_082622_V06,0,0.483,1.200,13040,664,2047.384,446,446,1091.335
KGYX20160610-2,KGYX20160610_082622_V06,2,1.450,1.200,13045,97,1468.266,324,32,632.413
KGYX20160610-10,KGYX20160610_102000_V06,0,0.483,1.200,4319,178,121.171,146,37,63.064
KGYX20160610-10,KGYX20160610_102000_V06,2,1.450,1.200,4307,1495,511.647,1447,85,68.128
KGYX20160610-10,KGYX20160610_102457_V06,0,0.483,1.200,5911,319,2101.311,411,48,553.672
KGYX20160610-10,KGYX20160610_102457_V06,2,1.494,1.200,5916,1927,3238.889,2032,101,908.916
KGYX20160610-1,KGYX20160610_082126_V06,0,0.483,1.200,8022,2095,4448.851,3043,325,1218.985
