track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KIND20140604-2,KIND20140604_092211_V06,0,0.483,1.200,2341,1956,233.507,689,1316,205.641
KIND20140604-2,KIND20140604_092211_V06,2,0.879,1.200,2341,1918,264.021,695,1234,257.007
KIND20140604-2,KIND20140604_092211_V06,4,1.318,1.200,2342,1573,430.195,960,707,374.237
KIND20140604-2,KIND20140604_092211_V06,6,1.802,1.200,1170,575,351.625,664,98,213.593
KIND20140604-2,KIND20140604_092211_V06,7,2.417,1.200,1170,513,141.494,625,41,64.043
KIND20140604-2,KIND20140604_092211_V06,8,3.120,1.200,1167,516,104.137,666,19,27.632
KIND20140604-2,KIND20140604_092211_V06,9,3.999,1.200,1167,527,100.137,665,26,23.324
KIND20140604-2,KIND20140604_092211_V06,10,5.098,1.200,1170,544,164.002,698,63,33.738
KIND20140604-2,KIND20140604_092211_V06,11,6.416,1.200,1179,558,114.962,585,86,31.111
KIND20140604-2,KIND20140604_092211_V06,12,7.998,1.200,1179,902,193.889,967,71,45.974
KIND20140604-19,KIND20140604_112612_V06,0,0.483,1.200,121787,58955,5536.920,46046,22720,2576.676
KIND20140604-19,KIND20140604_112612_V06,2,0.879,1.200,121806,54839,4678.625,46224,18887,2056.166
KIND20140604-19,KIND20140604_112612_V06,4,1.318,1.200,121841,53913,3438.839,47350,15465,1076.186
KIND20140604-19,KIND20140604_112612_V06,6,1.802,1.200,60930,24440,2427.281,22751,5180,995.861
KIND20140604-19,KIND20140604_112612_V06,7,2.417,1.200,60973,23886,2636.960,22349,5125,881.483
KIND20140604-19,KIND20140604_112612_V06,8,3.120,1.200,61002,24104,2354.540,22963,4588,639.044
KIND20140604-19,KIND20140604_112612_V06,9,3.999,1.200,61068,24867,3279.245,24687,3784,694.835
KIND20140604-19,KIND20140604_112612_V06,10,5.098,1.200,61191,26460,4664.973,26461,3740,1387.105
KIND20140604-19,KIND20140604_112612_V06,11,6.416,1.200,61338,27898,4273.845,28818,3333,978.861
KIND20140606-2,KIND20140606_100151_V06,0,0.483,1.200,1140,594,370.015,79,543,296.913
KIND20140606-2,KIND20140606_100151_V06,2,1.494,1.200,1142,32,248.430,52,23,175.704
KIND20140606-2,KIND20140606_100151_V06,4,2.505,1.200,573,11,86.037,11,7,61.072
KIND20140608-13,KIND20140608_103258_V06,0,0.483,1.200,2314,1034,7.031,941,93,7.031
KIND20140608-13,KIND20140608_103758_V06,0,0.483,1.200,3484,1237,12.225,1114,123,12.225
KIND20140608-13,KIND20140608_104258_V06,0,0.483,1.200,3583,1145,12.571,1049,96,12.571
KIND20140608-13,KIND20140608_104758_V06,0,0.483,1.200,3388,937,12.121,867,70,12.121
KIND20140608-13,KIND20140608_105258_V06,0,0.483,1.200,3187,966,10.699,918,48,10.699
