track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KIWX20220601-1,KIWX20220601_105454_V06,0,0.483,1.200,2346,1213,2653.344,843,683,1690.597
KIWX20220601-1,KIWX20220601_105454_V06,2,0.879,1.200,2346,460,943.054,619,63,371.751
KIWX20220601-1,KIWX20220601_105454_V06,4,1.318,1.200,2350,325,709.283,571,13,136.871
KIWX20220601-1,KIWX20220601_105454_V06,6,1.802,1.200,1174,130,375.722,123,34,167.266
KIWX20220601-1,KIWX20220601_105454_V06,7,2.417,1.200,1172,28,145.052,41,4,50.435
KIWX20220601-1,KIWX20220601_105454_V06,8,3.120,1.200,1173,1,7.274,2,0,3.248
KIWX20220601-2,KIWX20220601_111635_V06,0,0.483,1.200,2855,1814,2178.466,940,1160,1502.319
KIWX20220601-2,KIWX20220601_111635_V06,2,0.879,1.200,2855,426,1649.262,584,206,1091.199
KIWX20220601-2,KIWX20220601_111635_V06,4,1.318,1.200,2860,129,418.828,370,4,112.645
KIWX20220601-2,KIWX20220601_111635_V06,6,1.802,1.200,1425,28,206.873,59,1,66.311
KIWX20220601-2,KIWX20220601_111635_V06,7,2.417,1.200,1427,12,220.850,43,1,88.757
KIWX20220601-2,KIWX20220601_111635_V06,8,3.120,1.200,1429,1,49.195,17,0,6.042
KIWX20220602-3,KIWX20220602_095001_V06,0,0.483,1.200,51101,20658,5396.750,21675,5833,2832.826
KIWX20220602-3,KIWX20220602_095001_V06,2,0.879,1.200,51108,19940,5163.008,27438,2760,1926.835
KIWX20220602-3,KIWX20220602_095001_V06,4,1.318,1.200,51119,19322,4468.342,30532,887,875.143
KIWX20220602-3,KIWX20220602_095001_V06,6,1.802,1.200,25539,9819,3441.146,13906,293,510.213
KIWX20220602-3,KIWX20220602_095001_V06,7,2.417,1.200,25547,10225,3310.496,14165,520,599.432
KIWX20220602-3,KIWX20220602_095001_V06,8,3.120,1.200,25558,10494,3914.818,14622,1024,756.757
