track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KJAX20130602-5,KJAX20130602_103542_V06,0,0.483,1.200,1972,0,75.500,268,0,13.656
KJAX20130602-5,KJAX20130602_103542_V06,2,1.494,1.200,1973,0,5.367,12,0,3.705
KJAX20130602-5,KJAX20130602_103542_V06,4,2.505,1.200,1979,0,16.905,85,0,6.702
KJAX20130602-5,KJAX20130602_103542_V06,6,3.516,1.200,993,0,4.808,21,0,2.150
KJAX20130604-1,KJAX20130604_092827_V06,0,0.483,1.200,3888,3000,163.798,142,2888,159.676
KJAX20130604-1,KJAX20130604_092827_V06,2,1.494,1.200,3890,103,117.079,525,79,101.883
KJAX20130604-1,KJAX20130604_092827_V06,4,2.505,1.200,3893,0,6.789,1274,0,3.754
KJAX20130604-1,KJAX20130604_092827_V06,6,3.516,1.200,1947,0,2.007,240,0,1.325
KJAX20130604-1,KJAX20130604_092827_V06,7,4.482,1.200,1949,0,1.608,210,0,1.190
KJAX20130606-1,KJAX20130606_092603_V06,0,0.483,1.200,1037,160,48.256,64,123,31.187
KJAX20130606-1,KJAX20130606_092603_V06,4,1.450,1.200,1041,0,9.774,12,0,7.009
KJAX20130606-1,KJAX20130606_092603_V06,8,2.417,1.200,522,0,1.166,0,0,1.166
KJAX20130606-1,KJAX20130606_092603_V06,11,3.384,1.200,525,0,0.410,0,0,0.410
KJAX20130606-1,KJAX20130606_092603_V06,14,4.307,1.200,523,0,9.636,9,0,3.292
KJAX20130606-1,KJAX20130606_092603_V06,16,6.021,1.200,524,0,0.412,0,0,0.412
KJAX20130606-2,KJAX20130606_093204_V06,0,0.483,1.200,1557,264,123.227,445,26,21.705
KJAX20130606-2,KJAX20130606_093204_V06,4,1.450,1.200,1549,369,164.907,764,5,25.339
KJAX20130606-2,KJAX20130606_093204_V06,8,2.417,1.200,781,318,101.707,419,1,6.922
KJAX20130606-2,KJAX20130606_093204_V06,11,3.384,1.200,782,410,123.555,546,1,5.978
KJAX20130606-2,KJAX20130606_093204_V06,14,4.307,1.200,778,321,221.677,530,3,8.039
KJAX20130606-2,KJAX20130606_093204_V06,16,6.021,1.200,778,7,38.541,67,0,5.521
KJAX20130606-11,KJAX20130606_110247_V06,0,0.483,1.200,10364,4258,2469.164,2963,1729,1574.774
KJAX20130606-11,KJAX20130606_110247_V06,4,1.450,1.200,10369,2683,4342.081,3863,359,1377.111
KJAX20130606-11,KJAX20130606_110247_V06,8,2.417,1.200,5180,1844,2669.052,2172,63,537.840
KJAX20130606-11,KJAX20130606_110247_V06,11,3.384,1.200,5193,3134,1799.296,3052,414,520.566
KJAX20130607-3,KJAX20130607_100521_V06,0,0.483,1.200,3709,1686,292.151,1247,1462,151.373
KJAX20130607-3,KJAX20130607_100521_V06,2,1.450,1.200,3710,191,200.724,1279,163,139.443
KJAX20130607-3,KJAX20130607_100521_V06,4,2.417,1.200,1852,0,17.193,172,0,9.270
