track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLVX20210604-1,KLVX20210604_101546_V06,0,0.483,1.200,30,28,14.736,0,28,14.736
KLVX20210604-1,KLVX20210604_101546_V06,2,1.494,1.200,30,2,19.159,3,2,7.289
KLVX20210604-2,KLVX20210604_101546_V06,0,0.483,1.200,379,118,153.592,20,115,146.024
KLVX20210604-2,KLVX20210604_101546_V06,2,1.494,1.200,378,0,2.070,1,0,1.621
KLVX20210604-2,KLVX20210604_101546_V06,4,2.505,1.200,190,0,0.279,0,0,0.279
KLVX20210604-2,KLVX20210604_101546_V06,5,3.516,1.200,189,0,0.279,0,0,0.279
KLVX20210604-2,KLVX20210604_101546_V06,6,4.482,1.200,191,0,0.282,0,0,0.282
KLVX20210607-4,KLVX20210607_100544_V06,0,0.483,1.200,1590,285,1051.393,426,15,162.397
KLVX20210607-4,KLVX20210607_100544_V06,2,0.879,1.200,1591,373,1120.644,547,6,203.817
KLVX20210607-4,KLVX20210607_100544_V06,4,1.318,1.200,1591,425,1703.838,587,65,449.312
KLVX20210607-4,KLVX20210607_100544_V06,6,1.802,1.200,794,164,579.439,128,55,282.803
KLVX20210607-4,KLVX20210607_101156_V06,0,0.483,1.200,4284,409,2517.503,768,24,482.643
KLVX20210607-4,KLVX20210607_101156_V06,2,0.879,1.200,4284,717,4402.404,1238,92,1135.711
KLVX20210607-4,KLVX20210607_101156_V06,4,1.318,1.200,4284,1027,4510.431,1378,240,1193.817
KLVX20210607-4,KLVX20210607_101156_V06,6,1.802,1.200,2146,345,1359.209,300,80,822.788
KLVX20210608-1,KLVX20210608_093435_V06,0,0.483,1.200,8061,171,1511.686,224,35,482.635
KLVX20210608-1,KLVX20210608_093435_V06,2,0.879,1.200,8059,487,2886.205,604,70,643.483
KLVX20210608-1,KLVX20210608_093435_V06,4,1.318,1.200,8065,959,4037.792,1157,82,814.466
KLVX20210608-1,KLVX20210608_093907_V06,0,0.483,1.200,10918,430,2415.520,498,79,605.914
KLVX20210608-1,KLVX20210608_093907_V06,2,0.879,1.200,10916,966,4830.402,1154,112,1057.975
KLVX20210608-1,KLVX20210608_093907_V06,4,1.318,1.200,10924,1609,5964.793,1878,141,1099.061
KLVX20210608-1,KLVX20210608_094340_V06,0,0.483,1.200,12219,651,2833.965,739,97,540.429
KLVX20210608-1,KLVX20210608_094340_V06,2,0.879,1.200,12224,1269,5621.699,1478,163,1116.927
KLVX20210608-1,KLVX20210608_094340_V06,4,1.318,1.200,12233,2011,7062.304,2297,165,1736.395
KLVX20210609-13,KLVX20210609_114118_V06,0,0.483,1.200,7086,740,723.542,3672,28,74.197
KLVX20210609-13,KLVX20210609_114118_V06,2,0.879,1.200,7088,549,505.549,3187,12,43.168
KLVX20210609-13,KLVX20210609_114118_V06,6,1.318,1.200,7088,289,338.890,2053,4,22.967
KLVX20210609-13,KLVX20210609_114118_V06,8,1.802,1.200,3545,83,224.324,499,0,9.035
KLVX20210609-13,KLVX20210609_114118_V06,9,2.417,1.200,3550,80,170.052,302,0,10.084
KLVX20210609-13,KLVX20210609_114118_V06,10,3.120,1.200,3546,63,211.457,275,0,20.457
KLVX20210609-13,KLVX20210609_114118_V06,13,3.999,1.200,3552,121,334.606,404,1,22.029
KLVX20210609-13,KLVX20210609_114118_V06,14,5.098,1.200,3561,239,298.420,391,53,87.631
KLVX20210609-13,KLVX20210609_114118_V06,15,6.416,1.200,3561,2,103.549,142,0,20.539
KLVX20210610-6,KLVX20210610_093554_V06,0,0.483,1.200,35944,12964,2543.903,13243,4272,1885.212
KLVX20210610-6,KLVX20210610_093554_V06,2,0.879,1.200,35947,11580,2320.967,14580,2826,1593.492
KLVX20210610-6,KLVX20210610_093554_V06,4,1.318,1.200,35956,9395,1708.256,16303,1056,888.590
KLVX20210610-6,KLVX20210610_093554_V06,6,1.802,1.200,17989,4201,922.625,7352,268,338.744
KLVX20210610-6,KLVX20210610_093554_V06,7,2.417,1.200,17993,3959,677.891,7702,92,107.580
KLVX20210610-6,KLVX20210610_093554_V06,8,3.120,1.200,18006,3794,662.015,7772,42,67.568
KLVX20210610-6,KLVX20210610_093554_V06,9,3.999,1.200,18024,3601,595.598,7457,20,53.884
KLVX20210610-6,KLVX20210610_093554_V06,10,5.098,1.200,18056,3466,599.317,7015,61,34.960
KLVX20210610-6,KLVX20210610_093554_V06,11,6.416,1.200,18100,3266,560.310,6441,79,33.042
KLVX20210610-6,KLVX20210610_093554_V06,12,7.998,1.200,18184,2936,768.886,7587,100,62.074
KLVX20210610-6,KLVX20210610_093554_V06,13,10.020,1.200,18295,2191,436.735,6167,123,35.323
KLVX20210612-1,KLVX20210612_113004_V06,0,0.483,1.200,4164,513,1232.649,677,481,1092.744
KLVX20210612-1,KLVX20210612_113004_V06,2,1.494,1.200,4167,45,767.827,1407,27,457.689
KLVX20210612-1,KLVX20210612_113004_V06,4,2.505,1.200,2089,1,73.801,26,0,44.438
KLVX20210612-1,KLVX20210612_113004_V06,5,3.516,1.200,2093,0,47.693,15,0,32.294
