track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KLWX20160603-2,KLWX20160603_092713_V06,0,0.483,1.200,3672,415,24.592,334,81,24.592
KLWX20160603-2,KLWX20160603_092713_V06,2,0.879,1.200,3670,608,174.192,501,119,34.718
KLWX20160603-2,KLWX20160603_092713_V06,4,1.318,1.200,3666,393,277.480,311,101,51.076
KLWX20160603-2,KLWX20160603_093031_V06,0,0.483,1.200,4898,226,53.263,185,43,30.228
KLWX20160603-2,KLWX20160603_093031_V06,2,0.879,1.200,4896,430,414.031,377,76,140.294
KLWX20160603-2,KLWX20160603_093031_V06,4,1.318,1.200,4898,169,273.318,141,41,108.327
KLWX20160603-6,KLWX20160603_103932_V06,0,0.483,1.200,1226,416,4.118,338,78,4.118
KLWX20160603-6,KLWX20160603_103932_V06,2,0.879,1.200,1230,656,2.951,546,110,2.951
KLWX20160603-6,KLWX20160603_104250_V06,0,0.483,1.200,1961,467,7.577,362,105,7.577
KLWX20160603-6,KLWX20160603_104250_V06,2,0.879,1.200,1960,820,5.844,676,144,5.844
KLWX20160603-6,KLWX20160603_104607_V06,0,0.483,1.200,1586,382,6.083,299,83,6.083
KLWX20160603-6,KLWX20160603_104607_V06,2,0.879,1.200,1588,645,4.832,529,116,4.832
KLWX20160605-2,KLWX20160605_084721_V06,0,0.483,1.200,456,144,309.584,151,28,64.635
KLWX20160605-2,KLWX20160605_084721_V06,2,0.879,1.200,457,172,167.671,175,18,20.686
KLWX20160605-2,KLWX20160605_084721_V06,4,1.318,1.200,455,155,199.582,121,52,80.389
KLWX20160605-2,KLWX20160605_084721_V06,6,1.802,1.200,241,35,66.053,20,16,48.873
KLWX20160605-14,KLWX20160605_103453_V06,0,0.483,1.200,1511,455,205.946,204,407,168.761
KLWX20160605-14,KLWX20160605_103453_V06,2,0.879,1.200,1516,323,270.419,284,279,219.379
KLWX20160605-14,KLWX20160605_103453_V06,4,1.318,1.200,1510,256,317.981,416,195,244.082
KLWX20160605-14,KLWX20160605_103453_V06,6,1.802,1.200,751,92,272.766,196,64,198.091
KLWX20160605-14,KLWX20160605_103453_V06,7,2.417,1.200,757,3,32.098,40,1,20.924
KLWX20160605-14,KLWX20160605_103453_V06,8,3.120,1.200,754,0,0.377,0,0,0.377
KLWX20160605-14,KLWX20160605_103453_V06,9,3.999,1.200,756,0,0.379,0,0,0.379
KLWX20160605-14,KLWX20160605_103453_V06,10,5.098,1.200,756,0,0.379,0,0,0.379
KLWX20160605-14,KLWX20160605_103453_V06,11,6.416,1.200,763,0,0.385,0,0,0.385
KLWX20160605-15,KLWX20160605_103833_V06,0,0.483,1.200,4094,179,49.034,155,25,37.818
KLWX20160605-15,KLWX20160605_103833_V06,2,0.879,1.200,4102,533,185.543,450,94,61.498
KLWX20160605-15,KLWX20160605_103833_V06,4,1.318,1.200,4113,606,343.514,526,97,146.247
KLWX20160608-1,KLWX20160608_085440_V06,0,0.483,1.200,124,89,9.529,20,72,9.112
KLWX20160608-1,KLWX20160608_085440_V06,2,1.494,1.200,125,0,0.043,0,0,0.043
KLWX20160608-1,KLWX20160608_085440_V06,4,2.505,1.200,61,0,0.042,0,0,0.042
KLWX20160608-1,KLWX20160608_085440_V06,5,3.516,1.200,61,0,0.042,0,0,0.042
KLWX20160608-1,KLWX20160608_085440_V06,6,4.482,1.200,61,0,0.042,0,0,0.042
KLWX20160612-1,KLWX20160612_090450_V06,0,0.483,1.200,37,15,5.274,7,9,3.350
KLWX20160612-1,KLWX20160612_090450_V06,2,1.450,1.200,36,3,10.585,0,3,10.585
KLWX20160612-1,KLWX20160612_090450_V06,4,2.417,1.200,19,0,0.041,0,0,0.041
KLWX20160612-1,KLWX20160612_090450_V06,5,3.384,1.200,19,0,0.041,0,0,0.041
KLWX20160613-1,KLWX20160613_085456_V06,0,0.483,1.200,1055,210,120.053,88,188,94.429
KLWX20160613-1,KLWX20160613_085456_V06,2,1.494,1.200,1061,0,0.469,0,0,0.469
KLWX20160613-1,KLWX20160613_085456_V06,4,2.505,1.200,530,0,0.469,0,0,0.469
KLWX20160613-1,KLWX20160613_085456_V06,5,3.516,1.200,529,0,0.470,0,0,0.470
KLWX20160613-1,KLWX20160613_085456_V06,6,4.482,1.200,527,0,0.469,0,0,0.469
KLWX20160614-5,KLWX20160614_095708_V06,0,0.483,1.200,44,39,9.683,0,39,9.683
KLWX20160614-5,KLWX20160614_095708_V06,2,1.494,1.200,44,0,0.054,0,0,0.054
KLWX20160614-5,KLWX20160614_095708_V06,4,2.505,1.200,22,0,0.054,0,0,0.054
KLWX20160614-5,KLWX20160614_100710_V06,0,0.483,1.200,278,123,171.911,12,121,149.520
KLWX20160614-5,KLWX20160614_100710_V06,2,1.494,1.200,277,0,0.338,0,0,0.338
KLWX20160614-5,KLWX20160614_100710_V06,4,2.505,1.200,141,0,0.344,0,0,0.344
KLWX20160614-5,KLWX20160614_101712_V06,0,0.483,1.200,420,108,187.671,20,103,154.796
KLWX20160614-5,KLWX20160614_101712_V06,2,1.494,1.200,420,0,0.522,0,0,0.522
KLWX20160614-5,KLWX20160614_101712_V06,4,2.505,1.200,210,0,0.522,0,0,0.522
KLWX20160614-3,KLWX20160614_094708_V06,0,0.483,1.200,618,260,223.482,12,254,212.170
KLWX20160614-3,KLWX20160614_094708_V06,2,1.494,1.200,619,0,0.831,0,0,0.831
KLWX20160614-3,KLWX20160614_094708_V06,4,2.505,1.200,308,0,0.828,0,0,0.828
KLWX20160614-3,KLWX20160614_095708_V06,0,0.483,1.200,2218,712,775.149,29,705,740.829
KLWX20160614-3,KLWX20160614_095708_V06,2,1.494,1.200,2222,0,2.964,0,0,2.964
KLWX20160614-3,KLWX20160614_095708_V06,4,2.505,1.200,1107,6,10.303,0,6,10.303
KLWX20160614-3,KLWX20160614_100710_V06,0,0.483,1.200,900,548,440.209,7,547,428.529
KLWX20160614-3,KLWX20160614_100710_V06,2,1.494,1.200,899,0,12.148,4,0,1.201
KLWX20160614-3,KLWX20160614_100710_V06,4,2.505,1.200,451,0,1.212,0,0,1.212
KLWX20160614-3,KLWX20160614_101712_V06,0,0.483,1.200,3628,597,1071.942,75,581,946.992
KLWX20160614-3,KLWX20160614_101712_V06,2,1.494,1.200,3633,0,9.254,1,0,6.403
KLWX20160614-3,KLWX20160614_101712_V06,4,2.505,1.200,1820,0,4.809,0,0,4.809
KLWX20160614-1,KLWX20160614_085450_V06,0,0.483,1.200,67,2,19.872,17,2,15.531
KLWX20160614-1,KLWX20160614_085450_V06,2,1.494,1.200,66,0,0.037,0,0,0.037
KLWX20160614-1,KLWX20160614_085450_V06,4,2.505,1.200,33,0,0.037,0,0,0.037
KLWX20160614-1,KLWX20160614_085450_V06,5,3.516,1.200,33,0,0.037,0,0,0.037
KLWX20160614-1,KLWX20160614_085450_V06,6,4.482,1.200,33,0,0.037,0,0,0.037
KLWX20160614-4,KLWX20160614_094708_V06,0,0.483,1.200,11651,416,2663.754,1663,278,1778.697
KLWX20160614-4,KLWX20160614_094708_V06,2,1.494,1.200,11656,0,27.361,26,0,18.053
KLWX20160614-4,KLWX20160614_094708_V06,4,2.505,1.200,5844,0,8.722,0,0,8.722
