track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMXX20210602-1,KMXX20210602_095217_V06,0,0.483,1.200,6632,611,1961.168,386,282,1138.015
KMXX20210602-1,KMXX20210602_095217_V06,2,0.879,1.200,6636,996,2759.009,667,414,1239.320
KMXX20210602-2,KMXX20210602_100314_V06,0,0.483,1.200,13787,902,2937.075,1474,668,1905.690
KMXX20210602-2,KMXX20210602_100314_V06,2,0.879,1.200,13791,125,995.643,880,51,589.493
KMXX20210602-2,KMXX20210602_100314_V06,4,1.318,1.200,13786,61,495.351,755,39,300.442
KMXX20210602-2,KMXX20210602_100314_V06,8,1.802,1.200,6893,0,65.332,38,0,40.192
KMXX20210602-2,KMXX20210602_100314_V06,9,2.417,1.200,6899,0,55.222,20,0,42.894
KMXX20210602-2,KMXX20210602_100314_V06,10,3.120,1.200,6907,0,28.982,19,0,18.599
KMXX20210602-2,KMXX20210602_100314_V06,11,3.999,1.200,6909,3,75.393,35,2,44.910
KMXX20210604-1,KMXX20210604_103650_V06,0,0.483,1.200,4611,121,821.922,113,47,369.037
KMXX20210604-1,KMXX20210604_103650_V06,2,0.879,1.200,4609,7,94.431,3,5,83.123
KMXX20210604-1,KMXX20210604_103650_V06,4,1.318,1.200,4614,0,20.939,0,0,20.939
KMXX20210607-2,KMXX20210607_094251_V06,0,0.483,1.200,1497,591,1200.785,646,63,299.208
KMXX20210607-2,KMXX20210607_094251_V06,2,0.879,1.200,1505,816,948.135,816,98,200.455
KMXX20210607-2,KMXX20210607_094251_V06,4,1.318,1.200,1503,1100,885.390,871,310,255.743
KMXX20210607-2,KMXX20210607_094251_V06,6,1.802,1.200,751,631,69.268,212,420,52.870
KMXX20210607-6,KMXX20210607_095258_V06,0,0.483,1.200,31579,12926,3053.762,14030,194,639.453
KMXX20210607-6,KMXX20210607_095258_V06,2,0.879,1.200,31588,12893,2887.520,13789,187,525.189
KMXX20210607-6,KMXX20210607_095258_V06,4,1.318,1.200,31593,12585,3242.366,12919,675,499.119
KMXX20210607-6,KMXX20210607_095258_V06,6,1.802,1.200,15795,6098,1060.603,5443,768,383.033
KMXX20210607-6,KMXX20210607_095258_V06,7,2.417,1.200,15802,6095,1358.264,5479,753,561.967
KMXX20210607-6,KMXX20210607_095258_V06,8,3.120,1.200,15814,6533,3040.057,6268,538,1081.856
KMXX20210609-1,KMXX20210609_101137_V06,0,0.483,1.200,737,187,495.651,93,142,389.529
KMXX20210609-1,KMXX20210609_101137_V06,2,0.879,1.200,735,18,207.746,24,17,143.692
KMXX20210609-1,KMXX20210609_101137_V06,4,1.318,1.200,737,0,1.214,0,0,1.214
KMXX20210609-1,KMXX20210609_101137_V06,8,1.802,1.200,365,0,1.201,0,0,1.201
KMXX20210609-1,KMXX20210609_101137_V06,9,2.417,1.200,368,0,1.212,0,0,1.212
KMXX20210611-10,KMXX20210611_093818_V06,0,0.483,1.200,86,4,68.895,47,0,20.675
KMXX20210611-10,KMXX20210611_093818_V06,2,0.879,1.200,86,0,18.585,18,0,5.711
KMXX20210611-10,KMXX20210611_093818_V06,4,1.318,1.200,88,0,0.080,0,0,0.080
KMXX20210611-10,KMXX20210611_093818_V06,6,1.802,1.200,43,0,0.078,0,0,0.078
KMXX20210611-10,KMXX20210611_093818_V06,7,2.417,1.200,42,0,0.077,0,0,0.077
KMXX20210611-10,KMXX20210611_093818_V06,8,3.120,1.200,43,0,0.079,0,0,0.079
KMXX20210611-10,KMXX20210611_093818_V06,11,3.999,1.200,45,0,0.082,0,0,0.082
KMXX20210611-10,KMXX20210611_094341_V06,0,0.483,1.200,1537,10,240.663,184,1,49.880
KMXX20210611-10,KMXX20210611_094341_V06,2,0.879,1.200,1537,0,62.669,56,0,14.896
KMXX20210611-10,KMXX20210611_094341_V06,4,1.318,1.200,1538,0,3.355,0,0,3.355
KMXX20210611-10,KMXX20210611_094341_V06,6,1.802,1.200,772,0,1.447,0,0,1.447
KMXX20210611-10,KMXX20210611_094341_V06,7,2.417,1.200,770,0,1.444,0,0,1.444
KMXX20210611-10,KMXX20210611_094341_V06,8,3.120,1.200,773,0,1.452,0,0,1.452
KMXX20210611-10,KMXX20210611_094341_V06,11,3.999,1.200,771,0,1.452,0,0,1.452
KMXX20210611-24,KMXX20210611_104522_V06,0,0.483,1.200,3668,548,1359.476,974,155,820.081
KMXX20210611-24,KMXX20210611_104522_V06,2,0.879,1.200,3667,297,195.551,446,11,93.927
KMXX20210611-24,KMXX20210611_104522_V06,4,1.318,1.200,3665,273,84.986,387,6,23.912
KMXX20210611-24,KMXX20210611_104522_V06,6,1.802,1.200,1836,125,52.451,144,3,12.092
KMXX20210611-24,KMXX20210611_104522_V06,7,2.417,1.200,1837,115,45.676,139,0,4.699
KMXX20210611-24,KMXX20210611_104522_V06,8,3.120,1.200,1836,97,54.840,118,1,4.836
KMXX20210611-24,KMXX20210611_104522_V06,11,3.999,1.200,1841,68,56.269,88,1,15.967
KMXX20210611-24,KMXX20210611_105046_V06,0,0.483,1.200,8151,852,2463.288,1839,262,1489.791
KMXX20210611-24,KMXX20210611_105046_V06,2,0.879,1.200,8147,397,415.747,858,25,217.108
KMXX20210611-24,KMXX20210611_105046_V06,4,1.318,1.200,8159,361,162.794,616,16,41.012
KMXX20210611-24,KMXX20210611_105046_V06,6,1.802,1.200,4079,164,132.370,225,4,32.929
KMXX20210611-24,KMXX20210611_105046_V06,7,2.417,1.200,4079,161,84.406,192,1,34.101
KMXX20210611-24,KMXX20210611_105046_V06,8,3.120,1.200,4081,165,57.871,188,2,13.729
KMXX20210611-24,KMXX20210611_105046_V06,11,3.999,1.200,4092,151,73.745,180,1,15.207
KMXX20210611-24,KMXX20210611_110126_V06,0,0.483,1.200,4766,447,1206.171,1052,120,712.799
KMXX20210611-24,KMXX20210611_110126_V06,2,0.879,1.200,4761,245,219.283,514,8,91.362
KMXX20210611-24,KMXX20210611_110126_V06,4,1.318,1.200,4759,219,70.595,366,2,14.784
KMXX20210611-24,KMXX20210611_110126_V06,6,1.802,1.200,2380,104,42.747,116,3,15.251
KMXX20210611-24,KMXX20210611_110126_V06,7,2.417,1.200,2381,108,47.303,132,0,16.842
KMXX20210611-24,KMXX20210611_110126_V06,8,3.120,1.200,2385,106,43.516,126,0,6.678
KMXX20210611-24,KMXX20210611_110126_V06,11,3.999,1.200,2385,99,52.829,121,0,7.113
KMXX20210612-18,KMXX20210612_102638_V06,0,0.483,1.200,7549,6025,195.950,2743,3362,181.500
KMXX20210612-18,KMXX20210612_102638_V06,2,0.879,1.200,7549,5062,270.842,3168,2250,216.079
KMXX20210612-18,KMXX20210612_102638_V06,4,1.318,1.200,7550,4278,255.752,3875,1262,155.191
KMXX20210612-18,KMXX20210612_102638_V06,6,1.802,1.200,3772,1845,163.689,2095,304,61.453
KMXX20210612-18,KMXX20210612_102638_V06,7,2.417,1.200,3775,1652,138.828,2284,83,26.875
KMXX20210612-18,KMXX20210612_102638_V06,8,3.120,1.200,3780,1531,147.338,2385,61,19.259
KMXX20210612-18,KMXX20210612_102638_V06,11,3.999,1.200,3783,1387,156.680,2380,47,12.065
KMXX20210612-18,KMXX20210612_102638_V06,12,5.098,1.200,3789,1346,150.455,2443,8,10.355
KMXX20210612-18,KMXX20210612_102638_V06,13,6.416,1.200,3793,1312,125.369,2381,31,8.216
KMXX20210612-18,KMXX20210612_102638_V06,14,7.998,1.200,3811,1221,152.973,2868,13,15.850
KMXX20210612-18,KMXX20210612_102638_V06,15,10.020,1.200,3832,974,160.908,2745,10,17.909
KMXX20210612-18,KMXX20210612_102638_V06,16,11.997,1.200,3866,921,124.797,2451,8,12.852
KMXX20210612-18,KMXX20210612_102638_V06,17,14.019,1.200,3894,885,100.931,2082,3,8.629
KMXX20210613-1,KMXX20210613_100259_V06,0,0.483,1.200,2311,916,47.913,240,816,42.594
KMXX20210613-1,KMXX20210613_100259_V06,2,0.879,1.200,2311,780,36.136,140,705,34.466
KMXX20210613-1,KMXX20210613_100259_V06,4,1.318,1.200,2311,768,29.220,166,684,26.989
KMXX20210613-1,KMXX20210613_100259_V06,8,1.802,1.200,1153,232,24.989,253,171,19.112
KMXX20210613-1,KMXX20210613_100259_V06,9,2.417,1.200,1155,100,17.368,302,60,12.124
KMXX20210613-1,KMXX20210613_100259_V06,10,3.120,1.200,1156,23,15.058,360,16,8.641
KMXX20210613-1,KMXX20210613_100259_V06,11,3.999,1.200,1156,7,14.811,501,2,5.244
KMXX20210613-1,KMXX20210613_100259_V06,12,5.098,1.200,1159,0,12.199,477,0,4.408
KMXX20210613-1,KMXX20210613_100259_V06,13,6.416,1.200,1167,3,11.409,525,0,3.483
KMXX20210613-2,KMXX20210613_101117_V06,0,0.483,1.200,761,403,238.072,77,372,207.339
KMXX20210613-2,KMXX20210613_101117_V06,2,0.879,1.200,761,34,127.193,199,33,101.124
KMXX20210613-2,KMXX20210613_101117_V06,4,1.318,1.200,762,2,24.217,147,0,9.376
KMXX20210613-2,KMXX20210613_101117_V06,8,1.802,1.200,380,0,0.279,0,0,0.279
KMXX20210613-2,KMXX20210613_101117_V06,9,2.417,1.200,381,0,1.556,0,0,1.556
KMXX20210613-2,KMXX20210613_101117_V06,10,3.120,1.200,381,0,0.667,0,0,0.667
KMXX20210613-2,KMXX20210613_101117_V06,11,3.999,1.200,381,0,9.662,11,0,6.336
KMXX20210613-2,KMXX20210613_101117_V06,12,5.098,1.200,378,0,0.279,0,0,0.279
KMXX20210613-2,KMXX20210613_101117_V06,13,6.416,1.200,382,0,0.284,0,0,0.284
KMXX20210613-3,KMXX20210613_101936_V06,0,0.483,1.200,1861,314,1441.489,146,266,1118.737
KMXX20210613-3,KMXX20210613_101936_V06,2,0.879,1.200,1863,14,301.143,47,11,196.006
KMXX20210613-3,KMXX20210613_101936_V06,4,1.318,1.200,1866,0,10.868,1,0,5.935
KMXX20210613-3,KMXX20210613_101936_V06,8,1.802,1.200,930,0,3.957,0,0,3.957
KMXX20210613-3,KMXX20210613_101936_V06,9,2.417,1.200,931,0,3.967,0,0,3.967
KMXX20210614-2,KMXX20210614_102330_V06,0,0.483,1.200,2823,445,1050.510,154,315,656.232
KMXX20210614-2,KMXX20210614_102330_V06,2,0.879,1.200,2824,10,103.584,11,3,44.907
KMXX20210614-2,KMXX20210614_102810_V06,0,0.483,1.200,4032,927,2333.881,308,695,1282.679
KMXX20210614-2,KMXX20210614_102810_V06,2,0.879,1.200,4035,3,94.907,7,1,20.896
KMXX20210614-2,KMXX20210614_103250_V06,0,0.483,1.200,5588,1684,4003.109,606,1209,2172.536
KMXX20210614-2,KMXX20210614_103250_V06,2,0.879,1.200,5592,166,868.377,117,86,371.656
KMXX20210614-2,KMXX20210614_103729_V06,0,0.483,1.200,8036,2581,5840.842,913,1850,3447.123
KMXX20210614-2,KMXX20210614_103729_V06,2,0.879,1.200,8037,246,1375.248,171,134,595.969
KMXX20210614-1,KMXX20210614_100048_V06,0,0.483,1.200,6911,1047,1830.427,1170,901,1185.429
KMXX20210614-1,KMXX20210614_100048_V06,2,0.879,1.200,6909,112,1365.675,1626,55,714.137
KMXX20210614-1,KMXX20210614_100048_V06,4,1.318,1.200,6912,64,1097.225,1848,29,537.624
KMXX20210614-1,KMXX20210614_100048_V06,6,1.802,1.200,3457,1,220.301,95,1,131.562
KMXX20210614-1,KMXX20210614_100048_V06,7,2.417,1.200,3456,0,212.197,125,0,107.557
