track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KOKX20180607-1,KOKX20180607_093235_V06,0,0.483,1.200,59,9,11.508,5,6,11.251
KOKX20180607-1,KOKX20180607_093235_V06,2,1.494,1.200,59,0,0.034,0,0,0.034
KOKX20180607-1,KOKX20180607_093235_V06,4,2.505,1.200,30,0,0.034,0,0,0.034
KOKX20180607-1,KOKX20180607_093235_V06,5,3.516,1.200,30,0,0.034,0,0,0.034
KOKX20180607-1,KOKX20180607_093235_V06,6,4.482,1.200,29,0,0.033,0,0,0.033
KOKX20180609-1,KOKX20180609_082957_V06,0,0.483,1.200,272,20,344.211,29,16,238.115
KOKX20180609-1,KOKX20180609_082957_V06,2,1.494,1.200,268,0,0.576,0,0,0.576
KOKX20180609-3,KOKX20180609_091854_V06,0,0.483,1.200,1581,680,961.964,103,658,871.618
KOKX20180609-3,KOKX20180609_091854_V06,2,1.494,1.200,1581,6,25.204,8,5,12.102
KOKX20180609-3,KOKX20180609_091854_V06,4,2.505,1.200,789,0,28.239,3,0,18.447
KOKX20180610-5,KOKX20180610_084159_V06,0,0.483,1.200,4981,3764,3752.303,3540,478,983.265
KOKX20180612-3,KOKX20180612_093350_V06,0,0.483,1.200,1151,254,521.906,9,252,507.331
KOKX20180612-3,KOKX20180612_093350_V06,2,1.494,1.200,1153,0,1.775,0,0,1.775
KOKX20180612-3,KOKX20180612_093350_V06,4,2.505,1.200,574,0,1.769,0,0,1.769
KOKX20180612-3,KOKX20180612_094336_V06,0,0.483,1.200,3254,370,1032.707,26,365,986.831
KOKX20180612-3,KOKX20180612_094336_V06,2,1.494,1.200,3256,0,10.353,2,0,5.033
KOKX20180612-3,KOKX20180612_094336_V06,4,2.505,1.200,1631,0,5.053,0,0,5.053
KOKX20180612-5,KOKX20180612_100309_V06,0,0.483,1.200,2059,441,983.677,8,440,945.259
KOKX20180612-5,KOKX20180612_100309_V06,2,1.494,1.200,2058,0,5.445,0,0,5.445
KOKX20180612-5,KOKX20180612_101256_V06,0,0.483,1.200,6177,326,1492.466,22,316,1431.151
KOKX20180612-5,KOKX20180612_101256_V06,2,1.494,1.200,6174,0,23.577,2,0,16.590
KOKX20180612-1,KOKX20180612_083509_V06,0,0.483,1.200,4061,197,1818.205,22,188,1731.804
KOKX20180612-1,KOKX20180612_083509_V06,2,1.494,1.200,4070,0,12.585,0,0,12.585
KOKX20180612-2,KOKX20180612_093350_V06,0,0.483,1.200,669,148,194.236,10,145,116.786
KOKX20180612-2,KOKX20180612_093350_V06,2,1.494,1.200,669,12,196.556,13,6,134.890
KOKX20180613-1,KOKX20180613_093418_V06,0,0.483,1.200,335,134,49.616,50,116,32.409
KOKX20180613-1,KOKX20180613_093418_V06,2,1.494,1.200,341,0,1.368,5,0,0.894
KOKX20180613-1,KOKX20180613_093418_V06,4,2.505,1.200,168,0,0.265,0,0,0.265
KOKX20180613-1,KOKX20180613_093418_V06,5,3.516,1.200,168,0,0.125,0,0,0.125
KOKX20180613-1,KOKX20180613_093418_V06,6,4.482,1.200,171,0,0.127,0,0,0.127
KOKX20180614-4,KOKX20180614_094202_V06,0,0.483,1.200,35,21,81.725,0,21,81.725
KOKX20180614-4,KOKX20180614_094202_V06,2,1.494,1.200,36,0,0.112,0,0,0.112
KOKX20180616-2,KOKX20180616_090940_V06,0,0.483,1.200,1786,896,609.933,44,871,581.630
KOKX20180616-2,KOKX20180616_090940_V06,2,1.494,1.200,1791,12,139.344,53,2,79.243
KOKX20180616-2,KOKX20180616_090940_V06,4,2.505,1.200,898,0,27.850,5,0,18.364
KOKX20180616-2,KOKX20180616_090940_V06,5,3.516,1.200,894,0,5.270,0,0,5.270
KOKX20180616-2,KOKX20180616_091926_V06,0,0.483,1.200,4180,1849,1322.781,168,1753,1204.896
KOKX20180616-2,KOKX20180616_091926_V06,2,1.494,1.200,4182,28,239.982,82,14,163.456
KOKX20180616-2,KOKX20180616_091926_V06,4,2.505,1.200,2096,13,102.811,18,8,72.418
KOKX20180616-2,KOKX20180616_091926_V06,5,3.516,1.200,2095,6,70.963,5,4,62.221
KOKX20180616-2,KOKX20180616_092913_V06,0,0.483,1.200,5604,2121,2168.281,263,2024,1944.272
KOKX20180616-2,KOKX20180616_092913_V06,2,1.494,1.200,5609,37,581.415,236,15,326.742
KOKX20180616-2,KOKX20180616_092913_V06,4,2.505,1.200,2808,12,147.412,30,1,101.796
KOKX20180616-2,KOKX20180616_092913_V06,5,3.516,1.200,2808,0,73.118,14,0,57.696
KOKX20180616-2,KOKX20180616_093859_V06,0,0.483,1.200,8149,3082,2661.946,308,2956,2447.543
KOKX20180616-2,KOKX20180616_093859_V06,2,1.494,1.200,8148,21,411.722,214,9,214.796
KOKX20180616-2,KOKX20180616_093859_V06,4,2.505,1.200,4072,7,214.719,40,0,157.116
KOKX20180616-2,KOKX20180616_093859_V06,5,3.516,1.200,4079,4,107.362,19,0,62.561
KOKX20180616-1,KOKX20180616_084019_V06,0,0.483,1.200,44,34,12.918,7,29,8.023
KOKX20180616-1,KOKX20180616_084019_V06,2,1.494,1.200,43,0,12.035,1,0,8.817
KOKX20180616-4,KOKX20180616_091926_V06,0,0.483,1.200,1616,309,714.267,52,287,572.129
KOKX20180616-4,KOKX20180616_091926_V06,2,1.494,1.200,1615,7,186.634,28,4,96.614
KOKX20180616-6,KOKX20180616_102305_V06,0,0.483,1.200,476,163,221.888,19,153,145.259
KOKX20180616-6,KOKX20180616_102305_V06,2,0.879,1.200,476,41,258.793,21,29,187.374
KOKX20180616-6,KOKX20180616_102305_V06,6,1.318,1.200,479,0,1.464,0,0,1.464
KOKX20180616-6,KOKX20180616_102305_V06,8,1.802,1.200,243,0,1.487,0,0,1.487
KOKX20180616-7,KOKX20180616_103308_V06,0,0.483,1.200,4340,1161,1445.343,342,1018,1026.047
KOKX20180616-7,KOKX20180616_103308_V06,2,0.879,1.200,4343,404,1491.670,251,342,1120.654
KOKX20180616-7,KOKX20180616_103308_V06,6,1.318,1.200,4345,44,307.313,117,17,151.728
KOKX20180616-7,KOKX20180616_103308_V06,8,1.802,1.200,2177,6,19.709,4,2,19.709
KOKX20180616-7,KOKX20180616_103308_V06,9,2.417,1.200,2175,0,5.499,0,0,5.499
