track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KRLX20220602-5,KRLX20220602_094129_V06,0,0.483,1.200,7976,3128,1430.678,3040,1227,1110.544
KRLX20220602-5,KRLX20220602_094129_V06,2,0.879,1.200,7981,2385,1098.764,3497,367,759.187
KRLX20220602-5,KRLX20220602_094129_V06,4,1.318,1.200,7982,2029,605.206,3730,96,279.399
KRLX20220602-5,KRLX20220602_094129_V06,6,1.802,1.200,3985,938,327.141,1239,30,120.854
KRLX20220602-5,KRLX20220602_094129_V06,7,2.417,1.200,3989,890,367.429,1261,32,58.267
KRLX20220602-5,KRLX20220602_094129_V06,10,3.120,1.200,3994,875,432.131,1327,9,42.594
KRLX20220602-5,KRLX20220602_094129_V06,11,3.999,1.200,4001,932,345.702,1278,19,37.092
KRLX20220602-5,KRLX20220602_094129_V06,12,5.098,1.200,4004,1211,410.314,1630,10,18.007
KRLX20220602-5,KRLX20220602_094129_V06,13,6.416,1.200,4014,1198,553.089,1715,49,43.993
KRLX20220602-5,KRLX20220602_094609_V06,0,0.483,1.200,13215,5311,1951.637,5363,1814,1505.581
KRLX20220602-5,KRLX20220602_094609_V06,2,0.879,1.200,13215,4906,1361.933,6549,657,937.360
KRLX20220602-5,KRLX20220602_094609_V06,4,1.318,1.200,13216,4659,802.154,7103,228,374.482
KRLX20220602-5,KRLX20220602_094609_V06,6,1.802,1.200,6609,2257,494.463,2815,66,133.289
KRLX20220602-5,KRLX20220602_094609_V06,9,2.417,1.200,6607,2134,570.438,2890,41,83.275
KRLX20220602-5,KRLX20220602_094609_V06,10,3.120,1.200,6613,2107,849.931,3217,37,64.956
KRLX20220602-5,KRLX20220602_094609_V06,11,3.999,1.200,6624,2161,699.220,2935,89,62.226
KRLX20220602-5,KRLX20220602_094609_V06,12,5.098,1.200,6637,2226,692.275,2925,26,78.063
KRLX20220602-5,KRLX20220602_094609_V06,13,6.416,1.200,6657,2202,756.567,2956,70,62.463
KRLX20220602-5,KRLX20220602_094609_V06,14,7.998,1.200,6675,1364,760.246,2660,75,54.181
KRLX20220602-5,KRLX20220602_095132_V06,0,0.483,1.200,16545,5903,2248.700,6617,1673,1718.001
KRLX20220602-5,KRLX20220602_095132_V06,2,0.879,1.200,16539,5917,1848.249,7872,926,1295.226
KRLX20220602-5,KRLX20220602_095132_V06,4,1.318,1.200,16540,5904,1098.961,9354,329,499.216
KRLX20220602-5,KRLX20220602_095132_V06,6,1.802,1.200,8277,2854,618.476,3830,72,157.854
KRLX20220602-5,KRLX20220602_095132_V06,7,2.417,1.200,8279,2754,607.121,3845,53,109.105
KRLX20220602-5,KRLX20220602_095132_V06,10,3.120,1.200,8285,2664,824.390,4247,39,90.937
KRLX20220602-5,KRLX20220602_095132_V06,11,3.999,1.200,8291,2619,952.700,4068,166,55.059
KRLX20220602-5,KRLX20220602_095132_V06,12,5.098,1.200,8305,2498,734.196,3519,80,64.575
KRLX20220602-5,KRLX20220602_095132_V06,13,6.416,1.200,8334,2380,596.125,3307,19,45.662
KRLX20220602-5,KRLX20220602_095132_V06,14,7.998,1.200,8366,1946,753.617,3616,59,69.061
KRLX20220602-11,KRLX20220602_100617_V06,0,0.483,1.200,4309,672,1324.600,621,135,614.170
KRLX20220602-11,KRLX20220602_100617_V06,2,0.879,1.200,4311,555,851.252,547,78,228.402
KRLX20220602-11,KRLX20220602_100617_V06,4,1.318,1.200,4314,565,841.768,498,145,211.796
KRLX20220602-11,KRLX20220602_100617_V06,6,1.802,1.200,2151,126,12.115,6,120,12.115
KRLX20220602-11,KRLX20220602_101110_V06,0,0.483,1.200,1501,482,234.097,456,46,42.647
KRLX20220602-11,KRLX20220602_101110_V06,2,0.879,1.200,1497,481,298.832,439,66,78.765
KRLX20220602-11,KRLX20220602_101110_V06,4,1.318,1.200,1504,440,412.637,399,74,93.423
KRLX20220602-18,KRLX20220602_103232_V06,0,0.483,1.200,1700,295,169.178,279,25,36.827
KRLX20220602-18,KRLX20220602_103232_V06,2,0.879,1.200,1695,296,240.327,277,34,21.878
KRLX20220602-18,KRLX20220602_103232_V06,4,1.318,1.200,1694,162,335.001,152,29,66.523
