track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KTBW20170601-1,KTBW20170601_100524_V06,0,0.483,1.200,420,384,23.665,6,380,22.579
KTBW20170601-1,KTBW20170601_100524_V06,2,0.879,1.200,420,225,100.033,13,222,92.867
KTBW20170601-1,KTBW20170601_100524_V06,4,1.318,1.200,420,2,30.240,26,1,22.533
KTBW20170601-1,KTBW20170601_100524_V06,8,1.802,1.200,207,0,1.789,2,0,0.854
KTBW20170601-1,KTBW20170601_100524_V06,9,2.417,1.200,211,0,8.013,0,0,8.013
KTBW20170601-1,KTBW20170601_100524_V06,10,3.120,1.200,208,0,7.031,1,0,5.998
KTBW20170601-1,KTBW20170601_100524_V06,11,3.999,1.200,208,0,2.872,1,0,2.435
KTBW20170601-1,KTBW20170601_100524_V06,12,5.098,1.200,209,0,1.541,0,0,1.541
KTBW20170601-3,KTBW20170601_102227_V06,0,0.483,1.200,1530,120,556.935,45,88,431.340
KTBW20170601-3,KTBW20170601_102227_V06,2,0.879,1.200,1526,0,24.648,1,0,14.143
KTBW20170601-3,KTBW20170601_102227_V06,4,1.318,1.200,1531,0,4.763,0,0,4.763
KTBW20170601-3,KTBW20170601_102227_V06,8,1.802,1.200,759,0,4.724,0,0,4.724
KTBW20170602-5,KTBW20170602_100147_V06,0,0.483,1.200,6370,2581,1093.239,1725,1836,854.491
KTBW20170602-5,KTBW20170602_100147_V06,2,0.879,1.200,6373,958,829.424,1943,361,537.693
KTBW20170602-5,KTBW20170602_100147_V06,4,1.318,1.200,6379,657,415.154,1769,65,165.372
KTBW20170602-5,KTBW20170602_100147_V06,6,1.802,1.200,3189,237,222.996,494,5,32.431
KTBW20170602-5,KTBW20170602_100147_V06,7,2.417,1.200,3189,213,213.348,466,8,26.514
KTBW20170602-5,KTBW20170602_100147_V06,10,3.120,1.200,3194,177,193.457,407,4,15.793
KTBW20170602-5,KTBW20170602_100147_V06,11,3.999,1.200,3197,142,122.807,271,0,13.768
KTBW20170602-5,KTBW20170602_100147_V06,12,5.098,1.200,3200,260,146.595,384,57,37.636
KTBW20170602-5,KTBW20170602_100147_V06,13,6.416,1.200,3205,801,295.224,1126,13,34.689
KTBW20170603-1,KTBW20170603_102656_V06,0,0.483,1.200,1299,34,201.925,22,22,127.491
KTBW20170603-1,KTBW20170603_102656_V06,2,0.879,1.200,1314,0,3.722,0,0,3.722
KTBW20170603-1,KTBW20170603_102656_V06,4,1.318,1.200,1316,0,3.729,0,0,3.729
KTBW20170603-1,KTBW20170603_102656_V06,6,1.802,1.200,655,0,3.712,0,0,3.712
KTBW20170603-1,KTBW20170603_103216_V06,0,0.483,1.200,3182,142,718.398,79,101,429.964
KTBW20170603-1,KTBW20170603_103216_V06,2,0.879,1.200,3170,0,8.992,0,0,8.992
KTBW20170603-1,KTBW20170603_103216_V06,4,1.318,1.200,3177,7,20.138,6,2,8.982
KTBW20170603-1,KTBW20170603_103216_V06,6,1.802,1.200,1593,0,9.055,0,0,9.055
KTBW20170603-1,KTBW20170603_103743_V06,0,0.483,1.200,5420,255,1441.845,138,184,942.256
KTBW20170603-1,KTBW20170603_103743_V06,2,0.879,1.200,5418,13,132.808,6,10,116.068
KTBW20170603-1,KTBW20170603_103743_V06,4,1.318,1.200,5428,0,15.733,0,0,15.733
KTBW20170603-1,KTBW20170603_103743_V06,6,1.802,1.200,2654,0,15.395,0,0,15.395
KTBW20170604-10,KTBW20170604_102838_V06,0,0.483,1.200,2227,203,1010.807,75,168,705.696
KTBW20170604-10,KTBW20170604_102838_V06,2,0.879,1.200,2220,0,6.465,0,0,6.465
KTBW20170604-10,KTBW20170604_102838_V06,4,1.318,1.200,2223,0,6.480,0,0,6.480
KTBW20170604-10,KTBW20170604_102838_V06,6,1.802,1.200,1109,0,6.461,0,0,6.461
KTBW20170604-10,KTBW20170604_103305_V06,0,0.483,1.200,3856,398,1420.756,156,295,997.287
KTBW20170604-10,KTBW20170604_103305_V06,2,0.879,1.200,3856,0,85.215,4,0,61.787
KTBW20170604-10,KTBW20170604_103305_V06,4,1.318,1.200,3864,0,11.278,0,0,11.278
KTBW20170604-10,KTBW20170604_103305_V06,6,1.802,1.200,1928,0,11.253,0,0,11.253
KTBW20170604-10,KTBW20170604_103814_V06,0,0.483,1.200,4394,342,1635.656,117,267,1318.777
KTBW20170604-10,KTBW20170604_103814_V06,2,0.879,1.200,4387,14,216.700,11,11,163.075
KTBW20170604-10,KTBW20170604_103814_V06,4,1.318,1.200,4383,0,12.810,0,0,12.810
KTBW20170604-10,KTBW20170604_103814_V06,6,1.802,1.200,2202,0,12.877,0,0,12.877
KTBW20170604-5,KTBW20170604_100126_V06,0,0.483,1.200,96,84,21.670,18,68,15.771
KTBW20170604-5,KTBW20170604_100126_V06,2,0.879,1.200,98,17,84.712,17,9,49.618
KTBW20170604-5,KTBW20170604_100126_V06,4,1.318,1.200,98,0,0.134,0,0,0.134
KTBW20170604-5,KTBW20170604_100126_V06,6,1.802,1.200,48,0,0.131,0,0,0.131
KTBW20170604-5,KTBW20170604_100126_V06,9,2.417,1.200,48,0,0.132,0,0,0.132
KTBW20170604-5,KTBW20170604_100126_V06,10,3.120,1.200,50,0,0.138,0,0,0.138
KTBW20170604-12,KTBW20170604_105245_V06,0,0.483,1.200,3012,305,1088.874,101,236,817.033
KTBW20170604-12,KTBW20170604_105245_V06,2,0.879,1.200,3011,62,392.369,34,50,226.404
KTBW20170604-12,KTBW20170604_105245_V06,4,1.318,1.200,3016,0,17.579,2,0,8.760
KTBW20170604-12,KTBW20170604_105245_V06,6,1.802,1.200,1499,0,8.712,0,0,8.712
KTBW20170604-13,KTBW20170604_113739_V06,0,0.483,1.200,5628,2624,2999.669,1441,1808,2317.173
KTBW20170604-13,KTBW20170604_113739_V06,2,0.879,1.200,5624,1170,2042.574,1754,537,1349.764
KTBW20170604-13,KTBW20170604_113739_V06,4,1.318,1.200,5628,925,1119.521,1770,212,549.644
KTBW20170604-13,KTBW20170604_113739_V06,6,1.802,1.200,2815,351,866.938,704,47,232.458
KTBW20170604-13,KTBW20170604_113739_V06,7,2.417,1.200,2820,251,610.101,477,31,148.322
KTBW20170604-13,KTBW20170604_113739_V06,8,3.120,1.200,2820,313,960.608,717,6,138.087
KTBW20170604-13,KTBW20170604_113739_V06,11,3.999,1.200,2815,791,1405.363,1208,77,408.363
KTBW20170604-13,KTBW20170604_113739_V06,12,5.098,1.200,2831,886,2310.973,1526,160,670.029
KTBW20170605-8,KTBW20170605_102951_V06,0,0.483,1.200,1678,138,454.349,29,118,376.366
KTBW20170605-8,KTBW20170605_102951_V06,2,0.879,1.200,1683,1,10.412,1,0,10.412
KTBW20170605-8,KTBW20170605_102951_V06,4,1.318,1.200,1679,0,5.211,0,0,5.211
