track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KTLH20210601-1,KTLH20210601_102519_V06,0,0.483,1.200,3447,844,1008.868,638,782,815.663
KTLH20210601-1,KTLH20210601_102519_V06,2,0.879,1.200,3449,323,599.216,864,259,433.171
KTLH20210601-1,KTLH20210601_102519_V06,4,1.318,1.200,3448,57,225.823,698,33,129.178
KTLH20210601-1,KTLH20210601_102519_V06,6,1.802,1.200,1721,0,13.800,27,0,7.593
KTLH20210601-1,KTLH20210601_102519_V06,7,2.417,1.200,1721,0,1.718,0,0,1.718
KTLH20210601-1,KTLH20210601_102519_V06,8,3.120,1.200,1721,0,33.636,49,0,16.557
KTLH20210601-1,KTLH20210601_102519_V06,9,3.999,1.200,1727,0,12.959,44,0,4.751
KTLH20210601-1,KTLH20210601_102519_V06,10,5.098,1.200,1733,0,1.465,0,0,1.465
KTLH20210603-1,KTLH20210603_102757_V06,0,0.483,1.200,1320,89,390.321,117,56,231.569
KTLH20210603-1,KTLH20210603_102757_V06,2,0.879,1.200,1315,6,100.140,33,4,59.684
KTLH20210603-1,KTLH20210603_102757_V06,4,1.318,1.200,1320,0,1.517,0,0,1.517
KTLH20210603-1,KTLH20210603_102757_V06,6,1.802,1.200,660,0,1.520,0,0,1.520
KTLH20210603-1,KTLH20210603_102757_V06,7,2.417,1.200,662,0,1.525,0,0,1.525
KTLH20210603-1,KTLH20210603_102757_V06,8,3.120,1.200,661,0,1.525,0,0,1.525
KTLH20210603-1,KTLH20210603_103133_V06,0,0.483,1.200,2858,174,665.039,222,120,376.341
KTLH20210603-1,KTLH20210603_103133_V06,2,0.879,1.200,2857,41,333.675,112,22,183.597
KTLH20210603-1,KTLH20210603_103133_V06,4,1.318,1.200,2855,0,35.238,10,0,23.246
KTLH20210603-1,KTLH20210603_103133_V06,6,1.802,1.200,1430,0,3.275,0,0,3.275
KTLH20210603-1,KTLH20210603_103133_V06,7,2.417,1.200,1430,0,3.279,0,0,3.279
KTLH20210603-1,KTLH20210603_103133_V06,8,3.120,1.200,1431,0,3.288,0,0,3.288
KTLH20210603-1,KTLH20210603_103510_V06,0,0.483,1.200,4634,274,1258.862,373,171,812.759
KTLH20210603-1,KTLH20210603_103510_V06,2,0.879,1.200,4625,57,511.776,181,33,254.040
KTLH20210603-1,KTLH20210603_103510_V06,4,1.318,1.200,4636,3,73.156,26,2,37.887
KTLH20210603-1,KTLH20210603_103510_V06,6,1.802,1.200,2308,0,5.312,0,0,5.312
KTLH20210603-1,KTLH20210603_103510_V06,7,2.417,1.200,2310,0,5.321,0,0,5.321
KTLH20210603-1,KTLH20210603_103510_V06,8,3.120,1.200,2313,0,5.338,0,0,5.338
KTLH20210603-3,KTLH20210603_110351_V06,0,0.483,1.200,8007,1098,4970.085,761,893,3925.597
KTLH20210603-3,KTLH20210603_110351_V06,2,0.879,1.200,8009,399,3479.859,854,269,2338.383
KTLH20210603-3,KTLH20210603_110351_V06,4,1.318,1.200,8007,154,1667.029,515,104,1184.687
KTLH20210603-3,KTLH20210603_110351_V06,6,1.802,1.200,4006,3,115.290,25,2,60.098
KTLH20210603-3,KTLH20210603_110351_V06,7,2.417,1.200,4003,0,91.967,19,0,60.517
KTLH20210603-3,KTLH20210603_110351_V06,8,3.120,1.200,4004,0,31.323,4,0,23.958
KTLH20210604-1,KTLH20210604_095012_V06,0,0.483,1.200,350,180,123.424,61,160,93.699
KTLH20210604-1,KTLH20210604_095012_V06,2,0.879,1.200,350,109,137.016,87,98,95.515
KTLH20210604-1,KTLH20210604_095012_V06,4,1.318,1.200,351,4,65.701,43,2,44.848
KTLH20210604-1,KTLH20210604_095012_V06,6,1.802,1.200,173,0,0.203,0,0,0.203
KTLH20210604-1,KTLH20210604_095012_V06,7,2.417,1.200,174,0,0.204,0,0,0.204
KTLH20210604-1,KTLH20210604_095012_V06,8,3.120,1.200,172,0,0.202,0,0,0.202
KTLH20210604-1,KTLH20210604_095012_V06,9,3.999,1.200,177,0,0.208,0,0,0.208
KTLH20210604-1,KTLH20210604_095012_V06,10,5.098,1.200,174,0,0.206,0,0,0.206
KTLH20210604-2,KTLH20210604_101822_V06,0,0.483,1.200,667,150,568.678,77,137,496.307
KTLH20210604-2,KTLH20210604_101822_V06,2,0.879,1.200,667,19,188.327,36,16,162.263
KTLH20210604-2,KTLH20210604_101822_V06,4,1.318,1.200,669,0,19.563,33,0,7.970
KTLH20210604-2,KTLH20210604_101822_V06,6,1.802,1.200,337,0,0.766,0,0,0.766
KTLH20210604-2,KTLH20210604_101822_V06,7,2.417,1.200,337,0,6.821,0,0,6.821
KTLH20210604-2,KTLH20210604_101822_V06,8,3.120,1.200,339,0,0.773,0,0,0.773
KTLH20210604-7,KTLH20210604_113301_V06,0,0.483,1.200,14724,1141,15021.530,1434,725,8772.683
KTLH20210604-7,KTLH20210604_113301_V06,2,0.879,1.200,14724,509,4732.329,971,87,1386.418
KTLH20210604-7,KTLH20210604_113301_V06,4,1.318,1.200,14734,1441,5643.015,1757,94,1437.074
KTLH20210604-7,KTLH20210604_113947_V06,0,0.483,1.200,6233,376,4786.710,366,233,3052.731
KTLH20210604-7,KTLH20210604_113947_V06,2,0.879,1.200,6238,23,389.864,36,10,193.933
KTLH20210604-7,KTLH20210604_113947_V06,4,1.318,1.200,6235,2,288.470,21,1,106.507
KTLH20210605-4,KTLH20210605_113123_V06,0,0.483,1.200,12643,557,6485.418,614,317,4090.470
KTLH20210605-4,KTLH20210605_113123_V06,2,0.879,1.200,12643,208,3318.958,306,104,1832.255
KTLH20210605-4,KTLH20210605_113123_V06,4,1.318,1.200,12639,127,1370.318,219,22,410.119
KTLH20210605-4,KTLH20210605_113805_V06,0,0.483,1.200,17662,943,9372.181,1094,516,5484.034
KTLH20210605-4,KTLH20210605_113805_V06,2,0.879,1.200,17668,353,4812.370,552,178,2633.793
