track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KTYX20160602-3,KTYX20160602_085134_V06,0,0.483,1.200,1317,322,712.196,365,97,377.356
KTYX20160602-3,KTYX20160602_085134_V06,4,1.450,1.200,1325,349,348.944,375,56,131.411
KTYX20160602-3,KTYX20160602_085134_V06,8,2.417,1.200,662,61,300.149,83,5,143.270
KTYX20160602-3,KTYX20160602_085134_V06,11,3.384,1.200,659,4,316.403,35,2,173.392
KTYX20160607-7,KTYX20160607_095550_V06,0,0.483,1.200,9330,2405,1811.501,1701,1272,1112.912
KTYX20160607-7,KTYX20160607_095550_V06,4,1.450,1.200,9336,2111,1390.215,1655,952,807.304
KTYX20160607-7,KTYX20160607_095550_V06,8,2.417,1.200,4678,481,1666.117,585,141,953.407
KTYX20160607-7,KTYX20160607_095550_V06,11,3.384,1.200,4678,8,279.835,69,1,153.633
KTYX20160607-7,KTYX20160607_095550_V06,14,4.307,1.200,4686,1,78.028,10,1,66.348
KTYX20160608-7,KTYX20160608_091511_V06,0,0.483,1.200,5595,1310,798.848,1225,139,242.624
KTYX20160608-7,KTYX20160608_091511_V06,4,1.450,1.200,5607,10,221.282,24,1,90.620
KTYX20160608-7,KTYX20160608_092024_V06,0,0.483,1.200,15645,1403,1138.111,1311,184,325.365
KTYX20160608-7,KTYX20160608_092024_V06,4,1.450,1.200,15674,13,183.520,23,2,90.737
KTYX20160608-13,KTYX20160608_095139_V06,0,0.483,1.200,1561,1072,2.517,965,107,2.517
KTYX20160610-1,KTYX20160610_094342_V06,0,0.483,1.200,14486,682,11.523,3857,481,8.653
KTYX20160610-1,KTYX20160610_094342_V06,2,1.494,1.200,14495,52,1.273,2074,29,0.962
KTYX20160610-1,KTYX20160610_094342_V06,4,2.505,1.200,7259,4,1.030,596,4,0.872
KTYX20160610-1,KTYX20160610_094342_V06,5,3.516,1.200,7265,4,0.708,1225,0,0.528
KTYX20160610-1,KTYX20160610_094342_V06,6,4.482,1.200,7277,0,0.750,1466,0,0.550
KTYX20160617-1,KTYX20160617_092021_V06,0,0.483,1.200,12898,15,336.095,936,10,276.309
KTYX20160617-1,KTYX20160617_092021_V06,2,1.494,1.200,12905,0,9.337,55,0,6.662
KTYX20160617-1,KTYX20160617_092021_V06,4,2.505,1.200,6454,0,4.840,0,0,4.840
KTYX20160617-1,KTYX20160617_092021_V06,5,3.516,1.200,6462,0,5.226,1,0,5.200
KTYX20160617-1,KTYX20160617_092021_V06,6,4.482,1.200,6473,0,5.378,4,0,5.270
