track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
7,KAMX20130602_114039_V06,70.268,0.336,240.234,60.045,8.718,-80.713,26.693,4358.999,123643.122,20130602_074039,479188,60815,69888,19017
4,KAMX20130603_102346_V06,-6.493,0.278,325.634,226.426,20.612,-80.285,25.943,10305.866,38955.915,20130603_062346,479188,138015,128894,28484
3,KAMX20130604_100815_V06,-21.909,0.169,321.150,229.676,11.220,-80.308,25.928,5610.111,36717.751,20130604_060815,479215,194978,178735,47539
3,KAMX20130604_101300_V06,-17.159,0.079,320.872,228.288,17.390,-80.309,25.934,8695.084,37343.719,20130604_061300,479185,194214,178218,47619
3,KAMX20130604_101740_V06,-12.492,0.252,320.992,223.740,20.193,-80.308,25.955,10096.658,39548.185,20130604_061740,479204,195152,177489,48350
3,KAMX20130604_102223_V06,-7.776,0.055,324.401,224.499,27.252,-80.291,25.951,13625.792,39672.812,20130604_062223,479188,195896,176365,48144
1,KAMX20130607_100501_V06,-24.961,0.062,322.754,222.508,6.653,-80.299,25.960,3326.443,40381.901,20130607_060501,479184,88560,84588,27646
1,KAMX20130607_100824_V06,-21.578,0.217,322.895,222.332,11.393,-80.299,25.961,5696.527,40486.016,20130607_060824,479203,86794,84707,26683
1,KAMX20130607_101352_V06,-16.111,0.069,330.455,226.957,25.931,-80.261,25.940,12965.622,39568.755,20130607_061352,479199,84586,86799,24221
1,KAMX20130607_101715_V06,-12.728,0.470,337.110,225.831,33.340,-80.228,25.945,16670.152,41467.546,20130607_061715,479191,82017,87538,21895
1,KAMX20130607_102038_V06,-9.345,-1.000,342.483,226.395,41.214,-80.201,25.943,20607.143,42492.511,20130607_062038,479191,77396,85739,19711
1,KAMX20130607_102349_V06,-6.161,0.807,342.723,218.173,42.101,-80.200,25.980,21050.622,46154.438,20130607_062349,479194,76979,85445,20152
1,KAMX20130607_102713_V06,-2.761,0.718,342.049,208.986,44.659,-80.203,26.021,22329.636,50129.047,20130607_062713,479183,73803,82937,19060
1,KAMX20130607_103036_V06,0.622,0.743,342.612,206.594,47.275,-80.200,26.032,23637.630,51333.605,20130607_063036,479189,69384,81006,17665
3,KAMX20130607_102038_V06,-9.345,0.649,335.742,218.549,28.964,-80.235,25.978,14482.155,44474.134,20130607_062038,479191,77396,85739,19711
7,KAMX20130608_095818_V06,-31.658,0.261,249.561,51.677,13.616,-80.667,26.731,6807.949,126696.684,20130608_055818,479187,75265,59367,42174
8,KAMX20130608_103729_V06,7.525,0.145,329.155,205.293,38.657,-80.267,26.038,19328.278,49546.801,20130608_063729,479183,58348,50976,32715
3,KAMX20130609_101359_V06,-15.974,0.456,318.537,228.117,13.963,-80.321,25.935,6981.640,37117.273,20130609_061359,479199,43271,52349,24209
3,KAMX20130609_101821_V06,-11.608,0.574,317.627,227.087,20.852,-80.325,25.940,10425.920,37506.622,20130609_061821,479194,45631,50926,26460
3,KAMX20130609_102906_V06,-0.858,0.056,326.518,204.861,49.239,-80.281,26.040,24619.326,49382.943,20130609_062906,479193,44533,47977,26336
3,KAMX20130609_103325_V06,3.459,0.232,316.526,202.963,48.246,-80.330,26.048,24123.016,49217.230,20130609_063325,479188,42783,47367,24888
3,KAMX20130609_103746_V06,7.809,0.214,305.240,198.152,48.468,-80.387,26.070,24233.846,50991.443,20130609_063746,479187,38271,46151,21052
3,KAMX20130609_104204_V06,12.109,0.114,294.607,190.009,49.057,-80.440,26.107,24528.436,55061.435,20130609_064204,479199,35617,45825,18992
5,KAMX20130610_101131_V06,-18.460,0.068,314.798,225.730,13.655,-80.339,25.946,6827.427,37864.980,20130610_061131,479184,45943,53941,22972
5,KAMX20130610_101554_V06,-14.077,0.725,314.300,226.328,20.171,-80.342,25.943,10085.304,37523.707,20130610_061554,479202,46380,55020,22658
5,KAMX20130610_102014_V06,-9.744,0.711,308.968,223.528,27.051,-80.368,25.956,13525.307,38497.933,20130610_062014,479195,47392,53591,23958
5,KAMX20130610_102435_V06,-5.394,0.609,303.957,218.888,31.319,-80.393,25.977,15659.647,40604.434,20130610_062435,479200,44322,51469,22744
1,KAMX20130611_095815_V06,-31.765,0.133,320.394,227.198,5.614,-80.311,25.939,2807.022,37802.491,20130611_055815,479188,46215,55951,19092
1,KAMX20130611_100235_V06,-27.432,0.668,319.427,226.786,11.146,-80.316,25.941,5572.758,37874.045,20130611_060235,479197,48429,59744,20084
1,KAMX20130611_100654_V06,-23.115,0.573,317.282,223.199,15.854,-80.327,25.957,7927.042,39360.728,20130611_060654,479196,50597,62164,21381
1,KAMX20130611_101115_V06,-18.765,0.601,316.708,219.444,22.316,-80.330,25.974,11158.200,41135.330,20130611_061115,479189,53076,64075,22760
1,KAMX20130611_101535_V06,-14.432,0.817,316.961,216.492,30.429,-80.328,25.987,15214.323,42606.583,20130611_061535,479190,53651,65012,23211
1,KAMX20130611_101957_V06,-10.065,0.811,315.315,213.822,36.108,-80.337,25.999,18053.970,43764.257,20130611_061957,479186,55097,64129,24437
1,KAMX20130611_102417_V06,-5.732,0.918,316.741,211.052,42.479,-80.329,26.012,21239.640,45255.091,20130611_062417,479194,54229,62145,24536
1,KAMX20130611_102838_V06,-1.382,0.860,312.455,203.328,45.166,-80.351,26.047,22582.777,48735.563,20130611_062838,479186,52693,60547,23161
1,KAMX20130611_103501_V06,5.001,0.786,302.484,196.177,45.742,-80.401,26.079,22871.123,51926.199,20130611_063501,479199,50507,58585,21107
