track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KAPX20230603_100253_V06,7.985,0.059,399.523,423.240,27.256,-84.096,44.351,13627.832,79203.674,20230603_060253,479174,12049,52671,8467
2,KAPX20230604_104512_V06,50.759,0.223,397.994,411.051,23.046,-84.105,44.406,11523.182,74052.640,20230604_064512,479171,1678,58526,1039
2,KAPX20230604_105215_V06,57.809,0.106,394.091,415.762,31.587,-84.129,44.385,15793.672,74588.589,20230604_065215,479176,1520,58672,932
1,KAPX20230604_102354_V06,29.459,0.050,311.695,368.651,8.615,-84.646,44.598,4307.587,34820.079,20230604_062354,479177,1378,58821,809
4,KAPX20230605_092051_V06,-33.171,0.088,318.277,121.651,42.668,-84.602,45.710,21334.240,89641.691,20230605_052051,479178,102288,125741,14461
8,KAPX20230605_093802_V06,-15.987,0.060,412.932,225.168,59.085,-84.001,45.242,29542.431,67737.267,20230605_053802,479178,82493,121051,6757
2,KAPX20230608_090232_V06,-50.457,0.153,203.951,467.583,8.716,-85.320,44.152,4357.857,96578.140,20230608_050232,479178,4224,29601,2387
1,KAPX20230609_101809_V06,25.425,0.100,209.055,98.567,3.188,-85.305,45.812,1594.110,110505.845,20230609_061809,479176,5536,23076,3163
2,KAPX20230609_110139_V06,68.925,0.137,205.953,104.333,8.839,-85.324,45.786,4419.313,108547.755,20230609_070139,479174,5757,23727,3706
1,KAPX20230610_094454_V06,-7.598,0.066,346.429,330.366,14.002,-84.426,44.770,7001.205,27738.903,20230610_054454,479173,7610,38200,2544
2,KAPX20230615_091902_V06,-32.913,0.050,219.187,470.317,36.795,-85.225,44.140,18397.701,94258.304,20230615_051902,479176,133685,154776,6618
4,KAPX20230615_094338_V06,-8.313,0.077,441.362,19.249,19.758,-83.805,46.167,9879.169,157165.654,20230615_054338,479175,147439,172180,5725
1,KAPX20230621_090352_V06,-48.680,0.117,205.475,466.504,6.125,-85.311,44.156,3062.675,95732.029,20230621_050352,479176,12060,40392,8472
2,KAPX20230621_090352_V06,-48.680,0.071,168.151,144.979,4.870,-85.565,45.602,2434.809,101754.053,20230621_050352,479176,12060,40392,8472
3,KAPX20230621_091101_V06,-41.530,0.161,351.500,60.498,19.132,-84.387,45.984,9565.960,122488.470,20230621_051101,479176,11884,40252,8442
1,KAPX20230623_100121_V06,8.308,0.506,207.515,424.777,16.617,-85.300,44.344,8308.441,77657.711,20230623_060121,479178,17616,49945,9203
1,KAPX20230625_093339_V06,-20.029,0.061,23.513,175.697,35.980,-86.487,45.453,17990.084,151572.182,20230625_053339,479172,20577,55828,6710
1,KAPX20230625_093814_V06,-15.445,0.283,23.634,175.473,40.994,-86.486,45.454,20497.104,151562.942,20230625_053814,479174,22120,58521,7202
1,KAPX20230625_094252_V06,-10.812,0.440,25.586,172.556,40.426,-86.474,45.467,20213.101,151281.913,20230625_054252,479181,23277,59958,7757
1,KAPX20230625_094730_V06,-6.179,0.360,26.903,166.397,40.012,-86.467,45.495,20006.074,152012.904,20230625_054730,479181,24942,61439,8777
1,KAPX20230625_095206_V06,-1.579,0.130,27.712,158.906,40.337,-86.463,45.529,20168.523,153336.278,20230625_055206,479171,25910,62679,9516
5,KAPX20230625_101031_V06,16.838,0.133,39.068,465.263,40.579,-86.351,44.152,20289.570,154432.474,20230625_061031,479178,27027,68799,8936
5,KAPX20230625_101507_V06,21.438,0.373,39.865,465.737,46.094,-86.346,44.150,23047.043,154222.913,20230625_061507,479169,27577,69880,9099
5,KAPX20230625_101943_V06,26.038,0.239,42.135,463.483,47.291,-86.332,44.160,23645.504,152660.854,20230625_061943,479177,28405,70604,8581
5,KAPX20230625_102419_V06,30.638,0.322,44.760,459.348,45.174,-86.316,44.179,22586.828,150448.914,20230625_062419,479171,28105,71124,8760
5,KAPX20230625_102855_V06,35.238,0.089,49.204,444.495,53.723,-86.290,44.246,26861.468,144721.735,20230625_062855,479172,28570,71844,8410
19,KAPX20230626_094646_V06,-7.282,0.065,387.124,428.671,10.126,-84.174,44.327,5063.110,77696.271,20230626_054646,479171,60153,101309,8002
2,KAPX20230627_090119_V06,-53.136,0.291,388.533,558.748,23.728,-84.170,43.742,11864.090,136737.624,20230627_050119,479174,29115,67097,4835
2,KAPX20230627_090828_V06,-45.986,0.312,390.997,561.481,30.017,-84.155,43.729,15008.432,138431.058,20230627_050828,479170,31112,68167,5194
28,KAPX20230627_102925_V06,34.964,0.063,244.492,145.182,63.100,-85.075,45.603,31550.213,82233.853,20230627_062925,479172,48121,109390,4345
28,KAPX20230627_103356_V06,39.481,0.050,244.395,144.879,68.452,-85.076,45.605,34226.147,82392.834,20230627_063356,479180,53177,114426,4697
1,KAPX20230627_090119_V06,-53.136,0.325,510.936,479.146,17.590,-83.403,44.093,8794.764,138371.937,20230627_050119,479174,29115,67097,4835
9,KAPX20230627_090828_V06,-45.986,0.051,148.453,317.406,7.098,-85.678,44.825,3548.826,76271.448,20230627_050828,479170,31112,68167,5194
17,KAPX20230627_095241_V06,-1.769,0.113,300.858,125.779,48.511,-84.714,45.691,24255.402,87111.439,20230627_055241,479178,34619,81170,3788
18,KAPX20230627_095241_V06,-1.769,0.067,193.807,265.502,14.374,-85.394,45.060,7186.882,55827.829,20230627_055241,479178,34619,81170,3788
26,KAPX20230627_102023_V06,25.931,0.055,233.063,353.065,14.162,-85.142,44.668,7080.997,42709.776,20230627_062023,479172,46190,99972,4447
1,KAPX20230630_092109_V06,-34.710,0.097,297.562,419.003,8.120,-84.735,44.372,4059.767,59513.871,20230630_052109,479173,508,23560,236
1,KAPX20230701_090228_V06,-53.926,0.149,205.660,468.428,8.286,-85.309,44.148,4143.024,96524.523,20230701_050228,479167,19567,30963,14100
2,KAPX20230701_092304_V06,-33.326,0.055,334.504,414.855,37.418,-84.503,44.390,18709.234,59962.888,20230701_052304,479175,13630,36171,8267
5,KAPX20230701_110301_V06,66.624,0.393,321.666,146.183,8.695,-84.581,45.599,4347.256,77667.735,20230701_070301,479178,19704,53627,7531
2,KAPX20230702_090436_V06,-52.356,0.077,192.142,338.750,4.814,-85.401,44.731,2406.897,57303.940,20230702_050436,479172,17893,37770,13462
1,KAPX20230705_092135_V06,-37.240,0.054,346.334,409.068,32.998,-84.429,44.416,16499.048,59250.970,20230705_052135,479170,8674,26031,6226
15,KAPX20230706_101256_V06,13.431,0.074,35.234,101.293,25.704,-86.422,45.789,12851.941,165518.534,20230706_061256,479184,226305,266931,13443
1,KAPX20230707_094015_V06,-19.959,0.325,458.751,64.745,6.638,-83.696,45.961,3319.218,141904.026,20230707_054015,479169,4100,26230,2385
1,KAPX20230707_094705_V06,-13.126,0.051,458.944,64.264,14.194,-83.695,45.963,7097.003,142157.074,20230707_054705,479171,3812,25958,2188
9,KAPX20230708_104710_V06,46.224,0.148,48.560,265.653,58.528,-86.316,45.051,29263.939,126887.704,20230708_064710,479174,33303,75350,6600
9,KAPX20230708_105229_V06,51.541,0.376,49.068,263.980,64.830,-86.313,45.058,32414.950,126752.223,20230708_065229,479172,34665,76267,6272
9,KAPX20230708_110351_V06,62.907,0.178,57.370,245.609,71.506,-86.262,45.142,35752.810,124325.781,20230708_070351,479170,36866,77875,6129
5,KAPX20230708_101413_V06,13.274,0.051,408.323,497.073,19.814,-84.044,44.018,9906.981,112440.586,20230708_061413,479180,26095,65387,5849
7,KAPX20230708_101837_V06,17.674,0.056,495.271,83.123,28.830,-83.462,45.876,14414.967,145916.288,20230708_061837,479182,27160,66298,5803
8,KAPX20230708_102723_V06,26.441,0.162,16.695,275.594,26.151,-86.517,45.003,13075.338,142177.380,20230708_062723,479180,28933,68346,6037
11,KAPX20230708_112325_V06,82.474,0.197,19.060,251.610,28.742,-86.505,45.111,14371.065,142538.316,20230708_072325,479176,39592,82088,6280
2,KAPX20230710_093942_V06,-22.786,0.677,350.184,281.202,5.555,-84.402,44.991,2777.340,26794.552,20230710_053942,479168,32870,23373,22501
2,KAPX20230710_094426_V06,-18.053,0.327,350.638,281.269,10.884,-84.399,44.991,5442.105,26995.383,20230710_054426,479175,28873,24862,18515
2,KAPX20230710_094924_V06,-13.086,0.102,350.842,281.157,4.895,-84.397,44.992,2447.662,27110.618,20230710_054924,479173,33684,28225,20632
5,KAPX20230710_102715_V06,24.764,0.440,42.685,66.308,50.286,-86.379,45.947,25143.141,173797.878,20230710_062715,479178,4439,24874,878
5,KAPX20230710_103152_V06,29.381,0.192,44.982,64.523,55.778,-86.364,45.955,27889.112,173554.038,20230710_063152,479178,10969,28895,2559
1,KAPX20230713_101147_V06,6.801,0.071,293.296,418.223,15.802,-84.762,44.375,7900.881,59206.506,20230713_061147,479166,3038,37601,2214
11,KAPX20230715_094932_V06,-17.223,0.054,183.890,397.494,17.013,-85.449,44.466,8506.651,75806.448,20230715_054932,479178,136674,177718,12571
15,KAPX20230715_101135_V06,4.827,0.089,127.057,128.124,44.946,-85.830,45.675,22472.931,121912.526,20230715_061135,479178,111823,157753,9296
16,KAPX20230715_101135_V06,4.827,0.055,190.620,279.188,53.321,-85.413,44.999,26660.418,55671.195,20230715_061135,479178,111823,157753,9296
20,KAPX20230715_102805_V06,21.327,0.134,302.903,206.947,14.860,-84.701,45.326,7430.031,46548.923,20230715_062805,479176,99782,146953,9065
23,KAPX20230715_103922_V06,32.611,0.055,200.214,189.595,29.386,-85.357,45.402,14692.909,74408.575,20230715_063922,479181,93536,140092,9784
27,KAPX20230715_110332_V06,56.777,0.080,415.790,348.581,25.580,-83.989,44.686,12790.195,62784.216,20230715_070332,479183,90547,142468,8139
1,KAPX20230716_091315_V06,-54.423,0.125,265.699,334.960,10.666,-84.936,44.750,5333.052,24488.813,20230716_051315,479171,39311,51156,29101
6,KAPX20230717_103616_V06,27.657,0.062,24.469,425.535,39.627,-86.447,44.329,19813.690,151390.561,20230717_063616,479170,1861,51297,885
6,KAPX20230717_104313_V06,34.607,0.129,26.075,429.521,48.919,-86.436,44.311,24459.335,151501.575,20230717_064313,479174,2307,52660,1000
5,KAPX20230720_094920_V06,-22.190,0.054,458.094,527.633,34.315,-83.736,43.879,17157.743,138573.751,20230720_054920,479174,126908,143986,32085
1,KAPX20230722_110223_V06,48.838,0.772,160.636,69.697,7.267,-85.618,45.940,3633.326,134593.846,20230722_070223,479171,4820,27497,2855
