track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
5,KBYX20150603_105800_V06,20.390,0.058,331.996,40.799,19.125,-81.544,25.767,9562.637,130583.934,20150603_065800,479192,86215,99390,8738
5,KBYX20150603_110318_V06,25.690,0.169,334.974,41.948,16.317,-81.529,25.762,8158.329,130205.427,20150603_070318,479205,84142,97074,8642
9,KBYX20150605_111958_V06,42.538,0.090,514.254,493.423,15.700,-80.653,23.720,7850.197,144323.471,20150605_071958,479182,37178,63806,4996
3,KBYX20150614_103504_V06,-2.511,0.142,280.471,377.687,23.452,-81.799,24.246,11726.147,40051.763,20150614_063504,479194,34721,57416,6672
3,KBYX20150614_104015_V06,2.673,0.052,281.361,379.478,32.390,-81.795,24.238,16195.177,40817.056,20150614_064015,479202,33669,55491,6742
3,KBYX20150614_104535_V06,8.006,-1.000,282.110,380.984,41.456,-81.791,24.231,20728.116,41468.483,20150614_064535,479187,31903,53169,6717
3,KBYX20150614_105046_V06,13.189,0.125,257.531,368.398,18.860,-81.912,24.288,9429.754,40254.983,20150614_065046,479174,30541,51151,6556
4,KBYX20150622_093908_V06,-59.782,0.111,154.260,329.063,10.573,-82.422,24.464,5286.421,74304.805,20150622_053908,479191,18643,46179,3648
15,KBYX20150622_114206_V06,63.185,0.064,158.302,284.278,24.136,-82.403,24.666,12068.184,71283.684,20150622_074206,479200,12623,39815,2910
4,KBYX20150630_113832_V06,57.358,0.535,444.684,517.599,31.721,-80.995,23.613,15860.593,130654.888,20150630_073832,479184,7774,51559,5890
4,KBYX20150630_114816_V06,67.091,0.218,444.814,515.825,42.146,-80.994,23.621,21073.243,129953.325,20150630_074816,479178,10961,56653,7114
1,KBYX20150630_104958_V06,8.791,0.134,405.419,503.379,33.581,-81.187,23.678,16790.565,114538.156,20150630_064958,479188,7481,41198,5899
2,KBYX20150630_104958_V06,8.791,0.067,374.107,484.630,8.739,-81.340,23.763,4369.338,99473.597,20150630_064958,479188,7481,41198,5899
5,KBYX20150630_114816_V06,67.091,0.084,360.883,521.562,37.881,-81.405,23.596,18940.659,114887.669,20150630_074816,479178,10961,56653,7114
6,KBYX20150702_103401_V06,-7.842,0.188,280.063,230.227,12.159,-81.802,24.912,6079.411,36282.572,20150702_063401,479183,9962,46753,3699
3,KBYX20150707_094538_V06,-58.107,0.187,276.517,192.894,5.716,-81.820,25.080,2857.941,54824.885,20150707_054538,479194,6736,40263,2607
3,KBYX20150707_095034_V06,-53.174,0.073,276.817,192.605,11.572,-81.818,25.082,5785.840,54934.152,20150707_055034,479202,7024,39537,2930
19,KBYX20150709_114840_V06,64.113,0.071,249.246,283.268,6.030,-81.954,24.672,3015.247,26720.273,20150709_074840,479194,14050,42661,4259
3,KBYX20150710_094620_V06,-58.637,0.266,378.341,357.425,11.967,-81.317,24.337,5983.286,48566.908,20150710_054620,479192,8430,42273,2175
2,KBYX20150715_095153_V06,-55.266,0.320,165.903,410.885,10.532,-82.363,24.095,5265.772,87002.189,20150715_055153,479199,13175,44876,4359
1,KBYX20150717_095133_V06,-56.503,0.171,426.720,377.642,6.105,-81.079,24.245,3052.490,74307.013,20150717_055133,479187,7221,26092,3491
10,KBYX20150719_114118_V06,52.330,0.105,279.106,263.489,18.746,-81.807,24.762,9373.119,21033.171,20150719_074118,479196,20221,41699,5064
9,KBYX20150721_112933_V06,39.655,0.492,169.664,298.796,12.628,-82.347,24.601,6313.797,65170.611,20150721_072933,479193,12204,33797,4675
4,KBYX20150723_095439_V06,-56.176,0.054,312.379,114.927,8.024,-81.642,25.432,4011.795,92743.138,20150723_055439,479184,15607,32400,5264
10,KBYX20150802_121923_V06,83.916,0.090,329.019,20.279,8.037,-81.559,25.859,4018.639,140610.955,20150802_081923,479187,10026,40269,3426
2,KBYX20150807_105140_V06,-6.067,0.075,192.501,414.665,35.530,-82.232,24.078,17765.068,78587.549,20150807_065140,479183,18599,49668,13327
2,KBYX20150807_110124_V06,3.666,0.285,191.424,412.934,44.183,-82.237,24.086,22091.297,78330.963,20150807_070124,479180,19086,49977,13443
