track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCAE20200602_100021_V06,-13.691,0.064,334.147,412.717,28.191,-80.935,33.440,14095.314,58887.718,20200602_060021,479170,67266,23905,57622
1,KCAE20200603_091712_V06,-56.601,0.063,329.064,403.043,2.611,-80.962,33.484,1305.513,53531.890,20200603_051712,479168,24894,16823,21045
3,KCAE20200619_101811_V06,4.656,0.200,71.316,353.569,22.286,-82.352,33.701,11143.229,117437.404,20200619_061811,479169,14748,24694,9942
3,KCAE20200619_102142_V06,8.172,0.615,71.710,353.474,27.480,-82.350,33.701,13740.011,117234.397,20200619_062142,479178,15508,25458,10619
3,KCAE20200619_102514_V06,11.706,0.259,73.886,353.853,31.021,-82.338,33.700,15510.344,116219.389,20200619_062514,479186,16076,27043,11046
3,KCAE20200619_102845_V06,15.222,0.436,76.967,353.482,33.869,-82.322,33.702,16934.615,114677.641,20200619_062845,479172,16552,28438,11486
3,KCAE20200619_103215_V06,18.722,0.144,77.098,352.896,37.969,-82.321,33.704,18984.530,114545.902,20200619_063215,479181,16529,29694,11435
2,KCAE20200620_102205_V06,8.359,0.101,79.772,353.660,32.340,-82.306,33.701,16170.116,113335.547,20200620_062205,479174,58663,41083,46758
2,KCAE20200620_102910_V06,15.443,0.416,78.998,355.831,38.966,-82.310,33.691,19482.857,113972.486,20200620_062910,479172,58119,43059,45838
2,KCAE20200620_103614_V06,22.509,0.364,85.235,358.412,45.379,-82.277,33.680,22689.712,111283.469,20200620_063614,479172,55784,45009,43227
1,KCAE20200620_100050_V06,-12.891,0.208,187.772,317.885,26.463,-81.725,33.866,13231.260,56822.135,20200620_060050,479174,29718,20894,23751
3,KCAE20200621_101155_V06,-2.027,0.235,73.249,355.840,20.348,-82.341,33.691,10173.864,116762.539,20200621_061155,479170,72700,34670,60115
3,KCAE20200621_101900_V06,5.056,0.475,76.045,355.608,29.636,-82.326,33.692,14817.826,115377.495,20200621_061900,479171,70148,41510,56160
3,KCAE20200621_102605_V06,12.140,0.742,80.157,358.156,36.319,-82.304,33.681,18159.419,113702.432,20200621_062605,479172,70335,45364,55463
3,KCAE20200621_103311_V06,19.240,0.529,83.835,359.235,45.506,-82.284,33.676,22752.757,112066.998,20200621_063311,479170,66251,47481,51017
3,KCAE20200621_104017_V06,26.340,0.076,86.947,357.153,51.368,-82.267,33.686,25684.163,110292.721,20200621_064017,479173,62949,48803,47223
1,KCAE20200622_101619_V06,2.131,0.129,80.250,357.238,19.163,-82.304,33.685,9581.419,113541.197,20200622_061619,479192,55419,48821,39204
1,KCAE20200622_101958_V06,5.781,-1.000,80.250,357.238,24.966,-82.304,33.685,12483.169,113541.197,20200622_061958,479161,56430,49910,39905
1,KCAE20200622_102336_V06,9.414,0.127,81.734,358.944,27.302,-82.295,33.677,13651.062,113042.664,20200622_062336,479185,56894,50794,40103
1,KCAE20200622_102714_V06,13.048,0.084,85.741,358.154,29.412,-82.274,33.681,14706.082,111005.180,20200622_062714,479182,57114,52034,39667
1,KCAE20200623_101023_V06,-4.067,0.197,479.096,395.632,26.432,-80.155,33.514,13215.935,101514.627,20200623_061023,479175,20720,16551,17860
1,KCAE20200623_102005_V06,5.633,0.119,484.195,394.242,39.609,-80.127,33.520,19804.409,103452.226,20200623_062005,479175,22483,18888,18720
2,KCAE20200623_102005_V06,5.633,0.209,89.568,347.016,21.268,-82.254,33.731,10633.884,107810.063,20200623_062005,479175,22483,18888,18720
