track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCBW20150601_082029_V06,-23.592,0.063,20.572,239.296,26.916,-69.620,46.298,13457.783,142972.716,20150601_042029,479181,80357,78527,16662
2,KCBW20150601_083251_V06,-11.226,0.130,24.483,244.408,28.239,-69.594,46.275,14119.478,140534.852,20150601_043251,479178,81527,80193,15145
1,KCBW20150602_074723_V06,-56.120,0.054,296.300,190.182,5.183,-67.831,46.533,2591.740,54940.280,20150602_034723,479191,173164,177119,28130
10,KCBW20150602_092437_V06,41.113,0.067,296.673,190.247,5.583,-67.829,46.533,2791.359,54901.734,20150602_052437,479196,273996,261128,42198
1,KCBW20150603_074332_V06,-59.437,0.074,129.241,327.129,3.543,-68.907,45.912,1771.254,86450.324,20150603_034332,479183,19391,92504,6806
3,KCBW20150603_080258_V06,-40.003,0.084,55.866,224.359,60.633,-69.393,46.368,30316.391,127791.992,20150603_040258,479176,18904,87174,8662
1,KCBW20150605_081127_V06,-30.571,0.076,301.262,305.766,15.931,-67.799,46.013,7965.706,2951.324,20150605_041127,479181,25388,38012,12707
1,KCBW20150605_082111_V06,-20.838,0.288,300.957,304.579,23.762,-67.801,46.019,11881.176,2338.860,20150605_042111,479180,12551,25241,6710
2,KCBW20150605_085022_V06,8.345,0.094,307.441,303.474,24.010,-67.759,46.024,12004.772,4105.927,20150605_045022,479177,6957,14768,4802
9,KCBW20150606_092721_V06,45.743,0.066,367.297,579.924,21.146,-67.382,44.779,10573.148,143950.005,20150606_052721,479198,112187,124846,15727
3,KCBW20150608_100046_V06,79.868,0.060,16.565,347.126,23.101,-69.630,45.813,11550.359,143662.827,20150608_060046,479185,26132,40897,6843
7,KCBW20150609_091835_V06,37.978,0.058,40.454,438.626,54.425,-69.465,45.403,27212.368,147123.489,20150609_051835,479193,283304,266993,27510
1,KCBW20150610_074231_V06,-57.835,0.196,298.148,189.981,2.925,-67.819,46.534,1462.357,55017.284,20150610_034231,479191,49187,82500,15582
3,KCBW20150610_093042_V06,50.348,0.085,209.769,444.122,8.611,-68.383,45.389,4305.653,85018.899,20150610_053042,479188,43855,83618,9103
3,KCBW20150611_093021_V06,50.210,0.485,302.863,41.388,43.644,-67.788,47.202,21821.983,129313.679,20150611_053021,479193,211799,207469,22882
3,KCBW20150612_074334_V06,-56.402,0.080,129.566,330.401,5.343,-68.905,45.897,2671.743,86562.073,20150612_034334,479179,20968,34583,8333
3,KCBW20150612_075316_V06,-46.702,0.088,128.763,329.793,14.391,-68.910,45.900,7195.631,86904.728,20150612_035316,479177,20169,33101,7593
4,KCBW20150612_074334_V06,-56.402,0.059,299.332,191.755,2.033,-67.811,46.526,1016.609,54123.330,20150612_034334,479179,20968,34583,8333
5,KCBW20150612_083206_V06,-7.869,0.051,126.184,328.661,10.467,-68.927,45.905,5233.306,88081.670,20150612_043206,479173,15079,26726,4755
7,KCBW20150612_090111_V06,21.214,0.175,130.121,329.084,11.325,-68.902,45.903,5662.711,86175.545,20150612_050111,479178,15607,26928,4922
14,KCBW20150613_100530_V06,85.662,0.074,297.699,190.661,4.601,-67.822,46.531,2300.278,54681.843,20150613_060530,479190,21394,34971,7192
3,KCBW20150614_074658_V06,-52.782,0.081,128.932,329.699,8.512,-68.909,45.900,4255.997,86813.603,20150614_034658,479174,12169,28340,6781
5,KCBW20150614_093552_V06,56.118,0.065,297.101,299.221,21.324,-67.826,46.043,10661.766,1501.117,20150614_053552,479177,4848,9686,4002
3,KCBW20150616_074412_V06,-55.489,0.055,210.829,445.189,3.240,-68.376,45.385,1619.823,85193.117,20150616_034412,479176,25795,71083,9225
3,KCBW20150616_075355_V06,-45.772,0.051,209.660,446.412,12.711,-68.384,45.379,6355.693,86019.841,20150616_035355,479173,36911,82092,11993
3,KCBW20150617_073955_V06,-59.803,0.089,127.568,331.509,6.816,-68.918,45.892,3408.189,87643.697,20150617_033955,479179,8997,45731,6265
3,KCBW20150617_074937_V06,-50.103,0.242,127.410,330.328,15.410,-68.919,45.897,7705.050,87617.350,20150617_034937,479176,8620,43433,6250
3,KCBW20150617_075919_V06,-40.403,-1.000,127.261,329.219,24.413,-68.920,45.902,12206.604,87596.266,20150617_035919,479177,7180,41439,5318
3,KCBW20150617_080901_V06,-30.703,0.122,125.844,331.298,10.513,-68.929,45.893,5256.559,88473.149,20150617_040901,479175,6133,39011,4928
3,KCBW20150617_081844_V06,-20.986,0.061,126.548,331.050,18.011,-68.924,45.894,9005.501,88104.430,20150617_041844,479177,5662,34754,4864
3,KCBW20150617_082826_V06,-11.286,-1.000,127.210,330.817,25.970,-68.920,45.895,12985.170,87758.376,20150617_042826,479176,5674,33037,4934
3,KCBW20150617_083808_V06,-1.586,0.059,127.316,331.231,10.346,-68.919,45.893,5173.085,87742.564,20150617_043808,479176,6053,34520,5200
3,KCBW20150617_084956_V06,10.214,0.075,126.479,331.113,17.652,-68.925,45.894,8826.181,88144.086,20150617_044956,479182,5852,35161,5026
3,KCBW20150617_085940_V06,19.947,-1.000,125.817,331.019,24.069,-68.929,45.894,12034.651,88461.744,20150617_045940,479178,5744,34703,4996
3,KCBW20150617_090923_V06,29.664,0.067,127.476,330.605,8.569,-68.918,45.896,4284.383,87608.975,20150617_050923,479182,5582,33764,4744
3,KCBW20150617_091906_V06,39.381,0.160,127.578,330.022,16.519,-68.918,45.899,8259.722,87508.250,20150617_051906,479175,5607,32648,4855
3,KCBW20150617_092849_V06,49.097,0.157,126.589,330.049,12.021,-68.924,45.899,6010.406,87997.562,20150617_052849,479180,5466,32469,4684
3,KCBW20150617_093830_V06,58.781,0.221,128.456,329.219,10.668,-68.912,45.902,5333.984,87007.422,20150617_053830,479182,5885,32317,5081
12,KCBW20150617_093830_V06,58.781,0.071,299.711,192.173,2.392,-67.809,46.524,1196.156,53913.768,20150617_053830,479182,5885,32317,5081
12,KCBW20150617_094814_V06,68.514,0.058,299.593,192.061,9.814,-67.810,46.525,4906.764,53969.931,20150617_054814,479177,5548,32325,4776
2,KCBW20150617_073955_V06,-59.803,0.101,299.282,192.068,2.032,-67.812,46.525,1015.831,53967.443,20150617_033955,479179,8997,45731,6265
4,KCBW20150617_075919_V06,-40.403,0.130,126.988,329.710,12.135,-68.922,45.900,6067.722,87772.086,20150617_035919,479177,7180,41439,5318
