track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCCX20230601_085109_V06,-51.405,0.076,201.155,421.196,5.563,-78.586,40.376,2781.494,78196.699,20230601_045109,479162,119710,33699,107587
3,KCCX20230602_104815_V06,66.124,0.059,351.735,86.684,5.986,-77.692,41.883,2993.092,109749.998,20230602_064815,479168,3869,34877,2443
3,KCCX20230602_110218_V06,80.174,0.128,352.083,86.601,12.428,-77.690,41.883,6214.106,109831.587,20230602_070218,479167,3735,37048,2392
1,KCCX20230605_092511_V06,-15.853,0.056,198.800,419.189,8.063,-78.600,40.385,4031.393,78178.259,20230605_052511,479167,3445,21964,2080
1,KCCX20230607_084115_V06,-59.227,0.115,198.847,422.928,6.689,-78.599,40.368,3344.582,79597.799,20230607_044115,479166,6215,30299,4346
1,KCCX20230607_084806_V06,-52.377,0.150,198.707,422.483,14.010,-78.600,40.370,7005.249,79470.871,20230607_044806,479165,7087,30845,4988
2,KCCX20230607_084115_V06,-59.227,0.073,350.008,89.112,6.505,-77.703,41.872,3252.522,108367.967,20230607_044115,479166,6215,30299,4346
17,KCCX20230609_105000_V06,69.948,0.060,375.608,494.430,15.154,-77.561,40.047,7577.246,104306.798,20230609_065000,479176,54266,119580,5447
17,KCCX20230609_105452_V06,74.814,0.081,376.477,494.910,21.519,-77.556,40.045,10759.731,104688.540,20230609_065452,479172,53666,119836,5236
2,KCCX20230609_084558_V06,-54.086,0.051,519.354,512.439,31.126,-76.720,39.959,15562.859,152681.426,20230609_044558,479172,61228,109284,18605
7,KCCX20230609_085259_V06,-47.069,0.067,337.018,509.254,17.228,-77.787,39.981,8613.897,106251.676,20230609_045259,479167,60588,106246,19107
1,KCCX20230610_084241_V06,-57.207,0.099,348.263,89.857,7.942,-77.713,41.869,3970.818,107806.827,20230610_044241,479170,20126,41371,13568
1,KCCX20230611_083951_V06,-59.912,0.090,195.284,417.790,10.541,-78.621,40.391,5270.258,78803.216,20230611_043951,479167,16265,41323,11460
2,KCCX20230611_084642_V06,-53.062,0.065,351.682,87.438,5.030,-77.693,41.880,2514.763,109377.288,20230611_044642,479168,15732,41592,10872
3,KCCX20230611_092820_V06,-11.429,0.112,353.049,87.350,5.956,-77.684,41.880,2977.810,109583.372,20230611_052820,479174,5277,38479,2904
4,KCCX20230611_102317_V06,43.521,0.061,347.621,89.059,6.896,-77.717,41.872,3447.857,108124.901,20230611_062317,479165,5603,50436,3816
11,KCCX20230612_103351_V06,54.183,0.171,381.084,273.322,16.403,-77.522,41.042,8201.363,42679.881,20230612_063351,479169,208822,226899,21832
1,KCCX20230613_091446_V06,-24.840,0.075,351.365,84.356,2.646,-77.694,41.893,1323.223,110838.423,20230613_051446,479166,3904,34292,2333
1,KCCX20230615_084057_V06,-58.634,0.143,194.958,418.843,10.414,-78.622,40.386,5206.921,79305.396,20230615_044057,479170,2222,24724,1428
7,KCCX20230616_092848_V06,-10.822,0.095,25.860,282.249,46.979,-79.633,40.991,23489.290,137356.942,20230616_052848,479175,241587,245161,28022
7,KCCX20230616_093445_V06,-4.872,0.247,27.388,283.134,55.148,-79.624,40.988,27574.155,136566.712,20230616_053445,479171,240816,246216,28130
7,KCCX20230616_094043_V06,1.095,0.275,37.010,284.265,61.677,-79.566,40.983,30838.713,131730.222,20230616_054043,479164,239589,245630,28825
7,KCCX20230616_094640_V06,7.045,0.208,44.216,290.158,68.067,-79.523,40.957,34033.742,127986.507,20230616_054640,479172,239411,247851,28836
7,KCCX20230616_095244_V06,13.112,-1.000,51.784,294.782,74.721,-79.478,40.937,37360.262,124135.407,20230616_055244,479175,241188,250019,29637
7,KCCX20230616_100451_V06,25.228,0.071,63.261,304.987,80.530,-79.409,40.892,40265.223,118395.811,20230616_060451,479162,246696,253572,30009
19,KCCX20230616_105300_V06,73.378,0.124,42.286,432.391,66.970,-79.520,40.317,33485.130,144865.207,20230616_065300,479178,218585,239831,26766
19,KCCX20230616_110455_V06,85.295,0.079,50.567,433.937,71.677,-79.471,40.311,35838.625,141559.002,20230616_070455,479176,206421,228262,26494
4,KCCX20230616_090316_V06,-36.355,0.155,107.271,220.271,114.582,-79.154,41.276,57291.142,104284.435,20230616_050316,479174,234063,239628,26237
1,KCCX20230618_083959_V06,-59.812,0.329,351.360,85.295,8.655,-77.694,41.889,4327.732,110381.094,20230618_043959,479172,6315,34896,3839
1,KCCX20230618_084701_V06,-52.779,0.075,351.415,85.512,15.673,-77.694,41.888,7836.442,110282.093,20230618_044701,479171,7206,35557,4711
2,KCCX20230618_083959_V06,-59.812,0.233,195.889,417.630,12.609,-78.617,40.392,6304.436,78542.952,20230618_043959,479172,6315,34896,3839
10,KCCX20230619_100647_V06,26.853,0.052,339.362,418.934,29.665,-77.772,40.387,14832.476,62639.017,20230619_060647,479167,27191,35665,21905
10,KCCX20230619_101349_V06,33.887,0.133,338.301,417.925,37.212,-77.778,40.392,18606.107,61994.290,20230619_061349,479172,24601,36287,19474
10,KCCX20230619_102051_V06,40.920,0.096,360.524,413.984,35.830,-77.647,40.409,17915.188,64528.280,20230619_062051,479172,24901,37942,19505
1,KCCX20230619_084109_V06,-58.780,0.349,353.434,85.511,7.804,-77.682,41.888,3902.218,110522.085,20230619_044109,479171,13792,36701,10813
1,KCCX20230619_084811_V06,-51.747,0.055,353.772,86.024,15.837,-77.680,41.886,7918.450,110314.392,20230619_044811,479167,12110,37226,9089
3,KCCX20230619_084109_V06,-58.780,0.066,198.973,418.943,6.479,-78.599,40.386,3239.361,78028.700,20230619_044109,479171,13792,36701,10813
3,KCCX20230619_084811_V06,-51.747,0.202,199.016,419.802,13.819,-78.598,40.382,6909.313,78342.460,20230619_044811,479167,12110,37226,9089
9,KCCX20230619_100647_V06,26.853,0.169,352.077,85.341,5.423,-77.690,41.889,2711.704,110442.958,20230619_060647,479167,27191,35665,21905
9,KCCX20230619_101349_V06,33.887,0.083,352.187,85.829,12.946,-77.690,41.887,6473.009,110218.609,20230619_061349,479172,24601,36287,19474
9,KCCX20230619_102051_V06,40.920,0.081,352.320,85.747,5.862,-77.689,41.887,2931.076,110274.184,20230619_062051,479172,24901,37942,19505
9,KCCX20230619_102753_V06,47.953,-1.000,352.320,85.747,17.045,-77.689,41.887,8522.576,110274.184,20230619_062753,479172,24309,38530,19072
9,KCCX20230619_103454_V06,54.970,0.239,351.959,86.711,5.894,-77.691,41.883,2947.208,109763.345,20230619_063454,479167,25064,39058,19683
4,KCCX20230619_084109_V06,-58.780,0.063,458.126,166.978,2.836,-77.057,41.518,1417.782,103318.314,20230619_044109,479171,13792,36701,10813
7,KCCX20230619_092323_V06,-16.547,0.075,458.166,167.025,2.956,-77.056,41.518,1477.886,103318.434,20230619_052323,479174,4937,30691,2985
8,KCCX20230619_092323_V06,-16.547,0.062,350.059,86.466,7.862,-77.702,41.884,3931.236,109661.722,20230619_052323,479174,4937,30691,2985
3,KCCX20230620_093530_V06,-4.596,0.063,349.485,408.703,32.792,-77.712,40.433,16396.076,59718.427,20230620_053530,479173,37900,69564,10861
4,KCCX20230620_103059_V06,50.887,0.056,323.260,409.985,30.322,-77.867,40.428,15160.942,56208.853,20230620_063059,479175,31847,75045,10497
4,KCCX20230621_094348_V06,3.507,0.060,353.817,85.118,3.315,-77.680,41.890,1657.326,110759.305,20230621_054348,479174,5893,34950,3189
4,KCCX20230621_100147_V06,21.490,0.195,353.113,85.685,11.063,-77.684,41.887,5531.593,110399.366,20230621_060147,479162,8370,38143,5184
4,KCCX20230621_101013_V06,29.924,-1.000,352.789,85.945,14.875,-77.686,41.886,7437.470,110233.874,20230621_061013,479168,8298,38280,4909
4,KCCX20230621_101838_V06,38.340,0.053,352.904,85.717,6.321,-77.685,41.887,3160.343,110358.647,20230621_061838,479176,8174,38565,4404
1,KCCX20230621_084515_V06,-55.043,0.091,194.069,415.912,13.033,-78.628,40.399,6516.666,78512.383,20230621_044515,479163,6039,45607,3935
2,KCCX20230621_094348_V06,3.507,0.152,176.839,364.059,8.483,-78.732,40.632,4241.625,69411.983,20230621_054348,479174,5893,34950,3189
6,KCCX20230621_104353_V06,63.590,0.058,352.144,86.143,7.191,-77.690,41.885,3595.375,110061.231,20230621_064353,479169,7165,43592,3655
