track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KCLX20140602_101513_V06,-1.863,0.051,280.554,389.193,53.463,-81.145,32.253,26731.600,45644.069,20140602_061513,479175,18374,28442,12742
1,KCLX20140603_092641_V06,-50.166,0.125,157.564,66.618,9.760,-81.810,33.705,4880.091,136706.832,20140603_052641,479179,47484,29265,37940
1,KCLX20140604_093641_V06,-39.960,0.056,313.175,403.590,22.242,-80.972,32.188,11120.863,52212.007,20140604_053641,479174,32012,23535,26616
1,KCLX20140605_093103_V06,-45.414,0.161,322.448,391.046,32.339,-80.923,32.245,16169.504,46886.328,20140605_053103,479178,20922,17041,17236
2,KCLX20140607_091946_V06,-56.412,0.071,305.808,422.091,1.917,-81.011,32.105,958.473,61114.501,20140607_051946,479171,20805,29011,12773
10,KCLX20140608_095554_V06,-20.174,0.524,309.013,419.511,16.344,-80.994,32.117,8172.031,59925.056,20140608_055554,479187,43455,50740,20925
10,KCLX20140608_095933_V06,-16.524,0.268,308.987,420.197,21.215,-80.995,32.114,10607.477,60266.417,20140608_055933,479183,54530,52684,28578
10,KCLX20140608_100325_V06,-12.658,0.078,308.134,420.832,23.373,-80.999,32.111,11686.698,60552.806,20140608_060325,479180,66204,54579,36700
10,KCLX20140608_100732_V06,-8.541,0.068,311.160,420.830,23.355,-80.983,32.111,11677.726,60672.233,20140608_060732,479185,74377,57900,41905
8,KCLX20140608_094849_V06,-27.258,0.070,307.526,424.499,16.107,-81.002,32.094,8053.490,62363.215,20140608_054849,479197,40261,50037,19697
8,KCLX20140608_095215_V06,-23.824,0.310,307.962,424.051,20.620,-81.000,32.096,10309.762,62153.241,20140608_055215,479184,42107,50545,20723
1,KCLX20140608_091905_V06,-56.991,0.319,189.080,412.901,9.351,-81.630,32.145,4675.310,79135.712,20140608_051905,479185,18559,40064,7722
6,KCLX20140608_092843_V06,-47.358,0.054,294.260,407.737,3.366,-81.073,32.170,1682.974,53944.970,20140608_052843,479184,20159,42720,8334
7,KCLX20140608_093818_V06,-37.774,0.058,295.927,410.159,9.773,-81.064,32.159,4886.536,55117.323,20140608_053818,479183,25535,46259,10612
1,KCLX20140609_094202_V06,-33.961,0.054,311.722,410.518,18.370,-80.980,32.157,9184.855,55568.905,20140609_054202,479179,24340,28741,19960
1,KCLX20140609_094751_V06,-28.145,-1.000,311.722,410.518,27.618,-80.980,32.157,13809.105,55568.905,20140609_054751,479174,33142,27855,28339
1,KCLX20140609_095338_V06,-22.361,0.191,313.373,406.420,23.881,-80.971,32.176,11940.371,53628.466,20140609_055338,479177,51655,24127,45471
1,KCLX20140610_105310_V06,37.227,0.058,23.834,429.556,35.594,-82.505,32.063,17797.037,152522.620,20140610_065310,479175,129061,33023,113067
