track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
14,KCXX20200602_093235_V06,22.290,0.343,18.826,200.102,20.216,-74.948,44.947,10107.845,149196.341,20200602_053235,479170,27524,27242,15744
14,KCXX20200602_093939_V06,29.357,0.057,20.992,203.325,28.881,-74.934,44.932,14440.462,147641.058,20200602_053939,479173,28518,28898,15657
18,KCXX20200602_094643_V06,36.423,0.163,91.159,416.533,17.989,-74.468,43.979,8994.476,119576.705,20200602_054643,479172,29237,29182,16262
18,KCXX20200602_100050_V06,50.540,0.417,96.375,429.449,27.899,-74.434,43.922,13949.337,120644.091,20200602_060050,479174,29794,31153,16281
4,KCXX20200602_083612_V06,-34.093,0.063,35.951,138.996,58.572,-74.847,45.223,29285.854,154632.035,20200602_043612,479173,46438,34229,33834
8,KCXX20200602_091124_V06,1.107,0.255,30.092,104.531,34.285,-74.889,45.378,17142.439,166627.155,20200602_051124,479168,26593,25534,15559
9,KCXX20200602_091124_V06,1.107,0.108,27.212,295.360,27.691,-74.882,44.519,13845.659,136413.490,20200602_051124,479168,26593,25534,15559
10,KCXX20200602_091124_V06,1.107,0.087,253.363,287.440,16.272,-73.460,44.567,8135.773,24149.290,20200602_051124,479168,26593,25534,15559
12,KCXX20200602_092532_V06,15.240,0.055,26.077,216.622,37.112,-74.900,44.873,18556.099,143165.607,20200602_052532,479174,26253,26020,15539
16,KCXX20200602_093939_V06,29.357,0.082,369.454,404.215,16.319,-72.733,44.041,8159.721,62619.276,20200602_053939,479173,28518,28898,15657
19,KCXX20200602_100050_V06,50.540,0.138,68.988,368.270,37.937,-74.611,44.195,18968.609,120444.552,20200602_060050,479174,29794,31153,16281
23,KCXX20200602_102821_V06,78.057,0.126,217.261,390.728,28.532,-73.683,44.102,14265.871,61395.045,20200602_062821,479172,33838,35840,17308
1,KCXX20200604_093221_V06,22.938,0.061,45.395,299.831,53.878,-74.767,44.501,26939.003,127302.303,20200604_053221,479168,35503,31636,18409
12,KCXX20200606_084234_V06,-26.114,0.076,202.054,514.326,41.086,-73.772,43.545,20543.003,117823.130,20200606_044234,479175,43719,47659,20407
12,KCXX20200606_084741_V06,-20.998,0.055,204.774,514.528,46.950,-73.756,43.544,23475.226,117356.348,20200606_044741,479173,38871,42109,18810
12,KCXX20200606_085231_V06,-16.164,-1.000,206.865,514.682,52.890,-73.743,43.544,26445.072,117007.164,20200606_045231,479179,38836,38267,20059
12,KCXX20200606_090153_V06,-6.798,0.061,242.527,505.943,36.950,-73.522,43.584,18474.850,106906.049,20200606_050153,479170,39298,39833,20111
14,KCXX20200606_084741_V06,-20.998,0.060,243.359,257.576,18.993,-73.524,44.701,9496.738,35383.430,20200606_044741,479173,38871,42109,18810
14,KCXX20200606_085231_V06,-16.164,0.243,245.944,255.727,24.272,-73.507,44.710,12135.843,34936.295,20200606_045231,479179,38836,38267,20059
9,KCXX20200606_083220_V06,-36.348,0.059,395.983,361.113,20.688,-72.566,44.235,10344.229,56893.594,20200606_043220,479178,61644,55762,30664
5,KCXX20200607_093235_V06,24.211,0.065,215.082,374.080,8.830,-73.697,44.177,4414.774,56344.833,20200607_053235,479173,14213,9798,12906
6,KCXX20200607_094621_V06,37.978,0.119,205.010,400.236,8.819,-73.759,44.059,4409.744,69047.746,20200607_054621,479172,14158,9733,12860
6,KCXX20200607_095313_V06,44.844,0.055,205.285,399.936,3.192,-73.757,44.060,1596.130,68844.370,20200607_055313,479172,13935,10374,12667
1,KCXX20200608_081150_V06,-56.268,0.062,205.306,400.286,2.968,-73.757,44.058,1484.003,68964.075,20200608_041150,479171,23142,16620,19141
1,KCXX20200608_081843_V06,-49.385,0.077,205.271,400.223,9.944,-73.758,44.059,4971.855,68953.086,20200608_041843,479174,19345,15937,16130
2,KCXX20200608_081150_V06,-56.268,0.059,215.897,373.558,6.687,-73.692,44.179,3343.727,55866.209,20200608_041150,479171,23142,16620,19141
2,KCXX20200608_081843_V06,-49.385,0.051,216.057,374.049,13.823,-73.691,44.177,6911.539,55967.788,20200608_041843,479174,19345,15937,16130
