track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KDIX20200602_094808_V06,17.622,0.195,450.274,181.604,29.263,-73.525,40.477,14631.668,95655.572,20200602_054808,479168,26494,32428,20544
2,KDIX20200602_100201_V06,31.506,0.511,448.865,181.530,32.529,-73.533,40.477,16264.678,95126.020,20200602_060201,479172,23874,29460,17761
2,KDIX20200602_100846_V06,38.256,0.063,444.360,184.148,28.416,-73.560,40.466,14207.977,92549.258,20200602_060846,479166,23967,29208,17559
1,KDIX20200602_091255_V06,-17.594,0.051,438.530,160.473,2.939,-73.593,40.572,1469.696,98308.802,20200602_051255,479164,28609,43551,20988
4,KDIX20200602_102909_V06,58.639,0.065,495.620,422.344,14.412,-73.276,39.390,7205.986,115364.005,20200602_062909,479165,26370,32925,18861
34,KDIX20200603_101311_V06,43.024,0.556,36.477,430.093,38.408,-75.940,39.351,19203.770,146942.788,20200603_061311,479170,41117,63206,10056
34,KDIX20200603_101817_V06,48.124,0.256,38.666,427.929,47.392,-75.927,39.361,23696.048,145482.776,20200603_061817,479168,39131,59285,10394
34,KDIX20200603_102324_V06,53.241,0.795,47.741,418.045,57.793,-75.876,39.406,28896.281,139256.252,20200603_062324,479167,37321,55756,11096
34,KDIX20200603_102831_V06,58.358,0.617,56.400,429.313,56.960,-75.824,39.356,28480.025,137897.769,20200603_062831,479166,37658,53984,12329
34,KDIX20200603_103338_V06,63.474,0.075,62.489,425.144,67.703,-75.789,39.375,33851.480,134231.904,20200603_063338,479168,36740,51840,12300
17,KDIX20200603_091401_V06,-16.142,0.065,47.057,159.310,18.288,-75.905,40.571,9144.215,144718.707,20200603_051401,479166,89547,128271,10995
17,KDIX20200603_091934_V06,-10.592,0.061,49.648,162.915,24.501,-75.889,40.555,12250.642,142713.298,20200603_051934,479174,87582,122452,13829
17,KDIX20200603_092456_V06,-5.226,0.097,50.035,163.693,32.711,-75.887,40.551,16355.673,142356.828,20200603_052456,479172,81585,118144,12819
23,KDIX20200603_093017_V06,0.124,0.074,19.319,35.170,22.473,-76.082,41.127,11236.535,192948.660,20200603_053017,479168,75036,112506,12021
23,KDIX20200603_093535_V06,5.424,-1.000,19.319,35.170,30.900,-76.082,41.127,15450.035,192948.660,20200603_053535,479163,68360,103504,11653
23,KDIX20200603_094109_V06,10.991,0.160,28.795,44.745,35.637,-76.025,41.085,17818.410,186216.886,20200603_054109,479172,63422,98281,10555
16,KDIX20200603_091401_V06,-16.142,0.083,270.552,414.164,22.939,-74.582,39.433,11469.561,58950.302,20200603_051401,479166,89547,128271,10995
16,KDIX20200603_091934_V06,-10.592,0.051,283.096,421.720,19.151,-74.509,39.399,9575.619,61444.138,20200603_051934,479174,87582,122452,13829
1,KDIX20200604_091831_V06,-11.323,0.091,293.032,402.633,31.762,-74.452,39.485,15880.865,51434.700,20200604_051831,479170,32908,34620,26841
1,KDIX20200604_092529_V06,-4.356,-1.000,293.032,402.633,42.839,-74.452,39.485,21419.365,51434.700,20200604_052529,479168,31275,30977,25982
1,KDIX20200604_093222_V06,2.527,0.053,312.704,415.625,32.029,-74.337,39.426,16014.664,58160.666,20200604_053222,479170,27568,30269,22700
1,KDIX20200605_084555_V06,-43.635,0.165,71.811,163.369,72.862,-75.758,40.554,36430.885,132983.275,20200605_044555,479172,138887,141856,29297
15,KDIX20200605_095017_V06,20.732,0.059,15.824,299.608,19.199,-76.074,39.937,9599.318,142088.346,20200605_055017,479168,59390,86856,11764
1,KDIX20200607_093052_V06,1.793,0.062,167.611,139.663,2.252,-75.194,40.666,1126.154,103964.904,20200607_053052,479166,14739,25046,10770
2,KDIX20200607_093956_V06,10.860,0.073,365.320,143.490,12.325,-74.025,40.651,6162.590,84796.962,20200607_053956,479164,12762,26583,9424
1,KDIX20200609_083150_V06,-56.892,0.127,409.044,515.281,22.914,-73.782,38.976,11457.058,120661.234,20200609_043150,479165,62363,30087,53205
1,KDIX20200609_083854_V06,-49.825,0.364,415.133,516.748,30.147,-73.747,38.969,15073.345,122714.363,20200609_043854,479169,58087,32057,48620
1,KDIX20200609_084559_V06,-42.742,0.514,421.375,517.273,29.201,-73.711,38.966,14600.702,124437.994,20200609_044559,479167,51701,33536,42432
1,KDIX20200609_085304_V06,-35.658,0.125,422.890,515.699,28.465,-73.702,38.973,14232.330,124124.651,20200609_045304,479168,43395,33413,35330
4,KDIX20200609_084559_V06,-42.742,0.218,379.684,507.653,19.214,-73.951,39.011,9607.132,111208.373,20200609_044559,479167,51701,33536,42432
5,KDIX20200609_084559_V06,-42.742,0.118,311.299,508.452,38.172,-74.346,39.008,19086.035,104378.821,20200609_044559,479167,51701,33536,42432
6,KDIX20200609_091416_V06,-14.458,0.074,408.522,167.803,6.740,-73.771,40.540,3370.159,85517.471,20200609_051416,479167,50969,31142,43279
8,KDIX20200609_093530_V06,6.775,0.073,222.664,507.564,15.321,-74.858,39.011,7660.467,110751.358,20200609_053530,479170,65165,38483,53963
9,KDIX20200609_102706_V06,58.375,0.086,161.946,414.719,21.026,-75.213,39.428,10512.917,89748.700,20200609_062706,479168,54873,36036,44125
1,KDIX20200610_084125_V06,-47.183,0.088,283.428,383.858,6.356,-74.508,39.569,3178.061,42739.898,20200610_044125,479170,17118,26957,13562
1,KDIX20200612_094405_V06,15.638,0.065,329.354,415.949,22.776,-74.241,39.425,11387.882,59803.542,20200612_054405,479165,51056,43592,42427
1,KDIX20200613_091827_V06,-9.966,0.075,266.011,160.143,4.204,-74.612,40.577,2102.127,71963.980,20200613_051827,479167,18024,20052,14751
1,KDIX20200613_092510_V06,-3.249,-1.000,266.011,160.143,14.884,-74.612,40.577,7441.877,71963.980,20200613_052510,479169,17479,22359,14113
1,KDIX20200613_093155_V06,3.501,-1.000,266.011,160.143,25.616,-74.612,40.577,12808.127,71963.980,20200613_053155,479167,18124,24428,14870
1,KDIX20200613_093840_V06,10.251,0.086,271.569,146.330,24.600,-74.579,40.639,12300.208,78139.166,20200613_053840,479169,19765,26145,16116
3,KDIX20200613_093155_V06,3.501,0.076,265.271,165.443,2.598,-74.616,40.553,1299.007,69483.035,20200613_053155,479167,18124,24428,14870
5,KDIX20200613_094528_V06,17.051,0.112,362.932,143.561,15.947,-74.039,40.651,7973.633,84311.161,20200613_054528,479166,19937,28129,16241
2,KDIX20200614_092823_V06,-0.036,0.136,91.281,408.935,17.650,-75.624,39.450,8825.201,117718.520,20200614_052823,479167,12981,21756,9254
2,KDIX20200614_093516_V06,6.848,0.059,92.433,410.180,25.283,-75.617,39.444,12641.267,117498.629,20200614_053516,479169,13557,21882,9928
1,KDIX20200614_092823_V06,-0.036,0.139,273.708,150.537,15.818,-74.566,40.620,7908.871,75879.159,20200614_052823,479167,12981,21756,9254
