track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KDOX20170601_084122_V06,-57.078,0.103,407.659,250.208,10.203,-74.818,39.048,5101.589,59307.874,20170601_044122,479170,84442,52034,64846
1,KDOX20170601_084618_V06,-52.145,0.102,407.440,250.395,16.757,-74.819,39.047,8378.439,59169.338,20170601_044618,479173,85748,52924,66142
1,KDOX20170601_085114_V06,-47.212,0.445,407.962,252.222,17.565,-74.817,39.039,8782.366,59030.842,20170601_045114,479177,83470,54057,64729
1,KDOX20170601_090106_V06,-37.345,0.173,407.096,254.743,18.078,-74.822,39.028,9038.773,58133.084,20170601_050106,479169,70298,55626,54039
2,KDOX20170601_090602_V06,-32.412,0.127,347.285,53.328,11.168,-75.163,39.936,5584.126,125581.433,20170601_050602,479173,68235,54965,52984
3,KDOX20170601_100020_V06,21.888,0.064,290.524,505.595,18.261,-75.494,37.899,9130.522,102906.637,20170601_060020,479172,56259,47219,44352
2,KDOX20170602_090305_V06,-34.994,0.326,401.232,254.494,15.313,-74.855,39.029,7656.334,55494.966,20170602_050305,479167,28876,27585,20152
2,KDOX20170602_090802_V06,-30.044,0.085,401.437,255.283,21.724,-74.854,39.025,10861.986,55427.823,20170602_050802,479162,29061,26599,20862
1,KDOX20170602_084321_V06,-54.728,0.066,409.133,260.278,18.703,-74.810,39.003,9351.391,58068.626,20170602_044321,479171,24000,27876,14946
3,KDOX20170602_093243_V06,-5.361,0.060,402.198,258.785,19.256,-74.850,39.010,9628.223,55098.031,20170602_053243,479172,61632,23649,51666
4,KDOX20170602_104644_V06,68.656,0.158,371.151,251.018,34.787,-75.029,39.045,17393.272,43190.755,20170602_064644,479177,50383,26373,41597
1,KDOX20170603_083810_V06,-59.574,0.070,136.663,263.579,5.358,-76.383,38.986,2679.237,83673.990,20170603_043810,479168,40098,39690,25184
3,KDOX20170603_084802_V06,-49.708,0.083,399.525,253.404,12.992,-74.865,39.034,6496.189,54946.569,20170603_044802,479159,47328,42970,29320
1,KDOX20170604_092223_V06,-15.052,0.114,353.024,513.851,23.201,-75.139,37.862,11600.698,110163.098,20170604_052223,479163,87106,41809,70985
2,KDOX20170604_092223_V06,-15.052,0.054,416.720,263.652,30.549,-74.766,38.987,15274.742,61124.352,20170604_052223,479163,87106,41809,70985
4,KDOX20170604_093713_V06,-0.219,0.092,411.381,262.888,29.626,-74.797,38.991,14812.992,58700.605,20170604_053713,479178,103041,48705,82817
5,KDOX20170604_095202_V06,14.598,0.109,22.945,450.388,33.560,-77.020,38.137,16779.802,157619.998,20170604_055202,479174,105029,54618,81694
6,KDOX20170604_104616_V06,68.831,0.098,424.847,255.955,35.710,-74.719,39.022,17854.965,66194.474,20170604_064616,479165,154945,57904,119812
6,KDOX20170605_102935_V06,52.423,0.055,23.986,501.329,34.216,-77.009,37.908,17108.179,170819.464,20170605_062935,479163,24757,38809,10645
7,KDOX20170605_105417_V06,77.123,0.072,14.212,107.882,19.213,-77.106,39.679,9606.448,172180.197,20170605_065417,479162,35249,49282,10709
1,KDOX20170608_090428_V06,-32.055,0.761,276.719,143.080,9.093,-75.575,39.532,4546.421,79319.043,20170608_050428,479159,13658,22638,10202
1,KDOX20170608_091413_V06,-22.305,0.368,278.281,143.385,17.304,-75.566,39.531,8651.946,79056.707,20170608_051413,479171,15975,20870,12358
2,KDOX20170609_101553_V06,39.513,0.069,402.486,263.448,20.618,-74.849,38.989,10309.242,54404.585,20170609_061553,479167,27472,20188,22935
2,KDOX20170609_102538_V06,49.263,0.173,402.786,263.699,28.297,-74.847,38.988,14148.262,54504.238,20170609_062538,479176,21257,19531,17134
1,KDOX20170609_092511_V06,-11.187,0.072,409.650,262.544,23.631,-74.807,38.993,11815.590,57935.557,20170609_052511,479169,44188,19143,39169
1,KDOX20170610_095018_V06,14.049,0.079,395.471,273.616,13.835,-74.889,38.943,6917.736,49525.088,20170610_055018,479166,77941,41890,64270
1,KDOX20170611_083817_V06,-57.879,0.489,405.902,245.301,8.065,-74.828,39.070,4032.612,59597.098,20170611_043817,479167,38167,20909,33915
3,KDOX20170611_084800_V06,-48.162,0.167,288.051,143.372,2.286,-75.509,39.531,1143.078,78541.430,20170611_044800,479162,34182,21927,29476
1,KDOX20170612_100150_V06,25.729,0.101,280.934,89.137,3.558,-75.551,39.775,1778.934,105861.677,20170612_060150,479164,36551,23611,32011
3,KDOX20170612_102117_V06,45.179,0.598,339.394,54.116,13.906,-75.210,39.933,6953.056,124509.820,20170612_062117,479171,38332,23770,33744
1,KDOX20170613_093049_V06,-5.260,0.236,200.499,90.110,9.987,-76.021,39.769,4993.629,116140.019,20170613_053049,479172,68666,24064,61482
4,KDOX20170614_091517_V06,-20.797,0.323,283.212,148.237,17.659,-75.538,39.509,8829.498,76344.476,20170614_051517,479173,36509,29139,29529
4,KDOX20170614_092012_V06,-15.880,0.110,283.859,149.150,24.541,-75.534,39.505,12270.375,75855.331,20170614_052012,479175,36988,28008,30123
4,KDOX20170614_092507_V06,-10.963,0.106,286.471,152.219,30.151,-75.519,39.491,15075.394,74199.339,20170614_052507,479176,40605,27916,33207
3,KDOX20170614_090035_V06,-35.497,0.201,283.298,150.215,16.221,-75.537,39.500,8110.313,75356.670,20170614_050035,479177,40557,21828,35602
3,KDOX20170614_091020_V06,-25.747,0.516,291.186,155.572,29.651,-75.491,39.476,14825.473,72348.288,20170614_051020,479165,38233,30645,30810
4,KDOX20170620_093526_V06,-1.298,0.069,253.785,396.781,28.158,-75.704,38.389,14078.814,53624.538,20170620_053526,479179,48342,91462,11187
