track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KEOX20140602_103917_V06,1.656,0.216,443.045,219.338,7.086,-84.704,31.822,3543.148,82110.020,20140602_053917,479188,56564,56420,31915
4,KEOX20140602_104247_V06,5.156,-1.000,443.045,219.338,12.651,-84.704,31.822,6325.648,82110.020,20140602_054247,479182,54640,58946,29165
4,KEOX20140602_104618_V06,8.672,0.055,441.940,218.031,14.825,-84.710,31.828,7412.464,81954.194,20140602_054618,479191,48473,60984,23072
1,KEOX20140603_095454_V06,-42.516,0.122,441.165,321.035,8.574,-84.718,31.363,4286.930,71361.886,20140603_045454,479171,14503,36971,10880
1,KEOX20140604_093945_V06,-57.479,0.056,453.707,324.521,2.418,-84.652,31.347,1209.190,77825.187,20140604_043945,479172,6664,28050,4646
2,KEOX20140604_094927_V06,-47.779,0.081,290.208,200.529,3.131,-85.511,31.909,1565.441,49976.018,20140604_044927,479170,8313,30941,5575
1,KEOX20140605_094042_V06,-56.367,0.319,410.336,407.846,3.189,-84.882,30.973,1594.427,77143.861,20140605_044042,479177,16999,33472,11291
1,KEOX20140605_095024_V06,-46.667,0.102,411.856,408.425,13.164,-84.874,30.970,6582.030,77890.609,20140605_045024,479176,19922,35843,13599
3,KEOX20140605_094042_V06,-56.367,0.070,260.822,56.098,4.641,-85.668,32.560,2320.576,123514.394,20140605_044042,479177,16999,33472,11291
4,KEOX20140605_095024_V06,-46.667,0.561,348.080,115.680,7.066,-85.204,32.291,3532.761,95243.723,20140605_045024,479176,19922,35843,13599
5,KEOX20140605_095024_V06,-46.667,0.148,279.202,82.697,3.356,-85.570,32.440,1677.795,109148.011,20140605_045024,479176,19922,35843,13599
6,KEOX20140605_100005_V06,-36.984,0.138,252.891,150.814,3.172,-85.709,32.133,1585.760,78223.497,20140605_050005,479177,37522,50808,26170
8,KEOX20140605_111701_V06,39.950,0.103,291.876,51.325,5.433,-85.503,32.582,2716.461,124403.739,20140605_061701,479177,234350,65875,193859
1,KEOX20140606_094948_V06,-47.129,0.106,540.722,508.045,17.567,-84.205,30.516,8783.278,159083.138,20140606_044948,479173,16819,39655,11075
3,KEOX20140608_100554_V06,-30.824,0.153,210.330,391.997,2.381,-85.929,31.045,1190.617,64234.292,20140608_050554,479189,23246,58658,12663
3,KEOX20140608_101033_V06,-26.174,0.410,210.341,392.710,8.430,-85.929,31.041,4214.951,64486.151,20140608_051033,479194,28604,56090,17743
3,KEOX20140608_101511_V06,-21.541,0.343,211.422,393.385,10.107,-85.923,31.038,5053.270,64355.842,20140608_051511,479195,33082,54146,21446
1,KEOX20140610_094339_V06,-52.966,0.051,455.755,324.144,2.719,-84.641,31.349,1359.444,78807.392,20140610_044339,479173,13856,65021,7322
8,KEOX20140611_100102_V06,-35.564,0.193,92.760,327.186,69.863,-86.548,31.333,34931.549,104508.006,20140611_050102,479168,110281,138287,31184
8,KEOX20140611_100613_V06,-30.381,0.076,93.936,324.422,78.239,-86.542,31.346,39119.597,103753.016,20140611_050613,479172,120207,139051,37074
8,KEOX20140611_101139_V06,-24.947,0.079,103.002,314.211,82.213,-86.495,31.392,41106.486,98755.103,20140611_051139,479184,129779,136487,42525
6,KEOX20140611_095604_V06,-40.531,0.138,284.192,83.796,54.613,-85.543,32.435,27306.259,108390.629,20140611_045604,479177,109875,136548,32052
