track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KFCX20210601_102418_V06,21.429,0.093,235.974,419.739,6.371,-80.631,36.484,3185.349,67890.876,20210601_062418,479169,6097,25782,5015
1,KFCX20210601_103350_V06,30.963,0.053,236.282,419.938,14.099,-80.630,36.483,7049.319,67906.445,20210601_063350,479172,5913,26021,4726
1,KFCX20210602_111604_V06,73.525,0.078,15.562,258.872,24.709,-81.876,37.199,12354.332,143697.986,20210602_071604,479174,17445,53078,5067
9,KFCX20210604_094452_V06,-17.105,0.088,35.578,334.357,73.431,-81.757,36.860,36715.271,133322.294,20210604_054452,479188,81478,110633,8298
9,KFCX20210604_094905_V06,-12.888,0.058,35.747,333.096,79.757,-81.756,36.866,39878.515,133158.988,20210604_054905,479198,76732,106173,7610
6,KFCX20210607_093728_V06,-23.872,0.051,534.848,475.099,23.576,-78.968,36.228,11787.758,146469.398,20210607_053728,479177,13318,49481,4037
5,KFCX20210610_092015_V06,-40.721,0.070,380.611,544.030,30.284,-79.828,35.924,15142.075,128499.759,20210610_052015,479184,144377,183248,14343
11,KFCX20210610_094208_V06,-18.837,0.053,231.831,156.033,11.605,-80.661,37.672,5802.580,79645.372,20210610_054208,479201,133119,166760,12298
9,KFCX20210611_101743_V06,16.810,0.057,368.865,326.106,11.886,-79.888,36.906,5942.974,36823.602,20210611_061743,479193,29200,61104,4333
1,KFCX20210619_091942_V06,-41.706,0.369,173.767,103.618,23.197,-80.992,37.907,11598.616,116726.714,20210619_051942,479194,12471,46175,3456
15,KFCX20210619_112004_V06,78.660,0.533,97.168,33.941,35.272,-81.432,38.217,17636.185,167278.546,20210619_072004,479197,11406,61764,4032
5,KFCX20210622_100135_V06,-0.455,0.085,501.731,309.143,14.738,-79.141,36.978,7369.205,100969.060,20210622_060135,479202,96742,134605,10751
39,KFCX20210702_110444_V06,59.006,0.305,366.938,110.282,22.982,-79.894,37.878,11490.990,100590.313,20210702_070444,479200,180817,214064,9789
39,KFCX20210702_110955_V06,64.190,0.441,367.168,113.399,27.823,-79.893,37.864,13911.624,99160.726,20210702_070955,479186,178652,211102,9975
17,KFCX20210702_100746_V06,2.040,0.113,99.499,458.067,57.503,-81.390,36.307,28751.564,127657.254,20210702_060746,479196,207956,239717,10358
17,KFCX20210702_101258_V06,7.240,0.108,120.835,459.373,49.955,-81.272,36.302,24977.291,119895.383,20210702_061258,479192,204109,235498,9851
27,KFCX20210702_101810_V06,12.440,0.058,188.822,171.828,5.825,-80.904,37.600,2912.462,84835.927,20210702_061810,479190,200407,233203,10047
43,KFCX20210702_110955_V06,64.190,0.082,189.585,197.827,34.590,-80.898,37.483,17295.069,75217.796,20210702_070955,479186,178652,211102,9975
9,KFCX20210717_102945_V06,14.859,0.082,257.866,234.086,11.877,-80.512,37.321,5938.284,39114.786,20210717_062945,479193,28415,63474,9203
1,KFCX20210719_093701_V06,-39.326,0.124,26.094,302.471,38.621,-81.813,37.003,19310.638,136958.423,20210719_053701,479186,212093,216596,35936
1,KFCX20210719_094220_V06,-34.009,0.124,26.975,302.920,45.480,-81.808,37.001,22739.905,136520.257,20210719_054220,479193,209353,221374,29631
1,KFCX20210719_094741_V06,-28.659,-1.000,27.706,303.292,52.662,-81.804,36.999,26331.182,136156.837,20210719_054741,479175,206010,225972,23720
1,KFCX20210719_095302_V06,-23.309,0.103,34.350,298.112,56.201,-81.767,37.023,28100.308,132828.562,20210719_055302,479200,205743,231615,19394
6,KFCX20210719_110543_V06,49.374,0.052,38.647,397.913,69.658,-81.734,36.574,34829.182,139546.231,20210719_070543,479190,246834,272511,13518
1,KFCX20210720_101628_V06,-0.616,0.789,479.734,311.969,27.563,-79.265,36.966,13781.513,90066.072,20210720_061628,479176,10299,65465,7502
1,KFCX20210720_102600_V06,8.918,0.134,477.292,313.726,38.544,-79.279,36.958,19272.212,88911.255,20210720_062600,479181,16328,69063,12657
1,KFCX20210720_103533_V06,18.468,0.079,470.483,316.530,46.436,-79.317,36.946,23217.840,85641.241,20210720_063533,479174,18551,69177,14837
2,KFCX20210720_104504_V06,27.984,0.538,174.964,319.802,9.840,-80.976,36.933,4920.195,63297.201,20210720_064504,479174,18939,69141,15361
2,KFCX20210720_110407_V06,47.034,0.587,169.338,321.313,26.294,-81.007,36.926,13146.859,66194.195,20210720_070407,479174,17505,70740,13655
2,KFCX20210720_111339_V06,56.568,0.152,171.065,323.175,31.865,-80.998,36.918,15932.718,65500.574,20210720_071339,479175,17172,72538,13252
1,KFCX20210721_102127_V06,3.619,0.339,496.844,308.874,28.677,-79.169,36.979,14338.474,98521.710,20210721_062127,479179,12133,63190,9393
1,KFCX20210721_103058_V06,13.135,0.057,499.587,309.891,41.785,-79.153,36.974,20892.334,99916.099,20210721_063058,479178,18383,68924,14039
2,KFCX20210721_103058_V06,13.135,0.271,90.045,101.492,40.116,-81.468,37.912,20057.880,144470.397,20210721_063058,479178,18383,68924,14039
3,KFCX20210721_104030_V06,22.669,0.554,183.705,323.073,23.449,-80.927,36.918,11724.739,59280.941,20210721_064030,479176,20148,66965,15580
2,KFCX20210722_102500_V06,6.412,0.559,174.810,318.511,15.447,-80.977,36.939,7723.595,63275.697,20210722_062500,479176,13981,56636,11541
2,KFCX20210722_103432_V06,15.945,0.421,175.346,318.880,24.560,-80.974,36.937,12279.993,63037.648,20210722_063432,479175,15621,59807,12980
2,KFCX20210722_104404_V06,25.478,0.181,184.631,325.653,32.779,-80.921,36.907,16389.365,59093.301,20210722_064404,479174,13377,65439,10872
1,KFCX20210722_101528_V06,-3.122,0.244,475.343,313.920,29.279,-79.290,36.957,14639.259,87947.225,20210722_061528,479176,8605,51005,6905
1,KFCX20210722_102500_V06,6.412,0.203,476.614,313.028,43.612,-79.283,36.961,21806.212,88546.878,20210722_062500,479176,13981,56636,11541
4,KFCX20210722_103432_V06,15.945,0.067,88.548,106.755,47.774,-81.476,37.889,23887.032,143226.661,20210722_063432,479175,15621,59807,12980
1,KFCX20210723_102021_V06,0.997,0.129,173.717,315.778,15.082,-80.983,36.951,7541.084,63632.306,20210723_062021,479174,13848,50049,11696
1,KFCX20210723_102953_V06,10.530,0.669,176.224,316.033,24.301,-80.969,36.950,12150.430,62404.981,20210723_062953,479176,17328,50481,14992
1,KFCX20210723_103924_V06,20.047,0.160,192.305,325.133,43.136,-80.878,36.909,21567.987,55294.436,20210723_063924,479176,16041,48731,13460
2,KFCX20210723_102953_V06,10.530,0.647,77.537,99.895,46.572,-81.539,37.919,23285.910,149609.229,20210723_062953,479176,17328,50481,14992
2,KFCX20210723_103924_V06,20.047,0.300,81.432,104.477,61.038,-81.517,37.899,30518.837,146629.583,20210723_063924,479176,16041,48731,13460
2,KFCX20210723_104856_V06,29.580,0.123,91.370,105.247,66.619,-81.460,37.896,33309.432,142701.531,20210723_064856,479173,12069,50246,9849
2,KFCX20210726_101756_V06,-3.758,0.071,224.988,276.692,10.715,-80.696,37.128,5357.637,39274.572,20210726_061756,479200,13234,63317,6146
2,KFCX20210726_102156_V06,0.242,0.118,224.802,276.825,16.397,-80.697,37.128,8198.736,39344.142,20210726_062156,479193,14778,63701,7107
2,KFCX20210727_104246_V06,20.284,0.717,170.065,316.931,15.718,-81.004,36.946,7858.786,65516.630,20210727_064246,479178,22564,72594,17586
2,KFCX20210727_110150_V06,39.350,0.580,174.362,317.749,26.780,-80.979,36.942,13390.113,63442.553,20210727_070150,479175,19395,72076,15343
2,KFCX20210727_111123_V06,48.900,0.118,173.444,319.991,28.348,-80.984,36.932,14174.211,64062.652,20210727_071123,479179,17397,71702,13275
1,KFCX20210727_103313_V06,10.734,0.115,181.983,321.840,20.282,-80.936,36.924,10140.762,60010.171,20210727_063313,479171,22225,73408,16932
2,KFCX20210728_101848_V06,-4.481,0.169,497.365,307.172,26.264,-79.166,36.987,13131.981,98747.475,20210728_061848,479178,29994,58932,26575
2,KFCX20210728_102821_V06,5.069,0.301,501.564,309.429,38.599,-79.142,36.976,19299.291,100892.115,20210728_062821,479175,41137,54220,36608
2,KFCX20210728_103753_V06,14.603,0.203,509.138,309.083,46.448,-79.100,36.977,23224.071,104667.469,20210728_063753,479176,40549,57370,35515
2,KFCX20210728_104725_V06,24.136,0.065,522.999,314.256,62.067,-79.022,36.953,31033.473,111727.157,20210728_064725,479178,40468,62378,34765
3,KFCX20210728_102821_V06,5.069,0.723,70.577,100.327,37.518,-81.579,37.917,18758.808,152072.536,20210728_062821,479175,41137,54220,36608
3,KFCX20210728_103753_V06,14.603,0.847,73.429,103.819,51.373,-81.562,37.901,25686.707,149851.058,20210728_063753,479176,40549,57370,35515
3,KFCX20210728_104725_V06,24.136,0.611,78.356,108.635,62.146,-81.534,37.880,31072.924,146412.868,20210728_064725,479178,40468,62378,34765
4,KFCX20210728_102821_V06,5.069,0.528,179.229,320.733,17.262,-80.952,36.929,8631.048,61268.897,20210728_062821,479175,41137,54220,36608
4,KFCX20210728_103753_V06,14.603,0.142,181.645,321.566,28.704,-80.938,36.925,14352.234,60152.032,20210728_063753,479176,40549,57370,35515
1,KFCX20210729_103701_V06,12.933,0.069,95.565,106.178,30.755,-81.436,37.892,15377.683,140855.069,20210729_063701,479175,15877,67693,13513
2,KFCX20210729_103701_V06,12.933,0.061,222.735,333.649,24.773,-80.707,36.872,12386.276,42136.913,20210729_063701,479175,15877,67693,13513
2,KFCX20210730_102248_V06,-2.091,0.051,179.600,319.780,13.592,-80.950,36.933,6796.173,61006.866,20210730_062248,479202,9911,71112,5946
2,KFCX20210731_102258_V06,-2.737,0.187,472.292,305.494,25.972,-79.306,36.995,12986.038,86189.577,20210731_062258,479176,12286,59768,9590
