track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KGRR20140604_090953_V06,-55.013,0.087,34.863,411.067,52.617,-87.155,42.383,26308.273,143730.328,20140604_050953,479183,77072,53185,44894
1,KGRR20140606_100738_V06,3.430,0.056,197.640,359.113,10.559,-86.169,42.626,5279.499,59101.622,20140606_060738,479191,44393,32592,26877
2,KGRR20140606_105557_V06,51.747,0.087,180.089,410.431,3.312,-86.273,42.395,1655.970,81507.144,20140606_065557,479206,43471,31137,23443
1,KGRR20140614_104230_V06,39.646,0.090,166.753,87.208,6.018,-86.373,43.849,3008.978,125534.050,20140614_064230,479185,19062,16051,13102
2,KGRR20140614_105126_V06,48.580,0.069,281.193,290.273,7.289,-85.660,42.938,3644.703,10586.539,20140614_065126,479187,18448,16906,12488
13,KGRR20140617_105414_V06,51.299,0.065,130.760,345.774,27.822,-86.577,42.683,13911.237,87660.195,20140617_065414,479202,123229,130431,28323
18,KGRR20140617_111606_V06,73.166,0.269,386.310,205.986,28.808,-85.013,43.316,14404.213,63812.407,20140617_071606,479200,129116,134616,31055
1,KGRR20140620_112640_V06,83.337,0.194,29.411,464.492,44.051,-87.181,42.142,22025.555,158332.174,20140620_072640,479195,138162,150040,16837
1,KGRR20140620_113203_V06,88.720,0.445,29.586,465.623,51.406,-87.180,42.137,25702.871,158551.675,20140620_073203,479194,140661,150935,18004
1,KGRR20140623_110155_V06,57.884,0.081,6.613,131.324,11.556,-87.363,43.639,5777.943,169209.462,20140623_070155,479204,97971,99113,28738
5,KGRR20140624_095309_V06,-11.183,0.069,41.937,158.337,58.708,-87.141,43.520,29354.183,147194.549,20140624_055309,479199,105616,113778,15093
5,KGRR20140624_095733_V06,-6.783,0.157,42.393,157.905,64.641,-87.138,43.522,32320.265,147099.018,20140624_055733,479213,105127,118359,12116
5,KGRR20140624_100158_V06,-2.366,0.320,44.895,155.008,65.484,-87.123,43.536,32742.239,146715.203,20140624_060158,479213,107094,121532,10956
5,KGRR20140624_100651_V06,2.517,0.601,47.291,168.244,51.574,-87.106,43.476,25786.770,142497.106,20140624_060651,479210,115125,128771,12267
3,KGRR20140624_093533_V06,-28.783,0.118,24.076,224.940,27.432,-87.243,43.219,13716.030,142975.791,20140624_053533,479205,109712,107327,24652
9,KGRR20140624_110337_V06,59.284,0.170,471.119,295.197,18.951,-84.497,42.911,9475.300,85593.028,20140624_070337,479214,182978,188921,19090
13,KGRR20140624_111423_V06,70.051,0.073,38.022,216.002,70.097,-87.158,43.261,35048.748,137557.629,20140624_071423,479208,194521,198506,19301
2,KGRR20140625_102423_V06,19.718,0.459,188.264,264.020,4.860,-86.230,43.054,2430.117,58693.176,20140625_062423,479215,9914,17500,7185
2,KGRR20140625_102847_V06,24.118,0.350,188.340,263.851,10.503,-86.230,43.055,5251.419,58682.841,20140625_062847,479197,9752,17123,7060
2,KGRR20140625_103311_V06,28.518,0.094,188.355,263.385,12.270,-86.230,43.057,6135.055,58747.851,20140625_063311,479210,9327,16408,6788
1,KGRR20140627_100055_V06,-4.508,0.079,393.718,508.381,11.420,-84.980,41.955,5710.073,114242.669,20140627_060055,479184,44959,47799,36717
5,KGRR20140630_103755_V06,31.128,0.075,19.126,521.391,27.990,-87.237,41.885,13995.085,178818.254,20140630_063755,479204,63502,76434,19614
5,KGRR20140630_104317_V06,36.494,0.163,20.968,522.245,33.857,-87.226,41.881,16928.423,178361.712,20140630_064317,479202,57102,69986,17779
6,KGRR20140630_103755_V06,31.128,0.071,293.963,368.783,17.978,-85.581,42.584,8989.222,34523.804,20140630_063755,479204,63502,76434,19614
1,KGRR20140701_090924_V06,-57.901,0.270,197.155,215.585,16.379,-86.178,43.272,8189.386,66526.241,20140701_050924,479209,71001,25829,64280
1,KGRR20140702_091124_V06,-56.442,0.420,201.352,219.121,10.944,-86.152,43.256,5472.134,63782.529,20140702_051124,479213,53788,41276,36654
1,KGRR20140702_091548_V06,-52.042,0.077,201.404,220.213,16.498,-86.152,43.251,8248.849,63417.875,20140702_051548,479182,51248,46213,35461
2,KGRR20140702_100023_V06,-7.458,0.120,211.349,262.427,10.595,-86.089,43.062,5297.707,48142.274,20140702_060023,479188,26857,36379,13802
1,KGRR20140703_093409_V06,-34.259,0.062,42.991,260.486,88.988,-87.122,43.061,44493.912,130014.223,20140703_053409,479196,232176,213449,33552
1,KGRR20140703_093932_V06,-28.875,-1.000,42.991,260.486,97.547,-87.122,43.061,48773.662,130014.223,20140703_053932,479207,233675,218869,29652
1,KGRR20140703_094456_V06,-23.475,0.076,54.833,257.338,86.683,-87.050,43.076,43341.480,124425.435,20140703_054456,479214,234463,219878,27742
11,KGRR20140703_111649_V06,68.408,0.096,517.090,448.752,12.488,-84.230,42.217,6244.089,131582.065,20140703_071649,479203,216400,196000,32290
4,KGRR20140704_094730_V06,-21.502,0.189,209.734,322.707,2.974,-86.096,42.790,1487.019,46538.949,20140704_054730,479184,29832,30337,21770
4,KGRR20140704_095624_V06,-12.602,0.607,201.295,346.891,9.152,-86.147,42.681,4575.909,54638.198,20140704_055624,479185,49792,29950,38410
4,KGRR20140704_100519_V06,-3.685,0.366,200.224,359.572,9.820,-86.153,42.624,4909.973,58103.724,20140704_060519,479187,73982,26988,61679
4,KGRR20140704_101415_V06,5.248,0.096,204.109,360.955,13.589,-86.129,42.618,6794.614,56812.213,20140704_061415,479191,81258,26709,68812
3,KGRR20140704_094730_V06,-21.502,0.254,353.263,115.825,5.372,-85.214,43.722,2685.932,95861.165,20140704_054730,479184,29832,30337,21770
6,KGRR20140704_094730_V06,-21.502,0.107,458.345,246.098,2.536,-84.572,43.132,1268.147,83634.002,20140704_054730,479184,29832,30337,21770
7,KGRR20140704_103206_V06,23.098,0.065,302.872,515.466,12.825,-85.527,41.924,6412.499,107742.478,20140704_063206,479187,68458,25860,56847
1,KGRR20140705_095756_V06,-11.688,0.199,305.600,374.962,4.897,-85.511,42.556,2448.725,37585.647,20140705_055756,479184,52515,17517,45429
2,KGRR20140705_101545_V06,6.129,0.068,356.326,391.008,5.060,-85.202,42.484,2530.153,53514.150,20140705_061545,479185,71830,14728,64763
1,KGRR20140706_091118_V06,-58.964,0.134,196.665,218.771,17.713,-86.181,43.258,8856.560,65719.735,20140706_051118,479216,41099,22875,36420
12,KGRR20140708_103644_V06,25.110,0.072,262.791,319.253,12.523,-85.772,42.807,6261.415,20947.294,20140708_063644,479198,141601,144395,26999
1,KGRR20140709_100718_V06,-5.037,0.506,193.555,268.099,8.740,-86.198,43.036,4370.152,55561.424,20140709_060718,479183,27325,30689,19917
1,KGRR20140709_101613_V06,3.880,0.772,194.255,268.186,16.372,-86.194,43.035,8186.058,55213.531,20140709_061613,479186,36700,25910,28055
1,KGRR20140709_102508_V06,12.797,0.733,195.562,270.123,22.993,-86.185,43.027,11496.376,54313.708,20140709_062508,479186,36025,24566,26058
1,KGRR20140709_103403_V06,21.713,0.215,198.193,271.782,30.485,-86.169,43.019,15242.599,52822.371,20140709_063403,479187,34058,24633,23329
2,KGRR20140709_100718_V06,-5.037,0.082,202.023,359.870,6.056,-86.142,42.623,3027.805,57410.663,20140709_060718,479183,27325,30689,19917
2,KGRR20140709_101613_V06,3.880,0.074,203.036,360.384,16.697,-86.136,42.621,8348.610,57114.369,20140709_061613,479186,36700,25910,28055
1,KGRR20140710_095856_V06,-14.139,0.346,200.541,261.876,8.704,-86.155,43.064,4352.074,53257.961,20140710_055856,479185,20783,25540,15275
1,KGRR20140710_100752_V06,-5.205,0.759,193.343,265.973,19.945,-86.199,43.045,9972.351,55976.509,20140710_060752,479187,34358,22262,27648
1,KGRR20140710_101648_V06,3.728,0.773,190.732,266.295,24.625,-86.215,43.044,12312.291,57174.187,20140710_061648,479184,43466,20716,36371
1,KGRR20140710_102543_V06,12.645,0.395,192.866,265.599,30.197,-86.202,43.047,15098.269,56260.618,20140710_062543,479190,40850,20842,33314
2,KGRR20140710_095856_V06,-14.139,0.215,198.527,359.672,5.333,-86.163,42.624,2666.286,58859.152,20140710_055856,479185,20783,25540,15275
2,KGRR20140710_100752_V06,-5.205,0.681,198.355,360.660,11.389,-86.164,42.619,5694.315,59185.024,20140710_060752,479187,34358,22262,27648
2,KGRR20140710_101648_V06,3.728,0.576,198.443,362.228,13.116,-86.164,42.612,6558.091,59552.726,20140710_061648,479184,43466,20716,36371
2,KGRR20140710_102543_V06,12.645,0.050,204.647,363.008,15.924,-86.126,42.609,7962.235,57144.994,20140710_062543,479190,40850,20842,33314
4,KGRR20140710_095856_V06,-14.139,0.104,321.016,390.321,2.044,-85.417,42.487,1022.194,46367.038,20140710_055856,479185,20783,25540,15275
6,KGRR20140710_095856_V06,-14.139,0.078,351.666,238.041,5.622,-85.227,43.172,2811.012,40336.754,20140710_055856,479185,20783,25540,15275
8,KGRR20140710_095856_V06,-14.139,0.056,376.872,322.403,2.291,-85.075,42.792,1145.424,40035.072,20140710_055856,479185,20783,25540,15275
1,KGRR20140711_095702_V06,-16.795,0.097,521.466,406.570,12.392,-84.200,42.406,6195.814,122886.576,20140711_055702,479185,38819,24125,31280
2,KGRR20140711_095702_V06,-16.795,0.056,434.945,351.609,5.221,-84.722,42.659,2610.371,72238.787,20140711_055702,479185,38819,24125,31280
3,KGRR20140711_102348_V06,9.971,0.075,470.960,181.473,19.324,-84.489,43.422,9661.865,104014.616,20140711_062348,479196,100661,23350,89156
3,KGRR20140711_103244_V06,18.905,0.131,472.780,183.852,15.517,-84.478,43.412,7758.720,104095.136,20140711_063244,479197,98237,29233,81594
5,KGRR20140711_113914_V06,85.405,0.057,295.826,402.735,16.735,-85.570,42.431,8367.712,51410.001,20140711_073914,479200,62826,33503,46498
3,KGRR20140712_100247_V06,-11.822,0.196,203.202,256.083,13.706,-86.139,43.090,6852.873,53147.343,20140712_060247,479200,59687,32707,47879
3,KGRR20140712_100711_V06,-7.422,0.246,202.858,256.052,20.011,-86.141,43.090,10005.721,53310.532,20140712_060711,479211,69442,30496,57238
1,KGRR20140712_091840_V06,-55.939,0.102,168.235,84.343,3.530,-86.364,43.862,1765.095,126362.296,20140712_051840,479185,86787,23106,78216
4,KGRR20140712_100247_V06,-11.822,0.087,301.669,376.733,5.248,-85.535,42.549,2624.056,38375.419,20140712_060247,479200,59687,32707,47879
2,KGRR20140713_101542_V06,0.297,0.320,207.731,272.711,5.853,-86.111,43.015,2926.300,48109.834,20140713_061542,479210,68406,79374,15409
2,KGRR20140713_102001_V06,4.614,0.268,207.923,273.615,12.185,-86.109,43.011,6092.632,47891.553,20140713_062001,479204,69475,77846,17130
2,KGRR20140713_102419_V06,8.914,0.135,208.222,275.755,17.280,-86.108,43.002,8640.104,47463.113,20140713_062419,479208,68058,76378,16962
1,KGRR20140714_100309_V06,-13.069,0.266,201.179,265.595,14.852,-86.151,43.047,7425.951,52319.412,20140714_060309,479213,52713,37343,41716
1,KGRR20140714_100728_V06,-8.752,0.131,201.557,265.960,21.197,-86.149,43.046,10598.450,52080.919,20140714_060728,479199,59873,35642,48361
1,KGRR20140714_101148_V06,-4.419,0.260,204.197,268.665,23.468,-86.132,43.033,11733.944,50398.859,20140714_061148,479200,68538,33651,56802
1,KGRR20140714_101606_V06,-0.119,0.183,211.960,268.936,17.106,-86.085,43.032,8552.780,46679.873,20140714_061606,479206,75222,30208,63593
1,KGRR20140714_102025_V06,4.198,0.075,212.353,268.929,22.879,-86.082,43.032,11439.577,46495.561,20140714_062025,479212,76754,28535,65685
