track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
7,KGSP20140605_112249_V06,67.368,0.815,37.529,423.379,60.119,-83.646,34.319,30059.467,145011.644,20140605_072249,479184,49855,39960,35261
7,KGSP20140605_112837_V06,73.168,0.869,39.343,430.756,61.223,-83.636,34.285,30611.614,145807.295,20140605_072837,479182,50450,40543,35160
7,KGSP20140605_113424_V06,78.951,0.711,45.192,431.424,65.440,-83.604,34.283,32719.954,143351.937,20140605_073424,479191,48477,41351,33835
7,KGSP20140605_114011_V06,84.735,0.267,48.988,438.640,68.660,-83.583,34.251,34329.770,143377.286,20140605_074011,479189,44225,40976,31488
5,KGSP20140605_111116_V06,55.818,0.074,276.816,394.905,72.131,-82.346,34.455,36065.380,48847.930,20140605_071116,479182,53283,39799,38393
6,KGSP20140605_111703_V06,61.601,0.165,35.281,389.824,70.525,-83.661,34.470,35262.569,139771.654,20140605_071703,479189,49599,39332,35587
6,KGSP20140605_112249_V06,67.368,-1.000,35.281,389.824,79.694,-83.661,34.470,39847.069,139771.654,20140605_072249,479184,49855,39960,35261
6,KGSP20140605_112837_V06,73.168,0.231,81.358,384.218,38.232,-83.411,34.498,19116.096,117150.661,20140605_072837,479182,50450,40543,35160
1,KGSP20140606_092857_V06,-46.312,0.071,387.987,357.456,8.876,-81.741,34.623,4438.208,52542.872,20140606_052857,479184,35957,39262,26840
2,KGSP20140607_095523_V06,-19.718,0.727,449.477,371.402,12.408,-81.406,34.559,6203.941,82827.458,20140607_055523,479184,29803,24116,23733
10,KGSP20140610_101741_V06,2.899,0.094,175.834,198.551,11.016,-82.903,35.338,5508.085,80170.380,20140610_061741,479184,109457,50874,81217
10,KGSP20140610_102051_V06,6.066,0.091,175.804,198.261,15.604,-82.903,35.340,7801.976,80273.623,20140610_062051,479187,104116,50005,77348
11,KGSP20140610_105246_V06,37.983,0.053,175.138,199.019,10.367,-82.907,35.336,5183.611,80292.606,20140610_065246,479189,70081,43219,52157
11,KGSP20140610_105556_V06,41.149,0.127,175.367,199.120,14.686,-82.906,35.336,7342.868,80171.918,20140610_065556,479187,67628,42410,50650
3,KGSP20140610_091815_V06,-56.534,0.078,38.727,164.106,33.014,-83.660,35.487,16507.214,147250.474,20140610_051815,479195,44300,56622,17134
14,KGSP20140610_111357_V06,59.166,0.117,175.917,197.166,12.192,-82.903,35.345,6095.793,80578.436,20140610_071357,479183,54930,35690,45827
6,KGSP20140611_100501_V06,-9.715,0.127,496.055,145.980,18.234,-81.139,35.572,9116.856,124659.015,20140611_060501,479185,43818,36720,29716
6,KGSP20140611_100811_V06,-6.548,0.090,496.633,135.520,13.788,-81.135,35.619,6894.161,128177.981,20140611_060811,479194,51699,39129,35633
7,KGSP20140611_100501_V06,-9.715,0.077,37.032,139.059,32.146,-83.671,35.600,16072.807,154154.197,20140611_060501,479185,43818,36720,29716
4,KGSP20140612_103052_V06,16.161,0.084,336.097,273.554,38.945,-82.023,35.002,19472.603,22374.050,20140612_063052,479177,32094,29223,22020
