track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KJAX20230602_095336_V06,-31.349,0.105,383.810,402.478,30.737,-81.268,30.022,15368.437,66192.637,20230602_055336,479170,9757,44794,5422
3,KJAX20230603_095046_V06,-33.979,0.063,337.744,117.783,2.348,-81.504,31.306,1174.175,93042.427,20230603_055046,479173,11011,42126,5188
5,KJAX20230604_103958_V06,15.399,0.711,310.507,404.285,16.325,-81.647,30.014,8162.535,52406.461,20230604_063958,479168,18333,46398,3064
1,KJAX20230606_093014_V06,-54.049,0.325,341.842,100.269,7.578,-81.482,31.385,3788.845,102033.313,20230606_053014,479174,24382,51068,17306
2,KJAX20230606_093712_V06,-47.082,0.051,30.470,448.360,30.946,-83.096,29.808,15472.856,153831.735,20230606_053712,479171,24726,51045,17614
7,KJAX20230606_112135_V06,57.301,0.051,343.158,102.261,5.097,-81.475,31.376,2548.710,101196.845,20230606_072135,479172,37372,65490,24917
8,KJAX20230606_112828_V06,64.185,0.072,163.311,108.212,15.397,-82.420,31.347,7698.528,117756.793,20230606_072828,479174,34779,64084,22877
9,KJAX20230606_113526_V06,71.151,0.093,263.460,110.903,7.739,-81.894,31.337,3869.379,96297.579,20230606_073526,479176,36650,62618,24728
8,KJAX20230607_103748_V06,13.625,0.060,410.536,379.972,22.668,-81.128,30.122,11334.175,68215.972,20230607_063748,479174,95636,67302,57454
1,KJAX20230608_093247_V06,-51.308,0.072,191.569,276.860,5.531,-82.267,30.588,2765.408,55436.284,20230608_053247,479172,9104,17152,7262
2,KJAX20230608_103455_V06,10.825,0.050,71.731,262.746,89.241,-82.893,30.647,44620.461,115644.356,20230608_063455,479175,16755,27499,14266
3,KJAX20230609_114030_V06,76.468,0.064,26.490,422.650,40.295,-83.118,29.924,20147.306,149875.599,20230609_074030,479177,14144,40215,10728
3,KJAX20230609_114727_V06,83.418,0.108,26.292,422.672,47.295,-83.119,29.923,23647.250,149970.411,20230609_074727,479173,14782,41427,11311
1,KJAX20230609_102945_V06,5.718,0.170,234.560,67.258,6.603,-82.046,31.534,3301.258,120883.675,20230609_062945,479173,22690,32446,19390
2,KJAX20230609_102945_V06,5.718,0.054,94.785,326.583,20.984,-82.769,30.360,10491.876,103464.980,20230609_062945,479173,22690,32446,19390
2,KJAX20230610_103011_V06,6.187,0.112,150.667,150.671,32.609,-82.485,31.156,16304.607,105592.931,20230610_063011,479179,60631,44119,49417
3,KJAX20230611_101456_V06,-9.050,0.391,175.274,145.045,21.012,-82.356,31.182,10506.006,99457.924,20230611_061456,479179,20509,42962,14363
3,KJAX20230611_101929_V06,-4.500,0.478,175.927,143.459,27.189,-82.353,31.189,13594.701,99873.997,20230611_061929,479183,42131,46691,31453
3,KJAX20230611_102402_V06,0.050,0.376,177.226,140.085,30.593,-82.346,31.204,15296.426,100804.680,20230611_062402,479177,66671,48552,51601
3,KJAX20230611_102835_V06,4.600,0.072,176.950,136.213,31.565,-82.348,31.222,15782.429,102429.923,20230611_062835,479178,84012,51023,65714
2,KJAX20230611_092639_V06,-57.334,0.192,278.941,336.813,7.308,-81.811,30.318,3654.049,21205.436,20230611_052639,479172,19656,35933,14516
2,KJAX20230611_093058_V06,-53.017,0.084,279.058,336.969,13.317,-81.811,30.318,6658.687,21244.122,20230611_053058,479179,16799,36949,11957
2,KJAX20230612_113107_V06,67.122,0.058,423.720,87.106,12.908,-81.051,31.443,6454.117,123116.395,20230612_073107,479169,72572,80271,35751
1,KJAX20230613_101156_V06,-12.095,0.260,180.182,143.016,10.973,-82.330,31.191,5486.607,98742.550,20230613_061156,479172,36314,31375,30693
1,KJAX20230613_102032_V06,-3.495,0.057,182.340,142.887,21.336,-82.319,31.192,10668.059,98142.916,20230613_062032,479172,59919,39263,50449
1,KJAX20230614_094213_V06,-41.868,0.125,222.970,275.950,29.846,-82.104,30.592,14923.117,40348.561,20230614_054213,479171,6861,36711,5165
2,KJAX20230614_094213_V06,-41.868,0.052,378.241,503.782,29.719,-81.298,29.565,14859.585,109142.872,20230614_054213,479171,6861,36711,5165
2,KJAX20230615_100520_V06,-18.830,0.585,184.977,139.069,5.619,-82.305,31.209,2809.357,98905.269,20230615_060520,479175,29494,50319,23818
2,KJAX20230615_101357_V06,-10.214,0.250,187.818,138.967,17.979,-82.291,31.209,8989.333,98128.067,20230615_061357,479175,66034,38055,57951
10,KJAX20230615_110538_V06,41.470,0.328,16.648,74.649,18.457,-83.193,31.492,9228.434,181018.724,20230615_070538,479175,86669,58134,72003
10,KJAX20230615_111040_V06,46.503,0.075,18.537,76.291,27.008,-83.183,31.485,13503.863,179768.568,20230615_071040,479176,78252,58763,64119
1,KJAX20230615_094811_V06,-35.980,0.062,312.745,513.746,31.051,-81.636,29.520,15525.526,107062.835,20230615_054811,479172,30253,59566,23942
6,KJAX20230615_101357_V06,-10.214,0.053,207.985,532.245,9.803,-82.176,29.436,4901.520,124904.310,20230615_061357,479175,66034,38055,57951
8,KJAX20230615_104418_V06,20.136,0.173,142.590,24.192,28.820,-82.532,31.726,14409.991,158782.864,20230615_064418,479184,105917,47467,93093
9,KJAX20230615_104418_V06,20.136,0.064,486.717,505.932,30.601,-80.739,29.552,15300.429,138988.580,20230615_064418,479184,105917,47467,93093
11,KJAX20230615_111040_V06,46.503,0.100,12.637,234.106,16.473,-83.203,30.773,8236.718,147410.343,20230615_071040,479176,78252,58763,64119
2,KJAX20230616_100812_V06,-16.065,0.149,281.625,148.090,1.548,-81.798,31.170,773.773,76508.744,20230616_060812,479174,59630,86083,9812
9,KJAX20230616_110938_V06,45.368,0.161,341.031,364.683,9.303,-81.489,30.193,4651.379,38299.555,20230616_070938,479169,99444,126304,18641
2,KJAX20230617_093018_V06,-54.088,0.419,43.551,179.897,61.112,-83.045,31.019,30556.248,141590.086,20230617_053018,479177,60550,99305,10984
2,KJAX20230617_093519_V06,-49.071,0.392,44.597,183.329,64.888,-83.039,31.004,32444.136,140394.894,20230617_053519,479177,57472,94975,11694
2,KJAX20230617_094036_V06,-43.788,0.104,47.392,182.061,66.718,-83.025,31.010,33358.928,139392.101,20230617_054036,479184,51368,90471,9271
3,KJAX20230617_093018_V06,-54.088,0.054,326.352,351.855,10.204,-81.565,30.250,5102.238,29083.288,20230617_053018,479177,60550,99305,10984
22,KJAX20230620_110339_V06,38.768,0.067,301.490,169.459,22.039,-81.694,31.073,11019.451,65274.838,20230620_070339,479186,212817,217624,16867
14,KJAX20230623_102641_V06,1.126,0.147,59.224,365.976,63.812,-82.952,30.181,31906.040,124825.792,20230623_062641,479185,287396,294538,9818
14,KJAX20230623_103108_V06,5.576,0.162,60.534,365.575,69.437,-82.945,30.183,34718.491,124141.281,20230623_063108,479190,283137,289534,9744
22,KJAX20230623_110721_V06,41.792,0.171,20.503,290.985,21.284,-83.158,30.517,10641.844,139821.194,20230623_070721,479194,269531,271221,10806
1,KJAX20230624_104920_V06,23.513,0.052,27.975,428.760,38.296,-83.110,29.896,19148.146,150479.810,20230624_064920,479180,31802,50277,21939
1,KJAX20230625_093709_V06,-48.952,0.071,181.376,350.584,6.314,-82.318,30.255,3156.767,64479.544,20230625_053709,479175,49652,66071,39524
2,KJAX20230625_094406_V06,-42.002,0.058,385.144,148.601,30.336,-81.255,31.166,15167.980,86849.139,20230625_054406,479170,44214,70443,34335
3,KJAX20230625_095103_V06,-35.052,0.080,299.240,144.559,58.038,-81.706,31.185,29018.946,77721.572,20230625_055103,479172,53329,69681,42768
4,KJAX20230625_100500_V06,-21.102,0.200,165.458,492.356,8.907,-82.396,29.615,4453.517,117369.330,20230625_060500,479176,81316,60192,68003
5,KJAX20230625_110443_V06,38.615,0.079,444.508,414.930,41.158,-80.953,29.964,20578.787,92319.551,20230625_070443,479172,173672,57236,147472
6,KJAX20230625_111838_V06,52.531,0.085,360.869,236.929,16.537,-81.384,30.769,8268.509,43826.328,20230625_071838,479171,160063,53786,136325
1,KJAX20230626_095009_V06,-36.251,0.246,18.348,122.563,24.611,-83.181,31.276,12305.330,166441.908,20230626_055009,479172,27610,45771,19463
4,KJAX20230627_103721_V06,10.632,0.464,26.117,214.539,33.929,-83.134,30.862,16964.561,143453.295,20230627_063721,479173,20475,41992,15713
4,KJAX20230627_104401_V06,17.299,0.698,26.953,216.086,38.522,-83.129,30.855,19260.927,142825.500,20230627_064401,479172,20949,43103,15836
4,KJAX20230627_105041_V06,23.966,0.205,29.600,217.371,38.557,-83.115,30.849,19278.400,141371.719,20230627_065041,479170,21386,44593,16190
3,KJAX20230627_102326_V06,-3.284,0.195,11.267,413.128,18.415,-83.198,29.966,9207.462,155052.356,20230627_062326,479176,18508,36974,14063
3,KJAX20230627_103024_V06,3.682,0.089,17.052,421.172,33.477,-83.167,29.930,16738.320,153901.085,20230627_063024,479169,19984,40257,15246
