track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KMHX20180609_090432_V06,-49.238,0.118,318.421,170.503,3.786,-76.775,35.359,1893.143,65400.095,20180609_050432,479178,77889,98376,15377
2,KMHX20180609_091022_V06,-43.404,0.458,319.363,170.055,10.053,-76.770,35.361,5026.674,65689.688,20180609_051022,479174,82911,100810,20343
2,KMHX20180609_091611_V06,-37.588,0.323,323.355,169.086,10.817,-76.748,35.366,5408.461,66490.281,20180609_051611,479181,85429,101851,22365
2,KMHX20180609_092201_V06,-31.754,0.123,323.136,165.766,15.385,-76.749,35.381,7692.256,68106.693,20180609_052201,479178,85084,99878,21882
2,KMHX20180609_092749_V06,-25.954,0.066,329.183,163.776,19.300,-76.716,35.390,9649.901,69657.305,20180609_052749,479174,83780,98358,20663
11,KMHX20180610_094559_V06,-7.712,0.059,347.119,293.947,16.974,-76.619,34.803,8486.813,23753.160,20180610_054559,479171,42126,44916,21257
11,KMHX20180610_095055_V06,-2.779,-1.000,347.119,293.947,24.818,-76.619,34.803,12408.813,23753.160,20180610_055055,479172,38442,46543,19460
11,KMHX20180610_100048_V06,7.104,0.056,353.244,291.884,18.715,-76.585,34.812,9357.407,26929.484,20180610_060048,479170,36921,45068,19776
7,KMHX20180611_094928_V06,-4.181,0.060,428.143,33.642,36.859,-76.166,35.974,18429.260,147789.511,20180611_054928,479172,64539,58282,34230
7,KMHX20180611_095424_V06,0.753,0.158,429.319,34.961,43.442,-76.160,35.968,21720.899,147452.620,20180611_055424,479167,64137,60371,33636
7,KMHX20180611_100416_V06,10.619,0.138,435.840,42.920,43.081,-76.124,35.932,21540.639,145380.893,20180611_060416,479176,58297,61876,28003
7,KMHX20180611_100913_V06,15.569,0.469,440.065,49.367,47.488,-76.101,35.903,23744.244,143557.715,20180611_060913,479183,52780,61480,23712
