track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KMLB20230601_100053_V06,-25.412,0.154,271.630,376.759,17.766,-80.798,27.767,8883.154,40916.833,20230601_060053,479173,69054,67671,27906
5,KMLB20230601_100748_V06,-18.495,0.091,146.334,289.632,9.684,-81.437,28.158,4842.039,77007.476,20230601_060748,479169,67912,64825,26639
7,KMLB20230602_101108_V06,-14.972,0.091,147.733,290.419,11.950,-81.430,28.154,5975.182,76284.213,20230602_061108,479172,61039,66001,24703
7,KMLB20230602_101748_V06,-8.306,0.088,148.225,290.364,21.521,-81.427,28.154,10760.719,76040.175,20230602_061748,479173,56606,63275,22959
5,KMLB20230602_100404_V06,-22.039,0.067,222.564,516.753,18.617,-81.045,27.134,9308.583,115085.157,20230602_060404,479169,70210,74130,27531
6,KMLB20230602_101108_V06,-14.972,0.259,403.360,170.658,13.513,-80.126,28.696,6756.413,82783.835,20230602_061108,479172,61039,66001,24703
3,KMLB20230603_101003_V06,-15.889,0.134,151.623,289.317,9.253,-81.410,28.159,4626.635,74380.415,20230603_061003,479172,46925,54328,24673
3,KMLB20230603_101503_V06,-10.889,0.298,151.730,289.700,16.459,-81.409,28.157,8229.433,74313.754,20230603_061503,479168,43617,53087,21269
3,KMLB20230603_102016_V06,-5.672,0.256,152.653,290.672,22.381,-81.405,28.153,11190.618,73821.067,20230603_062016,479169,42394,54374,19998
1,KMLB20230603_094859_V06,-36.955,0.079,303.493,407.742,10.300,-80.637,27.627,5149.834,53899.497,20230603_054859,479172,37357,51443,18529
2,KMLB20230604_093048_V06,-54.994,0.491,436.072,337.563,9.679,-79.963,27.942,4839.733,70580.586,20230604_053048,479177,39484,42791,25141
2,KMLB20230604_093642_V06,-49.094,0.055,436.059,337.315,17.404,-79.963,27.943,8702.105,70541.680,20230604_053642,479166,36132,41345,23358
5,KMLB20230604_093048_V06,-54.994,0.052,510.359,174.676,16.417,-79.578,28.674,8208.344,122430.489,20230604_053048,479177,39484,42791,25141
10,KMLB20230604_104825_V06,22.623,0.060,489.357,157.659,7.851,-79.685,28.752,3925.690,118445.420,20230604_064825,479171,35318,40028,27459
15,KMLB20230605_111004_V06,44.396,0.111,293.860,343.600,24.070,-80.686,27.916,12035.181,22015.209,20230605_071004,479177,39281,42947,21533
7,KMLB20230607_114635_V06,81.092,0.075,25.963,427.098,45.472,-82.042,27.533,22736.151,151038.501,20230607_074635,479174,23058,35040,18560
7,KMLB20230607_115059_V06,85.492,0.067,25.792,425.641,50.439,-82.042,27.539,25219.311,150810.891,20230607_075059,479172,24815,34641,20084
