track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KMRX20180606_103216_V06,15.784,0.124,25.742,430.430,36.424,-84.915,35.571,18211.809,151846.358,20180606_063216,479165,24134,29886,17608
1,KMRX20180606_104158_V06,25.484,0.110,26.629,434.101,45.473,-84.910,35.555,22736.396,152245.252,20180606_064158,479173,22738,27896,17082
1,KMRX20180608_092326_V06,-52.724,0.127,391.050,135.744,37.634,-82.891,36.907,18816.948,93901.717,20180608_052326,479172,85446,20377,80680
1,KMRX20180608_093032_V06,-45.624,-1.000,391.050,135.744,48.923,-82.891,36.907,24461.448,93901.717,20180608_053032,479172,75630,23358,69821
1,KMRX20180608_093737_V06,-38.540,0.059,411.883,120.351,38.075,-82.774,36.976,19037.338,105819.835,20180608_053737,479173,61405,27355,54903
2,KMRX20180608_093032_V06,-45.624,0.077,186.850,337.197,23.073,-84.029,35.999,11536.545,59553.504,20180608_053032,479172,75630,23358,69821
1,KMRX20180609_100558_V06,-10.071,0.060,382.440,143.298,5.424,-82.940,36.874,2712.135,88532.363,20180609_060558,479172,46286,27010,37540
3,KMRX20180610_092127_V06,-54.497,0.171,24.402,430.992,31.362,-84.922,35.568,15681.239,152572.339,20180610_052127,479172,66310,24404,58604
3,KMRX20180610_092608_V06,-49.813,0.145,24.784,430.829,37.959,-84.920,35.569,18979.701,152364.836,20180610_052608,479173,60472,26529,52128
3,KMRX20180610_093049_V06,-45.130,0.181,27.495,431.726,40.387,-84.905,35.565,20193.343,151336.496,20180610_053049,479176,56986,28870,47753
3,KMRX20180610_093532_V06,-40.413,0.055,28.614,429.851,41.121,-84.899,35.574,20560.379,150425.668,20180610_053532,479171,50213,24234,43364
3,KMRX20180610_094231_V06,-33.430,0.092,33.228,425.227,51.148,-84.874,35.595,25573.874,147350.719,20180610_054231,479173,39330,25576,32037
2,KMRX20180610_091645_V06,-59.197,0.073,222.232,43.193,10.318,-83.841,37.325,5158.875,134161.751,20180610_051645,479172,68381,22242,61666
5,KMRX20180611_104953_V06,33.999,0.061,37.712,288.854,39.001,-84.860,36.210,19500.351,131262.117,20180611_064953,479176,31320,32254,20386
5,KMRX20180611_105434_V06,38.682,0.298,38.200,287.106,46.424,-84.858,36.218,23211.831,131058.662,20180611_065434,479179,29025,31714,18783
2,KMRX20180611_092754_V06,-47.984,0.063,28.487,455.707,45.938,-84.897,35.457,22968.798,156496.137,20180611_052754,479176,101750,37590,84108
3,KMRX20180611_095456_V06,-20.951,0.057,219.153,377.190,13.677,-83.849,35.820,6838.432,55889.536,20180611_055456,479174,41098,38348,27383
1,KMRX20180618_092810_V06,-48.053,0.053,26.493,431.174,35.405,-84.911,35.568,17702.421,151668.138,20180618_052810,479175,83805,39628,70026
8,KMRX20180620_111748_V06,61.246,0.108,20.473,237.271,31.817,-84.961,36.441,15908.710,143239.331,20180620_071748,479170,39668,41304,18502
8,KMRX20180620_112229_V06,65.929,0.141,21.710,235.193,38.246,-84.954,36.450,19122.911,142867.984,20180620_072229,479170,38056,40167,18198
8,KMRX20180620_112710_V06,70.613,0.052,24.894,229.967,38.742,-84.937,36.474,19371.108,141940.073,20180620_072710,479170,37514,40264,17701
8,KMRX20180620_113151_V06,75.296,0.099,28.620,224.085,36.752,-84.917,36.501,18376.100,140899.056,20180620_073151,479170,38158,40097,18299
1,KMRX20180620_093803_V06,-38.504,0.064,281.490,21.723,22.543,-83.506,37.422,11271.271,139445.907,20180620_053803,479174,51035,40394,37534
7,KMRX20180620_111308_V06,56.579,0.077,156.262,252.542,10.434,-84.203,36.379,5217.234,75684.792,20180620_071308,479169,41014,42144,19164
9,KMRX20180620_112710_V06,70.613,0.054,39.310,371.280,39.121,-84.845,35.838,19560.322,135129.897,20180620_072710,479170,37514,40264,17701
2,KMRX20180621_092559_V06,-50.776,0.055,71.056,252.082,22.765,-84.678,36.377,11382.263,116952.673,20180621_052559,479171,50264,34638,34752
9,KMRX20180622_101710_V06,0.177,0.124,23.074,472.854,32.517,-84.926,35.380,16258.636,163222.523,20180622_061710,479168,28325,31328,11737
10,KMRX20180622_102144_V06,4.744,0.113,363.185,274.922,12.833,-83.050,36.281,6416.290,33989.855,20180622_062144,479175,28639,32187,11333
4,KMRX20180623_093723_V06,-39.860,0.059,271.107,158.902,7.660,-83.564,36.804,3830.238,72012.698,20180623_053723,479179,22009,35575,12005
4,KMRX20180625_093857_V06,-38.874,0.054,77.089,93.990,68.717,-84.656,37.090,34358.700,151763.928,20180625_053857,479176,132321,99038,53176
21,KMRX20180626_104135_V06,23.434,0.372,217.658,218.972,13.210,-83.862,36.533,6605.005,57762.110,20180626_064135,479176,37671,43487,12010
21,KMRX20180626_104723_V06,29.234,0.443,219.755,219.953,19.107,-83.850,36.528,9553.272,56671.774,20180626_064723,479169,37838,44284,11630
21,KMRX20180626_105320_V06,35.184,0.573,225.108,221.022,18.463,-83.820,36.523,9231.280,54420.195,20180626_065320,479174,37780,45712,11408
21,KMRX20180626_110508_V06,46.984,0.134,220.815,216.360,31.419,-83.844,36.544,15709.287,57588.739,20180626_070508,479170,38958,45605,13104
3,KMRX20180626_092446_V06,-53.383,0.189,343.377,402.024,17.497,-83.162,35.708,8748.730,55431.212,20180626_052446,479174,60320,52393,24818
3,KMRX20180626_093054_V06,-47.249,0.236,344.847,403.208,25.337,-83.154,35.703,12668.316,56265.298,20180626_053054,479171,56705,51273,22877
20,KMRX20180626_104135_V06,23.434,0.492,260.782,382.221,28.673,-83.619,35.798,14336.563,45547.388,20180626_064135,479176,37671,43487,12010
20,KMRX20180626_104723_V06,29.234,0.831,265.387,385.241,31.453,-83.593,35.784,15726.621,46000.383,20180626_064723,479169,37838,44284,11630
36,KMRX20180626_112246_V06,64.617,0.173,541.530,370.647,24.640,-82.065,35.843,12319.862,125824.857,20180626_072246,479171,43225,49322,13778
36,KMRX20180626_112841_V06,70.534,0.101,541.802,371.493,31.458,-82.064,35.839,15729.175,126075.097,20180626_072841,479171,43615,49508,13905
7,KMRX20180626_094253_V06,-35.266,0.073,322.800,333.441,21.628,-83.275,36.018,10814.178,20236.954,20180626_054253,479179,47388,50393,15335
9,KMRX20180626_100030_V06,-17.649,0.160,211.161,371.183,30.050,-83.894,35.847,15025.143,56919.650,20180626_060030,479174,37765,45310,8489
13,KMRX20180626_101806_V06,-0.049,0.063,221.487,377.292,33.211,-83.836,35.819,16605.652,55087.031,20180626_061806,479177,36321,42188,10725
24,KMRX20180626_104135_V06,23.434,0.065,152.818,178.107,7.918,-84.226,36.715,3958.794,95551.594,20180626_064135,479176,37671,43487,12010
7,KMRX20180627_095159_V06,-26.514,0.051,331.533,225.164,22.135,-83.226,36.505,11067.616,40603.916,20180627_055159,479169,90733,100883,11329
14,KMRX20180627_105325_V06,34.919,0.089,457.275,133.846,21.172,-82.519,36.914,10585.995,114392.342,20180627_065325,479182,96566,103927,17838
1,KMRX20180629_101258_V06,-6.293,0.068,269.543,315.607,4.859,-83.571,36.098,2429.394,17111.526,20180629_061258,479171,25681,22975,19530
2,KMRX20180629_102003_V06,0.790,0.117,288.070,220.182,6.262,-83.469,36.528,3131.241,40352.482,20180629_062003,479170,31680,21638,25657
1,KMRX20180630_100318_V06,-16.373,0.609,266.821,315.570,8.915,-83.586,36.098,4457.520,18325.199,20180630_060318,479175,25058,14071,22526
1,KMRX20180630_101024_V06,-9.273,0.160,267.740,315.200,15.425,-83.581,36.100,7712.378,17831.045,20180630_061024,479176,46707,12467,43548
7,KMRX20180701_101514_V06,-4.874,0.067,267.242,317.761,10.617,-83.584,36.088,5308.609,18631.372,20180701_061514,479176,34627,29542,25084
7,KMRX20180701_101939_V06,-0.457,0.132,267.530,318.116,16.648,-83.582,36.087,8323.904,18590.976,20180701_061939,479176,39096,29233,28812
6,KMRX20180701_101514_V06,-4.874,0.136,105.233,400.996,8.878,-84.478,35.708,4439.048,109697.851,20180701_061514,479176,34627,29542,25084
3,KMRX20180702_101338_V06,-6.929,0.059,118.639,392.687,9.321,-84.404,35.746,4660.394,101836.481,20180702_061338,479173,23548,24843,15938
1,KMRX20180703_100941_V06,-11.353,0.290,268.980,316.832,7.759,-83.574,36.092,3879.627,17646.229,20180703_060941,479171,21912,15040,19322
1,KMRX20180703_101646_V06,-4.270,0.059,268.861,317.373,16.017,-83.575,36.090,8008.532,17828.708,20180703_061646,479172,30516,14789,27673
1,KMRX20180703_102351_V06,2.814,0.166,269.713,318.245,18.085,-83.570,36.086,9042.513,17678.818,20180703_062351,479175,34273,15167,31088
1,KMRX20180704_101833_V06,-2.980,0.098,103.148,405.209,12.636,-84.489,35.689,6318.109,111601.552,20180704_061833,479171,30380,21343,26246
1,KMRX20180704_102307_V06,1.587,0.177,103.525,404.063,18.094,-84.487,35.694,9046.788,111166.160,20180704_062307,479174,32489,21514,28164
1,KMRX20180704_102742_V06,6.170,0.179,103.579,399.313,14.809,-84.487,35.716,7404.725,110050.457,20180704_062742,479175,33764,21566,29105
3,KMRX20180704_102742_V06,6.170,0.057,349.008,322.133,9.933,-83.130,36.068,4966.564,26886.944,20180704_062742,479175,33764,21566,29105
2,KMRX20180705_101532_V06,-6.509,0.472,266.538,314.699,10.867,-83.588,36.102,5433.266,18274.181,20180705_061532,479177,39993,33085,26852
2,KMRX20180705_102013_V06,-1.826,0.374,266.226,315.864,18.210,-83.589,36.097,9104.862,18656.897,20180705_062013,479170,43714,32954,30145
3,KMRX20180705_102013_V06,-1.826,0.227,345.940,323.916,13.311,-83.147,36.060,6655.693,25896.220,20180705_062013,479170,43714,32954,30145
