track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KMXX20140601_110935_V06,32.972,0.106,267.657,273.302,12.830,-85.962,32.657,6414.936,20969.167,20140601_060935,479179,90063,52476,67987
4,KMXX20140601_111520_V06,38.722,0.055,266.217,274.011,19.508,-85.970,32.654,9754.137,21311.300,20140601_061520,479183,93056,53973,70612
2,KMXX20140603_093640_V06,-59.462,0.092,288.104,180.174,8.531,-85.853,33.077,4265.526,60207.494,20140603_043640,479165,10139,38550,6194
4,KMXX20140603_095554_V06,-40.229,0.053,352.719,409.720,36.288,-85.511,32.042,18144.083,60863.874,20140603_045554,479181,13568,36899,8684
1,KMXX20140606_095229_V06,-43.111,0.067,221.826,294.606,8.295,-86.206,32.560,4147.459,39180.083,20140606_045229,479174,26254,54097,18361
2,KMXX20140607_101356_V06,-21.533,0.104,129.796,533.393,30.498,-86.685,31.481,15249.245,144431.192,20140607_051356,479192,34306,50700,13619
1,KMXX20140608_103419_V06,-1.047,0.103,258.665,421.609,25.440,-86.008,31.988,12719.757,64221.136,20140608_053419,479195,143027,62272,105328
2,KMXX20140609_101844_V06,-16.552,0.124,242.897,307.426,33.681,-86.094,32.503,16840.588,28791.828,20140609_051844,479172,64070,49929,36640
1,KMXX20140615_102931_V06,-5.816,0.187,343.321,486.069,18.874,-85.561,31.697,9437.176,95522.687,20140615_052931,479179,217457,51066,183079
1,KMXX20140616_102055_V06,-14.508,0.088,271.014,322.197,3.689,-85.944,32.436,1844.334,18254.327,20140616_052055,479173,180000,90997,124028
1,KMXX20140617_100556_V06,-29.607,0.098,353.307,290.592,3.304,-85.506,32.579,1651.920,27065.535,20140617_050556,479172,67529,113809,42385
3,KMXX20140617_103445_V06,-0.790,0.176,315.192,403.186,19.732,-85.709,32.071,9866.062,52149.404,20140617_053445,479174,215712,85077,156551
4,KMXX20140617_103445_V06,-0.790,0.101,272.671,320.961,12.092,-85.935,32.442,6046.146,17220.686,20140617_053445,479174,215712,85077,156551
5,KMXX20140617_105612_V06,20.660,0.052,453.730,479.587,32.119,-84.979,31.724,16059.565,118199.541,20140617_055612,479174,221563,92997,158387
1,KMXX20140618_100948_V06,-25.879,0.128,342.269,485.271,11.773,-85.567,31.701,5886.366,95015.639,20140618_050948,479192,39685,51344,26138
1,KMXX20140618_101317_V06,-22.396,0.088,342.071,485.427,16.700,-85.568,31.700,8349.956,95069.772,20140618_051317,479193,45645,49947,31047
1,KMXX20140618_101645_V06,-18.929,0.293,341.150,484.726,18.793,-85.573,31.704,9396.445,94626.925,20140618_051645,479176,61433,50531,42800
1,KMXX20140618_102013_V06,-15.463,0.064,340.604,483.925,21.598,-85.576,31.707,10798.957,94176.744,20140618_052013,479195,74665,52886,52184
1,KMXX20140618_102341_V06,-11.996,0.064,343.833,478.135,30.382,-85.558,31.733,15190.914,91724.409,20140618_052341,479177,90010,56416,63440
2,KMXX20140618_101317_V06,-22.396,0.077,188.097,315.728,12.685,-86.385,32.464,6342.512,56501.643,20140618_051317,479193,45645,49947,31047
3,KMXX20140618_102341_V06,-11.996,0.084,221.277,103.762,5.282,-86.213,33.421,2640.928,105719.764,20140618_052341,479177,90010,56416,63440
1,KMXX20140619_101015_V06,-25.592,0.133,222.263,529.810,11.996,-86.199,31.500,5998.035,121300.979,20140619_051015,479175,92490,73594,69751
1,KMXX20140620_102258_V06,-13.060,0.736,338.435,496.330,16.767,-85.587,31.651,8383.254,100028.214,20140620_052258,479173,126747,63010,96212
1,KMXX20140620_103234_V06,-3.460,0.544,338.899,497.629,29.362,-85.585,31.645,14680.894,100710.537,20140620_053234,479175,190061,65923,147105
1,KMXX20140620_104211_V06,6.157,0.147,338.794,504.035,38.968,-85.585,31.616,19484.006,103845.180,20140620_054211,479177,224279,84572,166722
2,KMXX20140621_095918_V06,-36.934,0.093,187.881,317.176,3.152,-86.386,32.458,1575.823,56713.447,20140621_045918,479166,52729,91595,32172
2,KMXX20140621_100853_V06,-27.351,0.123,189.089,316.890,13.760,-86.380,32.459,6880.063,56094.717,20140621_050853,479174,52378,87176,33652
4,KMXX20140621_102805_V06,-8.151,0.248,279.970,322.093,9.844,-85.896,32.437,4921.898,14910.816,20140621_052805,479178,147645,74761,108382
5,KMXX20140621_102805_V06,-8.151,0.182,340.507,496.079,21.604,-85.576,31.652,10801.914,100109.956,20140621_052805,479178,147645,74761,108382
6,KMXX20140621_102805_V06,-8.151,0.096,202.560,361.646,12.005,-86.307,32.258,6002.535,57651.337,20140621_052805,479178,147645,74761,108382
3,KMXX20140622_101601_V06,-20.447,0.430,346.029,494.166,13.290,-85.547,31.661,6644.898,99773.737,20140622_051601,479185,33208,83433,23122
3,KMXX20140622_102538_V06,-10.830,0.352,348.521,494.249,24.226,-85.534,31.661,12113.014,100108.510,20140622_052538,479173,63477,66224,46075
3,KMXX20140622_103513_V06,-1.247,0.512,351.100,495.884,25.252,-85.520,31.653,12626.097,101219.789,20140622_053513,479173,87810,63382,66533
3,KMXX20140622_104449_V06,8.353,0.109,358.625,495.978,30.715,-85.481,31.653,15357.647,102279.457,20140622_054449,479177,87886,66623,66752
4,KMXX20140622_102538_V06,-10.830,0.783,206.002,361.945,14.470,-86.288,32.256,7234.842,56286.676,20140622_052538,479173,63477,66224,46075
4,KMXX20140622_103513_V06,-1.247,0.488,206.310,362.858,22.788,-86.287,32.252,11393.939,56411.132,20140622_053513,479173,87810,63382,66533
4,KMXX20140622_104449_V06,8.353,0.187,209.807,362.816,25.103,-86.268,32.253,12551.665,54956.023,20140622_054449,479177,87886,66623,66752
14,KMXX20140623_102032_V06,-16.181,0.211,203.735,359.275,8.755,-86.301,32.268,4377.398,56525.167,20140623_052032,479185,20441,50039,10159
14,KMXX20140623_102401_V06,-12.697,0.331,203.586,359.456,13.949,-86.301,32.268,6974.730,56636.212,20140623_052401,479178,24066,48645,12537
14,KMXX20140623_102742_V06,-9.014,0.502,204.710,360.033,15.929,-86.295,32.265,7964.670,56312.080,20140623_052742,479178,33196,54511,18711
14,KMXX20140623_103123_V06,-5.331,0.253,207.255,361.720,16.571,-86.282,32.257,8285.266,55702.174,20140623_053123,479190,38791,56488,22685
14,KMXX20140623_103504_V06,-1.647,0.177,207.922,363.242,18.348,-86.278,32.251,9174.121,55852.541,20140623_053504,479177,44226,60974,25581
14,KMXX20140623_103846_V06,2.053,0.076,208.862,362.749,19.704,-86.273,32.253,9852.057,55325.514,20140623_053846,479188,54991,64676,33448
10,KMXX20140623_101322_V06,-23.347,0.170,445.716,377.585,9.934,-85.017,32.184,4966.858,82542.011,20140623_051322,479178,18593,61606,8894
10,KMXX20140623_101650_V06,-19.881,0.380,446.796,377.658,15.261,-85.011,32.184,7630.688,83035.741,20140623_051650,479186,20316,59048,10173
10,KMXX20140623_102032_V06,-16.181,0.652,450.337,377.573,18.676,-84.993,32.184,9337.914,84585.419,20140623_052032,479185,20441,50039,10159
10,KMXX20140623_102401_V06,-12.697,0.163,453.119,378.500,20.799,-84.978,32.180,10399.662,86034.272,20140623_052401,479178,24066,48645,12537
13,KMXX20140623_101650_V06,-19.881,0.078,158.351,242.460,8.059,-86.546,32.794,4029.627,76444.896,20140623_051650,479186,20316,59048,10173
13,KMXX20140623_102032_V06,-16.181,-1.000,158.351,242.460,13.942,-86.546,32.794,6971.127,76444.896,20140623_052032,479185,20441,50039,10159
13,KMXX20140623_102401_V06,-12.697,0.237,162.134,244.587,18.234,-86.526,32.784,9117.018,74292.938,20140623_052401,479178,24066,48645,12537
13,KMXX20140623_102742_V06,-9.014,0.087,164.214,245.620,19.729,-86.514,32.780,9864.330,73135.314,20140623_052742,479178,33196,54511,18711
17,KMXX20140623_102742_V06,-9.014,0.059,342.707,486.148,16.972,-85.564,31.697,8486.041,95491.996,20140623_052742,479178,33196,54511,18711
17,KMXX20140623_103123_V06,-5.331,-1.000,342.707,486.148,22.829,-85.564,31.697,11414.291,95491.996,20140623_053123,479190,38791,56488,22685
17,KMXX20140623_103504_V06,-1.647,0.067,345.149,481.972,26.557,-85.552,31.716,13278.362,93744.556,20140623_053504,479177,44226,60974,25581
17,KMXX20140623_103846_V06,2.053,-1.000,346.899,478.979,30.914,-85.542,31.729,15457.135,92510.720,20140623_053846,479188,54991,64676,33448
17,KMXX20140623_104227_V06,5.736,0.212,349.967,483.986,27.792,-85.526,31.707,13895.889,95325.335,20140623_054227,479185,54765,63976,32873
7,KMXX20140623_100625_V06,-30.297,0.052,160.717,145.407,8.205,-86.537,33.231,4102.570,104041.594,20140623_050625,479179,17177,67620,7513
