track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KPBZ20150603_100046_V06,8.943,0.228,322.057,158.999,2.584,-80.087,41.166,1291.916,71357.870,20150603_060046,479173,11588,20983,10093
1,KPBZ20150603_101212_V06,20.376,0.187,322.203,159.045,9.990,-80.086,41.166,4994.860,71346.445,20150603_061212,479177,20116,20820,18411
2,KPBZ20150603_100046_V06,8.943,0.144,248.811,142.511,2.980,-80.524,41.240,1489.777,82799.611,20150603_060046,479173,11588,20983,10093
1,KPBZ20150606_085052_V06,-59.985,0.083,384.346,472.920,3.213,-79.726,39.752,1606.578,96197.004,20150606_045052,479177,6765,27914,4257
9,KPBZ20150608_104300_V06,52.631,0.061,19.094,472.738,27.057,-81.857,39.742,13528.513,164883.738,20150608_064300,479180,38489,75256,10615
9,KPBZ20150608_104600_V06,55.631,0.221,19.537,472.112,31.555,-81.854,39.745,15777.553,164531.386,20150608_064600,479188,38783,76024,10579
9,KPBZ20150608_104914_V06,58.864,0.281,21.261,472.185,32.661,-81.844,39.745,16330.351,163816.296,20150608_064914,479189,37697,75865,10054
2,KPBZ20150608_085719_V06,-53.053,0.108,368.460,413.157,11.028,-79.817,40.021,5513.826,66127.092,20150608_045719,479179,19273,50649,8140
2,KPBZ20150608_090155_V06,-48.453,0.256,369.628,413.412,17.556,-79.811,40.020,8778.129,66540.180,20150608_050155,479177,18884,50918,7120
7,KPBZ20150608_103948_V06,49.431,0.179,172.851,354.269,17.672,-80.966,40.285,8836.243,69122.833,20150608_063948,479191,37934,74733,10324
7,KPBZ20150609_091520_V06,-34.845,0.054,261.719,426.119,17.460,-80.442,39.964,8730.045,65900.547,20150609_051520,479202,72841,122112,11105
1,KPBZ20150610_085617_V06,-53.737,0.161,384.031,473.229,3.779,-79.728,39.751,1889.736,96267.145,20150610_045617,479173,6552,29683,4690
1,KPBZ20150612_085221_V06,-57.455,0.060,381.807,475.189,3.130,-79.741,39.742,1564.903,96673.949,20150612_045221,479180,9206,40320,6276
2,KPBZ20150612_095609_V06,6.345,0.114,383.703,473.504,3.720,-79.730,39.749,1859.752,96319.409,20150612_055609,479170,62342,26014,57187
3,KPBZ20150613_105808_V06,68.387,0.132,240.684,27.583,29.658,-80.575,41.758,14828.976,139399.890,20150613_065808,479172,86117,113587,7242
5,KPBZ20150615_105136_V06,61.873,0.104,116.324,534.198,19.359,-81.286,39.472,9679.617,148816.795,20150615_065136,479204,98548,122687,11051
21,KPBZ20150616_110448_V06,75.033,0.100,35.918,292.927,47.752,-81.777,40.553,23875.751,132088.145,20150616_070448,479179,122294,158390,11510
1,KPBZ20150617_085119_V06,-58.521,0.081,382.239,473.712,3.630,-79.739,39.748,1814.827,96097.642,20150617_045119,479174,12000,44811,8718
3,KPBZ20150617_105151_V06,62.012,0.143,384.231,290.912,12.431,-79.721,40.572,6215.691,42359.946,20150617_065151,479194,21566,41591,12558
2,KPBZ20150618_090227_V06,-47.490,0.071,318.616,353.331,70.668,-80.109,40.291,35333.786,28243.318,20150618_050227,479187,45459,102455,10235
10,KPBZ20150618_102349_V06,33.877,0.052,367.049,317.159,17.050,-79.823,40.454,8525.002,34605.125,20150618_062349,479204,41740,69357,4629
1,KPBZ20150619_091549_V06,-34.257,0.088,27.491,376.182,33.182,-81.818,40.178,16591.055,141478.377,20150619_051549,479190,14574,48020,4429
1,KPBZ20150619_091935_V06,-30.490,-1.000,27.491,376.182,39.171,-81.818,40.178,19585.555,141478.377,20150619_051935,479191,13619,46930,3757
1,KPBZ20150619_092321_V06,-26.724,-1.000,27.491,376.182,45.160,-81.818,40.178,22580.055,141478.377,20150619_052321,479187,13862,44114,3833
1,KPBZ20150619_092706_V06,-22.974,0.079,32.958,385.049,43.740,-81.785,40.138,21870.011,140129.021,20150619_052706,479184,13172,42196,3671
1,KPBZ20150619_093051_V06,-19.224,0.072,38.851,389.920,47.689,-81.750,40.117,23844.415,138097.862,20150619_053051,479183,12403,39758,3320
1,KPBZ20150619_093438_V06,-15.440,-1.000,43.415,394.683,50.888,-81.723,40.095,25444.174,136748.369,20150619_053438,479177,11995,38099,3216
1,KPBZ20150619_093824_V06,-11.674,0.055,46.470,392.026,52.600,-81.705,40.108,26300.102,134857.624,20150619_053824,479199,11836,37454,3223
1,KPBZ20150619_094210_V06,-7.907,-1.000,50.352,393.482,55.131,-81.682,40.101,27565.653,133288.198,20150619_054210,479200,12024,36266,3739
1,KPBZ20150619_094556_V06,-4.140,0.068,50.919,395.408,56.722,-81.679,40.093,28361.178,133364.123,20150619_054556,479192,12193,35209,3812
2,KPBZ20150619_091935_V06,-30.490,0.079,31.623,397.129,46.121,-81.792,40.084,23060.444,142706.046,20150619_051935,479191,13619,46930,3757
2,KPBZ20150619_092321_V06,-26.724,0.120,31.991,396.331,50.505,-81.790,40.087,25252.280,142397.698,20150619_052321,479187,13862,44114,3833
1,KPBZ20150620_092155_V06,-28.321,0.073,330.691,428.239,29.842,-80.039,39.954,14920.755,65930.228,20150620_052155,479181,64443,100114,16929
9,KPBZ20150620_104332_V06,53.295,0.062,220.008,291.350,29.621,-80.691,40.570,14810.259,40229.048,20150620_064332,479179,88308,114991,19743
2,KPBZ20150621_100016_V06,9.834,0.117,239.751,180.455,2.067,-80.577,41.069,1033.707,66934.739,20150621_060016,479184,7089,44192,4678
2,KPBZ20150621_100421_V06,13.917,0.170,240.306,180.759,8.095,-80.573,41.068,4047.357,66674.177,20150621_060421,479196,8438,43697,5785
2,KPBZ20150621_100817_V06,17.850,0.180,246.133,181.359,5.326,-80.539,41.065,2662.983,65148.467,20150621_060817,479190,8738,44386,5962
2,KPBZ20150621_101220_V06,21.900,0.073,245.826,181.381,11.130,-80.541,41.065,5565.249,65202.102,20150621_061220,479191,9990,43922,7259
7,KPBZ20150621_100817_V06,17.850,0.076,238.048,178.758,2.341,-80.587,41.077,1170.456,68076.506,20150621_060817,479190,8738,44386,5962
1,KPBZ20150622_094651_V06,-3.808,0.213,305.815,123.113,7.782,-80.184,41.328,3891.083,88491.486,20150622_054651,479174,13129,31793,11444
1,KPBZ20150622_095554_V06,5.242,0.220,306.065,121.249,16.340,-80.182,41.336,8169.880,89426.844,20150622_055554,479176,18374,31775,16332
4,KPBZ20150622_095554_V06,5.242,0.054,254.693,146.485,1.783,-80.488,41.223,891.632,80030.765,20150622_055554,479176,18374,31775,16332
4,KPBZ20150622_100457_V06,14.292,0.126,254.043,146.797,10.481,-80.492,41.221,5240.411,79973.728,20150622_060457,479178,20432,32547,18027
7,KPBZ20150622_104102_V06,50.375,0.087,367.873,403.940,21.962,-79.821,40.063,10980.938,62069.100,20150622_064102,479179,11547,37812,9350
7,KPBZ20150622_105002_V06,59.375,0.053,353.176,412.886,32.215,-79.907,40.023,16107.472,62391.986,20150622_065002,479179,10017,37871,7946
2,KPBZ20150622_094651_V06,-3.808,0.076,382.647,473.513,5.063,-79.736,39.749,2531.668,96095.264,20150622_054651,479174,13129,31793,11444
6,KPBZ20150622_101359_V06,23.325,0.054,23.419,298.411,28.760,-81.850,40.527,14379.991,138292.784,20150622_061359,479172,19689,34666,17028
1,KPBZ20150624_085355_V06,-57.279,0.283,382.048,474.026,5.717,-79.740,39.747,2858.409,96198.911,20150624_045355,479178,17985,41531,14874
1,KPBZ20150624_090302_V06,-48.162,0.319,382.093,473.963,12.005,-79.739,39.747,6002.430,96179.963,20150624_050302,479175,13396,42884,10603
3,KPBZ20150624_093922_V06,-11.829,0.409,428.226,376.650,8.054,-79.466,40.184,4027.088,74694.810,20150624_053922,479171,14912,29223,12363
6,KPBZ20150624_105141_V06,60.488,0.066,382.027,473.578,5.911,-79.740,39.749,2955.270,95991.736,20150624_065141,479178,22249,21650,19031
1,KPBZ20150625_093648_V06,-14.708,0.058,434.210,316.213,2.298,-79.427,40.456,1148.830,67592.781,20150625_053648,479171,15733,36518,12331
2,KPBZ20150625_094547_V06,-5.725,0.291,428.763,375.768,6.491,-79.462,40.188,3245.340,74700.476,20150625_054547,479174,22219,37523,17942
3,KPBZ20150625_101244_V06,21.225,0.166,310.364,127.823,7.716,-80.156,41.307,3858.017,86244.208,20150625_061244,479178,31373,42322,23534
2,KPBZ20150626_100101_V06,9.168,0.153,252.006,143.528,2.307,-80.505,41.236,1153.631,81833.737,20150626_060101,479173,12539,28638,10184
2,KPBZ20150626_101006_V06,18.252,0.216,252.224,143.597,9.585,-80.503,41.236,4792.473,81768.621,20150626_061006,479175,18328,23831,15340
