track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
3,KTBW20210601_110544_V06,31.679,0.815,541.314,473.963,50.823,-81.187,26.915,25411.318,148741.161,20210601_070544,479177,28923,43761,21573
3,KTBW20210601_111428_V06,40.412,0.776,537.586,477.188,60.032,-81.206,26.901,30016.097,148191.333,20210601_071428,479180,23821,44082,17262
3,KTBW20210601_112312_V06,49.146,0.621,526.496,476.497,61.340,-81.262,26.904,30669.864,143571.876,20210601_072312,479183,23767,44924,17439
3,KTBW20210601_113156_V06,57.879,0.606,523.178,480.294,65.794,-81.279,26.887,32896.999,143452.550,20210601_073156,479179,22422,45572,16624
3,KTBW20210601_114039_V06,66.596,0.420,518.199,483.879,67.991,-81.304,26.871,33995.384,142672.746,20210601_074039,479180,19868,46179,14710
3,KTBW20210601_114923_V06,75.329,0.459,519.466,474.636,76.287,-81.297,26.913,38143.690,140234.534,20210601_074923,479175,20207,47096,15241
1,KTBW20210601_101421_V06,-19.704,0.125,290.977,376.581,4.954,-82.448,27.360,2476.978,38555.136,20210601_061421,479181,18748,23543,15792
1,KTBW20210602_102509_V06,-8.732,0.079,233.742,53.392,15.172,-82.741,28.817,7586.187,127677.038,20210602_062509,479180,17462,32521,13102
1,KTBW20210602_103035_V06,-3.299,-1.000,233.742,53.392,23.811,-82.741,28.817,11905.687,127677.038,20210602_063035,479180,19835,35060,14986
1,KTBW20210602_103602_V06,2.151,0.076,226.825,57.500,33.754,-82.777,28.799,16876.840,126650.050,20210602_063602,479182,21533,38975,15992
1,KTBW20210603_100345_V06,-29.982,0.123,290.285,307.965,8.834,-82.451,27.669,4416.851,6281.515,20210603_060345,479184,51699,50026,37746
9,KTBW20210604_112558_V06,52.362,0.063,341.405,413.797,17.782,-82.193,27.192,8891.165,60547.833,20210604_072558,479181,29870,60844,10463
9,KTBW20210604_113134_V06,57.962,-1.000,341.405,413.797,26.686,-82.193,27.192,13343.165,60547.833,20210604_073134,479180,29916,60117,10861
9,KTBW20210604_113711_V06,63.578,0.071,340.097,406.057,19.432,-82.200,27.227,9715.866,56691.760,20210604_073711,479177,28300,58125,9869
9,KTBW20210604_114248_V06,69.195,0.133,340.764,402.811,16.166,-82.196,27.241,8083.120,55298.789,20210604_074248,479181,26964,56399,9356
4,KTBW20210605_103437_V06,1.117,0.227,246.220,70.726,25.943,-82.677,28.739,12971.397,117748.581,20210605_063437,479183,45988,52824,32022
4,KTBW20210605_103958_V06,6.467,0.218,247.123,71.573,35.234,-82.673,28.736,17616.967,117233.875,20210605_063958,479182,43369,57109,28950
1,KTBW20210607_100606_V06,-27.254,0.081,315.298,344.549,32.160,-82.325,27.504,16080.208,23551.445,20210607_060606,479190,38796,46640,17506
3,KTBW20210609_103304_V06,-0.228,0.099,238.645,40.032,26.415,-82.716,28.878,13207.375,133554.928,20210609_063304,479176,35695,44339,30023
1,KTBW20210612_100607_V06,-27.247,0.106,287.877,310.237,11.331,-82.463,27.659,5665.680,7933.585,20210612_060607,479185,49986,44441,41311
5,KTBW20210613_102046_V06,-12.661,0.419,252.753,56.266,13.653,-82.644,28.805,6826.553,124135.437,20210613_062046,479180,22123,52955,14241
5,KTBW20210613_102606_V06,-7.328,0.597,256.568,56.973,22.728,-82.624,28.802,11364.116,123438.525,20210613_062606,479184,24548,54005,16070
5,KTBW20210613_103127_V06,-1.978,0.649,264.662,58.687,30.044,-82.583,28.794,15022.005,121943.395,20210613_063127,479177,26755,57088,17086
5,KTBW20210613_103655_V06,3.489,0.812,271.287,61.345,39.620,-82.549,28.782,19810.005,120188.139,20210613_063655,479179,26956,60294,16479
5,KTBW20210613_104216_V06,8.839,0.632,275.156,65.292,46.375,-82.529,28.764,23187.536,118009.547,20210613_064216,479180,23991,61897,13544
5,KTBW20210613_104736_V06,14.172,-1.000,279.470,68.965,53.476,-82.507,28.748,26738.091,115972.775,20210613_064736,479180,25017,61392,13965
5,KTBW20210613_105256_V06,19.506,0.056,297.030,81.010,68.863,-82.417,28.693,34431.499,109505.314,20210613_065256,479177,24342,59579,13575
6,KTBW20210613_102046_V06,-12.661,0.079,387.003,455.077,17.942,-81.964,27.005,8970.798,88907.837,20210613_062046,479180,22123,52955,14241
10,KTBW20210613_104736_V06,14.172,0.174,297.387,79.694,67.176,-82.415,28.699,33587.784,110160.762,20210613_064736,479180,25017,61392,13965
12,KTBW20210614_103250_V06,-0.678,0.097,173.243,361.267,8.329,-83.043,27.427,4164.530,70393.293,20210614_063250,479180,69887,87570,22269
3,KTBW20210615_101925_V06,-14.198,0.082,162.671,255.711,20.879,-83.099,27.903,10439.602,72147.120,20210615_061925,479172,113083,125481,23761
3,KTBW20210616_102141_V06,-12.054,0.918,252.017,45.318,18.090,-82.648,28.854,9044.886,129581.546,20210616_062141,479190,27215,42079,14465
3,KTBW20210616_102518_V06,-8.437,0.967,253.928,44.543,23.188,-82.638,28.858,11593.835,129788.978,20210616_062518,479193,31274,44727,16872
