track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTLH20150602_100000_V06,-35.644,0.164,404.074,279.613,5.350,-83.787,30.488,2674.770,53026.153,20150602_060000,479202,24418,41314,10300
1,KTLH20150602_100412_V06,-31.444,0.111,404.157,279.077,10.914,-83.786,30.491,5456.987,53118.765,20150602_060412,479197,26007,46141,12032
2,KTLH20150603_093558_V06,-59.475,0.146,141.876,169.334,11.940,-85.157,30.984,5970.091,102563.016,20150603_053558,479203,14010,24676,6273
5,KTLH20150603_093950_V06,-55.608,0.152,434.898,165.619,8.616,-83.623,31.002,4307.964,95204.719,20150603_053950,479197,14126,24177,6821
1,KTLH20150604_095151_V06,-43.412,0.067,390.361,304.555,12.221,-83.859,30.376,6110.706,45237.797,20150604_055151,479178,6585,25194,4968
1,KTLH20150605_095719_V06,-37.790,0.181,193.700,174.464,4.994,-84.885,30.962,2497.107,82248.189,20150605_055719,479186,13374,28404,11217
1,KTLH20150606_101436_V06,-20.376,0.059,242.460,165.430,3.353,-84.630,31.004,1676.258,73177.663,20150606_061436,479195,49233,48334,27154
1,KTLH20150607_104426_V06,9.565,0.131,249.012,160.594,31.050,-84.596,31.026,15524.904,74218.918,20150607_064426,479185,103771,39062,88519
2,KTLH20150608_101155_V06,-22.868,0.245,249.572,158.082,10.819,-84.593,31.037,5409.742,75305.464,20150608_061155,479196,37420,49977,13355
2,KTLH20150608_101652_V06,-17.918,0.703,250.507,156.162,16.490,-84.588,31.046,8244.876,76057.208,20150608_061652,479200,41612,47686,16262
2,KTLH20150608_102150_V06,-12.952,0.476,253.912,155.733,22.406,-84.570,31.048,11203.194,75724.868,20150608_062150,479191,41983,48573,15669
2,KTLH20150608_102648_V06,-7.985,0.478,257.920,158.748,26.027,-84.549,31.034,13013.663,73693.142,20150608_062648,479205,43397,52931,15815
2,KTLH20150608_103146_V06,-3.018,0.219,257.371,159.047,27.357,-84.552,31.033,13678.416,73629.018,20150608_063146,479193,45735,57801,16175
4,KTLH20150609_101850_V06,-15.892,0.061,249.091,161.084,2.698,-84.595,31.024,1348.911,73975.270,20150609_061850,479193,31582,32236,21415
7,KTLH20150610_102124_V06,-13.289,0.076,260.463,162.240,11.641,-84.536,31.019,5820.469,71660.482,20150610_062124,479215,78777,80770,17261
7,KTLH20150610_102634_V06,-8.122,0.220,261.040,161.824,18.711,-84.533,31.021,9355.738,71781.535,20150610_062634,479195,80454,83533,17697
7,KTLH20150610_103144_V06,-2.956,0.085,261.709,160.557,20.239,-84.529,31.026,10119.561,72302.311,20150610_063144,479212,81601,86153,17119
5,KTLH20150610_101116_V06,-23.422,0.178,343.675,304.218,9.183,-84.102,30.378,4591.671,21939.146,20150610_061116,479208,69869,77120,14358
5,KTLH20150610_101626_V06,-18.256,0.433,344.346,303.741,15.173,-84.098,30.380,7586.564,22251.918,20150610_061626,479194,74241,78721,15961
5,KTLH20150610_102124_V06,-13.289,-1.000,344.873,303.367,21.324,-84.095,30.382,10661.805,22499.634,20150610_062124,479215,78777,80770,17261
5,KTLH20150610_102634_V06,-8.122,0.068,349.725,296.325,15.056,-84.070,30.414,7528.107,24930.143,20150610_062634,479195,80454,83533,17697
9,KTLH20150610_103649_V06,2.128,0.077,330.342,356.337,15.139,-84.171,30.143,7569.599,31994.056,20150610_063649,479205,84206,90219,18317
9,KTLH20150611_101344_V06,-20.943,0.695,255.573,159.865,11.001,-84.562,31.029,5500.643,73504.305,20150611_061344,479199,91649,96179,22706
9,KTLH20150611_101842_V06,-15.976,0.711,257.332,160.100,17.251,-84.552,31.028,8625.566,73130.722,20150611_061842,479199,107189,96499,33752
9,KTLH20150611_102339_V06,-11.026,0.594,262.343,158.017,23.209,-84.526,31.038,11604.590,73446.149,20150611_062339,479202,123381,98893,46497
9,KTLH20150611_102840_V06,-6.010,0.656,266.527,158.050,29.612,-84.504,31.038,14806.070,72921.747,20150611_062840,479196,132869,102345,52600
9,KTLH20150611_103336_V06,-1.076,0.381,265.007,159.878,30.159,-84.512,31.029,15079.329,72212.877,20150611_063336,479188,142500,107048,58522
17,KTLH20150611_110853_V06,34.207,0.284,277.512,285.403,18.089,-84.446,30.463,9044.678,13405.020,20150611_070853,479203,136213,133303,35507
17,KTLH20150611_111411_V06,39.507,0.068,276.995,285.099,25.089,-84.449,30.465,12544.686,13704.708,20150611_071411,479201,134132,135495,32594
17,KTLH20150611_111928_V06,44.790,0.051,270.955,275.697,17.669,-84.480,30.507,8834.589,18935.901,20150611_071928,479194,134280,137086,31444
8,KTLH20150611_100348_V06,-30.876,0.138,246.776,160.367,5.456,-84.608,31.027,2727.911,74716.198,20150611_060348,479197,82626,94340,18398
16,KTLH20150611_105839_V06,23.974,0.093,290.462,402.867,8.308,-84.378,29.934,4154.112,51654.213,20150611_065839,479198,141938,129126,42956
