track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTYX20180603_083452_V06,-47.957,0.068,366.714,314.656,11.957,-75.266,43.689,5978.485,34152.402,20180603_043452,479172,34601,24673,27880
1,KTYX20180605_082852_V06,-53.151,0.238,25.900,326.888,40.362,-77.378,43.622,20180.899,137707.883,20180605_042852,479176,24873,32739,11936
1,KTYX20180605_083311_V06,-48.834,0.336,26.636,327.793,46.191,-77.373,43.618,23095.287,137386.503,20180605_043311,479172,26031,32898,12216
2,KTYX20180605_082852_V06,-53.151,0.053,324.271,430.930,23.125,-75.531,43.166,11562.517,66580.236,20180605_042852,479176,24873,32739,11936
2,KTYX20180605_083311_V06,-48.834,0.115,326.420,431.552,28.729,-75.518,43.164,14364.508,67089.274,20180605_043311,479172,26031,32898,12216
8,KTYX20180605_100747_V06,45.766,0.072,21.576,387.651,26.948,-77.397,43.348,13474.123,145947.474,20180605_060747,479171,40478,45501,13589
8,KTYX20180605_101227_V06,50.432,0.273,22.975,387.778,34.956,-77.388,43.348,17478.146,145299.687,20180605_061227,479175,41891,46511,14313
3,KTYX20180605_084624_V06,-35.618,0.076,49.589,325.115,55.567,-77.232,43.632,27783.409,125833.658,20180605_044624,479172,29336,35081,14132
2,KTYX20180607_091651_V06,-4.510,0.140,10.098,243.195,16.117,-77.487,43.997,8058.448,147707.277,20180607_051651,479177,14808,10771,9118
2,KTYX20180607_092112_V06,-0.160,0.301,10.699,244.554,21.703,-77.483,43.991,10851.427,147283.242,20180607_052112,479171,14323,10446,8854
2,KTYX20180607_092532_V06,4.174,0.153,15.668,247.263,23.272,-77.452,43.979,11635.840,144590.810,20180607_052532,479170,13594,9506,8530
2,KTYX20180607_092952_V06,8.507,0.120,21.471,251.016,24.070,-77.415,43.963,12035.110,141401.923,20180607_052952,479177,13192,9414,8301
2,KTYX20180607_093412_V06,12.840,0.090,27.063,249.966,27.729,-77.381,43.968,13864.717,138742.585,20180607_053412,479176,13541,9220,8472
