track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KVAX20220601_093027_V06,-58.933,0.192,330.512,128.102,2.115,-82.841,31.665,1057.499,87292.512,20220601_053027,479166,30402,40405,22778
2,KVAX20220601_094006_V06,-49.283,0.064,331.037,128.280,9.756,-82.838,31.664,4878.168,87250.980,20220601_054006,479173,32333,42044,24660
6,KVAX20220601_100906_V06,-20.283,0.122,326.757,417.939,31.366,-82.863,30.358,15683.189,60467.946,20220601_060906,479165,63958,40070,54388
6,KVAX20220601_101845_V06,-10.633,0.253,326.218,421.484,37.299,-82.866,30.342,18649.733,62140.561,20220601_061845,479172,87399,38438,75850
6,KVAX20220601_102825_V06,-0.967,0.108,319.414,425.466,31.425,-82.901,30.324,15712.379,63479.521,20220601_062825,479170,133320,52455,111731
1,KVAX20220601_093027_V06,-58.933,0.592,333.051,166.882,12.683,-82.828,31.490,6341.427,68579.554,20220601_053027,479166,30402,40405,22778
1,KVAX20220601_094006_V06,-49.283,-1.000,333.051,166.882,28.026,-82.828,31.490,14013.177,68579.554,20220601_054006,479173,32333,42044,24660
1,KVAX20220601_094946_V06,-39.617,0.053,330.397,170.036,7.860,-82.842,31.476,3930.157,66735.815,20220601_054946,479168,52007,50019,42158
5,KVAX20220601_100906_V06,-20.283,0.127,292.891,518.074,12.339,-83.039,29.906,6169.299,109094.784,20220601_060906,479165,63958,40070,54388
7,KVAX20220601_100906_V06,-20.283,0.106,249.574,316.343,5.646,-83.265,30.816,2822.962,26503.930,20220601_060906,479165,63958,40070,54388
8,KVAX20220601_100906_V06,-20.283,0.085,158.975,362.741,12.122,-83.737,30.605,6060.795,77176.130,20220601_060906,479165,63958,40070,54388
10,KVAX20220601_102825_V06,-0.967,0.072,257.419,474.095,25.049,-83.223,30.105,12524.578,89613.455,20220601_062825,479170,133320,52455,111731
1,KVAX20220602_093017_V06,-58.875,0.288,233.998,300.592,7.282,-83.347,30.887,3641.079,33002.281,20220602_053017,479167,27598,36200,18274
3,KVAX20220602_101124_V06,-17.759,0.095,244.343,312.022,14.045,-83.293,30.835,7022.442,28470.277,20220602_061124,479174,46723,36037,38030
1,KVAX20220603_100530_V06,-23.458,0.312,287.887,516.845,19.314,-83.065,29.912,9657.083,108591.396,20220603_060530,479168,102732,56282,81851
1,KVAX20220603_101002_V06,-18.925,0.107,296.971,520.731,17.028,-83.018,29.894,8514.032,110375.716,20220603_061002,479175,103957,50208,84030
2,KVAX20220603_100530_V06,-23.458,0.100,339.530,412.538,19.702,-82.796,30.382,9850.956,59639.544,20220603_060530,479168,102732,56282,81851
1,KVAX20220605_094509_V06,-43.479,0.072,331.946,401.315,7.854,-82.836,30.433,3927.193,53116.242,20220605_054509,479172,15925,28192,13713
1,KVAX20220605_100426_V06,-24.196,0.067,388.005,368.725,18.613,-82.543,30.579,9306.574,55830.104,20220605_060426,479170,42907,29492,37656
2,KVAX20220605_103325_V06,4.787,0.172,120.153,52.092,55.643,-83.954,32.004,27821.609,153136.559,20220605_063325,479173,38542,29031,33226
2,KVAX20220605_104304_V06,14.437,0.285,130.155,54.297,63.643,-83.901,31.995,31821.633,149346.353,20220605_064304,479173,38874,31828,32814
5,KVAX20220605_104304_V06,14.437,0.246,311.580,411.618,38.403,-82.942,30.387,19201.576,56108.374,20220605_064304,479173,38874,31828,32814
5,KVAX20220605_110223_V06,33.754,0.082,305.181,413.628,48.736,-82.975,30.378,24368.108,56872.815,20220605_070223,479174,27768,34468,23003
3,KVAX20220605_103325_V06,4.787,0.107,59.983,119.205,24.590,-84.268,31.699,12295.094,150245.648,20220605_063325,479173,38542,29031,33226
4,KVAX20220605_103325_V06,4.787,0.071,330.525,411.057,44.402,-82.843,30.389,22201.002,57587.995,20220605_063325,479173,38542,29031,33226
4,KVAX20220606_092957_V06,-58.551,0.252,473.249,158.243,16.378,-82.090,31.526,8189.232,111926.353,20220606_052957,479168,30616,53249,11823
14,KVAX20220606_100941_V06,-18.817,0.100,255.051,345.796,14.419,-83.236,30.683,7209.690,32084.372,20220606_060941,479173,41379,60373,22011
15,KVAX20220606_100941_V06,-18.817,0.061,413.645,65.343,21.324,-82.401,31.947,10662.014,130364.166,20220606_060941,479173,41379,60373,22011
16,KVAX20220606_101353_V06,-14.617,0.153,228.089,290.765,17.745,-83.378,30.931,8872.629,36250.687,20220606_061353,479167,38753,55848,20361
18,KVAX20220606_102255_V06,-5.584,0.290,156.485,18.654,20.561,-83.763,32.156,10280.695,157917.687,20220606_062255,479169,50421,57614,28305
1,KVAX20220607_101629_V06,-11.912,0.074,246.892,318.958,30.335,-83.279,30.804,15167.618,28195.085,20220607_061629,479168,23359,39251,16427
2,KVAX20220607_110453_V06,36.488,0.056,449.376,299.317,16.745,-82.221,30.891,8372.421,74688.922,20220607_070453,479170,64734,75971,43044
1,KVAX20220608_100745_V06,-20.565,0.107,251.017,75.029,13.050,-83.261,31.904,6524.792,115120.673,20220608_060745,479170,58075,35898,48399
2,KVAX20220608_101724_V06,-10.915,0.085,243.576,303.429,20.954,-83.297,30.874,10476.864,28264.238,20220608_061724,479173,121067,32972,107516
6,KVAX20220609_093951_V06,-48.407,0.051,112.474,346.070,8.895,-83.980,30.679,4447.257,96551.294,20220609_053951,479177,11865,34736,7557
6,KVAX20220609_094509_V06,-43.107,0.102,112.849,344.900,16.455,-83.979,30.684,8227.643,96230.942,20220609_054509,479169,18999,41277,12839
6,KVAX20220609_095027_V06,-37.807,0.054,119.375,342.859,19.414,-83.945,30.693,9707.157,92820.178,20220609_055027,479170,24005,48668,16006
1,KVAX20220609_092907_V06,-59.140,0.236,269.543,161.678,6.246,-83.162,31.514,3123.112,70817.524,20220609_052907,479176,8977,28685,6500
1,KVAX20220609_093432_V06,-53.723,0.159,269.059,161.787,12.253,-83.165,31.513,6126.552,70816.797,20220609_053432,479170,11288,30471,7964
4,KVAX20220609_092907_V06,-59.140,0.056,249.414,307.355,10.247,-83.266,30.857,5123.522,25558.796,20220609_052907,479176,8977,28685,6500
7,KVAX20220609_101113_V06,-17.040,0.244,250.656,299.830,20.067,-83.260,30.891,10033.491,24671.960,20220609_061113,479172,48666,37313,38945
3,KVAX20220610_100410_V06,-24.056,0.857,423.773,76.533,8.107,-82.348,31.896,4053.482,127727.229,20220610_060410,479170,74666,79149,48828
3,KVAX20220610_100826_V06,-19.789,0.764,423.939,77.128,13.179,-82.347,31.893,6589.569,127507.694,20220610_060826,479167,68042,70909,45729
3,KVAX20220610_101238_V06,-15.589,0.202,425.439,79.252,18.771,-82.339,31.884,9385.252,126949.362,20220610_061238,479171,72502,64431,49715
6,KVAX20220610_101238_V06,-15.589,0.060,36.978,118.808,9.007,-84.389,31.700,4503.563,159695.951,20220610_061238,479171,72502,64431,49715
6,KVAX20220610_101650_V06,-11.389,0.733,36.428,119.305,14.499,-84.392,31.697,7249.672,159781.650,20220610_061650,479168,92072,65625,64234
6,KVAX20220610_102105_V06,-7.139,0.483,36.230,120.830,19.538,-84.393,31.691,9769.106,159433.743,20220610_062105,479168,116344,69405,82823
1,KVAX20220610_093022_V06,-57.856,0.184,333.846,429.994,6.048,-82.826,30.304,3023.779,67163.995,20220610_053022,479175,28059,56664,16380
1,KVAX20220610_093438_V06,-53.589,0.152,333.910,430.444,11.248,-82.826,30.302,5623.823,67389.841,20220610_053438,479170,31989,60082,18692
4,KVAX20220610_100410_V06,-24.056,0.473,159.184,30.760,7.335,-83.748,32.102,3667.427,151920.531,20220610_060410,479170,74666,79149,48828
5,KVAX20220610_100826_V06,-19.789,0.180,258.128,167.740,6.698,-83.222,31.486,3348.753,69364.958,20220610_060826,479167,68042,70909,45729
7,KVAX20220610_104302_V06,14.811,0.051,417.168,31.189,19.081,-82.381,32.101,9540.398,146618.078,20220610_064302,479163,146033,77651,106699
8,KVAX20220610_112625_V06,58.194,0.192,391.311,76.061,38.949,-82.519,31.899,19474.483,120919.903,20220610_072625,479168,142054,72317,111648
4,KVAX20220611_101019_V06,-17.894,0.916,424.806,63.080,14.741,-82.342,31.957,7370.338,133891.322,20220611_061019,479174,49075,39280,41366
4,KVAX20220611_101959_V06,-8.228,0.787,428.267,60.110,23.415,-82.323,31.970,11707.690,136014.356,20220611_061959,479169,78691,53298,58833
4,KVAX20220611_102419_V06,-3.894,0.621,430.398,59.910,26.972,-82.312,31.971,13486.018,136607.608,20220611_062419,479171,98904,56225,74464
10,KVAX20220611_113710_V06,68.956,0.054,28.308,429.557,37.864,-84.414,30.298,18931.934,150500.402,20220611_073710,479176,59697,71344,39299
10,KVAX20220611_114123_V06,73.172,0.057,28.157,430.007,43.083,-84.415,30.296,21541.457,150665.574,20220611_074123,479170,52876,67836,34744
1,KVAX20220611_093144_V06,-56.478,0.146,248.044,122.020,2.581,-83.276,31.692,1290.663,92704.338,20220611_053144,479168,20378,35313,15108
2,KVAX20220611_094123_V06,-46.828,0.169,250.862,191.984,12.069,-83.260,31.377,6034.487,59333.752,20220611_054123,479172,23548,39384,16991
3,KVAX20220611_094123_V06,-46.828,0.066,345.227,405.061,16.154,-82.767,30.416,8076.767,57191.223,20220611_054123,479172,23548,39384,16991
5,KVAX20220611_101959_V06,-8.228,0.061,242.060,308.122,19.765,-83.305,30.853,9882.332,29253.275,20220611_061959,479169,78691,53298,58833
7,KVAX20220611_110256_V06,34.722,0.078,238.222,146.912,56.380,-83.327,31.580,28190.239,82541.710,20220611_070256,479168,94421,68862,65818
8,KVAX20220611_111120_V06,43.122,0.119,421.237,158.340,6.652,-82.364,31.527,3326.187,93228.082,20220611_071120,479168,87198,69180,60452
8,KVAX20220611_111550_V06,47.622,0.118,433.579,163.911,28.513,-82.299,31.502,14256.634,95345.993,20220611_071550,479176,86704,70258,59516
3,KVAX20220612_100323_V06,-24.839,0.084,245.410,317.988,6.460,-83.287,30.809,3230.087,28738.612,20220612_060323,479178,40611,49554,25091
3,KVAX20220612_100754_V06,-20.322,-1.000,245.410,317.988,13.642,-83.287,30.809,6820.837,28738.612,20220612_060754,479177,32634,45664,19534
3,KVAX20220612_101226_V06,-15.789,0.077,249.634,320.182,19.065,-83.265,30.799,9532.733,27129.320,20220612_061226,479168,30715,42112,17580
4,KVAX20220612_100754_V06,-20.322,0.080,267.144,160.164,3.182,-83.175,31.520,1591.076,71822.058,20220612_060754,479177,32634,45664,19534
9,KVAX20220612_111100_V06,42.778,0.064,301.168,415.314,17.712,-82.996,30.370,8855.957,57659.865,20220612_071100,479177,29210,61838,13517
2,KVAX20220613_102456_V06,-3.323,0.935,175.086,29.506,24.240,-83.664,32.108,12119.984,148972.055,20220613_062456,479182,31058,53018,16333
