filename,local_time
KABR20140601_094934_V06,20140601_044934
KABR20140601_095407_V06,20140601_045407
KABR20140601_095841_V06,20140601_045841
KABR20140601_100314_V06,20140601_050314
KABR20140601_100747_V06,20140601_050747
KABR20140601_101220_V06,20140601_051220
KABR20140601_101654_V06,20140601_051654
KABR20140601_102127_V06,20140601_052127
KABR20140601_102600_V06,20140601_052600
KABR20140601_103034_V06,20140601_053034
KABR20140601_103508_V06,20140601_053508
KABR20140601_103942_V06,20140601_053942
KABR20140601_104416_V06,20140601_054416
KABR20140601_104849_V06,20140601_054849
KABR20140601_105323_V06,20140601_055323
KABR20140601_105756_V06,20140601_055756
KABR20140601_110230_V06,20140601_060230
KABR20140601_110703_V06,20140601_060703
KABR20140601_111136_V06,20140601_061136
KABR20140601_111610_V06,20140601_061610
KABR20140601_112044_V06,20140601_062044
KABR20140601_112517_V06,20140601_062517
KABR20140601_112950_V06,20140601_062950
KABR20140601_113424_V06,20140601_063424
KABR20140601_113858_V06,20140601_063858
KABR20140601_114332_V06,20140601_064332
KABR20140601_114806_V06,20140601_064806
KABR20140601_115240_V06,20140601_065240
KABR20140601_115713_V06,20140601_065713
KABR20140601_120146_V06,20140601_070146
KABR20140601_120619_V06,20140601_070619
KABR20140601_121053_V06,20140601_071053
KABR20140601_121525_V06,20140601_071525
KABR20140602_095432_V06,20140602_045432
KABR20140602_100358_V06,20140602_050358
KABR20140602_100831_V06,20140602_050831
KABR20140602_101305_V06,20140602_051305
KABR20140602_101738_V06,20140602_051738
KABR20140602_102213_V06,20140602_052213
KABR20140602_102647_V06,20140602_052647
KABR20140602_103121_V06,20140602_053121
KABR20140602_103556_V06,20140602_053556
KABR20140602_104030_V06,20140602_054030
KABR20140602_104956_V06,20140602_054956
KABR20140602_105921_V06,20140602_055921
KABR20140602_110847_V06,20140602_060847
KABR20140602_111813_V06,20140602_061813
KABR20140602_112738_V06,20140602_062738
KABR20140602_113704_V06,20140602_063704
KABR20140602_114630_V06,20140602_064630
KABR20140602_115556_V06,20140602_065556
KABR20140602_120523_V06,20140602_070523
KABR20140602_121449_V06,20140602_071449
KABR20140603_095328_V06,20140603_045328
KABR20140603_100509_V06,20140603_050509
KABR20140603_101437_V06,20140603_051437
KABR20140603_102404_V06,20140603_052404
KABR20140603_103331_V06,20140603_053331
KABR20140603_104259_V06,20140603_054259
KABR20140603_105226_V06,20140603_055226
KABR20140603_110152_V06,20140603_060152
KABR20140603_111119_V06,20140603_061119
KABR20140603_112047_V06,20140603_062047
KABR20140603_113014_V06,20140603_063014
KABR20140603_113940_V06,20140603_063940
KABR20140603_114908_V06,20140603_064908
KABR20140603_115834_V06,20140603_065834
KABR20140603_120802_V06,20140603_070802
KABR20140604_095415_V06,20140604_045415
KABR20140604_100341_V06,20140604_050341
KABR20140604_101521_V06,20140604_051521
KABR20140604_102447_V06,20140604_052447
KABR20140604_103413_V06,20140604_053413
KABR20140604_104339_V06,20140604_054339
KABR20140604_105306_V06,20140604_055306
KABR20140604_110232_V06,20140604_060232
KABR20140604_111159_V06,20140604_061159
KABR20140604_112126_V06,20140604_062126
KABR20140604_113053_V06,20140604_063053
KABR20140604_114019_V06,20140604_064019
KABR20140604_114946_V06,20140604_064946
KABR20140604_115912_V06,20140604_065912
KABR20140604_120838_V06,20140604_070838
KABR20140605_094849_V06,20140605_044849
KABR20140605_095322_V06,20140605_045322
KABR20140605_095755_V06,20140605_045755
KABR20140605_100229_V06,20140605_050229
KABR20140605_100702_V06,20140605_050702
KABR20140605_101136_V06,20140605_051136
KABR20140605_101608_V06,20140605_051608
KABR20140605_102257_V06,20140605_052257
KABR20140605_102730_V06,20140605_052730
KABR20140605_103204_V06,20140605_053204
KABR20140605_103637_V06,20140605_053637
KABR20140605_104110_V06,20140605_054110
KABR20140605_104544_V06,20140605_054544
KABR20140605_105017_V06,20140605_055017
KABR20140605_105449_V06,20140605_055449
KABR20140605_105923_V06,20140605_055923
KABR20140605_110356_V06,20140605_060356
KABR20140605_110829_V06,20140605_060829
KABR20140605_111302_V06,20140605_061302
KABR20140605_111734_V06,20140605_061734
KABR20140605_112206_V06,20140605_062206
KABR20140605_112640_V06,20140605_062640
KABR20140605_113113_V06,20140605_063113
KABR20140605_113546_V06,20140605_063546
KABR20140605_114020_V06,20140605_064020
KABR20140605_114454_V06,20140605_064454
KABR20140605_114927_V06,20140605_064927
KABR20140605_115400_V06,20140605_065400
KABR20140605_115833_V06,20140605_065833
KABR20140605_120306_V06,20140605_070306
KABR20140605_120740_V06,20140605_070740
KABR20140605_121214_V06,20140605_071214
KABR20140606_094937_V06,20140606_044937
KABR20140606_095304_V06,20140606_045304
KABR20140606_095630_V06,20140606_045630
KABR20140606_095957_V06,20140606_045957
KABR20140606_100323_V06,20140606_050323
KABR20140606_100650_V06,20140606_050650
KABR20140606_101016_V06,20140606_051016
KABR20140606_101343_V06,20140606_051343
KABR20140606_101710_V06,20140606_051710
KABR20140606_102037_V06,20140606_052037
KABR20140606_102934_V06,20140606_052934
KABR20140606_103301_V06,20140606_053301
KABR20140606_103628_V06,20140606_053628
