filename,local_time
KAKQ20200601_090140_V06,20200601_050140
KAKQ20200601_090822_V06,20200601_050822
KAKQ20200601_091509_V06,20200601_051509
KAKQ20200601_092407_V06,20200601_052407
KAKQ20200601_093109_V06,20200601_053109
KAKQ20200601_093751_V06,20200601_053751
KAKQ20200601_094442_V06,20200601_054442
KAKQ20200601_095128_V06,20200601_055128
KAKQ20200601_100501_V06,20200601_060501
KAKQ20200601_101147_V06,20200601_061147
KAKQ20200601_101838_V06,20200601_061838
KAKQ20200601_102528_V06,20200601_062528
KAKQ20200601_103210_V06,20200601_063210
KAKQ20200601_103901_V06,20200601_063901
KAKQ20200601_104542_V06,20200601_064542
KAKQ20200601_105225_V06,20200601_065225
KAKQ20200601_110608_V06,20200601_070608
KAKQ20200601_111303_V06,20200601_071303
KAKQ20200601_111946_V06,20200601_071946
KAKQ20200602_090114_V06,20200602_050114
KAKQ20200602_090757_V06,20200602_050757
KAKQ20200602_091440_V06,20200602_051440
KAKQ20200602_092121_V06,20200602_052121
KAKQ20200602_092804_V06,20200602_052804
KAKQ20200602_093447_V06,20200602_053447
KAKQ20200602_094130_V06,20200602_054130
KAKQ20200602_094812_V06,20200602_054812
KAKQ20200602_100137_V06,20200602_060137
KAKQ20200602_100820_V06,20200602_060820
KAKQ20200602_101503_V06,20200602_061503
KAKQ20200602_102146_V06,20200602_062146
KAKQ20200602_102828_V06,20200602_062828
KAKQ20200602_103511_V06,20200602_063511
KAKQ20200602_104154_V06,20200602_064154
KAKQ20200602_104837_V06,20200602_064837
KAKQ20200602_105303_V06,20200602_065303
KAKQ20200602_110136_V06,20200602_070136
KAKQ20200602_110553_V06,20200602_070553
KAKQ20200602_111010_V06,20200602_071010
KAKQ20200602_111427_V06,20200602_071427
KAKQ20200602_111844_V06,20200602_071844
KAKQ20200603_090232_V06,20200603_050232
KAKQ20200603_090934_V06,20200603_050934
KAKQ20200603_091635_V06,20200603_051635
KAKQ20200603_092336_V06,20200603_052336
KAKQ20200603_093038_V06,20200603_053038
KAKQ20200603_093733_V06,20200603_053733
KAKQ20200603_094430_V06,20200603_054430
KAKQ20200603_095135_V06,20200603_055135
KAKQ20200603_100539_V06,20200603_060539
KAKQ20200603_101236_V06,20200603_061236
KAKQ20200603_101934_V06,20200603_061934
KAKQ20200603_102625_V06,20200603_062625
KAKQ20200603_103316_V06,20200603_063316
KAKQ20200603_104009_V06,20200603_064009
KAKQ20200603_104700_V06,20200603_064700
KAKQ20200603_110045_V06,20200603_070045
KAKQ20200603_110737_V06,20200603_070737
KAKQ20200603_111427_V06,20200603_071427
KAKQ20200604_085040_V06,20200604_045040
KAKQ20200604_090446_V06,20200604_050446
KAKQ20200604_091149_V06,20200604_051149
KAKQ20200604_091852_V06,20200604_051852
KAKQ20200604_092554_V06,20200604_052554
KAKQ20200604_093258_V06,20200604_053258
KAKQ20200604_094158_V06,20200604_054158
KAKQ20200604_094900_V06,20200604_054900
KAKQ20200604_100306_V06,20200604_060306
KAKQ20200604_101010_V06,20200604_061010
KAKQ20200604_101710_V06,20200604_061710
KAKQ20200604_102137_V06,20200604_062137
KAKQ20200604_102616_V06,20200604_062616
KAKQ20200604_103056_V06,20200604_063056
KAKQ20200604_103534_V06,20200604_063534
KAKQ20200604_104015_V06,20200604_064015
KAKQ20200604_104452_V06,20200604_064452
KAKQ20200604_104929_V06,20200604_064929
KAKQ20200604_105409_V06,20200604_065409
KAKQ20200604_110325_V06,20200604_070325
KAKQ20200604_110804_V06,20200604_070804
KAKQ20200604_111242_V06,20200604_071242
KAKQ20200604_111721_V06,20200604_071721
KAKQ20200605_085240_V06,20200605_045240
KAKQ20200605_090627_V06,20200605_050627
KAKQ20200605_091330_V06,20200605_051330
KAKQ20200605_092033_V06,20200605_052033
KAKQ20200605_092736_V06,20200605_052736
KAKQ20200605_093438_V06,20200605_053438
KAKQ20200605_094140_V06,20200605_054140
KAKQ20200605_094836_V06,20200605_054836
KAKQ20200605_100225_V06,20200605_060225
KAKQ20200605_100907_V06,20200605_060907
KAKQ20200605_101552_V06,20200605_061552
KAKQ20200605_102236_V06,20200605_062236
KAKQ20200605_102919_V06,20200605_062919
KAKQ20200605_103621_V06,20200605_063621
KAKQ20200605_104326_V06,20200605_064326
KAKQ20200605_105024_V06,20200605_065024
KAKQ20200605_110417_V06,20200605_070417
KAKQ20200605_111119_V06,20200605_071119
KAKQ20200605_111821_V06,20200605_071821
KAKQ20200606_085112_V06,20200606_045112
KAKQ20200606_085532_V06,20200606_045532
KAKQ20200606_090358_V06,20200606_050358
KAKQ20200606_090805_V06,20200606_050805
KAKQ20200606_091232_V06,20200606_051232
KAKQ20200606_091646_V06,20200606_051646
KAKQ20200606_092046_V06,20200606_052046
KAKQ20200606_092447_V06,20200606_052447
KAKQ20200606_092841_V06,20200606_052841
KAKQ20200606_093240_V06,20200606_053240
KAKQ20200606_093633_V06,20200606_053633
KAKQ20200606_094032_V06,20200606_054032
KAKQ20200606_094430_V06,20200606_054430
KAKQ20200606_094822_V06,20200606_054822
KAKQ20200606_095216_V06,20200606_055216
KAKQ20200606_095609_V06,20200606_055609
KAKQ20200606_100354_V06,20200606_060354
KAKQ20200606_100807_V06,20200606_060807
KAKQ20200606_101221_V06,20200606_061221
KAKQ20200606_101633_V06,20200606_061633
KAKQ20200606_102046_V06,20200606_062046
KAKQ20200606_102458_V06,20200606_062458
KAKQ20200606_102919_V06,20200606_062919
KAKQ20200606_103341_V06,20200606_063341
KAKQ20200606_103803_V06,20200606_063803
KAKQ20200606_104226_V06,20200606_064226
KAKQ20200606_104648_V06,20200606_064648
KAKQ20200606_105040_V06,20200606_065040
KAKQ20200606_105433_V06,20200606_065433
KAKQ20200606_110219_V06,20200606_070219
KAKQ20200606_110611_V06,20200606_070611
KAKQ20200606_111003_V06,20200606_071003
KAKQ20200606_111357_V06,20200606_071357
KAKQ20200606_111751_V06,20200606_071751
KAKQ20200607_084844_V06,20200607_044844
