filename,local_time
KAMA20180601_103711_V06,20180601_053711
KAMA20180601_104416_V06,20180601_054416
KAMA20180601_105121_V06,20180601_055121
KAMA20180601_110532_V06,20180601_060532
KAMA20180601_111237_V06,20180601_061237
KAMA20180601_111942_V06,20180601_061942
KAMA20180601_112647_V06,20180601_062647
KAMA20180601_113353_V06,20180601_063353
KAMA20180601_114058_V06,20180601_064058
KAMA20180601_114802_V06,20180601_064802
KAMA20180601_120215_V06,20180601_070215
KAMA20180601_120921_V06,20180601_070921
KAMA20180601_121628_V06,20180601_071628
KAMA20180601_122334_V06,20180601_072334
KAMA20180601_123040_V06,20180601_073040
KAMA20180601_123744_V06,20180601_073744
KAMA20180601_124451_V06,20180601_074451
KAMA20180601_125157_V06,20180601_075157
KAMA20180602_103652_V06,20180602_053652
KAMA20180602_104358_V06,20180602_054358
KAMA20180602_105104_V06,20180602_055104
KAMA20180602_110515_V06,20180602_060515
KAMA20180602_111219_V06,20180602_061219
KAMA20180602_111918_V06,20180602_061918
KAMA20180602_112623_V06,20180602_062623
KAMA20180602_113330_V06,20180602_063330
KAMA20180602_114037_V06,20180602_064037
KAMA20180602_114731_V06,20180602_064731
KAMA20180602_120120_V06,20180602_070120
KAMA20180602_120820_V06,20180602_070820
KAMA20180602_121516_V06,20180602_071516
KAMA20180602_122204_V06,20180602_072204
KAMA20180602_122858_V06,20180602_072858
KAMA20180602_123548_V06,20180602_073548
KAMA20180602_124237_V06,20180602_074237
KAMA20180602_124943_V06,20180602_074943
KAMA20180603_103658_V06,20180603_053658
KAMA20180603_104404_V06,20180603_054404
KAMA20180603_105110_V06,20180603_055110
KAMA20180603_110520_V06,20180603_060520
KAMA20180603_111225_V06,20180603_061225
KAMA20180603_111931_V06,20180603_061931
KAMA20180603_112636_V06,20180603_062636
KAMA20180603_113341_V06,20180603_063341
KAMA20180603_114046_V06,20180603_064046
KAMA20180603_114751_V06,20180603_064751
KAMA20180603_120203_V06,20180603_070203
KAMA20180603_120903_V06,20180603_070903
KAMA20180603_121603_V06,20180603_071603
KAMA20180603_122309_V06,20180603_072309
KAMA20180603_123015_V06,20180603_073015
KAMA20180603_123715_V06,20180603_073715
KAMA20180603_124421_V06,20180603_074421
KAMA20180603_125126_V06,20180603_075126
KAMA20180604_103340_V06,20180604_053340
KAMA20180604_103721_V06,20180604_053721
KAMA20180604_104050_V06,20180604_054050
KAMA20180604_104420_V06,20180604_054420
KAMA20180604_104752_V06,20180604_054752
KAMA20180604_105121_V06,20180604_055121
KAMA20180604_105451_V06,20180604_055451
KAMA20180604_110126_V06,20180604_060126
KAMA20180604_110444_V06,20180604_060444
KAMA20180604_110802_V06,20180604_060802
KAMA20180604_111119_V06,20180604_061119
KAMA20180604_111437_V06,20180604_061437
KAMA20180604_111753_V06,20180604_061753
KAMA20180604_112116_V06,20180604_062116
KAMA20180604_112438_V06,20180604_062438
KAMA20180604_112801_V06,20180604_062801
KAMA20180604_113123_V06,20180604_063123
KAMA20180604_113445_V06,20180604_063445
KAMA20180604_113802_V06,20180604_063802
KAMA20180604_114118_V06,20180604_064118
KAMA20180604_114434_V06,20180604_064434
KAMA20180604_114750_V06,20180604_064750
KAMA20180604_115109_V06,20180604_065109
KAMA20180604_115428_V06,20180604_065428
KAMA20180604_120103_V06,20180604_070103
KAMA20180604_120420_V06,20180604_070420
KAMA20180604_120736_V06,20180604_070736
KAMA20180604_121053_V06,20180604_071053
KAMA20180604_121410_V06,20180604_071410
KAMA20180604_121726_V06,20180604_071726
KAMA20180604_122042_V06,20180604_072042
KAMA20180604_122359_V06,20180604_072359
KAMA20180604_122715_V06,20180604_072715
KAMA20180604_123033_V06,20180604_073033
KAMA20180604_123350_V06,20180604_073350
KAMA20180604_123707_V06,20180604_073707
KAMA20180604_124024_V06,20180604_074024
KAMA20180604_124340_V06,20180604_074340
KAMA20180604_124657_V06,20180604_074657
KAMA20180604_125014_V06,20180604_075014
KAMA20180604_125332_V06,20180604_075332
KAMA20180604_130006_V06,20180604_080006
KAMA20180605_103825_V06,20180605_053825
KAMA20180605_104530_V06,20180605_054530
KAMA20180605_105235_V06,20180605_055235
KAMA20180605_110646_V06,20180605_060646
KAMA20180605_111351_V06,20180605_061351
KAMA20180605_112056_V06,20180605_062056
KAMA20180605_112801_V06,20180605_062801
KAMA20180605_113506_V06,20180605_063506
KAMA20180605_114212_V06,20180605_064212
KAMA20180605_114919_V06,20180605_064919
KAMA20180605_120331_V06,20180605_070331
KAMA20180605_121036_V06,20180605_071036
KAMA20180605_121736_V06,20180605_071736
KAMA20180605_122442_V06,20180605_072442
KAMA20180605_123147_V06,20180605_073147
KAMA20180605_123853_V06,20180605_073853
KAMA20180605_124322_V06,20180605_074322
KAMA20180605_124804_V06,20180605_074804
KAMA20180605_125246_V06,20180605_075246
KAMA20180605_130209_V06,20180605_080209
KAMA20180606_103401_V06,20180606_053401
KAMA20180606_104105_V06,20180606_054105
KAMA20180606_104810_V06,20180606_054810
KAMA20180606_110221_V06,20180606_060221
KAMA20180606_110926_V06,20180606_060926
KAMA20180606_111631_V06,20180606_061631
KAMA20180606_112336_V06,20180606_062336
KAMA20180606_113041_V06,20180606_063041
KAMA20180606_113747_V06,20180606_063747
KAMA20180606_114451_V06,20180606_064451
KAMA20180606_115156_V06,20180606_065156
KAMA20180606_120606_V06,20180606_070606
KAMA20180606_121313_V06,20180606_071313
KAMA20180606_122018_V06,20180606_072018
KAMA20180606_122724_V06,20180606_072724
KAMA20180606_123430_V06,20180606_073430
KAMA20180606_124134_V06,20180606_074134
KAMA20180606_124841_V06,20180606_074841
KAMA20180607_103231_V06,20180607_053231
KAMA20180607_103610_V06,20180607_053610
KAMA20180607_103949_V06,20180607_053949
KAMA20180607_104329_V06,20180607_054329
KAMA20180607_104709_V06,20180607_054709
KAMA20180607_105048_V06,20180607_055048
KAMA20180607_105427_V06,20180607_055427
KAMA20180607_110145_V06,20180607_060145
KAMA20180607_110524_V06,20180607_060524
KAMA20180607_110904_V06,20180607_060904
KAMA20180607_111243_V06,20180607_061243
KAMA20180607_111622_V06,20180607_061622
KAMA20180607_112002_V06,20180607_062002
KAMA20180607_112318_V06,20180607_062318
KAMA20180607_112635_V06,20180607_062635
KAMA20180607_112953_V06,20180607_062953
KAMA20180607_113308_V06,20180607_063308
KAMA20180607_113625_V06,20180607_063625
KAMA20180607_113942_V06,20180607_063942
KAMA20180607_114300_V06,20180607_064300
KAMA20180607_114618_V06,20180607_064618
KAMA20180607_114934_V06,20180607_064934
KAMA20180607_115251_V06,20180607_065251
KAMA20180607_115617_V06,20180607_065617
KAMA20180607_120314_V06,20180607_070314
KAMA20180607_122113_V06,20180607_072113
KAMA20180607_123053_V06,20180607_073053
KAMA20180607_124033_V06,20180607_074033
KAMA20180607_125012_V06,20180607_075012
KAMA20180608_103306_V06,20180608_053306
KAMA20180608_103920_V06,20180608_053920
KAMA20180608_104619_V06,20180608_054619
KAMA20180608_105317_V06,20180608_055317
KAMA20180608_110641_V06,20180608_060641
KAMA20180608_111340_V06,20180608_061340
KAMA20180608_112004_V06,20180608_062004
KAMA20180608_112627_V06,20180608_062627
KAMA20180608_113249_V06,20180608_063249
KAMA20180608_113859_V06,20180608_063859
KAMA20180608_114529_V06,20180608_064529
KAMA20180608_115214_V06,20180608_065214
KAMA20180608_120529_V06,20180608_070529
KAMA20180608_121201_V06,20180608_071201
KAMA20180608_121817_V06,20180608_071817
KAMA20180608_122410_V06,20180608_072410
KAMA20180608_122952_V06,20180608_072952
KAMA20180608_123543_V06,20180608_073543
KAMA20180608_124137_V06,20180608_074137
KAMA20180608_124715_V06,20180608_074715
KAMA20180608_125304_V06,20180608_075304
KAMA20180609_103206_V06,20180609_053206
KAMA20180609_103710_V06,20180609_053710
KAMA20180609_104215_V06,20180609_054215
KAMA20180609_104720_V06,20180609_054720
KAMA20180609_105225_V06,20180609_055225
KAMA20180609_110234_V06,20180609_060234
KAMA20180609_110737_V06,20180609_060737
KAMA20180609_111327_V06,20180609_061327
KAMA20180609_111916_V06,20180609_061916
KAMA20180609_112505_V06,20180609_062505
KAMA20180609_113053_V06,20180609_063053
KAMA20180609_113642_V06,20180609_063642
KAMA20180609_114218_V06,20180609_064218
KAMA20180609_114807_V06,20180609_064807
KAMA20180609_115356_V06,20180609_065356
KAMA20180609_120535_V06,20180609_070535
KAMA20180609_121125_V06,20180609_071125
KAMA20180609_121714_V06,20180609_071714
KAMA20180609_122303_V06,20180609_072303
KAMA20180609_122836_V06,20180609_072836
KAMA20180609_123410_V06,20180609_073410
KAMA20180609_123946_V06,20180609_073946
KAMA20180609_124500_V06,20180609_074500
KAMA20180609_125014_V06,20180609_075014
KAMA20180609_130112_V06,20180609_080112
KAMA20180610_103318_V06,20180610_053318
KAMA20180610_104023_V06,20180610_054023
KAMA20180610_104728_V06,20180610_054728
KAMA20180610_110138_V06,20180610_060138
KAMA20180610_111038_V06,20180610_061038
KAMA20180610_111743_V06,20180610_061743
KAMA20180610_112443_V06,20180610_062443
KAMA20180610_113149_V06,20180610_063149
KAMA20180610_113854_V06,20180610_063854
KAMA20180610_114553_V06,20180610_064553
KAMA20180610_115254_V06,20180610_065254
KAMA20180610_120647_V06,20180610_070647
KAMA20180610_121346_V06,20180610_071346
KAMA20180610_122045_V06,20180610_072045
KAMA20180610_122745_V06,20180610_072745
KAMA20180610_123444_V06,20180610_073444
KAMA20180610_124136_V06,20180610_074136
KAMA20180610_124827_V06,20180610_074827
KAMA20180611_103539_V06,20180611_053539
KAMA20180611_104244_V06,20180611_054244
KAMA20180611_104950_V06,20180611_054950
KAMA20180611_110403_V06,20180611_060403
KAMA20180611_111102_V06,20180611_061102
KAMA20180611_112010_V06,20180611_062010
KAMA20180611_112700_V06,20180611_062700
KAMA20180611_113346_V06,20180611_063346
KAMA20180611_114036_V06,20180611_064036
KAMA20180611_114726_V06,20180611_064726
KAMA20180611_120109_V06,20180611_070109
KAMA20180611_120804_V06,20180611_070804
KAMA20180611_121458_V06,20180611_071458
KAMA20180611_122148_V06,20180611_072148
KAMA20180611_122853_V06,20180611_072853
KAMA20180611_123559_V06,20180611_073559
KAMA20180611_124304_V06,20180611_074304
KAMA20180611_125010_V06,20180611_075010
KAMA20180612_103502_V06,20180612_053502
KAMA20180612_104207_V06,20180612_054207
KAMA20180612_104913_V06,20180612_054913
