filename,local_time
KATX20200601_111334_V06,20200601_041334
KATX20200601_112218_V06,20200601_042218
KATX20200601_113103_V06,20200601_043103
KATX20200601_113947_V06,20200601_043947
KATX20200601_114830_V06,20200601_044830
KATX20200601_120559_V06,20200601_050559
KATX20200601_121443_V06,20200601_051443
KATX20200601_122327_V06,20200601_052327
KATX20200601_123210_V06,20200601_053210
KATX20200601_124054_V06,20200601_054054
KATX20200601_124938_V06,20200601_054938
KATX20200601_130707_V06,20200601_060707
KATX20200601_131755_V06,20200601_061755
KATX20200601_132639_V06,20200601_062639
KATX20200601_133523_V06,20200601_063523
KATX20200602_112044_V06,20200602_042044
KATX20200602_112928_V06,20200602_042928
KATX20200602_113812_V06,20200602_043812
KATX20200602_114655_V06,20200602_044655
KATX20200602_120424_V06,20200602_050424
KATX20200602_121308_V06,20200602_051308
KATX20200602_122151_V06,20200602_052151
KATX20200602_123035_V06,20200602_053035
KATX20200602_123919_V06,20200602_053919
KATX20200602_124804_V06,20200602_054804
KATX20200602_130210_V06,20200602_060210
KATX20200602_130748_V06,20200602_060748
KATX20200602_131326_V06,20200602_061326
KATX20200602_131903_V06,20200602_061903
KATX20200602_132634_V06,20200602_062634
KATX20200602_133203_V06,20200602_063203
KATX20200602_133731_V06,20200602_063731
KATX20200603_111817_V06,20200603_041817
KATX20200603_112702_V06,20200603_042702
KATX20200603_113546_V06,20200603_043546
KATX20200603_114429_V06,20200603_044429
KATX20200603_120157_V06,20200603_050157
KATX20200603_121041_V06,20200603_051041
KATX20200603_121925_V06,20200603_051925
KATX20200603_122809_V06,20200603_052809
KATX20200603_123653_V06,20200603_053653
KATX20200603_124537_V06,20200603_054537
KATX20200603_130305_V06,20200603_060305
KATX20200603_131149_V06,20200603_061149
KATX20200603_132032_V06,20200603_062032
KATX20200603_133115_V06,20200603_063115
KATX20200603_133959_V06,20200603_063959
KATX20200604_111841_V06,20200604_041841
KATX20200604_112725_V06,20200604_042725
KATX20200604_113609_V06,20200604_043609
KATX20200604_114453_V06,20200604_044453
KATX20200604_120221_V06,20200604_050221
KATX20200604_121104_V06,20200604_051104
KATX20200604_121940_V06,20200604_051940
KATX20200604_122815_V06,20200604_052815
KATX20200604_123652_V06,20200604_053652
KATX20200604_124536_V06,20200604_054536
KATX20200604_130303_V06,20200604_060303
KATX20200604_131147_V06,20200604_061147
KATX20200604_132031_V06,20200604_062031
KATX20200604_132914_V06,20200604_062914
KATX20200604_133437_V06,20200604_063437
