filename,local_time
KBHX20180601_115106_V06,20180601_045106
KBHX20180601_120506_V06,20180601_050506
KBHX20180601_121211_V06,20180601_051211
KBHX20180601_121911_V06,20180601_051911
KBHX20180601_122616_V06,20180601_052616
KBHX20180601_123320_V06,20180601_053320
KBHX20180601_124024_V06,20180601_054024
KBHX20180601_124721_V06,20180601_054721
KBHX20180601_130119_V06,20180601_060119
KBHX20180601_130823_V06,20180601_060823
KBHX20180601_131527_V06,20180601_061527
KBHX20180601_132233_V06,20180601_062233
KBHX20180601_132939_V06,20180601_062939
KBHX20180601_133643_V06,20180601_063643
KBHX20180601_134347_V06,20180601_064347
KBHX20180601_135051_V06,20180601_065051
KBHX20180601_140448_V06,20180601_070448
KBHX20180601_141153_V06,20180601_071153
KBHX20180602_114957_V06,20180602_044957
KBHX20180602_120404_V06,20180602_050404
KBHX20180602_121108_V06,20180602_051108
KBHX20180602_121813_V06,20180602_051813
KBHX20180602_122517_V06,20180602_052517
KBHX20180602_123221_V06,20180602_053221
KBHX20180602_123925_V06,20180602_053925
KBHX20180602_124628_V06,20180602_054628
KBHX20180602_130038_V06,20180602_060038
KBHX20180602_130742_V06,20180602_060742
KBHX20180602_131447_V06,20180602_061447
KBHX20180602_132151_V06,20180602_062151
KBHX20180602_132855_V06,20180602_062855
KBHX20180602_133559_V06,20180602_063559
KBHX20180602_134303_V06,20180602_064303
KBHX20180602_135007_V06,20180602_065007
KBHX20180602_140415_V06,20180602_070415
KBHX20180602_141119_V06,20180602_071119
KBHX20180602_141823_V06,20180602_071823
KBHX20180603_114908_V06,20180603_044908
KBHX20180603_120316_V06,20180603_050316
KBHX20180603_121020_V06,20180603_051020
KBHX20180603_121724_V06,20180603_051724
KBHX20180603_122429_V06,20180603_052429
KBHX20180603_123132_V06,20180603_053132
KBHX20180603_123836_V06,20180603_053836
KBHX20180603_124540_V06,20180603_054540
KBHX20180603_125244_V06,20180603_055244
KBHX20180603_130652_V06,20180603_060652
KBHX20180603_131356_V06,20180603_061356
KBHX20180603_132100_V06,20180603_062100
KBHX20180603_132805_V06,20180603_062805
KBHX20180603_133508_V06,20180603_063508
KBHX20180603_134210_V06,20180603_064210
KBHX20180603_134913_V06,20180603_064913
KBHX20180603_140323_V06,20180603_070323
KBHX20180603_141027_V06,20180603_071027
KBHX20180603_141730_V06,20180603_071730
KBHX20180604_120049_V06,20180604_050049
KBHX20180604_120742_V06,20180604_050742
KBHX20180604_121439_V06,20180604_051439
KBHX20180604_122143_V06,20180604_052143
KBHX20180604_122847_V06,20180604_052847
KBHX20180604_123551_V06,20180604_053551
KBHX20180604_124257_V06,20180604_054257
KBHX20180604_125003_V06,20180604_055003
KBHX20180604_130401_V06,20180604_060401
KBHX20180604_131107_V06,20180604_061107
KBHX20180604_131812_V06,20180604_061812
KBHX20180604_132511_V06,20180604_062511
KBHX20180604_133209_V06,20180604_063209
KBHX20180604_133914_V06,20180604_063914
KBHX20180604_134618_V06,20180604_064618
KBHX20180604_140027_V06,20180604_070027
KBHX20180604_140732_V06,20180604_070732
KBHX20180604_141437_V06,20180604_071437
KBHX20180605_115130_V06,20180605_045130
KBHX20180605_120522_V06,20180605_050522
KBHX20180605_121227_V06,20180605_051227
KBHX20180605_121923_V06,20180605_051923
KBHX20180605_122628_V06,20180605_052628
KBHX20180605_123333_V06,20180605_053333
KBHX20180605_124038_V06,20180605_054038
KBHX20180605_124744_V06,20180605_054744
KBHX20180605_130152_V06,20180605_060152
KBHX20180605_130858_V06,20180605_060858
KBHX20180605_131603_V06,20180605_061603
KBHX20180605_132307_V06,20180605_062307
KBHX20180605_133004_V06,20180605_063004
KBHX20180605_133658_V06,20180605_063658
KBHX20180605_134402_V06,20180605_064402
KBHX20180605_135056_V06,20180605_065056
KBHX20180605_140504_V06,20180605_070504
KBHX20180605_141208_V06,20180605_071208
KBHX20180606_115035_V06,20180606_045035
KBHX20180606_120443_V06,20180606_050443
KBHX20180606_121148_V06,20180606_051148
KBHX20180606_121846_V06,20180606_051846
KBHX20180606_122543_V06,20180606_052543
KBHX20180606_123248_V06,20180606_053248
KBHX20180606_123942_V06,20180606_053942
KBHX20180606_124639_V06,20180606_054639
KBHX20180606_130025_V06,20180606_060025
KBHX20180606_130719_V06,20180606_060719
KBHX20180606_131417_V06,20180606_061417
KBHX20180606_132115_V06,20180606_062115
KBHX20180606_132813_V06,20180606_062813
KBHX20180606_133517_V06,20180606_063517
KBHX20180606_134222_V06,20180606_064222
KBHX20180606_134915_V06,20180606_064915
KBHX20180606_140324_V06,20180606_070324
