filename,local_time
KBLX20220601_103239_V06,20220601_043239
KBLX20220601_103944_V06,20220601_043944
KBLX20220601_104649_V06,20220601_044649
KBLX20220601_110059_V06,20220601_050059
KBLX20220601_110804_V06,20220601_050804
KBLX20220601_111510_V06,20220601_051510
KBLX20220601_112216_V06,20220601_052216
KBLX20220601_112920_V06,20220601_052920
KBLX20220601_113625_V06,20220601_053625
KBLX20220601_114329_V06,20220601_054329
KBLX20220601_115032_V06,20220601_055032
KBLX20220601_120441_V06,20220601_060441
KBLX20220601_121147_V06,20220601_061147
KBLX20220601_121852_V06,20220601_061852
KBLX20220601_122556_V06,20220601_062556
KBLX20220601_123301_V06,20220601_063301
KBLX20220601_124007_V06,20220601_064007
KBLX20220601_124713_V06,20220601_064713
KBLX20220602_103231_V06,20220602_043231
KBLX20220602_103937_V06,20220602_043937
KBLX20220602_104641_V06,20220602_044641
KBLX20220602_110052_V06,20220602_050052
KBLX20220602_110756_V06,20220602_050756
KBLX20220602_111500_V06,20220602_051500
KBLX20220602_112205_V06,20220602_052205
KBLX20220602_112910_V06,20220602_052910
KBLX20220602_113613_V06,20220602_053613
KBLX20220602_114318_V06,20220602_054318
KBLX20220602_115023_V06,20220602_055023
KBLX20220602_120432_V06,20220602_060432
KBLX20220602_121137_V06,20220602_061137
KBLX20220602_121841_V06,20220602_061841
KBLX20220602_122546_V06,20220602_062546
KBLX20220602_123250_V06,20220602_063250
KBLX20220602_123955_V06,20220602_063955
KBLX20220602_124700_V06,20220602_064700
KBLX20220603_102927_V06,20220603_042927
KBLX20220603_103631_V06,20220603_043631
KBLX20220603_104335_V06,20220603_044335
KBLX20220603_105039_V06,20220603_045039
KBLX20220603_110447_V06,20220603_050447
KBLX20220603_111151_V06,20220603_051151
KBLX20220603_111856_V06,20220603_051856
KBLX20220603_112601_V06,20220603_052601
KBLX20220603_113305_V06,20220603_053305
KBLX20220603_114009_V06,20220603_054009
KBLX20220603_114713_V06,20220603_054713
KBLX20220603_120122_V06,20220603_060122
KBLX20220603_120826_V06,20220603_060826
