filename,local_time
KBMX20150601_094435_V06,20150601_044435
KBMX20150601_095419_V06,20150601_045419
KBMX20150601_100404_V06,20150601_050404
KBMX20150601_101349_V06,20150601_051349
KBMX20150601_102335_V06,20150601_052335
KBMX20150601_103320_V06,20150601_053320
KBMX20150601_103914_V06,20150601_053914
KBMX20150601_104507_V06,20150601_054507
KBMX20150601_105059_V06,20150601_055059
KBMX20150601_105652_V06,20150601_055652
KBMX20150601_110245_V06,20150601_060245
KBMX20150601_110838_V06,20150601_060838
KBMX20150601_111431_V06,20150601_061431
KBMX20150601_111951_V06,20150601_061951
KBMX20150601_112544_V06,20150601_062544
KBMX20150601_113104_V06,20150601_063104
KBMX20150601_113624_V06,20150601_063624
KBMX20150601_114145_V06,20150601_064145
KBMX20150601_114705_V06,20150601_064705
KBMX20150601_115226_V06,20150601_065226
KBMX20150601_115746_V06,20150601_065746
KBMX20150601_120307_V06,20150601_070307
KBMX20150601_120757_V06,20150601_070757
KBMX20150602_094621_V06,20150602_044621
KBMX20150602_095607_V06,20150602_045607
KBMX20150602_100553_V06,20150602_050553
KBMX20150602_101538_V06,20150602_051538
KBMX20150602_102526_V06,20150602_052526
KBMX20150602_103514_V06,20150602_053514
KBMX20150602_104501_V06,20150602_054501
KBMX20150602_105447_V06,20150602_055447
KBMX20150602_110433_V06,20150602_060433
KBMX20150602_111420_V06,20150602_061420
KBMX20150602_112406_V06,20150602_062406
KBMX20150602_113354_V06,20150602_063354
KBMX20150602_114340_V06,20150602_064340
KBMX20150602_115327_V06,20150602_065327
KBMX20150602_120313_V06,20150602_070313
KBMX20150603_094637_V06,20150603_044637
KBMX20150603_095624_V06,20150603_045624
KBMX20150603_100611_V06,20150603_050611
KBMX20150603_101558_V06,20150603_051558
KBMX20150603_102545_V06,20150603_052545
KBMX20150603_103531_V06,20150603_053531
KBMX20150603_104518_V06,20150603_054518
KBMX20150603_105504_V06,20150603_055504
KBMX20150603_110452_V06,20150603_060452
KBMX20150603_111440_V06,20150603_061440
KBMX20150603_112427_V06,20150603_062427
KBMX20150603_113414_V06,20150603_063414
KBMX20150603_114402_V06,20150603_064402
KBMX20150603_115349_V06,20150603_065349
KBMX20150603_120336_V06,20150603_070336
KBMX20150604_093955_V06,20150604_043955
KBMX20150604_095158_V06,20150604_045158
KBMX20150604_100146_V06,20150604_050146
KBMX20150604_101132_V06,20150604_051132
KBMX20150604_102120_V06,20150604_052120
KBMX20150604_103106_V06,20150604_053106
KBMX20150604_104053_V06,20150604_054053
KBMX20150604_105039_V06,20150604_055039
KBMX20150604_110026_V06,20150604_060026
KBMX20150604_111013_V06,20150604_061013
KBMX20150604_112000_V06,20150604_062000
KBMX20150604_112946_V06,20150604_062946
KBMX20150604_113932_V06,20150604_063932
KBMX20150604_114918_V06,20150604_064918
KBMX20150604_115906_V06,20150604_065906
KBMX20150605_094258_V06,20150605_044258
KBMX20150605_100448_V06,20150605_050448
KBMX20150605_101435_V06,20150605_051435
KBMX20150605_102422_V06,20150605_052422
KBMX20150605_103408_V06,20150605_053408
KBMX20150605_104354_V06,20150605_054354
KBMX20150605_105341_V06,20150605_055341
KBMX20150605_110326_V06,20150605_060326
KBMX20150605_111312_V06,20150605_061312
KBMX20150605_112259_V06,20150605_062259
KBMX20150605_113245_V06,20150605_063245
KBMX20150605_114231_V06,20150605_064231
KBMX20150605_115216_V06,20150605_065216
KBMX20150605_120204_V06,20150605_070204
KBMX20150606_094030_V06,20150606_044030
KBMX20150606_095015_V06,20150606_045015
KBMX20150606_100212_V06,20150606_050212
KBMX20150606_101158_V06,20150606_051158
KBMX20150606_102144_V06,20150606_052144
KBMX20150606_103131_V06,20150606_053131
KBMX20150606_104117_V06,20150606_054117
KBMX20150606_105103_V06,20150606_055103
KBMX20150606_110050_V06,20150606_060050
KBMX20150606_111036_V06,20150606_061036
KBMX20150606_112021_V06,20150606_062021
KBMX20150606_113007_V06,20150606_063007
KBMX20150606_113954_V06,20150606_063954
KBMX20150606_114940_V06,20150606_064940
KBMX20150606_115925_V06,20150606_065925
KBMX20150607_094033_V06,20150607_044033
KBMX20150607_095019_V06,20150607_045019
KBMX20150607_100003_V06,20150607_050003
KBMX20150607_101207_V06,20150607_051207
KBMX20150607_102153_V06,20150607_052153
KBMX20150607_103140_V06,20150607_053140
KBMX20150607_104127_V06,20150607_054127
KBMX20150607_105114_V06,20150607_055114
KBMX20150607_110100_V06,20150607_060100
KBMX20150607_111047_V06,20150607_061047
KBMX20150607_112033_V06,20150607_062033
KBMX20150607_113019_V06,20150607_063019
KBMX20150607_114005_V06,20150607_064005
KBMX20150607_114951_V06,20150607_064951
KBMX20150607_115937_V06,20150607_065937
KBMX20150608_093855_V06,20150608_043855
KBMX20150608_094343_V06,20150608_044343
KBMX20150608_094831_V06,20150608_044831
KBMX20150608_095320_V06,20150608_045320
KBMX20150608_095808_V06,20150608_045808
KBMX20150608_100753_V06,20150608_050753
KBMX20150608_101949_V06,20150608_051949
KBMX20150608_102934_V06,20150608_052934
KBMX20150608_103920_V06,20150608_053920
KBMX20150608_104905_V06,20150608_054905
KBMX20150608_105851_V06,20150608_055851
KBMX20150608_110837_V06,20150608_060837
KBMX20150608_111823_V06,20150608_061823
KBMX20150608_112809_V06,20150608_062809
KBMX20150608_113755_V06,20150608_063755
KBMX20150608_114741_V06,20150608_064741
KBMX20150608_115727_V06,20150608_065727
KBMX20150608_120713_V06,20150608_070713
KBMX20150609_094153_V06,20150609_044153
KBMX20150609_094736_V06,20150609_044736
KBMX20150609_095247_V06,20150609_045247
KBMX20150609_095758_V06,20150609_045758
KBMX20150609_100213_V06,20150609_050213
KBMX20150609_100636_V06,20150609_050636
KBMX20150609_101059_V06,20150609_051059
KBMX20150609_101517_V06,20150609_051517
KBMX20150609_101935_V06,20150609_051935
KBMX20150609_102341_V06,20150609_052341
KBMX20150609_102747_V06,20150609_052747
KBMX20150609_103153_V06,20150609_053153
KBMX20150609_103558_V06,20150609_053558
KBMX20150609_104004_V06,20150609_054004
KBMX20150609_104410_V06,20150609_054410
KBMX20150609_104816_V06,20150609_054816
KBMX20150609_105237_V06,20150609_055237
KBMX20150609_105659_V06,20150609_055659
KBMX20150609_110121_V06,20150609_060121
KBMX20150609_110543_V06,20150609_060543
KBMX20150609_111004_V06,20150609_061004
KBMX20150609_111425_V06,20150609_061425
KBMX20150609_111847_V06,20150609_061847
KBMX20150609_112254_V06,20150609_062254
KBMX20150609_112659_V06,20150609_062659
KBMX20150609_113132_V06,20150609_063132
KBMX20150609_113552_V06,20150609_063552
KBMX20150609_114023_V06,20150609_064023
KBMX20150609_114500_V06,20150609_064500
KBMX20150609_114947_V06,20150609_064947
KBMX20150609_115419_V06,20150609_065419
KBMX20150609_115852_V06,20150609_065852
KBMX20150609_120324_V06,20150609_070324
KBMX20150610_094615_V06,20150610_044615
KBMX20150610_095559_V06,20150610_045559
KBMX20150610_100543_V06,20150610_050543
KBMX20150610_101528_V06,20150610_051528
KBMX20150610_102514_V06,20150610_052514
KBMX20150610_103458_V06,20150610_053458
KBMX20150610_104443_V06,20150610_054443
KBMX20150610_105429_V06,20150610_055429
KBMX20150610_110413_V06,20150610_060413
KBMX20150610_111358_V06,20150610_061358
KBMX20150610_112344_V06,20150610_062344
KBMX20150610_113329_V06,20150610_063329
KBMX20150610_114315_V06,20150610_064315
KBMX20150610_115302_V06,20150610_065302
KBMX20150610_120248_V06,20150610_070248
KBMX20150611_094341_V06,20150611_044341
KBMX20150611_095326_V06,20150611_045326
KBMX20150611_100313_V06,20150611_050313
KBMX20150611_100802_V06,20150611_050802
KBMX20150611_101251_V06,20150611_051251
KBMX20150611_101741_V06,20150611_051741
KBMX20150611_102230_V06,20150611_052230
KBMX20150611_102719_V06,20150611_052719
KBMX20150611_103209_V06,20150611_053209
KBMX20150611_103658_V06,20150611_053658
KBMX20150611_104148_V06,20150611_054148
KBMX20150611_104638_V06,20150611_054638
KBMX20150611_105127_V06,20150611_055127
KBMX20150611_105618_V06,20150611_055618
KBMX20150611_110107_V06,20150611_060107
KBMX20150611_110556_V06,20150611_060556
KBMX20150611_111044_V06,20150611_061044
KBMX20150611_111533_V06,20150611_061533
KBMX20150611_112022_V06,20150611_062022
KBMX20150611_112512_V06,20150611_062512
KBMX20150611_113001_V06,20150611_063001
KBMX20150611_113450_V06,20150611_063450
KBMX20150611_113941_V06,20150611_063941
KBMX20150611_114430_V06,20150611_064430
KBMX20150611_114919_V06,20150611_064919
KBMX20150611_115410_V06,20150611_065410
KBMX20150611_115859_V06,20150611_065859
KBMX20150611_120347_V06,20150611_070347
KBMX20150612_094044_V06,20150612_044044
KBMX20150612_094528_V06,20150612_044528
KBMX20150612_095015_V06,20150612_045015
KBMX20150612_095500_V06,20150612_045500
KBMX20150612_095946_V06,20150612_045946
KBMX20150612_100431_V06,20150612_050431
KBMX20150612_100916_V06,20150612_050916
KBMX20150612_101406_V06,20150612_051406
KBMX20150612_101855_V06,20150612_051855
KBMX20150612_102346_V06,20150612_052346
KBMX20150612_102835_V06,20150612_052835
KBMX20150612_103321_V06,20150612_053321
KBMX20150612_103807_V06,20150612_053807
KBMX20150612_104247_V06,20150612_054247
KBMX20150612_104726_V06,20150612_054726
KBMX20150612_105206_V06,20150612_055206
KBMX20150612_105647_V06,20150612_055647
KBMX20150612_110128_V06,20150612_060128
KBMX20150612_110607_V06,20150612_060607
KBMX20150612_111047_V06,20150612_061047
KBMX20150612_111527_V06,20150612_061527
KBMX20150612_112007_V06,20150612_062007
KBMX20150612_112447_V06,20150612_062447
KBMX20150612_112927_V06,20150612_062927
KBMX20150612_113406_V06,20150612_063406
KBMX20150612_113846_V06,20150612_063846
KBMX20150612_114327_V06,20150612_064327
KBMX20150612_114807_V06,20150612_064807
KBMX20150612_115246_V06,20150612_065246
KBMX20150612_115726_V06,20150612_065726
KBMX20150612_120206_V06,20150612_070206
KBMX20150612_120648_V06,20150612_070648
KBMX20150613_094117_V06,20150613_044117
KBMX20150613_095104_V06,20150613_045104
KBMX20150613_100052_V06,20150613_050052
KBMX20150613_101039_V06,20150613_051039
KBMX20150613_102025_V06,20150613_052025
KBMX20150613_103012_V06,20150613_053012
KBMX20150613_103957_V06,20150613_053957
KBMX20150613_104945_V06,20150613_054945
KBMX20150613_105930_V06,20150613_055930
KBMX20150613_110917_V06,20150613_060917
KBMX20150613_111903_V06,20150613_061903
KBMX20150613_112849_V06,20150613_062849
KBMX20150613_113836_V06,20150613_063836
KBMX20150613_114822_V06,20150613_064822
KBMX20150613_115809_V06,20150613_065809
KBMX20150614_094229_V06,20150614_044229
KBMX20150614_095216_V06,20150614_045216
KBMX20150614_100204_V06,20150614_050204
KBMX20150614_101150_V06,20150614_051150
KBMX20150614_102136_V06,20150614_052136
KBMX20150614_103122_V06,20150614_053122
KBMX20150614_104109_V06,20150614_054109
KBMX20150614_105054_V06,20150614_055054
KBMX20150614_110041_V06,20150614_060041
KBMX20150614_111027_V06,20150614_061027
KBMX20150614_112013_V06,20150614_062013
KBMX20150614_112959_V06,20150614_062959
KBMX20150614_113947_V06,20150614_063947
KBMX20150614_114933_V06,20150614_064933
KBMX20150614_115921_V06,20150614_065921
KBMX20150615_094055_V06,20150615_044055
KBMX20150615_095041_V06,20150615_045041
KBMX20150615_100027_V06,20150615_050027
KBMX20150615_101012_V06,20150615_051012
KBMX20150615_101957_V06,20150615_051957
KBMX20150615_102943_V06,20150615_052943
KBMX20150615_103927_V06,20150615_053927
KBMX20150615_104913_V06,20150615_054913
KBMX20150615_105859_V06,20150615_055859
KBMX20150615_110845_V06,20150615_060845
KBMX20150615_111831_V06,20150615_061831
KBMX20150615_112816_V06,20150615_062816
KBMX20150615_113801_V06,20150615_063801
KBMX20150615_114747_V06,20150615_064747
KBMX20150615_115732_V06,20150615_065732
KBMX20150615_120716_V06,20150615_070716
KBMX20150616_094037_V06,20150616_044037
KBMX20150616_095021_V06,20150616_045021
KBMX20150616_100005_V06,20150616_050005
KBMX20150616_100951_V06,20150616_050951
KBMX20150616_101937_V06,20150616_051937
KBMX20150616_102922_V06,20150616_052922
KBMX20150616_103909_V06,20150616_053909
KBMX20150616_104855_V06,20150616_054855
KBMX20150616_105841_V06,20150616_055841
KBMX20150616_110827_V06,20150616_060827
KBMX20150616_111811_V06,20150616_061811
KBMX20150616_112757_V06,20150616_062757
KBMX20150616_113742_V06,20150616_063742
KBMX20150616_114728_V06,20150616_064728
KBMX20150616_115714_V06,20150616_065714
KBMX20150616_120659_V06,20150616_070659
KBMX20150617_094338_V06,20150617_044338
KBMX20150617_095324_V06,20150617_045324
KBMX20150617_100310_V06,20150617_050310
KBMX20150617_101256_V06,20150617_051256
KBMX20150617_102242_V06,20150617_052242
KBMX20150617_103227_V06,20150617_053227
KBMX20150617_104213_V06,20150617_054213
KBMX20150617_105159_V06,20150617_055159
KBMX20150617_110143_V06,20150617_060143
KBMX20150617_111128_V06,20150617_061128
KBMX20150617_112114_V06,20150617_062114
KBMX20150617_113101_V06,20150617_063101
KBMX20150617_114047_V06,20150617_064047
KBMX20150617_115031_V06,20150617_065031
KBMX20150617_120017_V06,20150617_070017
KBMX20150618_094113_V06,20150618_044113
KBMX20150618_094602_V06,20150618_044602
KBMX20150618_095050_V06,20150618_045050
KBMX20150618_095539_V06,20150618_045539
KBMX20150618_100024_V06,20150618_050024
KBMX20150618_100512_V06,20150618_050512
KBMX20150618_101457_V06,20150618_051457
KBMX20150618_102442_V06,20150618_052442
KBMX20150618_103427_V06,20150618_053427
KBMX20150618_104411_V06,20150618_054411
KBMX20150618_105357_V06,20150618_055357
KBMX20150618_110341_V06,20150618_060341
KBMX20150618_111325_V06,20150618_061325
KBMX20150618_112310_V06,20150618_062310
KBMX20150618_113254_V06,20150618_063254
KBMX20150618_114239_V06,20150618_064239
KBMX20150618_115224_V06,20150618_065224
KBMX20150618_120207_V06,20150618_070207
KBMX20150619_094044_V06,20150619_044044
KBMX20150619_095029_V06,20150619_045029
KBMX20150619_100014_V06,20150619_050014
KBMX20150619_101000_V06,20150619_051000
KBMX20150619_101947_V06,20150619_051947
KBMX20150619_102931_V06,20150619_052931
KBMX20150619_103916_V06,20150619_053916
KBMX20150619_104902_V06,20150619_054902
KBMX20150619_105847_V06,20150619_055847
