filename,local_time
KBRO20190601_104336_V06,20190601_054336
KBRO20190601_104809_V06,20190601_054809
KBRO20190601_105254_V06,20190601_055254
KBRO20190601_110224_V06,20190601_060224
KBRO20190601_110709_V06,20190601_060709
KBRO20190601_111154_V06,20190601_061154
KBRO20190601_111639_V06,20190601_061639
KBRO20190601_112104_V06,20190601_062104
KBRO20190601_112528_V06,20190601_062528
KBRO20190601_112953_V06,20190601_062953
KBRO20190601_113417_V06,20190601_063417
KBRO20190601_113840_V06,20190601_063840
KBRO20190601_114308_V06,20190601_064308
KBRO20190601_114733_V06,20190601_064733
KBRO20190601_115157_V06,20190601_065157
KBRO20190601_120045_V06,20190601_070045
KBRO20190601_120523_V06,20190601_070523
KBRO20190601_120951_V06,20190601_070951
KBRO20190601_121420_V06,20190601_071420
KBRO20190601_121849_V06,20190601_071849
KBRO20190601_122317_V06,20190601_072317
KBRO20190601_122755_V06,20190601_072755
KBRO20190601_123232_V06,20190601_073232
KBRO20190601_123711_V06,20190601_073711
KBRO20190601_124150_V06,20190601_074150
KBRO20190601_124636_V06,20190601_074636
KBRO20190601_125121_V06,20190601_075121
KBRO20190601_130052_V06,20190601_080052
KBRO20190601_130731_V06,20190601_080731
KBRO20190602_104208_V06,20190602_054208
KBRO20190602_104916_V06,20190602_054916
KBRO20190602_105348_V06,20190602_055348
KBRO20190602_110318_V06,20190602_060318
KBRO20190602_110802_V06,20190602_060802
KBRO20190602_111240_V06,20190602_061240
KBRO20190602_111719_V06,20190602_061719
KBRO20190602_112158_V06,20190602_062158
KBRO20190602_112631_V06,20190602_062631
KBRO20190602_113101_V06,20190602_063101
KBRO20190602_113525_V06,20190602_063525
KBRO20190602_113955_V06,20190602_063955
KBRO20190602_114425_V06,20190602_064425
KBRO20190602_114854_V06,20190602_064854
KBRO20190602_115323_V06,20190602_065323
KBRO20190602_120237_V06,20190602_070237
KBRO20190602_120721_V06,20190602_070721
KBRO20190602_121206_V06,20190602_071206
KBRO20190602_121651_V06,20190602_071651
KBRO20190602_122137_V06,20190602_072137
KBRO20190602_122616_V06,20190602_072616
KBRO20190602_123045_V06,20190602_073045
KBRO20190602_123523_V06,20190602_073523
KBRO20190602_124002_V06,20190602_074002
KBRO20190602_124441_V06,20190602_074441
KBRO20190602_124926_V06,20190602_074926
KBRO20190602_125411_V06,20190602_075411
KBRO20190602_130340_V06,20190602_080340
KBRO20190603_104203_V06,20190603_054203
KBRO20190603_104641_V06,20190603_054641
KBRO20190603_105119_V06,20190603_055119
KBRO20190603_110038_V06,20190603_060038
KBRO20190603_110516_V06,20190603_060516
KBRO20190603_110955_V06,20190603_060955
KBRO20190603_111439_V06,20190603_061439
KBRO20190603_111919_V06,20190603_061919
KBRO20190603_112352_V06,20190603_062352
KBRO20190603_112830_V06,20190603_062830
KBRO20190603_113258_V06,20190603_063258
KBRO20190603_113726_V06,20190603_063726
KBRO20190603_114154_V06,20190603_064154
KBRO20190603_114623_V06,20190603_064623
KBRO20190603_115052_V06,20190603_065052
KBRO20190603_115520_V06,20190603_065520
KBRO20190603_120416_V06,20190603_070416
KBRO20190603_120844_V06,20190603_070844
KBRO20190603_121317_V06,20190603_071317
KBRO20190603_121751_V06,20190603_071751
KBRO20190603_122225_V06,20190603_072225
KBRO20190603_122658_V06,20190603_072658
KBRO20190603_123131_V06,20190603_073131
KBRO20190603_123606_V06,20190603_073606
KBRO20190603_124040_V06,20190603_074040
KBRO20190603_124503_V06,20190603_074503
KBRO20190603_124928_V06,20190603_074928
KBRO20190603_125352_V06,20190603_075352
KBRO20190603_130239_V06,20190603_080239
KBRO20190603_130707_V06,20190603_080707
KBRO20190604_104108_V06,20190604_054108
KBRO20190604_104532_V06,20190604_054532
KBRO20190604_105010_V06,20190604_055010
KBRO20190604_105448_V06,20190604_055448
KBRO20190604_110405_V06,20190604_060405
KBRO20190604_110843_V06,20190604_060843
KBRO20190604_111321_V06,20190604_061321
KBRO20190604_111745_V06,20190604_061745
KBRO20190604_112210_V06,20190604_062210
KBRO20190604_112634_V06,20190604_062634
KBRO20190604_113058_V06,20190604_063058
KBRO20190604_113521_V06,20190604_063521
KBRO20190604_114000_V06,20190604_064000
KBRO20190604_114425_V06,20190604_064425
KBRO20190604_114849_V06,20190604_064849
KBRO20190604_115330_V06,20190604_065330
KBRO20190604_120349_V06,20190604_070349
KBRO20190604_120859_V06,20190604_070859
KBRO20190604_121424_V06,20190604_071424
KBRO20190604_121918_V06,20190604_071918
KBRO20190604_122412_V06,20190604_072412
KBRO20190604_122907_V06,20190604_072907
KBRO20190604_123416_V06,20190604_073416
KBRO20190604_123909_V06,20190604_073909
KBRO20190604_124307_V06,20190604_074307
KBRO20190604_124642_V06,20190604_074642
KBRO20190604_125016_V06,20190604_075016
KBRO20190604_125350_V06,20190604_075350
KBRO20190604_130058_V06,20190604_080058
KBRO20190604_130431_V06,20190604_080431
KBRO20190605_103803_V06,20190605_053803
KBRO20190605_104249_V06,20190605_054249
KBRO20190605_104718_V06,20190605_054718
KBRO20190605_105147_V06,20190605_055147
KBRO20190605_110045_V06,20190605_060045
KBRO20190605_110514_V06,20190605_060514
KBRO20190605_110959_V06,20190605_060959
KBRO20190605_111443_V06,20190605_061443
KBRO20190605_111926_V06,20190605_061926
KBRO20190605_112356_V06,20190605_062356
KBRO20190605_112824_V06,20190605_062824
KBRO20190605_113252_V06,20190605_063252
KBRO20190605_113720_V06,20190605_063720
KBRO20190605_114148_V06,20190605_064148
KBRO20190605_114617_V06,20190605_064617
KBRO20190605_115101_V06,20190605_065101
KBRO20190605_115530_V06,20190605_065530
KBRO20190605_120430_V06,20190605_070430
KBRO20190605_120914_V06,20190605_070914
KBRO20190605_121341_V06,20190605_071341
KBRO20190605_121825_V06,20190605_071825
KBRO20190605_122308_V06,20190605_072308
KBRO20190605_122736_V06,20190605_072736
KBRO20190605_123204_V06,20190605_073204
KBRO20190605_123647_V06,20190605_073647
KBRO20190605_124110_V06,20190605_074110
KBRO20190605_124535_V06,20190605_074535
KBRO20190605_124958_V06,20190605_074958
KBRO20190605_125423_V06,20190605_075423
KBRO20190605_130325_V06,20190605_080325
KBRO20190606_103848_V06,20190606_053848
KBRO20190606_104333_V06,20190606_054333
KBRO20190606_104818_V06,20190606_054818
KBRO20190606_105303_V06,20190606_055303
KBRO20190606_110231_V06,20190606_060231
KBRO20190606_110718_V06,20190606_060718
KBRO20190606_111203_V06,20190606_061203
KBRO20190606_111647_V06,20190606_061647
KBRO20190606_112133_V06,20190606_062133
KBRO20190606_112618_V06,20190606_062618
KBRO20190606_113102_V06,20190606_063102
KBRO20190606_113547_V06,20190606_063547
KBRO20190606_114032_V06,20190606_064032
KBRO20190606_114518_V06,20190606_064518
KBRO20190606_115002_V06,20190606_065002
KBRO20190606_115447_V06,20190606_065447
KBRO20190606_120418_V06,20190606_070418
KBRO20190606_120903_V06,20190606_070903
KBRO20190606_121349_V06,20190606_071349
KBRO20190606_121833_V06,20190606_071833
KBRO20190606_122318_V06,20190606_072318
KBRO20190606_122802_V06,20190606_072802
KBRO20190606_123247_V06,20190606_073247
KBRO20190606_123732_V06,20190606_073732
KBRO20190606_124217_V06,20190606_074217
KBRO20190606_124703_V06,20190606_074703
KBRO20190606_125147_V06,20190606_075147
KBRO20190606_130117_V06,20190606_080117
KBRO20190606_130602_V06,20190606_080602
KBRO20190607_103732_V06,20190607_053732
KBRO20190607_104215_V06,20190607_054215
KBRO20190607_104659_V06,20190607_054659
KBRO20190607_105143_V06,20190607_055143
KBRO20190607_110112_V06,20190607_060112
KBRO20190607_110556_V06,20190607_060556
KBRO20190607_111041_V06,20190607_061041
KBRO20190607_111527_V06,20190607_061527
KBRO20190607_112012_V06,20190607_062012
KBRO20190607_112457_V06,20190607_062457
KBRO20190607_112941_V06,20190607_062941
KBRO20190607_113419_V06,20190607_063419
KBRO20190607_113857_V06,20190607_063857
KBRO20190607_114342_V06,20190607_064342
KBRO20190607_114822_V06,20190607_064822
KBRO20190607_115259_V06,20190607_065259
KBRO20190607_120220_V06,20190607_070220
KBRO20190607_120658_V06,20190607_070658
KBRO20190607_121137_V06,20190607_071137
KBRO20190607_121615_V06,20190607_071615
KBRO20190607_122101_V06,20190607_072101
KBRO20190607_122539_V06,20190607_072539
KBRO20190607_123017_V06,20190607_073017
KBRO20190607_123503_V06,20190607_073503
KBRO20190607_124206_V06,20190607_074206
KBRO20190607_124915_V06,20190607_074915
KBRO20190607_130333_V06,20190607_080333
KBRO20190608_104156_V06,20190608_054156
KBRO20190608_104906_V06,20190608_054906
KBRO20190608_110327_V06,20190608_060327
KBRO20190608_111037_V06,20190608_061037
KBRO20190608_111747_V06,20190608_061747
KBRO20190608_112456_V06,20190608_062456
KBRO20190608_113205_V06,20190608_063205
KBRO20190608_113914_V06,20190608_063914
KBRO20190608_114624_V06,20190608_064624
KBRO20190608_120042_V06,20190608_070042
KBRO20190608_120752_V06,20190608_070752
KBRO20190608_121501_V06,20190608_071501
KBRO20190608_122209_V06,20190608_072209
KBRO20190608_122920_V06,20190608_072920
KBRO20190608_123631_V06,20190608_073631
KBRO20190608_124340_V06,20190608_074340
KBRO20190608_125050_V06,20190608_075050
KBRO20190608_130509_V06,20190608_080509
KBRO20190609_104003_V06,20190609_054003
KBRO20190609_104713_V06,20190609_054713
KBRO20190609_110133_V06,20190609_060133
KBRO20190609_110843_V06,20190609_060843
KBRO20190609_111552_V06,20190609_061552
KBRO20190609_112301_V06,20190609_062301
KBRO20190609_113010_V06,20190609_063010
KBRO20190609_113719_V06,20190609_063719
KBRO20190609_114427_V06,20190609_064427
KBRO20190609_115136_V06,20190609_065136
KBRO20190609_120555_V06,20190609_070555
KBRO20190609_121304_V06,20190609_071304
KBRO20190609_122013_V06,20190609_072013
KBRO20190609_122722_V06,20190609_072722
KBRO20190609_123430_V06,20190609_073430
KBRO20190609_124140_V06,20190609_074140
KBRO20190609_124850_V06,20190609_074850
KBRO20190609_130306_V06,20190609_080306
KBRO20190610_103917_V06,20190610_053917
KBRO20190610_104402_V06,20190610_054402
KBRO20190610_104848_V06,20190610_054848
KBRO20190610_105332_V06,20190610_055332
KBRO20190610_110304_V06,20190610_060304
KBRO20190610_110749_V06,20190610_060749
KBRO20190610_111233_V06,20190610_061233
KBRO20190610_111719_V06,20190610_061719
KBRO20190610_112205_V06,20190610_062205
KBRO20190610_112649_V06,20190610_062649
KBRO20190610_113134_V06,20190610_063134
KBRO20190610_113620_V06,20190610_063620
KBRO20190610_114105_V06,20190610_064105
KBRO20190610_114549_V06,20190610_064549
KBRO20190610_115034_V06,20190610_065034
KBRO20190610_120003_V06,20190610_070003
KBRO20190610_120448_V06,20190610_070448
KBRO20190610_120918_V06,20190610_070918
KBRO20190610_121348_V06,20190610_071348
KBRO20190610_121817_V06,20190610_071817
KBRO20190610_122245_V06,20190610_072245
KBRO20190610_122729_V06,20190610_072729
KBRO20190610_123213_V06,20190610_073213
KBRO20190610_123658_V06,20190610_073658
KBRO20190610_124143_V06,20190610_074143
KBRO20190610_124642_V06,20190610_074642
KBRO20190610_125127_V06,20190610_075127
KBRO20190610_130155_V06,20190610_080155
KBRO20190610_130655_V06,20190610_080655
KBRO20190611_103742_V06,20190611_053742
KBRO20190611_104326_V06,20190611_054326
KBRO20190611_104911_V06,20190611_054911
KBRO20190611_110059_V06,20190611_060059
