filename,local_time
KBYX20210601_094127_V06,20210601_054127
KBYX20210601_094643_V06,20210601_054643
KBYX20210601_095159_V06,20210601_055159
KBYX20210601_100246_V06,20210601_060246
KBYX20210601_100838_V06,20210601_060838
KBYX20210601_101414_V06,20210601_061414
KBYX20210601_101953_V06,20210601_061953
KBYX20210601_102534_V06,20210601_062534
KBYX20210601_103145_V06,20210601_063145
KBYX20210601_103759_V06,20210601_063759
KBYX20210601_104422_V06,20210601_064422
KBYX20210601_105113_V06,20210601_065113
KBYX20210601_110359_V06,20210601_070359
KBYX20210601_111013_V06,20210601_071013
KBYX20210601_111641_V06,20210601_071641
KBYX20210601_112255_V06,20210601_072255
KBYX20210601_112924_V06,20210601_072924
KBYX20210601_113553_V06,20210601_073553
KBYX20210601_114223_V06,20210601_074223
KBYX20210601_114852_V06,20210601_074852
KBYX20210601_120121_V06,20210601_080121
KBYX20210601_120734_V06,20210601_080734
KBYX20210602_093839_V06,20210602_053839
KBYX20210602_094432_V06,20210602_054432
KBYX20210602_095024_V06,20210602_055024
KBYX20210602_100226_V06,20210602_060226
KBYX20210602_100819_V06,20210602_060819
KBYX20210602_101412_V06,20210602_061412
KBYX20210602_102005_V06,20210602_062005
KBYX20210602_102558_V06,20210602_062558
KBYX20210602_103129_V06,20210602_063129
KBYX20210602_103707_V06,20210602_063707
KBYX20210602_104245_V06,20210602_064245
KBYX20210602_104823_V06,20210602_064823
KBYX20210602_105400_V06,20210602_065400
KBYX20210602_110515_V06,20210602_070515
KBYX20210602_111044_V06,20210602_071044
KBYX20210602_111613_V06,20210602_071613
KBYX20210602_112142_V06,20210602_072142
KBYX20210602_112703_V06,20210602_072703
KBYX20210602_113240_V06,20210602_073240
KBYX20210602_113818_V06,20210602_073818
KBYX20210602_114355_V06,20210602_074355
KBYX20210602_114932_V06,20210602_074932
KBYX20210602_120045_V06,20210602_080045
KBYX20210602_120623_V06,20210602_080623
KBYX20210603_094118_V06,20210603_054118
KBYX20210603_094740_V06,20210603_054740
KBYX20210603_100102_V06,20210603_060102
KBYX20210603_100719_V06,20210603_060719
KBYX20210603_101335_V06,20210603_061335
KBYX20210603_101943_V06,20210603_061943
KBYX20210603_102534_V06,20210603_062534
KBYX20210603_103144_V06,20210603_063144
KBYX20210603_103754_V06,20210603_063754
KBYX20210603_104432_V06,20210603_064432
KBYX20210603_105029_V06,20210603_065029
KBYX20210603_110105_V06,20210603_070105
KBYX20210603_110616_V06,20210603_070616
KBYX20210603_111126_V06,20210603_071126
