filename,local_time
KCRP20140601_104348_V06,20140601_054348
KCRP20140601_105324_V06,20140601_055324
KCRP20140601_110304_V06,20140601_060304
KCRP20140601_111242_V06,20140601_061242
KCRP20140601_112220_V06,20140601_062220
KCRP20140601_113159_V06,20140601_063159
KCRP20140601_114137_V06,20140601_064137
KCRP20140601_115117_V06,20140601_065117
KCRP20140601_120056_V06,20140601_070056
KCRP20140601_121034_V06,20140601_071034
KCRP20140601_122014_V06,20140601_072014
KCRP20140601_122951_V06,20140601_072951
KCRP20140601_123929_V06,20140601_073929
KCRP20140601_124907_V06,20140601_074907
KCRP20140601_125844_V06,20140601_075844
KCRP20140602_104331_V06,20140602_054331
KCRP20140602_105527_V06,20140602_055527
KCRP20140602_110507_V06,20140602_060507
KCRP20140602_111447_V06,20140602_061447
KCRP20140602_112425_V06,20140602_062425
KCRP20140602_113403_V06,20140602_063403
KCRP20140602_114342_V06,20140602_064342
KCRP20140602_115320_V06,20140602_065320
KCRP20140602_120300_V06,20140602_070300
KCRP20140602_121238_V06,20140602_071238
KCRP20140602_122215_V06,20140602_072215
KCRP20140602_123156_V06,20140602_073156
KCRP20140602_124134_V06,20140602_074134
KCRP20140602_125111_V06,20140602_075111
KCRP20140602_130051_V06,20140602_080051
KCRP20140603_103625_V06,20140603_053625
KCRP20140603_104606_V06,20140603_054606
KCRP20140603_105543_V06,20140603_055543
KCRP20140603_111715_V06,20140603_061715
KCRP20140603_112653_V06,20140603_062653
KCRP20140603_113630_V06,20140603_063630
KCRP20140603_114608_V06,20140603_064608
KCRP20140603_115546_V06,20140603_065546
KCRP20140603_120524_V06,20140603_070524
KCRP20140603_121501_V06,20140603_071501
KCRP20140603_122439_V06,20140603_072439
KCRP20140603_123416_V06,20140603_073416
KCRP20140603_124354_V06,20140603_074354
KCRP20140603_125332_V06,20140603_075332
KCRP20140603_130310_V06,20140603_080310
KCRP20140604_103807_V06,20140604_053807
KCRP20140604_104746_V06,20140604_054746
KCRP20140604_105725_V06,20140604_055725
KCRP20140604_110703_V06,20140604_060703
KCRP20140604_111642_V06,20140604_061642
KCRP20140604_112621_V06,20140604_062621
KCRP20140604_113600_V06,20140604_063600
KCRP20140604_114539_V06,20140604_064539
KCRP20140604_115517_V06,20140604_065517
KCRP20140604_120456_V06,20140604_070456
KCRP20140604_121435_V06,20140604_071435
KCRP20140604_122414_V06,20140604_072414
KCRP20140604_123353_V06,20140604_073353
KCRP20140604_124333_V06,20140604_074333
KCRP20140604_125312_V06,20140604_075312
KCRP20140604_130251_V06,20140604_080251
KCRP20140605_103746_V06,20140605_053746
KCRP20140605_104725_V06,20140605_054725
KCRP20140605_105704_V06,20140605_055704
KCRP20140605_110642_V06,20140605_060642
KCRP20140605_111622_V06,20140605_061622
KCRP20140605_112600_V06,20140605_062600
KCRP20140605_113539_V06,20140605_063539
KCRP20140605_114518_V06,20140605_064518
KCRP20140605_115455_V06,20140605_065455
KCRP20140605_120434_V06,20140605_070434
KCRP20140605_121413_V06,20140605_071413
KCRP20140605_122352_V06,20140605_072352
KCRP20140605_123331_V06,20140605_073331
KCRP20140605_124309_V06,20140605_074309
KCRP20140605_125247_V06,20140605_075247
KCRP20140605_130226_V06,20140605_080226
KCRP20140606_104038_V06,20140606_054038
KCRP20140606_105017_V06,20140606_055017
KCRP20140606_105955_V06,20140606_055955
KCRP20140606_110934_V06,20140606_060934
KCRP20140606_111913_V06,20140606_061913
KCRP20140606_112852_V06,20140606_062852
KCRP20140606_113831_V06,20140606_063831
KCRP20140606_114809_V06,20140606_064809
KCRP20140606_115748_V06,20140606_065748
KCRP20140606_120727_V06,20140606_070727
KCRP20140606_121706_V06,20140606_071706
KCRP20140606_122645_V06,20140606_072645
KCRP20140606_123624_V06,20140606_073624
KCRP20140606_124603_V06,20140606_074603
KCRP20140606_125541_V06,20140606_075541
KCRP20140607_103402_V06,20140607_053402
KCRP20140607_104341_V06,20140607_054341
KCRP20140607_105320_V06,20140607_055320
KCRP20140607_110259_V06,20140607_060259
KCRP20140607_111238_V06,20140607_061238
KCRP20140607_112217_V06,20140607_062217
KCRP20140607_113155_V06,20140607_063155
KCRP20140607_114134_V06,20140607_064134
KCRP20140607_115112_V06,20140607_065112
KCRP20140607_120051_V06,20140607_070051
KCRP20140607_121031_V06,20140607_071031
KCRP20140607_122010_V06,20140607_072010
KCRP20140607_122950_V06,20140607_072950
KCRP20140607_123928_V06,20140607_073928
KCRP20140607_124907_V06,20140607_074907
KCRP20140607_125846_V06,20140607_075846
KCRP20140608_103702_V06,20140608_053702
KCRP20140608_104640_V06,20140608_054640
KCRP20140608_105620_V06,20140608_055620
KCRP20140608_110558_V06,20140608_060558
KCRP20140608_111537_V06,20140608_061537
KCRP20140608_112515_V06,20140608_062515
KCRP20140608_113455_V06,20140608_063455
KCRP20140608_114433_V06,20140608_064433
KCRP20140608_115412_V06,20140608_065412
KCRP20140608_120351_V06,20140608_070351
KCRP20140608_121329_V06,20140608_071329
KCRP20140608_122308_V06,20140608_072308
KCRP20140608_123247_V06,20140608_073247
KCRP20140608_124225_V06,20140608_074225
KCRP20140608_125205_V06,20140608_075205
KCRP20140608_130144_V06,20140608_080144
KCRP20140609_103818_V06,20140609_053818
KCRP20140609_104757_V06,20140609_054757
KCRP20140609_105736_V06,20140609_055736
KCRP20140609_110715_V06,20140609_060715
KCRP20140609_111653_V06,20140609_061653
KCRP20140609_112632_V06,20140609_062632
KCRP20140609_113612_V06,20140609_063612
KCRP20140609_114551_V06,20140609_064551
KCRP20140609_115529_V06,20140609_065529
KCRP20140609_120508_V06,20140609_070508
KCRP20140609_121446_V06,20140609_071446
KCRP20140609_122425_V06,20140609_072425
KCRP20140609_123404_V06,20140609_073404
KCRP20140609_124343_V06,20140609_074343
KCRP20140609_125322_V06,20140609_075322
KCRP20140609_130300_V06,20140609_080300
KCRP20140610_103529_V06,20140610_053529
KCRP20140610_103947_V06,20140610_053947
KCRP20140610_104406_V06,20140610_054406
KCRP20140610_104823_V06,20140610_054823
KCRP20140610_105242_V06,20140610_055242
KCRP20140610_105700_V06,20140610_055700
KCRP20140610_110118_V06,20140610_060118
KCRP20140610_110537_V06,20140610_060537
KCRP20140610_110955_V06,20140610_060955
KCRP20140610_111413_V06,20140610_061413
KCRP20140610_111831_V06,20140610_061831
KCRP20140610_112250_V06,20140610_062250
KCRP20140610_112708_V06,20140610_062708
KCRP20140610_113126_V06,20140610_063126
KCRP20140610_113545_V06,20140610_063545
KCRP20140610_114627_V06,20140610_064627
KCRP20140610_115046_V06,20140610_065046
KCRP20140610_115505_V06,20140610_065505
KCRP20140610_115924_V06,20140610_065924
KCRP20140610_120343_V06,20140610_070343
KCRP20140610_120802_V06,20140610_070802
KCRP20140610_121220_V06,20140610_071220
KCRP20140610_121638_V06,20140610_071638
KCRP20140610_122059_V06,20140610_072059
KCRP20140610_122517_V06,20140610_072517
KCRP20140610_122936_V06,20140610_072936
KCRP20140610_123354_V06,20140610_073354
KCRP20140610_123813_V06,20140610_073813
KCRP20140610_124233_V06,20140610_074233
KCRP20140610_124653_V06,20140610_074653
KCRP20140610_125111_V06,20140610_075111
KCRP20140610_125529_V06,20140610_075529
KCRP20140610_125948_V06,20140610_075948
KCRP20140611_103821_V06,20140611_053821
KCRP20140611_104759_V06,20140611_054759
KCRP20140611_105737_V06,20140611_055737
KCRP20140611_110716_V06,20140611_060716
KCRP20140611_111655_V06,20140611_061655
KCRP20140611_112633_V06,20140611_062633
KCRP20140611_113612_V06,20140611_063612
KCRP20140611_114550_V06,20140611_064550
KCRP20140611_115528_V06,20140611_065528
KCRP20140611_120506_V06,20140611_070506
KCRP20140611_121444_V06,20140611_071444
KCRP20140611_122422_V06,20140611_072422
KCRP20140611_123401_V06,20140611_073401
KCRP20140611_124340_V06,20140611_074340
KCRP20140611_125318_V06,20140611_075318
KCRP20140611_130256_V06,20140611_080256
KCRP20140612_104033_V06,20140612_054033
KCRP20140612_105012_V06,20140612_055012
KCRP20140612_105951_V06,20140612_055951
KCRP20140612_110929_V06,20140612_060929
KCRP20140612_111907_V06,20140612_061907
KCRP20140612_112846_V06,20140612_062846
KCRP20140612_113825_V06,20140612_063825
KCRP20140612_114803_V06,20140612_064803
KCRP20140612_115740_V06,20140612_065740
KCRP20140612_120718_V06,20140612_070718
KCRP20140612_121657_V06,20140612_071657
KCRP20140612_122636_V06,20140612_072636
KCRP20140612_123615_V06,20140612_073615
KCRP20140612_124553_V06,20140612_074553
KCRP20140612_125532_V06,20140612_075532
KCRP20140613_103340_V06,20140613_053340
KCRP20140613_103819_V06,20140613_053819
KCRP20140613_104257_V06,20140613_054257
KCRP20140613_104737_V06,20140613_054737
KCRP20140613_105216_V06,20140613_055216
KCRP20140613_105655_V06,20140613_055655
KCRP20140613_110134_V06,20140613_060134
KCRP20140613_110613_V06,20140613_060613
KCRP20140613_111053_V06,20140613_061053
KCRP20140613_111532_V06,20140613_061532
KCRP20140613_112010_V06,20140613_062010
KCRP20140613_112449_V06,20140613_062449
KCRP20140613_112928_V06,20140613_062928
KCRP20140613_113407_V06,20140613_063407
KCRP20140613_113845_V06,20140613_063845
KCRP20140613_114323_V06,20140613_064323
KCRP20140613_114802_V06,20140613_064802
KCRP20140613_115240_V06,20140613_065240
KCRP20140613_115719_V06,20140613_065719
KCRP20140613_120158_V06,20140613_070158
KCRP20140613_120636_V06,20140613_070636
KCRP20140613_121115_V06,20140613_071115
KCRP20140613_122051_V06,20140613_072051
KCRP20140613_123027_V06,20140613_073027
KCRP20140613_124003_V06,20140613_074003
KCRP20140613_124940_V06,20140613_074940
KCRP20140613_125916_V06,20140613_075916
KCRP20140614_103946_V06,20140614_053946
KCRP20140614_104925_V06,20140614_054925
KCRP20140614_105904_V06,20140614_055904
KCRP20140614_110842_V06,20140614_060842
KCRP20140614_111821_V06,20140614_061821
KCRP20140614_112759_V06,20140614_062759
KCRP20140614_113737_V06,20140614_063737
KCRP20140614_114715_V06,20140614_064715
KCRP20140614_115654_V06,20140614_065654
KCRP20140614_120633_V06,20140614_070633
KCRP20140614_121610_V06,20140614_071610
KCRP20140614_122549_V06,20140614_072549
KCRP20140614_123529_V06,20140614_073529
KCRP20140614_124508_V06,20140614_074508
KCRP20140614_125447_V06,20140614_075447
KCRP20140615_103450_V06,20140615_053450
KCRP20140615_104429_V06,20140615_054429
KCRP20140615_105408_V06,20140615_055408
KCRP20140615_110346_V06,20140615_060346
KCRP20140615_111324_V06,20140615_061324
KCRP20140615_112302_V06,20140615_062302
KCRP20140615_113241_V06,20140615_063241
KCRP20140615_114219_V06,20140615_064219
KCRP20140615_115159_V06,20140615_065159
KCRP20140615_120137_V06,20140615_070137
KCRP20140615_121116_V06,20140615_071116
KCRP20140615_122054_V06,20140615_072054
KCRP20140615_123032_V06,20140615_073032
KCRP20140615_124011_V06,20140615_074011
KCRP20140615_124950_V06,20140615_074950
KCRP20140615_125928_V06,20140615_075928
KCRP20140616_103720_V06,20140616_053720
KCRP20140616_104657_V06,20140616_054657
KCRP20140616_105636_V06,20140616_055636
KCRP20140616_110615_V06,20140616_060615
KCRP20140616_111554_V06,20140616_061554
KCRP20140616_112534_V06,20140616_062534
KCRP20140616_113511_V06,20140616_063511
KCRP20140616_114450_V06,20140616_064450
KCRP20140616_115429_V06,20140616_065429
KCRP20140616_120408_V06,20140616_070408
KCRP20140616_121346_V06,20140616_071346
KCRP20140616_122324_V06,20140616_072324
KCRP20140616_123302_V06,20140616_073302
KCRP20140616_124241_V06,20140616_074241
KCRP20140616_125219_V06,20140616_075219
KCRP20140616_130159_V06,20140616_080159
KCRP20140617_103800_V06,20140617_053800
KCRP20140617_104346_V06,20140617_054346
KCRP20140617_104933_V06,20140617_054933
KCRP20140617_105520_V06,20140617_055520
KCRP20140617_110106_V06,20140617_060106
KCRP20140617_110655_V06,20140617_060655
KCRP20140617_111241_V06,20140617_061241
KCRP20140617_111828_V06,20140617_061828
KCRP20140617_112414_V06,20140617_062414
KCRP20140617_113002_V06,20140617_063002
KCRP20140617_113548_V06,20140617_063548
KCRP20140617_114134_V06,20140617_064134
KCRP20140617_114721_V06,20140617_064721
KCRP20140617_115308_V06,20140617_065308
KCRP20140617_115855_V06,20140617_065855
KCRP20140617_120442_V06,20140617_070442
KCRP20140617_121030_V06,20140617_071030
KCRP20140617_121618_V06,20140617_071618
KCRP20140617_122206_V06,20140617_072206
KCRP20140617_122753_V06,20140617_072753
