filename,local_time
KDAX20140601_114929_V06,20140601_044929
KDAX20140601_115908_V06,20140601_045908
KDAX20140601_120847_V06,20140601_050847
KDAX20140601_121827_V06,20140601_051827
KDAX20140601_122805_V06,20140601_052805
KDAX20140601_123744_V06,20140601_053744
KDAX20140601_124724_V06,20140601_054724
KDAX20140601_125704_V06,20140601_055704
KDAX20140601_130643_V06,20140601_060643
KDAX20140601_131622_V06,20140601_061622
KDAX20140601_132602_V06,20140601_062602
KDAX20140601_133541_V06,20140601_063541
KDAX20140601_134521_V06,20140601_064521
KDAX20140601_135501_V06,20140601_065501
KDAX20140601_140440_V06,20140601_070440
KDAX20140601_141420_V06,20140601_071420
KDAX20140602_115306_V06,20140602_045306
KDAX20140602_120245_V06,20140602_050245
KDAX20140602_121224_V06,20140602_051224
KDAX20140602_122203_V06,20140602_052203
KDAX20140602_123142_V06,20140602_053142
KDAX20140602_124121_V06,20140602_054121
KDAX20140602_125100_V06,20140602_055100
KDAX20140602_130040_V06,20140602_060040
KDAX20140602_131020_V06,20140602_061020
KDAX20140602_132000_V06,20140602_062000
KDAX20140602_132939_V06,20140602_062939
KDAX20140602_133919_V06,20140602_063919
KDAX20140602_134859_V06,20140602_064859
KDAX20140602_135837_V06,20140602_065837
KDAX20140602_140816_V06,20140602_070816
KDAX20140603_114627_V06,20140603_044627
KDAX20140603_115609_V06,20140603_045609
KDAX20140603_120549_V06,20140603_050549
KDAX20140603_121530_V06,20140603_051530
KDAX20140603_122509_V06,20140603_052509
KDAX20140603_123449_V06,20140603_053449
KDAX20140603_124429_V06,20140603_054429
KDAX20140603_125409_V06,20140603_055409
KDAX20140603_130350_V06,20140603_060350
KDAX20140603_131331_V06,20140603_061331
KDAX20140603_132310_V06,20140603_062310
KDAX20140603_133251_V06,20140603_063251
KDAX20140603_134444_V06,20140603_064444
KDAX20140603_135424_V06,20140603_065424
KDAX20140603_140405_V06,20140603_070405
KDAX20140604_115133_V06,20140604_045133
KDAX20140604_120112_V06,20140604_050112
KDAX20140604_121052_V06,20140604_051052
KDAX20140604_122032_V06,20140604_052032
KDAX20140604_123011_V06,20140604_053011
KDAX20140604_123950_V06,20140604_053950
KDAX20140604_124930_V06,20140604_054930
KDAX20140604_125909_V06,20140604_055909
KDAX20140604_130849_V06,20140604_060849
KDAX20140604_131829_V06,20140604_061829
