filename,local_time
KDGX20140601_095735_V06,20140601_045735
KDGX20140601_100321_V06,20140601_050321
KDGX20140601_100815_V06,20140601_050815
KDGX20140601_101308_V06,20140601_051308
KDGX20140601_101801_V06,20140601_051801
KDGX20140601_102255_V06,20140601_052255
KDGX20140601_102748_V06,20140601_052748
KDGX20140601_103334_V06,20140601_053334
KDGX20140601_103827_V06,20140601_053827
KDGX20140601_104320_V06,20140601_054320
KDGX20140601_104814_V06,20140601_054814
KDGX20140601_105359_V06,20140601_055359
KDGX20140601_105919_V06,20140601_055919
KDGX20140601_110437_V06,20140601_060437
KDGX20140601_110958_V06,20140601_060958
KDGX20140601_111451_V06,20140601_061451
KDGX20140601_111944_V06,20140601_061944
KDGX20140601_112438_V06,20140601_062438
KDGX20140601_112931_V06,20140601_062931
KDGX20140601_113425_V06,20140601_063425
KDGX20140601_113917_V06,20140601_063917
KDGX20140601_114410_V06,20140601_064410
KDGX20140601_114903_V06,20140601_064903
KDGX20140601_115355_V06,20140601_065355
KDGX20140601_115849_V06,20140601_065849
KDGX20140601_120341_V06,20140601_070341
KDGX20140601_120834_V06,20140601_070834
KDGX20140601_121328_V06,20140601_071328
KDGX20140601_121820_V06,20140601_071820
KDGX20140601_122314_V06,20140601_072314
KDGX20140602_095704_V06,20140602_045704
KDGX20140602_100034_V06,20140602_050034
KDGX20140602_100401_V06,20140602_050401
KDGX20140602_100731_V06,20140602_050731
KDGX20140602_101059_V06,20140602_051059
KDGX20140602_101427_V06,20140602_051427
KDGX20140602_101756_V06,20140602_051756
KDGX20140602_102125_V06,20140602_052125
KDGX20140602_102453_V06,20140602_052453
KDGX20140602_102820_V06,20140602_052820
KDGX20140602_103149_V06,20140602_053149
KDGX20140602_103518_V06,20140602_053518
KDGX20140602_103845_V06,20140602_053845
KDGX20140602_104214_V06,20140602_054214
KDGX20140602_104543_V06,20140602_054543
KDGX20140602_104911_V06,20140602_054911
KDGX20140602_105242_V06,20140602_055242
KDGX20140602_105614_V06,20140602_055614
KDGX20140602_105944_V06,20140602_055944
KDGX20140602_110313_V06,20140602_060313
KDGX20140602_110643_V06,20140602_060643
KDGX20140602_111013_V06,20140602_061013
KDGX20140602_111342_V06,20140602_061342
KDGX20140602_111712_V06,20140602_061712
KDGX20140602_112040_V06,20140602_062040
KDGX20140602_112409_V06,20140602_062409
KDGX20140602_112737_V06,20140602_062737
KDGX20140602_113107_V06,20140602_063107
KDGX20140602_113437_V06,20140602_063437
KDGX20140602_113806_V06,20140602_063806
KDGX20140602_114135_V06,20140602_064135
KDGX20140602_114507_V06,20140602_064507
KDGX20140602_114837_V06,20140602_064837
KDGX20140602_115206_V06,20140602_065206
KDGX20140602_115535_V06,20140602_065535
KDGX20140602_115905_V06,20140602_065905
KDGX20140602_120233_V06,20140602_070233
KDGX20140602_120602_V06,20140602_070602
KDGX20140602_120932_V06,20140602_070932
KDGX20140602_121302_V06,20140602_071302
KDGX20140602_121631_V06,20140602_071631
KDGX20140602_122002_V06,20140602_072002
KDGX20140602_122332_V06,20140602_072332
KDGX20140603_095455_V06,20140603_045455
KDGX20140603_095823_V06,20140603_045823
KDGX20140603_100153_V06,20140603_050153
