filename,local_time
KDIX20200601_083434_V06,20200601_043434
KDIX20200601_084118_V06,20200601_044118
KDIX20200601_084806_V06,20200601_044806
KDIX20200601_090158_V06,20200601_050158
KDIX20200601_090851_V06,20200601_050851
KDIX20200601_091543_V06,20200601_051543
KDIX20200601_092235_V06,20200601_052235
KDIX20200601_092928_V06,20200601_052928
KDIX20200601_093632_V06,20200601_053632
KDIX20200601_094324_V06,20200601_054324
KDIX20200601_095028_V06,20200601_055028
KDIX20200601_100429_V06,20200601_060429
KDIX20200601_101127_V06,20200601_061127
KDIX20200601_101831_V06,20200601_061831
KDIX20200601_102528_V06,20200601_062528
KDIX20200601_103221_V06,20200601_063221
KDIX20200601_103919_V06,20200601_063919
KDIX20200601_104623_V06,20200601_064623
KDIX20200602_083030_V06,20200602_043030
KDIX20200602_083734_V06,20200602_043734
KDIX20200602_084439_V06,20200602_044439
KDIX20200602_085143_V06,20200602_045143
KDIX20200602_090551_V06,20200602_050551
KDIX20200602_091255_V06,20200602_051255
KDIX20200602_092000_V06,20200602_052000
KDIX20200602_092703_V06,20200602_052703
KDIX20200602_093407_V06,20200602_053407
KDIX20200602_094105_V06,20200602_054105
KDIX20200602_094808_V06,20200602_054808
KDIX20200602_100201_V06,20200602_060201
KDIX20200602_100846_V06,20200602_060846
KDIX20200602_101535_V06,20200602_061535
KDIX20200602_102220_V06,20200602_062220
KDIX20200602_102909_V06,20200602_062909
KDIX20200602_103554_V06,20200602_063554
KDIX20200602_104239_V06,20200602_064239
KDIX20200602_104924_V06,20200602_064924
KDIX20200603_083320_V06,20200603_043320
KDIX20200603_083911_V06,20200603_043911
KDIX20200603_084501_V06,20200603_044501
KDIX20200603_085052_V06,20200603_045052
KDIX20200603_090203_V06,20200603_050203
KDIX20200603_090758_V06,20200603_050758
KDIX20200603_091401_V06,20200603_051401
KDIX20200603_091934_V06,20200603_051934
KDIX20200603_092456_V06,20200603_052456
KDIX20200603_093017_V06,20200603_053017
KDIX20200603_093535_V06,20200603_053535
KDIX20200603_094109_V06,20200603_054109
KDIX20200603_094634_V06,20200603_054634
KDIX20200603_095209_V06,20200603_055209
KDIX20200603_100257_V06,20200603_060257
KDIX20200603_100804_V06,20200603_060804
KDIX20200603_101311_V06,20200603_061311
KDIX20200603_101817_V06,20200603_061817
KDIX20200603_102324_V06,20200603_062324
KDIX20200603_102831_V06,20200603_062831
KDIX20200603_103338_V06,20200603_063338
KDIX20200603_103845_V06,20200603_063845
KDIX20200603_104351_V06,20200603_064351
KDIX20200603_104858_V06,20200603_064858
KDIX20200603_105405_V06,20200603_065405
KDIX20200604_083440_V06,20200604_043440
KDIX20200604_084145_V06,20200604_044145
KDIX20200604_084843_V06,20200604_044843
KDIX20200604_090238_V06,20200604_050238
KDIX20200604_090935_V06,20200604_050935
KDIX20200604_091831_V06,20200604_051831
KDIX20200604_092529_V06,20200604_052529
KDIX20200604_093222_V06,20200604_053222
KDIX20200604_093920_V06,20200604_053920
KDIX20200604_094625_V06,20200604_054625
KDIX20200604_100032_V06,20200604_060032
KDIX20200604_100736_V06,20200604_060736
KDIX20200604_101440_V06,20200604_061440
KDIX20200604_102143_V06,20200604_062143
KDIX20200604_102847_V06,20200604_062847
KDIX20200604_103551_V06,20200604_063551
KDIX20200604_104248_V06,20200604_064248
KDIX20200604_104952_V06,20200604_064952
KDIX20200605_083420_V06,20200605_043420
KDIX20200605_084007_V06,20200605_044007
KDIX20200605_084555_V06,20200605_044555
KDIX20200605_085148_V06,20200605_045148
KDIX20200605_090319_V06,20200605_050319
KDIX20200605_090902_V06,20200605_050902
KDIX20200605_091431_V06,20200605_051431
KDIX20200605_091959_V06,20200605_051959
KDIX20200605_092709_V06,20200605_052709
KDIX20200605_093213_V06,20200605_053213
KDIX20200605_093658_V06,20200605_053658
KDIX20200605_094130_V06,20200605_054130
KDIX20200605_094600_V06,20200605_054600
KDIX20200605_095017_V06,20200605_055017
KDIX20200605_095438_V06,20200605_055438
KDIX20200605_100310_V06,20200605_060310
KDIX20200605_100726_V06,20200605_060726
KDIX20200605_101142_V06,20200605_061142
KDIX20200605_101603_V06,20200605_061603
KDIX20200605_102019_V06,20200605_062019
