filename,local_time
KDVN20230601_093309_V06,20230601_043309
KDVN20230601_093645_V06,20230601_043645
KDVN20230601_094015_V06,20230601_044015
KDVN20230601_094339_V06,20230601_044339
KDVN20230601_094708_V06,20230601_044708
KDVN20230601_095031_V06,20230601_045031
KDVN20230601_095355_V06,20230601_045355
KDVN20230601_100044_V06,20230601_050044
KDVN20230601_100420_V06,20230601_050420
KDVN20230601_100757_V06,20230601_050757
KDVN20230601_101133_V06,20230601_051133
KDVN20230601_101509_V06,20230601_051509
KDVN20230601_101845_V06,20230601_051845
KDVN20230601_102222_V06,20230601_052222
KDVN20230601_102558_V06,20230601_052558
KDVN20230601_102934_V06,20230601_052934
KDVN20230601_103304_V06,20230601_053304
KDVN20230601_103633_V06,20230601_053633
KDVN20230601_104003_V06,20230601_054003
KDVN20230601_104332_V06,20230601_054332
KDVN20230601_104701_V06,20230601_054701
KDVN20230601_105030_V06,20230601_055030
KDVN20230601_105405_V06,20230601_055405
KDVN20230601_110117_V06,20230601_060117
KDVN20230601_110453_V06,20230601_060453
KDVN20230601_110829_V06,20230601_060829
KDVN20230601_111206_V06,20230601_061206
KDVN20230601_111542_V06,20230601_061542
KDVN20230601_111918_V06,20230601_061918
KDVN20230601_112255_V06,20230601_062255
KDVN20230601_112631_V06,20230601_062631
KDVN20230601_113007_V06,20230601_063007
KDVN20230601_113343_V06,20230601_063343
KDVN20230601_113658_V06,20230601_063658
KDVN20230601_114013_V06,20230601_064013
KDVN20230601_114327_V06,20230601_064327
KDVN20230601_114642_V06,20230601_064642
KDVN20230601_115018_V06,20230601_065018
KDVN20230601_115332_V06,20230601_065332
KDVN20230601_115645_V06,20230601_065645
KDVN20230602_093144_V06,20230602_043144
KDVN20230602_093626_V06,20230602_043626
KDVN20230602_094107_V06,20230602_044107
KDVN20230602_094548_V06,20230602_044548
KDVN20230602_095030_V06,20230602_045030
KDVN20230602_095512_V06,20230602_045512
KDVN20230602_100433_V06,20230602_050433
KDVN20230602_100914_V06,20230602_050914
KDVN20230602_101349_V06,20230602_051349
KDVN20230602_101830_V06,20230602_051830
KDVN20230602_102312_V06,20230602_052312
KDVN20230602_102753_V06,20230602_052753
KDVN20230602_103235_V06,20230602_053235
KDVN20230602_103716_V06,20230602_053716
KDVN20230602_104157_V06,20230602_054157
KDVN20230602_104639_V06,20230602_054639
KDVN20230602_105058_V06,20230602_055058
KDVN20230602_110019_V06,20230602_060019
KDVN20230602_110425_V06,20230602_060425
KDVN20230602_110853_V06,20230602_060853
KDVN20230602_111304_V06,20230602_061304
KDVN20230602_111711_V06,20230602_061711
KDVN20230602_112125_V06,20230602_062125
KDVN20230602_112540_V06,20230602_062540
KDVN20230602_112954_V06,20230602_062954
KDVN20230602_113408_V06,20230602_063408
KDVN20230602_113824_V06,20230602_063824
KDVN20230602_114232_V06,20230602_064232
KDVN20230602_114648_V06,20230602_064648
KDVN20230602_115050_V06,20230602_065050
KDVN20230602_115451_V06,20230602_065451
KDVN20230603_093123_V06,20230603_043123
KDVN20230603_093500_V06,20230603_043500
KDVN20230603_093829_V06,20230603_043829
KDVN20230603_094158_V06,20230603_044158
KDVN20230603_094528_V06,20230603_044528
KDVN20230603_094905_V06,20230603_044905
KDVN20230603_095241_V06,20230603_045241
KDVN20230603_095617_V06,20230603_045617
KDVN20230603_100322_V06,20230603_050322
KDVN20230603_100651_V06,20230603_050651
KDVN20230603_101019_V06,20230603_051019
KDVN20230603_101348_V06,20230603_051348
KDVN20230603_101713_V06,20230603_051713
KDVN20230603_102037_V06,20230603_052037
KDVN20230603_102359_V06,20230603_052359
KDVN20230603_102724_V06,20230603_052724
KDVN20230603_103419_V06,20230603_053419
KDVN20230603_104105_V06,20230603_054105
KDVN20230603_104751_V06,20230603_054751
KDVN20230603_110130_V06,20230603_060130
KDVN20230603_110817_V06,20230603_060817
KDVN20230603_111504_V06,20230603_061504
KDVN20230603_112146_V06,20230603_062146
KDVN20230603_112838_V06,20230603_062838
KDVN20230603_113541_V06,20230603_063541
KDVN20230603_114243_V06,20230603_064243
KDVN20230603_114945_V06,20230603_064945
KDVN20230604_093647_V06,20230604_043647
KDVN20230604_094339_V06,20230604_044339
KDVN20230604_095036_V06,20230604_045036
KDVN20230604_100414_V06,20230604_050414
KDVN20230604_101105_V06,20230604_051105
KDVN20230604_101756_V06,20230604_051756
KDVN20230604_102447_V06,20230604_052447
KDVN20230604_103149_V06,20230604_053149
KDVN20230604_103852_V06,20230604_053852
KDVN20230604_104554_V06,20230604_054554
KDVN20230604_105255_V06,20230604_055255
KDVN20230604_110700_V06,20230604_060700
KDVN20230604_111356_V06,20230604_061356
