filename,local_time
KDYX20190601_103506_V06,20190601_053506
KDYX20190601_104441_V06,20190601_054441
KDYX20190601_105004_V06,20190601_055004
KDYX20190601_110115_V06,20190601_060115
KDYX20190601_110651_V06,20190601_060651
KDYX20190601_111227_V06,20190601_061227
KDYX20190601_111804_V06,20190601_061804
KDYX20190601_112739_V06,20190601_062739
KDYX20190601_113714_V06,20190601_063714
KDYX20190601_114650_V06,20190601_064650
KDYX20190601_120600_V06,20190601_070600
KDYX20190601_121535_V06,20190601_071535
KDYX20190601_122510_V06,20190601_072510
KDYX20190601_123446_V06,20190601_073446
KDYX20190601_124008_V06,20190601_074008
KDYX20190601_124545_V06,20190601_074545
KDYX20190602_103258_V06,20190602_053258
KDYX20190602_103841_V06,20190602_053841
KDYX20190602_104424_V06,20190602_054424
KDYX20190602_104946_V06,20190602_054946
KDYX20190602_110115_V06,20190602_060115
KDYX20190602_110609_V06,20190602_060609
KDYX20190602_111105_V06,20190602_061105
KDYX20190602_111613_V06,20190602_061613
KDYX20190602_112122_V06,20190602_062122
KDYX20190602_112643_V06,20190602_062643
KDYX20190602_113152_V06,20190602_063152
KDYX20190602_113714_V06,20190602_063714
KDYX20190602_114235_V06,20190602_064235
KDYX20190602_114810_V06,20190602_064810
KDYX20190602_115422_V06,20190602_065422
KDYX20190602_120532_V06,20190602_070532
KDYX20190602_121107_V06,20190602_071107
KDYX20190602_121643_V06,20190602_071643
KDYX20190602_122218_V06,20190602_072218
KDYX20190602_122753_V06,20190602_072753
KDYX20190602_123328_V06,20190602_073328
KDYX20190602_123904_V06,20190602_073904
KDYX20190602_124440_V06,20190602_074440
KDYX20190602_125015_V06,20190602_075015
KDYX20190603_103523_V06,20190603_053523
KDYX20190603_104228_V06,20190603_054228
KDYX20190603_104934_V06,20190603_054934
KDYX20190603_110347_V06,20190603_060347
KDYX20190603_111052_V06,20190603_061052
KDYX20190603_111758_V06,20190603_061758
KDYX20190603_112503_V06,20190603_062503
KDYX20190603_113208_V06,20190603_063208
KDYX20190603_113905_V06,20190603_063905
KDYX20190603_114601_V06,20190603_064601
KDYX20190603_115240_V06,20190603_065240
KDYX20190603_120610_V06,20190603_070610
KDYX20190603_121248_V06,20190603_071248
KDYX20190603_121927_V06,20190603_071927
KDYX20190603_122632_V06,20190603_072632
KDYX20190603_123338_V06,20190603_073338
KDYX20190603_124029_V06,20190603_074029
KDYX20190603_124705_V06,20190603_074705
KDYX20190603_125319_V06,20190603_075319
KDYX20190604_103306_V06,20190604_053306
KDYX20190604_103834_V06,20190604_053834
KDYX20190604_104354_V06,20190604_054354
KDYX20190604_104921_V06,20190604_054921
KDYX20190604_110016_V06,20190604_060016
KDYX20190604_110552_V06,20190604_060552
KDYX20190604_111128_V06,20190604_061128
KDYX20190604_111704_V06,20190604_061704
KDYX20190604_112255_V06,20190604_062255
KDYX20190604_112830_V06,20190604_062830
KDYX20190604_113406_V06,20190604_063406
KDYX20190604_113942_V06,20190604_063942
KDYX20190604_114517_V06,20190604_064517
KDYX20190604_115107_V06,20190604_065107
KDYX20190604_120243_V06,20190604_070243
KDYX20190604_120821_V06,20190604_070821
KDYX20190604_121413_V06,20190604_071413
KDYX20190604_122036_V06,20190604_072036
KDYX20190604_122658_V06,20190604_072658
KDYX20190604_123312_V06,20190604_073312
KDYX20190604_123933_V06,20190604_073933
KDYX20190604_124623_V06,20190604_074623
KDYX20190604_125243_V06,20190604_075243
KDYX20190605_103508_V06,20190605_053508
KDYX20190605_104044_V06,20190605_054044
KDYX20190605_104619_V06,20190605_054619
KDYX20190605_105155_V06,20190605_055155
KDYX20190605_110307_V06,20190605_060307
KDYX20190605_110843_V06,20190605_060843
KDYX20190605_111419_V06,20190605_061419
KDYX20190605_111955_V06,20190605_061955
KDYX20190605_112530_V06,20190605_062530
KDYX20190605_113106_V06,20190605_063106
KDYX20190605_113641_V06,20190605_063641
KDYX20190605_114231_V06,20190605_064231
KDYX20190605_114935_V06,20190605_064935
KDYX20190605_120132_V06,20190605_070132
KDYX20190605_120722_V06,20190605_070722
KDYX20190605_121329_V06,20190605_071329
KDYX20190605_121948_V06,20190605_071948
KDYX20190605_122608_V06,20190605_072608
KDYX20190605_123229_V06,20190605_073229
KDYX20190605_123835_V06,20190605_073835
KDYX20190605_124440_V06,20190605_074440
KDYX20190605_125046_V06,20190605_075046
KDYX20190606_103105_V06,20190606_053105
KDYX20190606_103611_V06,20190606_053611
KDYX20190606_104115_V06,20190606_054115
KDYX20190606_104619_V06,20190606_054619
KDYX20190606_105124_V06,20190606_055124
KDYX20190606_110134_V06,20190606_060134
KDYX20190606_110639_V06,20190606_060639
KDYX20190606_111145_V06,20190606_061145
KDYX20190606_111650_V06,20190606_061650
KDYX20190606_112155_V06,20190606_062155
KDYX20190606_112659_V06,20190606_062659
KDYX20190606_113204_V06,20190606_063204
KDYX20190606_113722_V06,20190606_063722
KDYX20190606_114227_V06,20190606_064227
KDYX20190606_114732_V06,20190606_064732
KDYX20190606_115237_V06,20190606_065237
KDYX20190606_120245_V06,20190606_070245
KDYX20190606_120738_V06,20190606_070738
KDYX20190606_121231_V06,20190606_071231
KDYX20190606_121716_V06,20190606_071716
KDYX20190606_122200_V06,20190606_072200
KDYX20190606_122645_V06,20190606_072645
KDYX20190606_123130_V06,20190606_073130
KDYX20190606_123615_V06,20190606_073615
KDYX20190606_124058_V06,20190606_074058
KDYX20190606_124542_V06,20190606_074542
KDYX20190606_125027_V06,20190606_075027
KDYX20190606_125455_V06,20190606_075455
KDYX20190607_103244_V06,20190607_053244
KDYX20190607_104218_V06,20190607_054218
KDYX20190607_110128_V06,20190607_060128
KDYX20190607_111103_V06,20190607_061103
KDYX20190607_112038_V06,20190607_062038
KDYX20190607_113011_V06,20190607_063011
KDYX20190607_113945_V06,20190607_063945
KDYX20190607_114920_V06,20190607_064920
KDYX20190607_120829_V06,20190607_070829
KDYX20190607_121804_V06,20190607_071804
KDYX20190607_122739_V06,20190607_072739
KDYX20190607_123713_V06,20190607_073713
KDYX20190607_124648_V06,20190607_074648
KDYX20190608_103503_V06,20190608_053503
KDYX20190608_104438_V06,20190608_054438
KDYX20190608_110346_V06,20190608_060346
