filename,local_time
KEYX20130601_114009_V06,20130601_044009
KEYX20130601_114932_V06,20130601_044932
KEYX20130601_115853_V06,20130601_045853
KEYX20130601_120815_V06,20130601_050815
KEYX20130601_121738_V06,20130601_051738
KEYX20130601_122701_V06,20130601_052701
KEYX20130601_123623_V06,20130601_053623
KEYX20130601_124546_V06,20130601_054546
KEYX20130601_125508_V06,20130601_055508
KEYX20130601_130431_V06,20130601_060431
KEYX20130601_131355_V06,20130601_061355
KEYX20130601_132318_V06,20130601_062318
KEYX20130601_133240_V06,20130601_063240
KEYX20130601_134203_V06,20130601_064203
KEYX20130601_135124_V06,20130601_065124
KEYX20130601_140046_V06,20130601_070046
KEYX20130602_114013_V06,20130602_044013
KEYX20130602_114935_V06,20130602_044935
KEYX20130602_115856_V06,20130602_045856
KEYX20130602_120818_V06,20130602_050818
KEYX20130602_121740_V06,20130602_051740
KEYX20130602_122702_V06,20130602_052702
KEYX20130602_123623_V06,20130602_053623
KEYX20130602_124545_V06,20130602_054545
KEYX20130602_125506_V06,20130602_055506
KEYX20130602_130428_V06,20130602_060428
KEYX20130602_131350_V06,20130602_061350
KEYX20130602_132312_V06,20130602_062312
KEYX20130602_133234_V06,20130602_063234
KEYX20130602_134156_V06,20130602_064156
KEYX20130602_135117_V06,20130602_065117
KEYX20130602_140039_V06,20130602_070039
KEYX20130603_113853_V06,20130603_043853
KEYX20130603_114815_V06,20130603_044815
KEYX20130603_115738_V06,20130603_045738
KEYX20130603_120701_V06,20130603_050701
KEYX20130603_121623_V06,20130603_051623
KEYX20130603_122546_V06,20130603_052546
KEYX20130603_123508_V06,20130603_053508
KEYX20130603_124430_V06,20130603_054430
KEYX20130603_125353_V06,20130603_055353
KEYX20130603_130316_V06,20130603_060316
KEYX20130603_131239_V06,20130603_061239
KEYX20130603_132203_V06,20130603_062203
KEYX20130603_133126_V06,20130603_063126
KEYX20130603_134049_V06,20130603_064049
KEYX20130603_135010_V06,20130603_065010
KEYX20130603_135933_V06,20130603_065933
KEYX20130604_113843_V06,20130604_043843
KEYX20130604_114806_V06,20130604_044806
KEYX20130604_115728_V06,20130604_045728
KEYX20130604_120651_V06,20130604_050651
