filename,local_time
KGRK20190601_103215_V06,20190601_053215
KGRK20190601_103921_V06,20190601_053921
KGRK20190601_104626_V06,20190601_054626
KGRK20190601_104931_V06,20190601_054931
KGRK20190601_105236_V06,20190601_055236
KGRK20190601_105541_V06,20190601_055541
KGRK20190601_110152_V06,20190601_060152
KGRK20190601_110459_V06,20190601_060459
KGRK20190601_111159_V06,20190601_061159
KGRK20190601_111905_V06,20190601_061905
KGRK20190601_112611_V06,20190601_062611
KGRK20190601_113316_V06,20190601_063316
KGRK20190601_114022_V06,20190601_064022
KGRK20190601_114728_V06,20190601_064728
KGRK20190601_120140_V06,20190601_070140
KGRK20190601_120845_V06,20190601_070845
KGRK20190601_121550_V06,20190601_071550
KGRK20190601_122449_V06,20190601_072449
KGRK20190601_123153_V06,20190601_073153
KGRK20190601_123859_V06,20190601_073859
KGRK20190601_124604_V06,20190601_074604
KGRK20190602_102807_V06,20190602_052807
KGRK20190602_103112_V06,20190602_053112
KGRK20190602_103417_V06,20190602_053417
KGRK20190602_103722_V06,20190602_053722
KGRK20190602_104027_V06,20190602_054027
KGRK20190602_104331_V06,20190602_054331
KGRK20190602_104636_V06,20190602_054636
KGRK20190602_104942_V06,20190602_054942
KGRK20190602_105246_V06,20190602_055246
KGRK20190602_105552_V06,20190602_055552
KGRK20190602_110202_V06,20190602_060202
KGRK20190602_110506_V06,20190602_060506
KGRK20190602_110811_V06,20190602_060811
KGRK20190602_111116_V06,20190602_061116
KGRK20190602_111422_V06,20190602_061422
KGRK20190602_111727_V06,20190602_061727
KGRK20190602_112033_V06,20190602_062033
KGRK20190602_112338_V06,20190602_062338
KGRK20190602_112643_V06,20190602_062643
KGRK20190602_112948_V06,20190602_062948
KGRK20190602_113253_V06,20190602_063253
KGRK20190602_113558_V06,20190602_063558
KGRK20190602_113903_V06,20190602_063903
KGRK20190602_114208_V06,20190602_064208
KGRK20190602_114513_V06,20190602_064513
KGRK20190602_114817_V06,20190602_064817
KGRK20190602_115121_V06,20190602_065121
KGRK20190602_115426_V06,20190602_065426
KGRK20190602_120037_V06,20190602_070037
KGRK20190602_120341_V06,20190602_070341
KGRK20190602_120646_V06,20190602_070646
KGRK20190602_120951_V06,20190602_070951
KGRK20190602_121256_V06,20190602_071256
KGRK20190602_121600_V06,20190602_071600
KGRK20190602_121905_V06,20190602_071905
KGRK20190602_122210_V06,20190602_072210
KGRK20190602_122516_V06,20190602_072516
KGRK20190602_123018_V06,20190602_073018
KGRK20190602_123325_V06,20190602_073325
KGRK20190602_123631_V06,20190602_073631
KGRK20190602_123935_V06,20190602_073935
KGRK20190602_124240_V06,20190602_074240
KGRK20190602_124545_V06,20190602_074545
KGRK20190602_124850_V06,20190602_074850
KGRK20190602_125155_V06,20190602_075155
KGRK20190602_125500_V06,20190602_075500
KGRK20190603_102947_V06,20190603_052947
KGRK20190603_103252_V06,20190603_053252
KGRK20190603_103558_V06,20190603_053558
KGRK20190603_103903_V06,20190603_053903
KGRK20190603_104207_V06,20190603_054207
KGRK20190603_104514_V06,20190603_054514
KGRK20190603_104819_V06,20190603_054819
KGRK20190603_105124_V06,20190603_055124
KGRK20190603_105429_V06,20190603_055429
KGRK20190603_110039_V06,20190603_060039
KGRK20190603_110344_V06,20190603_060344
KGRK20190603_110650_V06,20190603_060650
KGRK20190603_110956_V06,20190603_060956
KGRK20190603_111301_V06,20190603_061301
KGRK20190603_111607_V06,20190603_061607
KGRK20190603_111913_V06,20190603_061913
KGRK20190603_112219_V06,20190603_062219
KGRK20190603_112524_V06,20190603_062524
KGRK20190603_112828_V06,20190603_062828
KGRK20190603_113133_V06,20190603_063133
KGRK20190603_113438_V06,20190603_063438
KGRK20190603_113743_V06,20190603_063743
KGRK20190603_114049_V06,20190603_064049
KGRK20190603_114353_V06,20190603_064353
KGRK20190603_114658_V06,20190603_064658
KGRK20190603_115003_V06,20190603_065003
KGRK20190603_115309_V06,20190603_065309
KGRK20190603_115617_V06,20190603_065617
KGRK20190603_120227_V06,20190603_070227
KGRK20190603_120533_V06,20190603_070533
KGRK20190603_120838_V06,20190603_070838
KGRK20190603_121142_V06,20190603_071142
KGRK20190603_121447_V06,20190603_071447
KGRK20190603_121751_V06,20190603_071751
KGRK20190603_122057_V06,20190603_072057
KGRK20190603_122402_V06,20190603_072402
KGRK20190603_122708_V06,20190603_072708
KGRK20190603_123013_V06,20190603_073013
KGRK20190603_123318_V06,20190603_073318
KGRK20190603_123820_V06,20190603_073820
KGRK20190603_124124_V06,20190603_074124
KGRK20190603_124430_V06,20190603_074430
KGRK20190603_124735_V06,20190603_074735
KGRK20190603_125040_V06,20190603_075040
KGRK20190603_125345_V06,20190603_075345
KGRK20190603_125650_V06,20190603_075650
KGRK20190604_102923_V06,20190604_052923
KGRK20190604_103228_V06,20190604_053228
KGRK20190604_103533_V06,20190604_053533
KGRK20190604_103838_V06,20190604_053838
KGRK20190604_104142_V06,20190604_054142
KGRK20190604_104448_V06,20190604_054448
KGRK20190604_104752_V06,20190604_054752
KGRK20190604_105058_V06,20190604_055058
KGRK20190604_105403_V06,20190604_055403
KGRK20190604_110013_V06,20190604_060013
KGRK20190604_110318_V06,20190604_060318
KGRK20190604_110623_V06,20190604_060623
KGRK20190604_110929_V06,20190604_060929
KGRK20190604_111235_V06,20190604_061235
KGRK20190604_111540_V06,20190604_061540
KGRK20190604_111846_V06,20190604_061846
KGRK20190604_112151_V06,20190604_062151
KGRK20190604_112456_V06,20190604_062456
KGRK20190604_112801_V06,20190604_062801
KGRK20190604_113106_V06,20190604_063106
KGRK20190604_113411_V06,20190604_063411
KGRK20190604_113716_V06,20190604_063716
KGRK20190604_114022_V06,20190604_064022
KGRK20190604_114327_V06,20190604_064327
KGRK20190604_114633_V06,20190604_064633
KGRK20190604_114938_V06,20190604_064938
KGRK20190604_115243_V06,20190604_065243
KGRK20190604_115547_V06,20190604_065547
KGRK20190604_120158_V06,20190604_070158
KGRK20190604_120503_V06,20190604_070503
KGRK20190604_120808_V06,20190604_070808
KGRK20190604_121113_V06,20190604_071113
KGRK20190604_121418_V06,20190604_071418
KGRK20190604_121724_V06,20190604_071724
KGRK20190604_122029_V06,20190604_072029
KGRK20190604_122333_V06,20190604_072333
KGRK20190604_122638_V06,20190604_072638
KGRK20190604_122944_V06,20190604_072944
KGRK20190604_123302_V06,20190604_073302
KGRK20190604_123607_V06,20190604_073607
KGRK20190604_124118_V06,20190604_074118
KGRK20190604_124424_V06,20190604_074424
KGRK20190604_124730_V06,20190604_074730
KGRK20190604_125049_V06,20190604_075049
KGRK20190604_125407_V06,20190604_075407
KGRK20190605_102942_V06,20190605_052942
KGRK20190605_103354_V06,20190605_053354
KGRK20190605_103806_V06,20190605_053806
KGRK20190605_104218_V06,20190605_054218
KGRK20190605_104630_V06,20190605_054630
KGRK20190605_105041_V06,20190605_055041
KGRK20190605_105454_V06,20190605_055454
KGRK20190605_110318_V06,20190605_060318
KGRK20190605_110729_V06,20190605_060729
KGRK20190605_111141_V06,20190605_061141
KGRK20190605_111539_V06,20190605_061539
KGRK20190605_111923_V06,20190605_061923
KGRK20190605_112306_V06,20190605_062306
KGRK20190605_112637_V06,20190605_062637
KGRK20190605_113009_V06,20190605_063009
KGRK20190605_113340_V06,20190605_063340
KGRK20190605_113711_V06,20190605_063711
KGRK20190605_114043_V06,20190605_064043
KGRK20190605_114414_V06,20190605_064414
KGRK20190605_114744_V06,20190605_064744
KGRK20190605_115116_V06,20190605_065116
KGRK20190605_115501_V06,20190605_065501
KGRK20190605_120231_V06,20190605_070231
KGRK20190605_120615_V06,20190605_070615
KGRK20190605_120959_V06,20190605_070959
KGRK20190605_121343_V06,20190605_071343
KGRK20190605_121727_V06,20190605_071727
KGRK20190605_122112_V06,20190605_072112
KGRK20190605_122456_V06,20190605_072456
KGRK20190605_122842_V06,20190605_072842
KGRK20190605_123225_V06,20190605_073225
KGRK20190605_123556_V06,20190605_073556
KGRK20190605_123927_V06,20190605_073927
KGRK20190605_124258_V06,20190605_074258
KGRK20190605_124824_V06,20190605_074824
KGRK20190605_125155_V06,20190605_075155
KGRK20190605_125525_V06,20190605_075525
KGRK20190606_102958_V06,20190606_052958
KGRK20190606_103444_V06,20190606_053444
KGRK20190606_103908_V06,20190606_053908
KGRK20190606_104332_V06,20190606_054332
